"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68"
15092.3 1687.8 2165.7 140.8 10124.2 5929.3 226.5 10318.2 28667.4 194.7 102.6 18808.8 222 4063.8 176.2 16582.3 201.5 13080 187.5 373.8 11065.1 263.5 112.8 7451.5 132.7 17004.3 27556.1 1110.4 109.6 44469.8 10521.1 283.3 137.7 32246 7616.6 44435.1 1226.7 185 5829.4 23186.4 2076.9 1831.6 881.3 3753.1 348 141.7 121.1 340.4 225.8 5078.2 2171 4280.7 45634.2 18487.5 242.5 70.8 13379.6 34171.9 448.5 88.4 3133.2 1887.8 91.7 9789.5 27079.9 4050 2019.2 967.4
42161.5 40777.4 34186 30022.3 30077.5 26291.8 23528.4 25447.8 29666.9 34833.8 22003.6 31726.2 28059.5 36603.2 32281.1 25090.7 35077.3 30220.8 36952.9 42982.9 30465.7 30056.3 32759.8 33301.6 28230.5 51187.1 38768.5 36376.5 39818.5 62314.2 54748.6 32663 40951.7 38852.1 33732.8 42413 29058.8 47365 44977.8 46240 35799.9 59076.8 27730 37128.8 34359.4 37295.6 45982.1 37641.6 45309.2 34076.4 31108.8 39382.2 50745.9 31110 47014.1 30229.6 98544.5 59211.3 44571.4 39685 33068.8 43321.3 18369.5 37256.3 26711.2 24661.4 33774.5 32433.5
16685 27260.2 18866.1 17313 23450.7 17746.1 20715 15406.5 19770.6 17167.4 11624.8 20326.4 23556.3 28646.8 15659.1 13850 16500.4 25301.7 20437.1 31624.3 11384.9 17790.2 18557.3 14112.9 13648.6 13677.8 22088.1 23811.3 16520.9 36937 24324.7 21889.1 20715 21883.5 22563.7 29528.8 17106.4 26634.9 20070.6 13647.5 17977.6 43563.9 10747.9 16669 12120.4 27615 31317.6 22022.4 20723.9 32355.2 22584.9 14491.7 40379.9 23014.3 15080.7 21427.4 99824.6 25766.1 28070.1 25403.9 15990.8 26043.8 14508.6 14744.8 20456.1 16680.8 23479.7 15364.6
41761.6 48366 35998.5 20089.2 32404.2 34235.1 29992 25674.2 33186.8 30212 22492.7 34765.1 28954.8 37861.9 43065.6 28394.6 33790.3 45308.7 45867.6 46691.6 25173.2 28136.6 30195.3 34876.1 36057.8 41560.4 42182.4 39197.3 42221.1 58468.3 51123.8 34111.4 38777.1 36533.8 34708 45964.1 41310.4 44556.9 30466.8 30196.9 45948.9 64153.4 23818.6 43519.8 26512.8 46916 42432.6 43787.2 36348.9 48996.6 37259 31372.3 52189.2 33565.6 44771.1 36523.2 95696.9 42017.8 47124.2 52728.3 28858.5 50191.8 25200.8 37312.8 32646.1 33460.9 37733.6 35795.8
41163 50230.7 36743.4 17155.5 29869.9 29968.7 42548.3 27174.8 22965.2 29028.3 37535.3 32085.2 37977.7 37783.8 35002.4 29635 26498.1 34967.5 43671.9 43964.5 20457.2 25208.2 38382.7 30834.6 39878.1 35887.4 31026.9 37570.5 47277.8 44159.4 41262 45099 40237.6 32354.2 32037.4 38984.1 35397.6 38125.7 17677.1 22863.6 39714.1 51317.3 23829 31027.2 19971.3 53739.9 45722.5 36608.3 20239.8 43062.2 36951.3 28529.7 43308.8 29386 45816 36768.6 80978.6 31617.1 54601.3 69526.4 38160.6 38386.2 26503.8 31598.4 30362.7 34353.7 43077.5 28599.2
46022.6 35668 38243.7 20663.4 29755.6 30962.5 30154.3 28176.7 24134.9 34651.1 30788.1 31679.3 28120.8 36932.7 38861.5 26968 26683.1 41037.3 45398.3 41608.8 23367.5 27471.1 33458 29958.9 27015.3 59088.9 32175.9 33023.7 42190.9 47811.8 44112.4 36998.3 40936.6 32127.3 35318.1 41073.6 36959.9 43516.2 44902.2 36169.2 39707.7 54026.3 22405.2 36758.2 35623.5 39255.8 40132 38879.6 46549.6 43594 31983.2 32874.5 44547.9 32927 35185.3 39252.4 89608.3 52753.7 63499.5 48459.4 38913.7 47380.6 19167 32335.2 28826.3 33126.9 47575.4 32088.7
32208.7 20512.7 23192.2 28565.9 17836.7 9146 15139.5 16372.2 22978.3 29604.9 13442.9 20787.1 19458.5 32147.4 9301 24440.9 41489.7 19071.1 54729.9 13790 24828.5 34164.7 4805.7 29600.5 16732.2 26984.2 39155.2 22747.3 15941.3 19849.7 55571.6 39255.4 29073.3 39198.2 38462.8 7101.1 33252.9 25307.9 15964 22770 16333.1 18547.1 24285.2 8791.1 21945.6 18875.1 41537.6 30915.8 25135.2 18982.4 38870.9 31166.9 23194.9 28075.8 20258.4 30010.8 29087.8 28593.1 40807.8 19388.2 8043.9 28774.5 10773.9 29757.8 14057.2 13778.5 42026.8 32472.3
55436.1 42340.3 36215.9 27144 27684.6 20021.7 31896.1 19993.6 32515.7 32846.4 23666.9 28223.5 28015.8 29196.6 32844.9 24417.2 27159.8 31477.2 25697.9 37471.2 19317.4 22221.8 22130 29946 31229.6 35452.9 36853.1 32203.7 43656.6 42828.5 54927.6 42148.5 29662 29052.3 38052.6 28662.3 35326.5 35516.8 45170.6 43840.1 38792.7 48631.8 23056.4 20346.3 28115.2 38692.7 50283.3 39668.5 34523.3 40030.3 30352.7 25623.9 46714.8 26246.7 31729 36647.6 83251.6 34870.3 45341.2 53095.6 27736 39148 18823.7 40519.7 26316.7 25459.9 31144.6 41114.7
3354.4 787.4 1669.4 9513.6 704.9 1411.5 8428.6 6336.2 6050.8 39366.7 1093.4 956.4 35191.5 385.1 620.7 1090.5 2807.4 1763.4 57669.7 2700.9 3534.4 2149.4 4409 2051.1 9128.4 1429.2 925.5 3219.8 2279.6 8260 49480.8 3204.2 2802 10340.5 663.9 557.1 1238.8 4072.1 1405.1 1856.6 4507.8 717.3 831.2 3139 3125.1 3467.9 3735 2198.6 855.1 726.6 767.6 4009.3 411.7 2437.5 1313.9 2849.7 390.9 470.3 2216.6 2427.9 1786.6 554.7 1130.2 1017.4 664.4 871.9 3073.5 1585.5
10810.3 18612 37456.4 801.4 2468.1 19898.5 5414.1 167.8 406.5 205.2 15438.9 1709.2 1078.8 4913.8 3322.7 118.4 9584.5 122.5 51.8 2076.5 5284.8 4896.3 204.7 3996.2 1132.6 12370.3 4479.5 16745.8 13904.1 1030.7 837.6 714.6 4417.4 2048.7 1625.8 11304.6 6430.7 1164.4 1502 9783.9 18931.8 16600.4 652.4 22966.1 15379.1 22603.5 9566.6 3007.4 486.3 1929 2362.7 5168.7 3032.8 1877.1 11794.9 4193.4 2987 2262.8 16388 13066.8 35470.4 539.5 18307.1 9519.3 1832.6 13274 6271 61590
27376 33332.4 24687.6 18766.5 28147.5 24461.6 27103.3 23640.7 25106.3 31882.9 20194.1 25473.8 30175 34133.1 29519.5 22876.7 26198 34746 27843.8 37538.9 20374.3 25870.8 21193.6 24757.4 23241 25912.3 29295 30447.2 37074.1 46489.5 46673.7 28365.8 34764.3 29251.5 27406.9 36327.3 25123.1 32500.8 25686.5 18247.3 36906.1 45866.8 19569.1 25691.4 17174.2 48102.5 39366.2 32545.5 21782.3 39347.7 31344 26299.3 40317.5 24821.9 27740.1 26353 85626.9 33527.9 41571.6 52943.8 31324.1 36731.8 18217.4 29680.6 25374.8 21664.2 25882.1 23749.6
30587 32814.4 34911.1 23751.2 30153.4 25932.4 24309 24831.2 22813 29277.1 19742.5 24339.6 28679.1 31939.2 30497.1 23066.5 25150.7 36149.9 35316.1 34686.9 22770.3 28360.6 24695.2 26650.7 29151.9 35382.4 30621.7 32474.5 34394.4 47529.7 42251.8 33892.1 33542.4 29451.3 28861.4 37725.3 25090.3 30019.4 32054.7 21381.7 42971.3 44543.9 17865.4 29582 20777.9 41412.6 45329.7 28896.7 37190.8 33559 32472.9 24339.9 39636.5 26598.7 33349.3 29929.7 93361.5 36786.2 40521.9 41343.4 30896.2 27492.3 17415.1 32485.4 19186.9 21944.7 31221.5 27159
14487.6 16992.1 23941.9 988.4 2727.3 11702.5 5076.9 170 635.1 438.6 14993.4 3567.9 1089.7 7390.4 5455.6 166.3 8017.5 186.1 75.4 1014.7 8276.6 2620.3 451.7 4991.8 990.3 7194.1 7856 16170.1 42873.1 2502.7 2687.6 1603.2 8583.3 1905.3 1870.8 9766.8 4374.7 1417.2 3968.9 3818.8 12130.3 12812.3 584.2 20080.1 10771.1 45471.3 13712.5 6695.3 550.7 3033.3 3052.8 4661.2 3172.8 1876.8 22514.1 5811.3 6325.9 4625.5 15629 17370.2 31538.4 512.8 12486.9 12676.3 1871.1 9625 7307.1 44757.7
33359.3 42148.9 29702.3 18776.7 29357.2 24232 26531.5 20990.6 22531.7 26514.2 17450.4 23790.2 20451.3 33850.9 37703.2 25479.9 31401.2 38484.4 24194.2 39651.7 18396 24953.5 22389.3 23201 20997.3 31899.3 33180.9 27559.7 39832.6 53508.7 41808.7 28676.5 27135.3 25594.3 30883.1 34532.8 22801.1 40640.9 36632.8 29829.5 33152.6 46372.3 16854.3 40362 18406.7 25891.6 26889.3 36098.8 21741.3 39111.5 27514.5 26164.7 45740.1 33020.2 31384.5 28061.2 78885.6 27943.7 42323.7 30086.6 26756.5 40134.7 16564.2 31203.8 20997.2 28842.1 22172.9 26516.9
27022 36735.7 25767.5 18386.3 22943 17812.2 30277.2 15807.5 23544.4 29506.3 21014.4 28505.8 21242.1 35092.6 33852.1 22222.3 26059.2 35699.3 31348 41106.4 18647.7 16532.4 22868.6 30227.7 17403.3 17057.5 28720.7 26926.4 23359.4 44287.6 34716.1 25407.6 33417.2 27509.3 24150 34057 20729.1 32589 30571.5 28811.9 32833.1 56102.5 19273 35095.3 20602.4 22953.7 23829.1 31314.6 23271.4 30277.7 29329.4 24622 50750.1 25822.4 25916.7 29077 75027.9 20292.9 33228.5 46921.3 20291.3 39424.1 22206.4 29545.9 19975 21126.9 29752.6 26259
21075.4 15728.5 23830.3 30312.8 20668.1 10202.2 20192.4 17460.3 25919.1 26016.6 13716.1 23177.9 18342.4 30236.6 7233.1 20048.4 36070 18370.4 44635.5 8254.2 21183.8 28624.9 3331 24440.9 18916.6 32244.2 32514.6 17265.4 7404.3 11069.2 37767.7 29849.9 22921.2 38822 36182.2 4044.9 32109.9 26172.1 25187.7 28579.1 11925.9 14435 24761.2 9303.6 23400.1 18016 34417.9 24588.4 20449.3 15820 32992.1 35294.3 19312.8 25793.3 17691.3 28299.7 7613.9 28829.5 27524.4 9463.2 6026.7 16650.3 5961.3 21230.4 11564.7 8875.1 40240.1 20599.9
