"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53"
6159.8 3260.5 425.6 48 6364.7 711.2 343.8 132 727.8 4084.2 430.9 96.6 2997.6 266 86.7 704.7 3435.4 3730.8 36 30.3 41.6 314.2 907.6 42.7 396 784.6 4067.7 9978.4 56.8 81.8 2502.9 89.4 1794.8 251.7 118.5 201.2 113.8 159.5 6590.5 359.3 765.9 42.7 223.1 77 8036.1 72.7 55.4 109.3 3129.9 482.5 4862.8 2401.1 143.5
128.4 62.9 1367.6 8472.3 207.6 94.7 991.8 1780.7 1867.9 101.4 533.6 1554.2 288.7 1004.2 194.7 126.2 160.4 98.1 40.2 93.5 1004.4 6543.7 543.2 3202.8 6482.3 342.1 530.1 78.3 100.3 92 108 62.2 2064 335.1 8680.8 131.8 7703 2061.2 54.2 639.3 2026.5 99.1 4.7 393.5 484.3 1019.4 6280.4 2030.2 105 52.1 730.7 157.7 88.2
5213.3 6117.9 8346.6 7578.3 6541.5 9050.3 6081.7 9665 5806.8 8028.2 6196.9 16806.4 6149.8 8476.3 8245.7 9680 4945.4 5482 6168.7 7059.7 5085.2 9933.4 5325.2 6153.7 7959.8 6647.4 7540.9 6732.7 5067.5 4452.7 8307.2 5034.6 8490.9 7865.5 847.4 6235.4 6676.2 8575.9 5281.5 5497.6 6638.4 6240 5370.5 3241.6 5130.6 6790.4 6145.9 9054.1 6944.8 10852.6 5141.7 7508.7 9173.8
6425.5 6312.5 9316.7 8665.2 7688.6 4458 6275.8 11192.4 7216 4352.8 6176.8 5701.7 2635.9 9514.9 10487.7 4730.7 2614.1 4721.2 4994.6 6651.1 6579.7 6934.4 8238.2 7813.1 7382.1 5629.1 4988.1 5601 6533.6 5803.8 9689 7351.9 9708.6 14293.8 6955.4 5771.7 7577.9 8956.2 4629.8 6898.3 8958.4 7662.1 3583.6 6539.2 8353.6 7260.7 6292 8700.3 4379 2338.1 6044.5 9578.6 8702
7502.4 6950.4 9337.5 6409.9 7278.5 7873.6 8347.5 12718.5 7585.5 6055.5 6340.9 11171 9108.7 11209.9 10944.5 6099 5795.9 6021.8 6454.1 9143.3 6223.8 7830.1 8613.9 7205 6275.9 5490.5 7424.3 8374.3 6802.3 4656.7 11089 6623.9 12625.5 14054.6 8603.9 5365.8 6957.1 9095.6 4666.5 8753.2 9753.1 8745.6 4053 5993.8 9590.4 7494.8 6668.7 9297.9 4388.6 3902.6 6705.6 9845.4 7412
6565.1 7440.2 7625.3 8348.8 6030.5 4026.1 6388.1 11824.9 7062.6 4758 5732.5 6225.3 4431 9579.3 8584.7 2435.6 3273.7 4076.5 4245 5739.9 6621.3 5582.8 8256.1 6851.1 5496.8 4913.1 5538.1 4589.9 5590.3 5983.5 8386.5 5051.3 9702.3 12904.5 8420.3 5533.6 5658.2 7593.9 3943.5 8183.1 8648.1 8374.4 3550.4 6162.3 7367.8 7138.1 6579.7 9316.1 2956.6 1392.4 6072.1 8166.6 5958.7
5795.4 5843.5 8648.7 7598.7 6300.5 5447.8 6926.6 11952.8 6768.3 5215.1 5691.6 9551.8 11776.3 9643.4 9100.3 4067.4 5542.3 5494.8 4745.9 9096.1 5182.3 6602.2 7593.4 7028.7 6480.9 4794.9 6169.4 8065.5 7279.5 5423.5 9073.3 5800.8 8826.2 14191.5 9617.8 5976.7 6722.5 7626 4619.7 8061 8317.1 9697 3399.9 6165.6 8373 6896.8 6266 8626 4019.3 2567.5 5390.9 8757.6 7380
6336.8 5817.4 9771.6 10386.6 7562.9 7996.2 6780.9 12175.5 7482.7 6149.8 6421.1 13435.5 11088.5 9972.1 9591 6472.2 5591.2 6506.4 6164.1 9480.6 5720.4 8863.2 8885.3 8065 8653.1 5918.9 7745.7 10267.9 7378 5854.6 11255.2 7033.5 11449.5 13747.1 11097 6198.3 7887.9 8448.1 5692.1 7842.7 8922.9 9579.8 4370.9 6505.9 9423.1 7475.6 7942.7 9702.6 5573 4783.2 6032.1 9559.2 8761.1
5807 6644 8894.5 7246.5 6371.4 4153 6211.8 10817.2 8226.2 4611.3 6237.4 5980 3210.8 9530.3 10362.4 3225.4 3435.1 5171.8 4620 6175.8 6389.4 5404.2 8342.8 7172.1 6075.5 5339.9 5787.9 6459.8 6826.8 6421.2 9795 6628.6 7374.9 12541.1 6777 6013.8 6042.1 8839.2 3826.4 8238.5 9592 7208.5 2755.2 6296.4 9119.1 6704.8 6769.2 8838.6 3715.6 1669.5 6384.9 8918.2 6325
5199.9 5311.5 6418.9 8736.8 8013.9 8537.4 5657.8 7397.1 5059.6 7630.9 4790.4 15714.2 4973.7 6861.7 4512.4 10460.1 7256.3 7288 6052.5 7321 3779.7 9568.4 5843.6 5932.3 5937.8 5101.8 7739.7 6474.6 4100.3 4270.4 6062.9 3485.2 5421 5967.3 4701.8 6965.6 5341.2 7470.6 4233.2 4321.1 4747.5 5322.5 4143.2 3066.3 8089.8 6992.5 5972.5 5795.6 3348.8 9580.3 4996 5762.9 4119.6
6498.5 6340.2 9056.3 9211.7 7486.5 5695.4 6887.1 12827.6 7884.7 5200.2 6669.3 8604.8 5926.7 9713.3 10205.4 4690.4 3613.7 5837.6 6206.3 8546.6 6013.1 7385.5 7976 7683.9 8379.1 5923 6297.5 7252.6 8164.5 6561.8 10419.4 6739.7 9692.8 15053.2 9344.5 6598.2 8206.3 8605.1 5112.2 8525.8 9279.9 6733.9 3824.8 6601.9 8739.6 7448.1 7356.4 8741.8 5613.7 2973 6833.4 8465.4 8488.3
3797.1 3744.9 4567.1 3637.8 4065.3 2399.5 2151.8 4291.1 1972.9 1895.3 3378.8 11964.8 1089.5 3170.3 4733 9938.3 1708.5 1878.1 1466.6 1417.1 3148.1 5368.9 3517.3 1699.5 2737.1 3302.8 1361 1296.5 1904.8 2318.4 1872.6 5208.4 2170.8 2317.2 4490.4 3360.4 3298.4 4323.5 3302.1 3205.1 3305.6 1428.3 3406.7 2664.5 1275.8 3685.2 3264.5 3444.1 1064.3 2922.7 1603.7 5904.6 8648.3
2678.6 3019.4 6637.9 8540.8 1740.9 4503.6 3841.9 8579.8 1942.5 6254.9 4816 7249.7 4213.1 7409 6797.8 2892.5 2125.5 2121.1 4151 6684.5 3985.2 6771.8 3173.9 2072.1 4098.1 2188.8 5682.8 2153.9 3661.8 3791.2 7312.9 1339.1 5709.7 4854.7 715.4 5976.5 5435.9 4862.6 1678 4614.7 3814.9 1687.4 4167.9 1175.9 4026.2 5569.3 3047 1423.3 1605.3 1330.8 2605.4 3162.7 6215.6
5434.5 6053.8 7925 5791.2 6463.6 4531.2 5311.1 11248.7 6831.2 3696.2 5817 5340.9 4932.9 8279 8401.7 2461.7 2962 4500.4 4605.1 6328.1 4843 5153.9 7129.8 6758 4878 4987.2 4934.4 5151 6346.8 5094.2 8260.1 5972.7 7940.3 13608.5 4921.5 5603.8 6558.8 7421.9 4004.2 6889.3 8064 6244.8 2581.5 5805 7877.2 5808 5997.8 7813.7 3929.9 1073.4 5204.3 7757.7 6428.4
5380.1 5714.3 8744 7548.6 5468.6 4630.1 5749.9 11165.9 7163.1 4817.9 6160.5 6956.6 5388.8 9214.4 9451.2 4233.6 4366.2 5073.8 4947.7 8346 5344.2 6170.3 7270.4 6990.4 7854.3 5300.5 6435.9 5964.8 7349.4 5544.3 9966.1 5974.6 7234.7 14189.7 6402.1 6103.8 6526.9 8409.4 4134.3 7882.2 8354.4 6658.7 3349.3 5354.6 7783.2 6599 6060.6 8057.6 3897.6 3026.6 5444.4 8543.7 7203
2393 920.5 6602.4 3149.2 1567.1 799.6 2253.1 7708.5 278.6 1906.5 4986.5 114 1683.9 8244.8 3765 279.4 713.3 671 1541.07820233096 2218.98858513955 1673.96703012328 108.1 950.7 46.4 246.6 2755.2 235 1216.7 5.5 1431.71408572745 52.5 818.632923114319 1889.9 63.5 509.476819001313 5254.3 3469 213.7 4547.1 552 45.5 1.7 691.7 102.9 3069.7 861.7 1015.21735652213 930.862845923652 2573.3 323.7 3226.9 1385.2 5
1051.4 1045.3 1984.6 1132.5 3124.3 480.1 2142 4468.9 4455.3 279.7 2852.3 2474.9 522.2 3428.6 474.7 2878.2 846 1529.6 2086.4 4498.3 746.5 2187.2 1983.9 863 492.8 2117.9 2914.2 12743.9 5113 1847.5 1829.5 1393.2 1176 1442.6 2109.6 1524.7 690 2030.4 1178.6 659.8 1649.4 305.6 1780.7 463.1 3602 1973.1 1049.6 1054.7 1522.8 1563.2 3872.1 3469.5 3052.8
2556.3 2331.7 1992.7 4668.4 4215.5 1948.4 4275.3 5967.7 5155.4 3608.6 3557.1 7125.8 3317.5 4575.3 1427.6 2336.5 1576.2 1446.1 2347.1 5973.8 1898 4444 4188.2 1823.1 818.5 2073 2570.4 10837.3 3941.7 1727.7 2363.6 3951.6 1879 2387.7 1400 5750.5 1181.7 4051.9 2795.7 2144.9 2328.6 990.6 1309.2 1831 2905.6 4149.2 1811.5 6289.3 2551.2 6583.9 2219.7 2224.3 3703.3
2581.8 3503.9 3914.4 7097.2 5957.6 5041.2 3635.1 4652.5 1149.9 5441.5 3427.3 6421.4 5859.2 4549.6 1275.2 7174.4 4955.1 4446.4 3899.5 4528.1 372.9 4869.7 4057.2 2576.9 3973.1 3401.1 5178.1 4088.4 2182.3 3816.2 5769.1 1464.2 4896.6 1171.6 106.1 2030.2 4111.5 4690.1 4046.1 1792.1 1832 1965 1536.9 2122.9 5109.2 2851.3 2188.6 1469.9 3788.3 9824.3 3473.5 3774.3 1731.7
1817.97910254637 2301.3264568252 3390.2 1980.7 441.1 42.2 38.2 66.4 18.9 2226.3 1737.7 1995.17702761967 1248.35151248216 3356.3 4946.6 3872.7 26.5 205.7 1398 241.7 47.7 3051.2 2816.4 3016.1 23.4 404 16.1 233.3 2646 2010.6 3741.6 4642 1927.7146020381 5083.3 566.4 2290.11071719791 1983.1 1376.1 6.7 2481.5 2808.5 77.6 1938.9 68.5 2633.1 1489 4761.4 5841.8 544.2 100.6 1762.66121127548 2775.7 9067.5
2866.9 3180.1 5447 5898.9 5657.2 5185.5 4877.7 6629.9 2823.6 3136.9 2611 11217.7 4330.2 5964.4 3966 6171.6 4140.8 3567.3 3605.3 5635.3 2818.2 6948.4 5035.4 4990 6121.2 3594 5455 9694.1 3291.7 3131.3 4763.6 4108.8 5104.5 9633.2 6801 3907.5 3681 5021.5 3128.8 3926.7 3868.1 5656.2 2398.3 3185.5 5587 4857.6 3057.8 5512.8 3069.4 7817.1 3655.9 6363.8 5668.1
4918.4 5494.4 8184.1 5263.5 5339.7 3920.6 5380.3 9623.4 6255.2 4568.9 5045.1 5667.9 4108.6 8634.4 9058.1 3714.4 3852.2 4271.9 4991.5 6709.5 5454.2 6083.9 7167.4 6501.2 5371.8 4884.8 5161.1 4715.3 6675.9 5666.9 8932.7 5967.6 6509 12177.4 5328.2 5113.9 5279.6 7042.9 4004.8 7479.6 8127 7358.2 2910.8 5352.4 7811.6 6619.2 5312.3 6571.3 3112.7 2224.2 3429.9 7551.1 7138.8
6257.4 6161.9 7567.6 10102.8 9328.3 9015.6 7250.2 9311.3 5328.7 8356.8 5674.3 11900.3 13934.8 8178.5 7393.2 10036.4 8076.1 6293.9 6462.1 10780.4 5001.2 8028.2 8227.1 6525.3 6906.5 5717.7 8122.7 8937.8 5776.4 5679.2 7663 6392.6 8479.5 6431.4 9693.8 5916.7 6886.4 6553.9 6520.1 5797.4 6436 8017 4982.3 5773 8954.5 6734.5 6773.5 7427.2 6663 10874.8 5202.9 7594.5 6256.1
3658.7 4011.5 4177.7 3367.5 1233.2 5719 4084.3 8386.7 3740.7 7418.6 3973.2 12193.8 4708 6602.7 5039.2 5210.8 3890.7 3237.5 4115 4308.7 3612.3 5788.3 2517.3 4090.6 4344.4 3846.7 3716.2 4441.5 3177.9 2009.6 5116.8 1917.5 5160.3 2325.9 454 3608.9 3710.9 4220.9 4084 2716.8 3516.3 2353.3 4228.1 1323.7 2421.2 3881 3061.9 5493.3 4173 4683.4 2984.6 4507.4 6136.8
6578.1 6074.6 8334.2 6439.2 6604.2 6185.9 6105.6 9880.2 7476.8 5411.3 6367.7 9707 4994.2 9523.6 8694.7 5188.2 4120.5 5625.6 5762.5 6432 6064.2 7083.4 7644.5 8067.6 8125.1 5345.1 6981.2 5677.6 6807.8 5989.2 10048.4 6233.3 7529.9 13501.2 4879.4 6625.7 7280.4 8834.2 5502.9 7580.4 9577.2 8694.3 3947 5789.4 8333.1 7059.5 6252.1 7801.6 4441.9 2836.3 5829.7 8284.2 7979.5
4412.2 5765.3 7331 5173.4 4036 3136.6 4612.6 9646.8 6578 3689.6 5335.7 6543.1 3499.8 8694.3 8876.3 3155.7 3166.1 3891.6 3553.8 4874.9 5822.1 5410.6 7049.4 6753.2 5390.1 4261.2 6340.1 4056 5928.5 5212.9 6987.6 6109.6 5008.4 9215.1 3620 5535.2 5927.4 6949.3 2754.3 5658.4 7676.9 7794.1 3006.4 4868.2 6887.6 5582.8 6105.4 6812.9 2627.8 946.9 4776 7025 5169.7
4935.9 5465.3 7374.2 6426.6 6151.8 4891.6 5928.4 10645 6233.5 3976.7 5075.3 6998.7 6051.9 8546.7 8517 3559.5 3499.1 5078.3 4348.3 6813.7 4848.6 6311.6 6178.2 5910.6 5529.3 4058.2 4827.7 5169.1 5698.4 4663.8 8327.7 5236.8 7299.8 11514.3 5718.7 5022.2 5600.3 6986.8 3419.6 6609.6 8014.2 6309.6 2898 4848.2 7616 5769 5569.6 6964.6 3428.8 1579.8 4876.2 8169.9 6147.4
6579.7 5954.7 7782 5386.3 6751.6 6344.3 6552.9 10756.7 7046.2 5425.1 5579.6 9531.6 7357.3 9101.8 8957.9 5137.9 5044.5 5196.1 5962.9 7883.6 5134.7 6516.4 7397.3 6414.3 5677.4 5231.4 6528.6 7733.5 6756 5261.4 9750.1 5707.1 9965.3 12656.3 5702.4 5578.9 6424 7191 4607 6989.4 8571.2 6474.3 3938 5191.6 7922.2 6759.2 6009.5 7804.1 4246.2 2872 5946.1 7762.4 6995.1
58 26 2026.5 954.8 1288.6 461.8 2193 644 871.8 84.2 512 90.9 98.1 932.8 23.7 786.2 65.2 586.5 79.8 75.4 33 3005.8 5907 838.5 1514.3 106.4 382.2 54.4 78.6 70.4 361.3 79.2 10360.2 5181.3 52.5 54.5 885.8 287.8 25.3 1407.2 115.1 67.4 25.6 298.6 221.9 84.9 251.1 197.9 319.2 154.4 240 1144.8 101
4605.2 5454.8 7856.5 5359.5 5766.7 4032.7 4146.2 8250.3 5510.9 3507.4 5055.5 8659.3 1040.5 6292.3 7291.5 6441.1 1745.3 4017.2 4332.8 3098.3 5148.8 6274.1 4887.2 5526.6 4191.3 5462.2 4144.9 3086.3 4288.5 3573.2 6508.5 4777.5 6196.1 4451 1060.3 3828.1 5535.8 6010.4 3605.8 4904.7 5763.4 4900.8 4166.9 3556.5 4837.3 5584.2 5993.8 8921.6 4318.7 1874.5 5541.7 7188.3 8745.6
4841.8 5514.1 7523.9 5615.1 4389.2 3938.5 5064.9 8196.2 6026.4 4053.7 5305.3 7285.7 5129.9 9174.9 8904 3993.8 4226.3 5297.1 4056.6 5903.6 4863.8 6315.9 5946.2 5486.2 4533.1 4419 5032.3 3800.6 5887.9 5034.3 7508.5 5302.5 4729.5 10573.5 3662.9 4693.5 5903.9 7839.2 3458.4 6523 9120.2 6552.6 3537.4 4694.2 6848.3 5472.9 6057.4 7924.1 2765.9 1803.6 4210.2 7739.6 7102.9
5637 5607.5 6937.5 6720.6 5551.1 5384.7 5527.5 9520.1 6287.2 4798.1 5548.1 8246.6 8191 8213.7 7245.2 4189.8 4990.2 4866 5260.8 8324.4 5116.9 6954.1 7006.9 7675.7 7795.9 4912.5 6307 8478.7 6450.1 5585.6 7479.2 4238.6 7387.2 12921.4 6876.8 5908 5997.5 7336.4 4552.7 7212.2 6901.1 8478.4 2929.2 5058.1 7063.2 5652.7 5756.3 8197.7 3573.3 2762.1 4730.4 7824.2 5829.4
462.7 490.5 1052.6 632 1673.5 196.3 1214.2 3504.6 2902.1 96.9 1826.8 1798.2 343.4 2446.4 123.5 1721.6 675.5 993.8 1382.4 3310.1 391.6 1309.4 1246.2 388.2 141.8 1319.3 1811.8 12102.2 3448.2 933.2 971 415.4 569.6 725.1 1114.7 797.5 372.4 1427.8 542 262.1 959.5 105.4 800.9 147.9 2210.9 1336.3 407.7 497.9 687.7 1047.3 2662.8 2294.4 1596.5
1442.9 3685.5 5898 6552.4 5104.1 4661.5 4776.7 8149.2 4656.2 6183.6 4232.2 7286.4 3187.3 6200.4 1761.7 3808.4 4108.9 2503.8 3062.5 6288.8 3000.1 6689.8 3529 5024.8 5250.8 2304.4 4001.3 7398.2 2734.1 2799.3 3742.8 4467.7 3505.6 6248 2700.6 5202.3 3709 5370.3 1822.8 3021.4 2667.4 4075.7 2793.1 3693.3 5604.5 5111.6 3472.6 6053.7 3585.3 9668.4 2465.8 6091.7 5148.3
218.5 384.2 571.2 300.7 263.1 575 361.6 52.5 386.5 406.8 468.1 335.4 62.6 695.3 729.1 379.3 212.6 369.8 398.8 284.9 182.6 310.1 460.5 752.1 11617.1 313.7 385.6 491.3 570.3 358.1 638.7 590.8 197.3 650.6 730.2 259.6 538 474.4 369.8 365.4 684.8 406.8 821.9 345.9 378.5 787.9 5711.1 3460.4 465.8 315.9 227.4 465.9 837.7
4548.3 3618.4 2833.9 3770.7 6152.6 5637.9 4308.9 3221.4 5150.9 4428.1 2521.1 5815.6 4862.9 2951 1615.8 6440.2 4921.6 4283.8 4175.2 6522.3 2186.3 4131.1 4055 1872.4 2510.1 5035.4 4084.7 7837.5 5667.2 4495.3 6292.5 885 2975.5 6447.4 2647.3 1375 2338.1 4626.8 5009.4 3203.2 3129.2 1192.5 4279.8 1257.2 4328.1 4863.4 601.8 821.4 4835.1 7653.2 4197.5 3304.3 3162.1
5436.1 6046 7959.5 5790.4 5308.1 5081.8 6032.9 9414.2 7101.5 4360.2 5408.5 4839.3 4006.2 8707.4 8648.5 3182.3 3576.7 5355.8 4851.1 6777.1 5866.9 5111.5 8062.8 6648.1 5430.5 4584 5394.3 4585.4 6922.5 5620.7 9216.1 5848.2 7709.4 10475.1 5179.6 5583.9 5549.5 6895.7 4048.9 6847.8 7847 8055 4364.6 5726 8291 6578.6 5763.9 8437.5 3419 2055.6 5533.6 7567.3 5971.4
2748 2780.5 1455 1382.4 7774.9 2252.4 2501.6 687.3 368.5 1543.3 1798.6 1071.7 233.7 872.6 37.9 7995.1 3942.2 3594.4 1204.3 637.4 33 2687.5 4409.4 447.7 1497.9 197.7 2662.1 155.8 496.7 1610.7 1132.2 575.4 1808.7 656.8 643.078052609344 3.9 1435.4 169.8 1781.2 433.2 587.6 369.6 942.052245589237 866.4 1955.9 1499.2 667 131.6 1240.2 5027.8 681.8 2586 33
4842.7 5116.5 6737.5 5390.8 5408.8 3376.2 4326.4 8480.3 6014.3 3779.8 5001.7 4639.8 1908.3 8145 7639.6 3212.4 2328.4 3969.2 4339.9 4856.5 4843.9 6437.7 6007.9 6595 6298.2 4757.6 4613 3239.8 5723.8 4966.9 7659.1 4853.9 5700.1 10361.9 3512.7 5140.6 5823.9 7285 3691.1 6075.2 7753.3 6575.3 3354.2 4624.6 6203.8 5345.9 5659.4 6585.6 3300.7 1924 4603.3 7408.5 6457.1
369.1 7.9 2.7 977.989405645653 162.4 240.7 213.9 1242.78842199903 314.9 80.3 82.2 1244.46759273347 146.3 5.5 111.6 1290.4 114.1 270.5 5.6 2405.7 596.4 159.1 53.4 494.1 4805.7 18.7 165.8 5479.5 517.3 1537 222.9 227.4 129.8 6325.4 6657 795.244138371977 150.9 801.1 398.7 902.32540294993 224.3 1332.25767032361 201.8 149.5 269.9 3831 48.2 1291.20301181541 1144.2 5524.2 14 459 1063.15456629415
