"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106" "V107" "V108" "V109" "V110" "V111" "V112" "V113" "V114" "V115" "V116" "V117" "V118" "V119" "V120" "V121" "V122" "V123" "V124" "V125" "V126" "V127" "V128" "V129" "V130" "V131" "V132" "V133" "V134" "V135" "V136" "V137" "V138" "V139" "V140" "V141" "V142" "V143" "V144" "V145" "V146" "V147" "V148" "V149" "V150" "V151" "V152" "V153" "V154" "V155" "V156" "V157" "V158" "V159" "V160" "V161" "V162" "V163" "V164" "V165" "V166" "V167" "V168" "V169" "V170" "V171" "V172" "V173" "V174" "V175" "V176" "V177" "V178" "V179" "V180" "V181" "V182" "V183" "V184" "V185" "V186" "V187" "V188" "V189" "V190" "V191" "V192" "V193" "V194" "V195" "V196" "V197"
440.13 501.23 789.44 530.485 386.53 892.84 377.605 808.19 855.36 826.23 236.55 348.24 920 740.34 251.6 361.96 881.22 255.065 826.86 464.255 675.315 341.393 533.55 358.64 808.28 204.24 421.795 397.84 120.53 153.55 713.51 489.36 269.55 521.41 790.855 866.88 418.31 614.78 1028.63 1140.47 299.48 373.96 451.96 752.39 838.76 265.91 567.83 661.25 202.08 410.02 1133.06 302 1296.91 646.66 1481.18 1120.97 347.33 641.86 592.41 847.57 884.53 581.84 880.16 794.585 653.26 1323.84 1057.61 1772.52 332.113 1355.4 302.73 477.26 451.88 759.32 787.24 657.19 1430.04 434.47 704.41 601.245 436.91 481.795 507.26 903.72 1112.38 1024.9 763.185 709.03 708.2 155.31 1756.72 729.33 156.64 886.5 442.585 762.14 140.18 181.87 585.245 251.83 633.27 1162.03 557.275 428.36 172.435 906.545 1227.93 524.68 141.66 420.87 859.2 1153.56 2019.9 1056.385 492.55 269.46 900.85 193.19 315.32 210.15 215.37 567.68 160.1 361.185 335.905 606.55 262.01 431.76 468.13 716.01 1018.56 1205.56 618.16 283.01 2540.78 308.82 1258.85 89.75 514.38 1068.84 1296.37 826.82 1161.91 1014.99 929.13 858.34 1440.55 1336.11 1251.88 1367.03 1033.72 781.78 1360.48 1182.47 741.21 1510.57 254.02 245 378.61 585.23 387.36 604.02 612.74 357.8 1150.77 290.29 744.79 261.26 455.81 476.98 258.01 341.4 91.7 272.98 434.09 154.84 357.75 130.46 113.98 142.22 49.48 119.51 135.03 62.58 162.01 300.17 53.92 74.81 77.83 68.16 19.08 23.26 61.26 83 119.67 221.6 32.94
1005.35 653.12 1273.31 726.31 763.44 672.46 913.435 927.85 1343.22 945.93 531.1 750.42 1280.44 1025.87 528.54 1075.99 995.57 686.415 1080.21 1234.81 1415.53 1936.83 716.795 1030.33 1186.36 1297.89 953.55 1369.36 553.3 1929.97 1949.79 1046.61 1454.83 729.69 935.05 1258.6 834.41 549.94 922.13 1037.23 1159.48 734.12 874.15 918.42 454.48 1636.62 1116.14 628.98 846.95 1362.99 1480.12 950.96 838 756.15 521.215 883.4 989.62 768.68 718.63 1023.25 695.957 917.235 912.23 924.12 966.54 1040.63 740.2 1383.31 817.197 801.71 1275.67 1503.41 1860.48 964.21 920.42 1535.6 1162.35 666.18 1000.59 1711.65 900.245 931.135 804.49 1127.69 816.18 1037.87 1327.98 742.14 977.29 649.06 753.38 1305.11 918.39 826.81 2583.03 1247.34 1816.34 1535.97 642.95 1829.48 811.16 1063.2 555.265 958.57 727.735 701.18 748.945 655.225 281.18 1016.85 594.99 829.49 692.19 819.995 924.47 325.66 1335.01 806.65 505.76 1085.89 750.96 2610.98 1700.79 1180.68 2199.59 892.875 720.965 703.19 758.32 787.45 838.56 869.33 1158.9 618.3 877.64 668.35 950.6 656.49 890.95 961.11 763.51 745.71 902.31 912.72 891 797.45 872.61 825.95 1052.39 808.5 827.62 949.49 973.71 855.02 798.86 1069.04 889.63 1764.7 774.15 833.02 945.03 817.23 1499.01 1599.6 1257.63 1133.05 1248.39 912.32 2370.21 587.12 499.75 1663.75 1131.21 1166.8 1068.08 1322.06 2238.61 463.57 375.98 512.75 427.45 189.81 453.45 265.28 498.58 497.2 330.58 232.53 430.67 539.09 503.96 625.59 417.3 560.36 227.33 353.87 577.75
327.05 394.85 636.83 600.78 906.19 779.98 316.38 955.97 995.26 634.6 243.41 316.655 1026.41 1017.16 582.89 417.78 214.9 317.865 820.635 516.845 507.745 256.667 872.625 246.22 774.93 206.985 336.38 294.845 181.24 185.26 689.47 255.51 218.68 369.96 391.115 227.69 345.54 850.72 1256.54 379.8 418.86 619.23 208.93 1152.31 606.38 349.54 763.81 361.97 481.75 216.76 893.25 133.06 536.44 625.15 503.515 878.18 359.72 224.73 340.09 883.81 356.85 527.57 1043.47 1204.09 664.71 2149.36 1268.03 1298.16 276.073 998.5 515.68 587.48 502.39 852.9 538.57 752.46 1024.45 203.72 448.55 577.85 342.525 412.455 418.88 363.49 486.31 613.18 1156.72 569.68 835.97 592.56 629.25 801.62 183.32 1218.78 280.77 946.5 185.15 311.05 543.525 268.485 809.33 804.27 481.71 395.365 198.175 868.825 497.425 1119.95 201.37 570.28 256.57 850.11 557.36 820.385 400.74 94.47 1149.19 282.77 229.82 551.14 396.61 893.39 300.29 388.045 335.84 271.81 297.175 346.59 574.82 559.07 549.95 602.75 1330.55 155.21 982.23 352.43 1657.03 120.2 383.62 1012.87 1319.62 756.1 1443.35 916.55 1032.49 974.52 2270.95 1482.37 1346.56 1606.48 929.96 1198.53 1384.77 1366.84 1051.23 2231.72 262.41 356.18 225.44 381.68 379.3 362.31 388.68 383.89 596.62 180.5 1007.96 264.77 890.03 220.13 184.89 313.96 124.97 213.83 840.1 106.94 261.39 154.49 82.03 130 110.07 133.82 125 58.04 225.98 199.97 44.26 90.92 141.15 50.68 91.24 48.99 84.11 217.69 130.08 270.72 48.12
23.49 1662.2 110.825 6.04 2.07 12.68 21.645 -5.45 1598.99 85.87 -2.66 53.03 0.47 31.63 20.26 99.93 -19.44 56.195 260.615 354.16 167.67 112.36 40.965 118.2 72.61 46.7 21.975 506.03 0.25 31.29 1710.72 5.85 1130.11 71.69 -2.09 -2.26 373.82 14.92 14.37 21.44 165.39 70.54 119.7 5.74 32.63 57.34 48.28 0.83 181.68 360.88 864.01 -13.58 32.87 24.64 24.02 -21.2 149.58 33.33 0.72 870.08 -22.16 31.9325 8.42 -17.22 -7.87 28.82 16.99 5.51 9.82333 25.5 35.46 1048.18 240.89 27.86 21.31 7.02 66.43 98.17 5.85 669.295 18.47 -9.82 -10.44 -16.45 9.99 44.24 62.905 35.47 31.29 24.5 16.19 68.1 332.09 12.24 149.345 51.69 498.87 1872.7 -0.77 1181.63 -1.98 33.39 85.605 53.83 16.36 27.385 37.845 15.48 55.28 34.1 28.75 6.89 -13.58 27.82 -25.06 12.98 43.3 9.74 54.88 89.27 2.66 1053.29 14.37 -2.86 25.51 66.18 9.16 27.79 -15.8 -4.96 21.1 -5.22 1655.4 11.03 -6.02 16.17 -30.92 21.83 0.61 -8.58 -22.97 38.49 -4.45 -6.49 -9.49 -0.28 14.72 23.01 -30.3 -2.78 -16.59 -3.02 5.08 -4.55 -6.9 -4.92 27.16 1330.4 66.92 10.93 526.69 92.95 1159.08 2056.56 431.82 112.53 0.28 -4.51 1919.43 9.7 62.61 1970.21 69.09 305 344.28 -27.42 1447.71 48.58 66.95 1.96 8.3 84.4 30.29 28.11 -1.14 17.24 10.45 43.42 54.29 -10.76 46.7 9.98 29.42 -24.02 13.9 33.58 -5.37
454.08 103.61 1126.11 421.205 281.93 665.51 189.49 427.99 460.215 295.21 405.04 458.13 780.05 1030.63 456.705 151.56 909.84 228.93 536.08 1249.14 849.64 670.353 745.055 1266.97 522.98 826.12 545.425 1351.5 1342.98 296.25 459.345 172.48 166.2 378.03 342.99 1387.65 325.37 652.21 1022.91 225.01 2008.78 255.2 677.57 626 365.83 490.365 621.7 177.4 1050.93 1215.65 233.21 794.95 948.96 196.6 137.89 1393.42 1124.47 483.65 464.7 357.57 966.407 203.568 190.68 770.29 725.99 131.195 841.54 305.78 1186.12 143.13 1125.01 440.54 84.8 612.62 223.93 1119.12 671.255 1377.36 705.43 701.11 323.67 1274.3 659.55 828.79 1135.1 241.06 656.395 783.03 243.73 679.83 93.14 941.89 106.52 572.04 614.07 162.59 2155.34 461.17 372.835 1449.64 1064.26 1365.08 237.44 354.315 747.795 300.655 441.955 88.615 608.79 362.44 151.94 961.12 373.59 1962.595 481.25 694.94 174.15 871.97 809.11 560.22 488.57 2218.13 112.575 124.245 801.435 352.855 307.345 466.95 97.31 723.41 432.1 564.12 386.76 302.8 807.68 369.76 245.23 225.75 149.34 139.77 100.11 98.94 9.41 144.91 182.72 502.8 315.49 104.85 150.97 141.25 126.28 106.15 140.42 154.05 126.8 66.35 251.92 365.39 181.56 325.37 563.68 376.82 426.17 444.68 376.34 440.17 370.14 129.81 974.12 353 286.01 175.14 139.61 202.81 229.19 693.06 513.74 187.01 183.32 129.32 114.73 162.46 210.05 221.93 154.53 138.19 123.99 176.58 271.11 151.25 109.69 175.3 165.77 133.36 95.38 345.82 152.41
662.06 849.32 593.825 566.955 1301.16 980 968.585 870.59 817.62 1032.68 242.65 691.83 866.7 562.715 430.605 589.76 1353.19 609.055 892.54 330.515 598.36 777.523 598.125 728.87 774.93 485.195 269.715 480.055 319.11 178.75 701.205 282.25 442.45 422.04 549.51 881.97 447.68 472.83 1126.08 983.97 1904.1 357.02 349.47 850.85 631.12 456.605 537.48 679.39 487.13 190.3 725.1 234.84 1060.2 1016.83 1110.21 1133.98 717.39 807.99 1269 2447.3 1279.53 637.827 1059.24 909.165 1076.88 977.665 577.3 1060.28 183.487 1159.82 563.63 475.685 606.67 984.59 1355.6 1106.78 1380.71 646.38 560.68 857.965 450.125 1206.49 450.71 1989.99 1070 588 822.9 708.06 1295.41 736.16 722.24 526.09 342.6 665.18 426.285 823.18 739.71 309.47 550.55 605.79 2055.4 1171.92 436.225 883.215 509.66 728.02 607.365 631.625 128.74 716.99 612.46 608.92 1393.18 889.08 612.67 275.97 957.28 136.81 204.7 525.71 427.29 550.93 393.045 815.305 390.915 1307.12 691.22 287.31 431.58 929.09 1235.96 1297.64 1633.39 371.73 2019.26 585.38 1479.81 397.27 1193.18 1158.34 974.9 973.13 977.34 990.75 1419.49 565.07 1011.97 1025.56 789.52 943.35 919.57 709.95 1216.69 1173.4 710.8 1081.28 805.69 304.98 408.68 942.41 563.68 705.41 501.63 366.75 1389.25 363.54 1111.99 333.43 808.41 957.99 419.71 340.12 660.1 489.61 837.02 186.38 417.08 182.77 108.66 215.63 124.83 213.26 151.76 69.83 324.05 255.76 102.24 186.76 540.49 98.64 196.67 31.56 64.52 325.41 136.16 313.62 39.44
3574.11 2379.38 2899.69 3219.86 2691.37 2788.57 2930.55 2491.49 2755.77 2955.36 2900.62 3192.21 3008.55 2567.47 2900.76 3318.88 1991.66 2918.18 2866.68 2901.39 2213.41 2911.8 2939.51 3294.44 2273.48 1832.44 3255.72 3321.39 3396.44 4062.25 2958.73 3546.69 2840.46 2538.78 2385.78 1772.44 3140.48 2452.6 3039.72 3104.45 2145.07 3292.6 2790.05 2485.05 2993.37 2853.93 3483.05 3399.19 3018.88 2599.33 2415.78 3480.03 2529.4 3173.69 2743.99 2924.71 2748.82 3326.52 3045.41 2339.46 2720.51 2619.93 2404.95 2870.45 2653.69 3295.04 3694.53 3450.17 2798.67 2990.25 1721.02 2509.83 3245.99 2821.94 3318.27 2639.19 2886.14 3122.95 3006.68 3562.12 3485.74 2357.57 2718.31 2865.11 2804.11 2891.91 3453.44 2853.68 3461.76 3099.03 3783.12 2849.78 3706.72 2996.05 3176.64 2921.1 2420.86 2922.77 2656.81 2978.35 2983.45 2674.86 2830.94 3047.09 3228.55 3042.53 2420.58 3342.15 3599.08 3683.46 3478.9 2460.98 2323.24 2283.725 2930.87 3393.21 2770.81 3114.79 2870.33 2945.17 3381.95 1985.04 3195.61 2776.88 2601.92 3253.77 3518.35 3016.32 3724.61 2947.45 2508.17 3568.65 2497.41 2940.62 3417.85 3054.04 2826.32 3100.62 2999.19 2707.64 2902.84 2052.86 2913.73 2918.28 2934.35 2548.42 2951.58 2627 2993.5 3093.23 3050.51 2705.06 2886.16 3026.34 2879.26 2603.77 2064.29 3241.61 2547.39 3002.79 2929.62 3021.37 3518.66 2964.25 3071.66 3308.76 3491.02 2855.86 2644.96 3162.66 3105.76 3203.65 2781.41 3069.83 2872.01 3265.89 3402.76 3249.4 3188.06 2784.35 3054.53 3276.26 2937.65 3420.15 2971.5 3505.13 2432.99 3020.42 2448.79 2100.84 2306.88 1726.49 2911.68 2506.27 3296.68 3510.06 3023.83
2785.54 1882.47 2165.83 2694.82 1743.33 2002.82 2415.64 2113.96 1959.12 2034.2 1967.74 2688.73 2356.51 1575.44 2593.75 2538.04 1631.16 1811.26 1997.39 2331.38 1628.16 2187.84 2089.89 2303.52 1772.7 1364.81 2437.88 2436.41 2741.71 3359.87 2435 2951.41 1767.21 1680.18 1969.74 1059.73 2326.66 1667.18 1953.42 2660.16 1970 2124.96 1689.16 1648.14 2144.18 2440.97 2393.76 2172.38 1992.69 1123.02 1536.33 2564.28 1980.88 1667.39 2204.47 1927.78 1634.57 2347.44 2332.76 1620.02 2070.01 2032.89 1619.86 2352.51 1938.24 2085.33 2073.46 2739.59 2143.4 2081.68 1298.6 1944.3 1778.63 1953.83 2424.97 1935.46 1828.7 2123.69 2125.7 2815.05 2809.4 1980.98 2106.53 1537.69 2335.15 2272.54 2036.15 2704.89 2724.91 1863.65 2875.87 1552.04 3194.17 2021.13 2715.6 2321.67 1992.35 1884.75 1968.11 2323.77 3101.83 1851.01 1493.58 1914.4 2443.47 2056.09 1681.86 2271.72 2170.19 2166.49 2732.55 2383.99 1875.42 1489.95 2003.17 2954.33 2547.99 2498.46 2086.28 1989.76 1674.51 1013.12 2221.53 2353.09 2294.6 2307.32 2756.24 2407.85 2580.49 2356.31 2130.11 2554.63 1842.48 2697.88 2253.25 2060.05 2120.99 2338.02 2371.44 2402.36 1747.63 1331.2 1812.7 1997.54 2219.39 1834.38 2154.28 1895.16 2684.44 2056.35 2381.64 1748.49 2080.67 2698.63 2028.47 2692.53 1221.94 2299.92 2173.72 2133.14 2026.87 2159.09 2324.64 1838.47 1804.34 2271.66 2777.39 2387.18 1798.19 2823.43 2461.55 1857.64 1685.14 1853.21 1517.08 2839.45 2445.23 2604.62 2024.19 2097.53 2054.85 2476.66 1935 2650.42 1988.26 1642.21 1652.57 2384.23 1585.79 2047.13 1628.9 1724.11 1547.2 2079.04 2727.57 2377.71 1981.86
399.94 1016.55 864.9 855.535 636.49 255.88 1159.39 434.14 627.96 1069.57 1207.68 249.79 617.59 1454.99 1264.5 1811.57 1250.32 352.87 505.25 1208.29 949.295 839.587 755.82 1713.98 695.18 1329.63 1662.41 801.075 1109.76 157.61 687.125 1383.75 697.31 870.98 775.845 1505.97 757.48 1018.61 1038.16 964.97 479.2 225.25 987.65 914.45 908.08 675.385 525.73 1421.46 802.82 1237.98 709.44 1007.56 662.67 536.38 896.835 990.43 658.95 1243.35 825.27 593.49 1551.96 365.7 635.17 831.415 1483.92 985.93 823.44 888.4 2007.86 499.45 1033.89 1053.93 631.21 840.37 364.51 350.42 566.725 950.26 497.92 520.085 669.335 811.975 714.79 1170.19 1556.16 1352.73 1127.94 1172.73 650.35 609.01 567.17 708.23 231.83 909.9 1490.11 530.36 1396.45 1276.66 1405.19 529.385 856 679.04 517.55 686.945 439.49 1034.26 982.125 958.9 970.3 263.59 840.57 532.44 1397.11 283.07 837.53 913.15 1644.1 1307.94 1120.85 934.15 989.04 515.45 352.845 979.93 835.64 516.07 326.14 777.31 736.57 1301.1 1248.02 1281.26 1017.7 911.8 242.61 1231.68 1257.98 225.02 744.99 1392.2 1947.33 1344.85 1825.61 1692.43 1258.03 1734.7 1264.59 1783.13 1647.29 1379.83 1468.25 894.54 1182.72 1285.49 2057.85 1025.73 448.96 524.68 570.43 561.87 583.56 953.12 716.87 679.18 483.39 484.59 339 536.33 529.35 310.87 791.81 685.14 919.74 1011.23 443.04 487.28 558.29 484.89 494.98 962.88 138.81 1352.42 977.3 441.43 654.1 1195.14 423.56 229.14 434.09 637.04 429.41 696.58 531.48 515.11 661.61 757.91 261.39
987.34 1044.04 686.12 371.04 1005.84 753.43 1022.51 1089.28 713.475 373.99 599.62 529.605 1182.18 612.695 1380.03 473.34 778.41 331.44 961.325 735.405 1366.05 611.013 948.25 797.65 698.02 923.31 842.075 795.67 461.33 507.54 1178.5 762.78 1061.28 1418.74 1274.15 1227.71 859.06 1406.29 1276.72 734.17 1294.65 1269.74 301.05 1263.78 856.36 792.96 853.98 594.67 702.64 1013.75 1059.15 759.44 794.98 1218.57 1009.87 1020.17 621.02 542.59 428.84 582.14 986.133 803.5 806.72 993.605 1398.31 1588.98 851.12 1186.42 664.13 990.26 938.98 1043.49 529.38 1602.93 833.69 690.64 914.955 1111.44 974.53 655.04 178.395 1244.79 998.11 722.54 1626.03 417.95 699.61 1192 1500.7 1068.22 661.59 786.57 2313.21 732.32 547.23 1062.61 775.91 566.96 662.685 587.11 374.13 1012.23 1042.89 874.385 922.22 926.06 1302.73 1326.16 115.02 489.85 860.9 1099.14 1222.29 305.82 970.73 907.17 1228.43 1011.26 462.85 471.32 888.12 2209.89 841.85 944.375 548.59 1331.39 1006.76 1045.88 585.13 761.51 666.78 972.61 719.75 210.58 388.63 542.81 910.26 1029.19 1315.19 1231.88 904.41 1373.91 987.88 1029.58 890.13 720.74 1081.86 1269.38 1253.75 1241.1 1079.49 912.28 1425.57 914.6 728.4 1764.55 602.65 526.25 799.81 685.64 488.85 859.82 503.28 284.99 791.31 940.92 850.09 847.35 686.2 1058.07 1353.58 446.26 895.38 701.54 542.97 249.57 902.57 172.16 56.31 157.16 69.68 55.82 81.6 29.01 166.09 156.48 18.5 30.69 77.83 61.04 9.87 1.68 40.03 180.18 9.57 169.85 -12.59
1294.07 991.03 904.82 1126.54 917.95 684.04 1848.91 1179.81 1201.18 1240.22 907.94 872.74 1373.93 1035.35 736.87 1121.5 1412.09 1090.05 1253.63 564.14 1952.58 1000.64 1032.72 985.93 1005.78 1031.7 768.505 1180.86 860.92 50.67 1131.6 943.93 1840.46 1177.76 1196.01 1751.25 1454.47 1814.35 1194.13 1061.53 1366.91 1371.71 1147.36 807.1 558.81 940.105 1013.56 853.27 917.91 1247.98 967.37 1051.96 793.16 1257.94 762.04 628.78 894.88 1204.22 1097.08 1359.86 830.107 1551.47 889.87 1466.41 1165.56 700.53 791.46 1622.79 1006.6 743.11 2513.46 1262.36 1196.92 1080.46 611.64 1456.5 1546.16 1331.17 1195.31 766.85 1299.52 918.64 1281 948.67 813.67 585.84 464 940.52 1293.76 1024.87 485.51 815.67 2211.78 868.75 1129.58 927.01 665.14 848.93 978.97 1367.36 873.39 1198.04 1072.33 1007.63 1255.27 927.485 499.17 527.49 1093.01 1387.67 721.74 1650.11 815.08 999.775 1074.27 684.05 970.8 907.38 1108.09 1467.38 654.35 2592.7 1232.97 1497.06 847.985 2677.88 1371.23 1140.25 1215.92 926.46 1036.05 624.9 735.72 774.2 888.5 1424.43 1076.21 587.25 1185.92 790.23 897.14 692.74 824.65 715.4 616.93 897.41 845.78 612.23 882.46 607.65 481.49 937.84 627.72 451.08 457.77 589.98 945.43 1395.15 1868.25 1553.69 1149.73 860.76 1624.52 931.12 1028.41 1402.86 988.76 1074.27 927.33 1051.67 1223.2 797.89 1218.37 909.76 1431.11 1111.8 1392.84 382.6 744.04 467.34 373.2 309.75 706.36 253.55 279.77 763.15 791.89 204.56 1455.98 319.14 195.9 426.04 357.71 575.71 920.53 738.21 427.16
474.61 525.39 366.565 378.925 575.72 551.82 460.05 1003.88 463.14 553.71 2064.64 469.605 857.54 1054.57 1305.07 313.38 1801.89 423.68 426.35 901.965 620.22 357.94 1017.48 880.28 684.77 358.555 1042.31 544.89 207.83 363.46 458.06 577.24 284.82 476.15 597.705 787.37 332.43 771.3 925.92 339.55 722.55 241.44 303.84 1144.4 785.84 618.85 451.39 586.59 668.16 904.88 876.54 303.01 1347.57 248.88 587.92 419.5 472.47 303.71 570.1 395.32 739.263 276.958 546.02 251.035 618.38 727.7 590.19 344.16 451.397 573.35 1187.53 362.645 340.03 963.08 275.99 1403.44 992.31 508.66 427.73 773.63 300.635 975.545 566.12 1292.1 1093.39 440.86 391.825 2338.79 237.02 691.11 265.03 682.09 638.01 504.95 240.74 468.25 880.79 113.99 312.57 1044.07 2408.39 800.93 663.34 514.77 960.505 481.545 1376.68 1118.33 196.53 259.23 325.69 412.43 395.16 591.905 371.28 1002.27 424.41 227.46 182.99 230.77 364.81 2032.62 363.1 1899.15 622.755 980.485 379.355 2004.65 319.88 612.61 328.91 506.61 548.69 293.37 858.22 305.27 372.9 248.4 345.09 389.97 484.17 495.1 484.33 504.27 445.54 468.55 616.89 501.37 451.21 496.43 460.42 445.71 500.43 804.55 603.69 665.41 372.5 346.22 374.56 611.79 573.62 530.22 407.4 438.08 293.94 457.91 682.59 564.85 511.37 469.69 603.01 279.2 2329.81 309.48 427.9 302.18 334.96 257.08 58.08 254.46 269.26 216.51 422.31 255.35 371.75 440.07 346.74 228.3 579.05 360.53 299.32 309.31 331.58 242.24 63.3 574.2 349.62
163.08 543.24 962.29 250.76 901.29 300.25 255.585 346.13 615.13 236.4 655.14 159.205 696.12 360.77 302.475 1010.97 664.73 1890.03 535.525 1183.74 1339.17 536.65 668.15 449.78 128.57 696.36 465.815 985.2 175.55 525.7 162.6 144.75 1222.07 315.42 766.72 220.66 381.9 394.61 701.71 243.82 838.41 501.01 230.32 623.02 673.61 934.635 279.61 309.26 206.37 280.61 702.13 500.35 433.4 597.11 979.945 457.16 400.84 1030.09 1295.38 298.99 317.78 802.305 230.17 341.685 736.05 810.07 272.23 431.33 618.287 655.42 803.44 1513.06 712.84 1354.04 242.26 472.06 243.365 460.02 216.05 1306.52 106.255 1469.11 369 548.04 1122.36 490.31 457.915 851.13 310.38 367.71 124.66 734.35 144.51 552.96 839.02 1029.16 1786.56 219.63 531.675 186.425 383.16 649.95 210.465 392.71 822.635 294.695 699.295 394.235 646.89 188.35 269.16 819.63 358.8 365.37 384.51 1370.84 993.39 1571.26 162.41 382.77 992.26 511.51 240.58 997.705 107.27 1133.21 131.37 2083.55 274.73 456.93 794.91 487.4 271.94 79.33 149.06 113.82 355.91 190.01 317.22 1532.8 1055.62 1457.93 714.96 846.92 841.09 530.88 1040.5 900.21 1352.2 929.9 1071.55 622.32 1425.57 563.24 800.46 1075.63 69.21 110.21 95.43 390.07 180.9 401.34 153.89 88.12 561.25 362.19 449.44 435.08 219.28 359.49 589.69 83.97 1402.71 398.39 161.75 109.46 165.86 146.71 254.57 184.34 189.29 121.46 496.16 78.9 214.41 124.48 447.83 90.92 75.81 89.56 98.16 22.43 157.61 203.26 54.63 250.17 72.72
825.71 973.65 826.53 988.135 853.17 704.87 617.88 741.72 701.025 640.46 535.76 730.565 610.5 825.5 988.695 1063.7 1278.46 1031.83 1150.59 597.175 1065.86 978.483 1091.22 938.69 894.33 1194.89 773.365 634.69 1213.15 1707.45 880.305 615.85 444.16 688.35 931.37 758.17 873.45 753.17 740.11 468.51 1528.11 647.05 956.04 739.45 864.18 967.975 860.84 587.6 765.13 894.75 716.75 572.53 814.2 871.41 740.2 893.88 1373.67 942.5 836.64 1029.23 696.137 746.753 699.58 538.88 672.92 747.41 448.16 525.99 710.257 517.64 646.64 1088.74 880.88 680.32 881.77 936.47 685.3 932.91 775.995 752.165 1399.65 1039.1 1017.51 875.45 703.88 758.01 680.655 1072.31 791.63 490.61 1017.95 731.34 1063.46 809.15 931.08 740.89 1173.92 752.2 1504.52 1047.98 1390.87 1046.45 585.035 766.79 561.25 490.325 863.385 444.26 401.02 433.83 475.32 733.28 592.11 941.51 719.59 973.91 855.56 515.26 738.42 873.28 641.29 628.76 975.05 918.795 1301.53 668.76 814.36 1020.28 1041.04 748.2 937.71 759.31 838.78 1108.72 1298.03 1669.39 1239.02 1117.01 1046.2 727.12 733.49 684.22 874.59 694.05 785.67 628.99 630.81 819.14 809.3 819.17 792.7 976 720.73 898.05 879.79 857.89 851.32 970.52 867.68 1011.34 1188.84 936.88 1287.06 795.87 569.66 775.02 741.45 1434.94 942.28 743.12 1386.78 1251.82 1679.25 1070.13 1226.77 2250.27 895.84 2146.44 1100.03 2199.32 1607.79 634.46 1317.21 895.38 1875 1961.47 1423 928.77 2003.22 2253.05 2889.77 2716.84 1650.5 1907.84 917.1 1629.19 2134.91
100.51 116.35 276.795 110.89 362.42 423.85 206.755 107.46 100.495 778.43 159.02 101.235 249.96 124.37 473.64 236.41 411.76 110.095 217.615 93.57 163.375 1374.85 118.44 548.4 108.69 574.14 234.94 133.065 158.47 130.82 109.28 167.28 272.94 331.49 249.295 713.86 374.83 224.9 310.37 683.56 231.88 86.74 495.77 835.93 333.92 247.44 405.46 1792.66 350.41 79.85 153.66 1059.02 391.06 211.54 615.065 304.15 224.96 673.21 363.82 298.08 318.583 451.105 188.89 899.75 90.97 210.765 206.29 641.98 127.3 363.19 115.65 142.9 113.2 161.86 190.17 78.41 316.44 53.61 367.13 143.545 150.67 228.08 147.73 124.48 201.71 2364.19 205.375 182.67 306.63 527.72 1864.47 699.18 213.23 644.11 478.005 341.92 108.3 97.34 100.425 132.065 96.45 77.93 188.715 191.87 67.11 1131.19 246.455 330.74 186.04 99.8 679.41 202.12 2402.15 93.655 261.62 1685.24 727.87 331.45 109.81 76.74 147.11 81.41 221.765 67.955 179.015 159.25 77.045 229.08 154.82 194.62 551.68 589.82 518.98 90.56 108.16 277.04 1049.33 96.27 345.79 679.28 610.81 896.37 708.23 955 1043.98 324.24 668.83 859.19 1126.26 1568.12 1484.71 1087.17 1028.73 1026.3 1118.42 1101.98 73.41 48.01 193.29 76.55 313.05 403.15 128.45 343.17 126.89 146.8 68.27 45.15 58.8 112.44 75.59 282.34 55.79 42.07 38.62 28.15 118.16 88.8 166.42 142.22 85.99 221.08 181.89 72.55 96.04 404.63 152.2 79.9 157.35 120.05 105.85 102.98 144.54 70.06 108.39 382.5 119.79
