"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83"
-0.04582 -0.05597 -0.1294 0.04582 -0.5551 0.3651 -0.1207 -0.6253 -0.2286 -0.336 -0.1391 -0.5091 0.1834 0.2916 0.03225 -0.83 -0.8035 -1.234 1.744 0.8291 0.8277 -0.3845 0.807 1.051 1.549 0.2009 1.265 0.1698 -0.4437 0.1866 -0.6163 -0.6258 -1.232 -0.4559 -0.0405 0.3538 -0.1184 -0.2651 0.5206 0.068 0.2847 -0.01459 0.1244 0.9147 0.0663 -0.1675 -0.3062 1.208 -0.0771294760437122 -0.1339 1.21 0.8268 -0.3772 -0.7288 -0.9777 1.693 -0.117 1.661 0.7804 0.607 0.6605 1.038 -0.06374 -0.1936 0.3622 1.369 1.4e-08 -0.2019 -0.3577 -0.9743 -0.3874 0.09999 -1.276 -1.515 -0.6591 -0.8375 0.2455 -1.347 -0.5874 -0.6706 -0.5425 -0.7773 -0.8266
0.394 -0.05175 -0.2424 -0.2021 0.2105 0.4632 0.8057 0.4186 0.3361 0.1503 -1.178 -0.7354 -0.1255 0.5685 -0.6575 0.9229 0.4124 0.3737 -0.6633 -0.2925 -0.2603 -0.4011 -0.1389 0.297 1.105 -0.3658 0.524 0.5162 1.003 1.577 -1.095 0.9087 0.5643 0.6355 1.981 1.716 1.972 2.399 0.4542 0.2237 -0.5282 -0.2059 0.09986 -0.01477 -0.594 -0.1079 -0.5082 -1.201 0.01707 -1.072 0.2164 0.2921 -0.4721 -0.4465 -0.346 -0.2664 -0.3501 -0.2744 -0.3473 0.8061 0.09015 0.1436 -1.329 0.7886 0.0528 0.1577 0.01136 0.7761 7.07e-09 0.09865 -0.6782 -0.04952 -0.647 -1.163 0.8802 -0.8431 0.1535 -0.6053 0.664 0.2544 -0.7377 0.644 -0.08432
0.4218 0.9572 0.03817 -0.03564 0.1785 0.4825 1.271 0.03926 -0.1948 0.5145 -0.07864 0.06853 0.406 1.414 0.02004 1.158 0.09599 -0.003927 -0.4616 0.4675 -0.6539 0.3564 -0.01402 0.3953 0.498 -0.19 -0.2232 0.7031 0.3692 0.4744 -0.3814 -0.2418 -1.058 -0.03318 0.6639 1.624 1.707 2.172 0.05886 -0.09457 -0.8774 -1.263 -0.3285 -0.9744 -0.2348 -0.7381 -0.6951 -0.7976 -0.2608 -1.268 0.4051 0.1857 -1.265 -0.3787 -0.1743 0.01582 -0.217 -0.6361 -0.3106 1.06 -0.07477 -0.1765 -0.4297 1.682 0.4274 -0.4648 -0.2958 0.5134 0.09569 0.5573 -1.359 -0.09536 -0.7892 -2.013 -0.007277 -0.7723 0.1495 -0.3254 0.1234 0.1423 -0.4106 0.6184 -0.4083
0.2684 0.2893 -0.2316 0.3804 0.2107 0.4974 1.234 0.7809 -0.184 0.07482 0.5808 1.287 4.06e-09 0.2395 0.7269 -0.9011 -0.9257 -0.8194 0.04453 -1.819 -0.4206 -1.087 -0.9351 -0.2114 -0.08183 -0.379391612364296 0.04141 -0.3946 -1.123 -0.7848 -0.9606 -1.838 -0.2042 -1.734 -0.2853 -1.251 -1.345 -1.065 0.6007 0.3313 0.2213 0.931 0.4267 0.8009 0.7696 0.7596 -0.626 -0.0837 -0.609 -0.6806 -0.06102 -0.229 -0.4581 0.08159 0.2586 -0.3095 0.1978 -0.1136 -0.2833 0.3823 0.6135 0.6418 1.432 0.4674 0.8165 1.442 -0.6125 -0.03635 -0.9292 -0.441 0.3749 -0.5117 -0.6593 -0.8161 -0.5677 0.1339 0.1202 0.2963 0.06548 0.06464 -0.7479 -1.512 0.0615
-0.7429 0.1996 -0.6919 0.2795 0.232510964820465 0.2549 0.7249 0.1875 0.04381 -0.05775 -0.754 0.07261 0.6296 -0.6436 -0.2034 0.5632 -0.01376 0.9494 0.9817 -1.78 0.6164 -1.37 0.06391 -0.245 -0.7122 1.094 -0.07961 0.1646 2.051 0.373 -0.9757 0.3846 -1.355 0.04394 -0.748 -1.354 -1.087 -1.035 -0.7234 0.06585 -1.316 0.7775 0.3929 1.197 0.3184 -0.7993 0.5635 0.2595 0.1362 0.1427 0.699 0.03359 0.3099 0.2576 0.2195 0.7291 1.166 -0.3176 -0.5564 -0.02753 -0.01702 0.9878 1.536 -0.1668 0.9817 0.7726 -0.1069 0.01321 0.8292 1.534 -0.09284 0.3261 0.1656 0.5022 0.5637 0.03683 0.8573 0.1586 0.4249 -0.2658 -0.2835 -0.8064 0.16
-0.2161 -0.7666 0.6135 0.0439 -0.2146 -0.01765 -0.4205 -0.6749 0.9214 -0.6592 -0.03294 -0.4398 -0.3056 0.1611 0.2824 0.3327 1.064 0.474 1.458 0.2785 -0.6339 -0.6254 -0.2962 0.03294 -0.08609 0.4815 -0.4152 0.08722 2.249 -1.106 -1.456 0.5524 0.7978 0.582 -0.5361 -0.801 -0.4294 -0.922 0.2641 0.1038 0.45 0.3762 0.456 0.5876 0.6784 0.6015 -0.1862 -0.4469 -1.206 -1.399 0.2528 0.3575 1.206 0.3445 0.5024 0.5992 0.7703 -0.6498 0.3268 -0.3652 -0.9679 -0.5655 0.2267 0.3273 -0.1503 0.7911 1.073 1.881 -0.4179 -0.2665 0.7777 0.6191 0.7773 0.3881 -0.07777 0.7188 0.9381 1.136 1.053 0.9911 0.7952 -0.3158 1.338
0.5917 0.4689 -0.3867 0.6032 0.2564 0.7905 1.411 0.4369 -0.1354 0.103 0.4918 0.608058436343638 0.2756 0.4926 0.9792 -1.102 -0.7696 -0.8745 -0.2163 -1.06 -0.3368 -0.9564 -0.7523 -0.008197 -0.6192 -0.4983 0.1149 -0.01919 -1.015 -0.7067 -0.5239 -1.578 -1.382 -1.368 -0.8056 -0.9174 -1.031 -0.9921 1.08 0.1435 0.2717 0.8093 0.652 0.8915 0.8812 0.3451 -1.109 -0.2727 -0.3496 -0.3897 -0.3217 0.2826 -0.005463 -0.06788 0.171 2.07e-09 0.4269 0.08481 -0.2957 0.6802 0.7072 0.6819 1.194 0.6526 1.26 1.35 -0.2943 -1.071 -0.6743 -0.4798 0.6868 -0.5251 -0.6195 -0.238 -0.3066 0.1685 0.3613 0.2099 0.7519 0.5061 -0.5236 -1.351 0.2527
-0.0298 -0.1316 -1.79e-08 -0.1403 -0.5751 0.07499 -0.3679 -0.6406 -0.1946 -0.2389 -0.4321 -0.513 0.02326 0.1129 -0.4881 -1.173 -0.8482 -1.261 1.633 0.6278 0.4429 -0.4437 0.8229 0.9956 1.551 0.1591 0.9967 0.003815 -0.3631 0.4725 -0.6568 -0.3577 -1.086 -0.4906 1.15e-08 0.06674 -0.2978 -0.2077 0.2086 -0.2809 0.2949 0.05679 0.06708 0.5838 0.2019 0.06403 0.09464 1.341 0.2499 -0.3027 1.33 0.7959 -0.5162 -0.7529 -0.9251 1.793 -0.5087 1.121 0.7324 0.4561 0.2576 0.9637 -0.1759 -0.4471 0.3347 1.369 -0.4212 -0.8875 -0.9913 -0.9816 -0.4505 -0.3601 -0.9658 -1.43 -0.7565 -0.7244 0.2127 -1.07 -0.5724 -0.8008 -0.6657 -0.5777 -0.8195
0.7471 0.3575 -0.05145 0.8002 0.6721 0.6484 0.8336 0.2276 0.9171 0.4091 0.02757 0.3426 0.4984 0.3751 0.6961 1.275 0.6828 0.9053 -0.2863 -1.131 -0.5786 -1.319 -0.7498 0.1467 0.02157 -0.694 -0.1583 0.1751 -1.025 -0.7157 -0.9961 -0.4548 -1.082 -0.5332 -0.1703 -0.4255 0.007988 -0.4588 0.8529 -0.2997 0.7689 -0.2625 0.3892 0.4781 -0.1496 0.1698 -1.891 -1.29 -1.386 -1.941 -0.3299 -0.2694 -0.2034 -0.7393 -0.6353 -0.6691 -0.327 -0.5178 -0.8221 1.051 1.106 0.5669 0.04939 0.6566 0.2029 -1.357 0.2182 -0.2184 -0.848 -1.125 0.2993 0.5624 0.03736 -0.943 -0.1015 -0.1071 0.321 0.2232 0.6734 0.6098 0.09783 0.364 0.7183
-0.3981 0.07521 -0.8539 -0.5233 -0.3677 -0.2425 -0.7802 -0.8024 -0.3916 -0.3938 -0.7019 -0.6565 -0.4126 -0.4911 0.1129 -1.032 -0.4436 -1.6 1.138 -0.2736 -0.05895 -0.4016 0.4413 1.81e-08 -0.4096 0.1412 0.6447 0.9636 2.406 -0.4857 0.6099 1.87e-08 -0.3875 -0.4457 1.338 1.095 1.09 1.578 -0.1025 0.4107 0.2249 0.4266 0.5169 0.5067 -0.4677 0.4375 0.8612 0.6422 1.125 0.7929 1.835 0.8275 0.5049 0.7108 0.4894 -0.1646 0.77 0.6327 0.6139 0.5469 0.4394 0.755 0.824 1.018 0.2105 0.9527 0.7268 0.9952 0.5985 1.034 -0.8408 0.2619 -0.2074 -0.1344 0.2588 -0.8695 0.5387 -0.7844 0.1837 -0.4167 -0.055 0.3042 0.09339
0.8833 -0.184 -0.2394 0.0902 0.4523 0.4339 3.622 -0.09826 0.1041 -0.272 0.2324 1.13 1.373 -0.1697 0.5012 0.4989 -0.2937 -0.9922 -0.03804 -0.1694 -8.02e-09 1.345 0.1476 0.4683 0.193 -0.1337 0.1858 0.4426 0.02335 2.494 -0.3165 0.2813 -0.06294 1.126 -0.3459 0.299 -0.2338 0.2849 0.2393 0.04195 0.4086 -0.7299 -0.3461 0.1522 -0.7556 -0.3194 -0.3569 -0.3301 -0.02142 -0.4103 1.081 0.4271 -0.7341 -0.4515 -0.5599 -0.1762 0.2532 0.1623 0.2278 0.493 0.2082 1.67 0.02262 -0.01699 0.2604 -0.6933 0.5066 -0.3524 -0.2928 -0.9904 -0.07863 0.575 -0.5679 -1.004 -0.07039 -0.4335 0.1514 -0.9399 0.6257 -0.08903 -0.06377 -0.2743 -0.09755
0.2152 -0.1542 0.2476 -0.03407 -0.1065 0.2398 0.9249 -0.1247 -0.06489 -0.3993 -0.09998 -0.07465 -0.1476 0.5714 0.3604 -0.1437 -0.2491 -0.3065 0.1711 0.02025 1.467 0.3945 0.1648 1.264 1.584 0.1401 1.333 0.5208 0.5515 0.03368 2.162 0.4227 -0.5199 1.389 -0.0425 0.7703 0.9435 0.523 0.3419 -0.2369 -0.2565 -0.8802 -0.6695 -0.1935 -0.8606 -1.087 -0.8936 -1.003 -0.7001 -1.226 -0.2072 -4.84e-09 0.07736 -0.7955 -0.6331 0.1646 -0.2747 -0.01379 -0.1961 0.4865 -0.1014 0.3657 -0.2161 2.039 -0.04424 0.4034 -0.3782 0.8816 -0.02208 -0.3189 -0.7792 0.1653 -1.302 -1.053 -0.08125 -1.163 -0.2153 -0.7476 1.364 -0.2739 0.1849 -0.1537 0.7046
0.8283 0.887 -0.6933 0.7978 0.1222 1.198 0.7577 1.122 0.8565 0.8801 -0.4333 0.007203 0.7215 0.2291 0.7528 0.5474 0.6041 -0.9588 -0.2938 -0.7418 -0.3497 -0.3207 -0.2415 0.3643 0.1896 -0.3221 -0.04279 0.2767 -0.3401 -0.2456 0.1163 -0.1097 -1.205 -0.7609 -0.3841 -0.1101 -0.03571 4.57e-09 1.721 0.1265 -0.2996 3.81e-09 -0.09367 1.638 0.8277 -0.2959 -0.3918 -0.2102 -0.007918 -0.5181 1.218 0.7052 0.1716 -0.835 -0.8349 -0.3293 -0.2391 -0.0901 -0.359 1.622 1.338 0.8967 0.08239 2.244 0.3604 -0.7004 0.379 -0.3652 -0.4558 -0.791 -0.5361 0.125 -0.05343 -0.827 -0.2562 -0.9861 0.2339 -0.6025 0.7501 0.1203 0.1567 1.477 0.2235
0.04867 0.301 -0.264 0.4508 0.433 0.5527 0.7673 0.7139 0.8821 0.631 -0.1524 0.4496 0.01492 0.4112 -0.5027 0.315 0.6563 0.1143 1.567 -2.043 0.04399 -1.115 -0.2884 -0.3681 -0.6093 -0.267 -0.6273 -1.039 1.007 0.06642 -1.324 -0.4873 -0.3821 -1.68 -0.1764 -1.107 -0.8653 -0.5129 0.1189 0.9223 -0.7134 1.254 0.08547 0.7764 1.398 0.6198 -0.3946 -0.1416 -0.8015 -0.8034 -0.8723 -0.4235 0.05153 -1.179 -0.9069 -0.8156 0.7402 -0.8663 -0.5221 -0.4601 -0.3719 0.8521 0.8589 0.4162 0.2574 -0.1991 0.3741 0.3023 0.1531 0.6071 0.3831 0.3688 0.648 0.5928 0.000708 0.5644 0.6693 -3.36e-10 4.34e-09 -0.01188 0.1067 0.6836 0.2225
-0.236 -0.2588 1.141 1.274 0.0917666624276406 4.13e-10 -0.5357 -0.174 -0.06255 -0.4616 0.797 -0.00479193827431678 1.797 -0.4317 0.6483 -0.03424 -0.3764 -0.118835756875834 1.655 1.056 1.659 -0.2755 0.3499 0.106511536668004 0.2175 -0.05068029469531 0.01007 0.5438 0.0131564747298306 0.1945 -0.0673 2.365 0.9925 2.394 1.542 0.5067 0.7762 0.2339 -0.1999 -0.2575 1.701 -0.01007 -0.07591 0.2475 0.3584 -0.2667 -0.7314 -0.3309 -0.4184 -0.3377 -0.5623 -0.3815 -0.3322 -0.06256 -0.2754 -0.2984 -0.1822 -0.09066 0.01443 0.007176 0.09944 0.4245 0.5308 0.5612 0.5587 -0.1537 1.277 1.724 0.4066 0.0769 1.302 1.391 -0.4256 -0.1106 -0.01539 -0.06805 0.1986 -0.1496 -0.06196 -0.2233 -0.215 -0.09861 0.05284
1.324 1.511 0.5241 0.4445 0.1104 0.8304 1.375 1.28 1.54 1.333 0.7265 0.9658 -0.129 0.519 0.06161 2.266 1.162 -0.03265 -0.234 -0.6627 0.06803 -2.87e-08 -0.728 0.153 -0.001953 -0.4866 -0.4899 0.05204 -1.109 -0.6603 -0.5966 -0.7548 0.2696 -0.6943 -0.5516 -0.2826 -0.3874 -0.3907 -0.2595 -0.9361 -0.0129 -0.3501 -0.5886 -0.2602 -0.4466 -0.4434 -0.6082 -0.4183 -0.7474 -0.9048 -0.7287 -0.3267 -0.5923 0.1493 0.2103 0.6822 -0.3842 -0.3154 -0.1977 0.7679 1.552 -0.3077 -0.4702 0.0179 0.07192 -0.415 -0.2025 -0.1793 0.447 0.1483 -0.3906 0.03051 0.71 0.8672 1.12e-08 0.06685 0.6189 -0.002066 -0.31 -0.3187 -0.4178 1.462 -0.3195
