"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47"
3.327 -1.977 0.577 -2.699 -2.608 -1.082 -0.525 0.274 -1.37 -0.565 -0.406 -0.872 0.125 -1.133 2.75 -2.351 -1.388 -1.593 -1.289 -1.449 -0.301 -1.087 -1.852 2.772 -1.157 -0.571 -1.17042744841654 -4.283 -2.912 -0.959297724261219 -0.699 -0.08 -0.742 -1.192 -1.248 -0.729 -1.197 -0.841 -0.906 4.816 -1.634 3.759 5.295 1.303 -1.35156304383349 -1.404 -0.69
-1.777 -0.438 -2.512 -1.029 -1.218 2.304 -3.934 -3.036 -2.848 -2.108 -2.556 -2.433 -2.825 -2.374 -1.306 -1.02 -1.435 -2.798 -3.252 -3.157 3.078 -2.046 -1.05459406531886 -2.059 -2.606 -0.52 -5.287 -4.807 4.376 -3.238 1.439 -1.639 -1.868 -2.9 -2.815 -2.958 -2.667 -2.095 -3.074 -2.343 -3.519 -2.547 -2.482 -3.99 -6.282 -0.208 -2.184
-1.647 -0.091 1.539 -0.938 -0.831 2.312 1.46 1.754 -3.317 -0.122 0.677 -0.198 0.813 0.410451084196084 -0.914835638356021 1.089 -3.966 -3.899 -3.292 3.308 -1.501 2.295 0.085 0.195 -0.952 -3.081 -3.50791094417205 -5.045 -1.336 -2.247 -2.95 -0.411 -0.039 -0.724 -0.45 -0.35 0.567 -0.238 -0.419 -0.331 -0.683 -0.685 -0.465 -4.156 -4.378 0.675 -0.417
3.084 -1.023 -1.96 -2.966 -3.083 -1.356 -1.152 -0.434 -0.68 -0.378610108120448 -0.542448492327154 -0.433 -0.101258171521902 -0.762 2.607 -3.184 -0.682 -1.843 -0.725 -1.147 -1.063 -0.786 -2.591 1.134 -0.352 -0.478 -0.866 -2.399 -2.165 -1.634 -0.249 0.169 -0.466 -0.697 -0.385 -1.219 -0.423 -0.513 -0.404 4.629 -1.588 3.812 6.368 0.662 -1.74401572027043 -2.644 0.224
-0.108 -2.878 0.894 1.024 -1.208 -1.856 -1.722 0.615 1.899 -0.655 -0.376 -1.482 2.412 -2.898 -2.969 -1.184 -1.457 -2.337 2.622 2.354 -3.791 -2.113 1.125 -1.949 -0.929 0.349 0.689 0.947 -4.729 -2.113 -1.228 -0.737 1.171 -2.391 -0.07 1.383 1.427 1.194 2.579 -2.903 1.886 -2.335 -3.08 0.549 -3.072 0.612 0.023
0.223 -2.329 0.692347064847886 0.896 -1.099 -1.266 -1.346 0.699 2.151 -0.591 -0.373 -1.253 2.384 -2.572 -2.568 -1.102 -0.376 -1.75889971837266 2.45 2.451 -3.352 -1.897 0.781 -1.519 -0.83 0.834 0.654625202599938 5.772 -3.048 -1.644 -1.454 -0.038 1.159 -1.949 0.106 1.346 1.465 1.179 2.674 -2.38 1.859 -2.067 -2.633 0.74 -1.347 0.679 0.247
3.511 -1.766 0.612924765460137 -2.366 -2.69 -0.76 -1.502 -0.257 -1.336 -0.355 -0.673 -0.332 -0.22 -0.174 3.189 -2.419 -2.626 -3.845 -1.175 -1.185 -0.75 -0.751 -2.315 0.733 0.046 -0.363 -1.1549482891817 -1.37729066115432 -0.165 -1.641 -0.517 -0.054 -0.3 -0.259 -0.926 -0.477 -0.038 -0.053 -0.311 4.081 -0.333 4.166 4.937 2.525 -2.01654683659206 -2.152 -0.229
2.546 -1.699 3.715 -0.112 -1.599 1.107 -0.093 2.147 -0.438 0.124285854791004 1.144 -2.464 -0.252 -3.25 0.103 0.161 0.682 -2.36619207400387 -3.154 0.816 -2.938 -2.132 2.521 2.422 -1.756 0.352 -0.755 -0.604 -3.015 -1.246 -0.091 -0.248150963296309 0.622 0.302 -0.54 0.520093940827008 1.11713239604416 -1.847 -0.042 -3.862 2.437 -3.376 -1.738 -1.144 -3.547 1.316 -1.847
1.496 -0.637 -1.94023810081547 -1.955 -1.713 -5.544 -3.143 -1.648 1.825 -1.971 -2.407 -1.93 -2.525 -2.428 -2.707 -0.223 -1.371 -4.503 -1.337 -2.725 -0.901 -1.074 -1.458 -2.272 -2.589 -1.236 -2.02665753093668 -4.782 -2.134 -2.123 2.112 -0.377 -1.685 -2.364 -2.179 -2.66 -2.678 -1.904 -2.453 -2.665 -3.308 3.448 -2.28 -2.243 -1.808 3.555 1.663
-0.88 0.44 -1.551 -0.529 -0.233 2.621 -2.681 -1.734 -2.303 -1.204 -1.527 -1.352 -1.487 -1.677 -0.894 -0.176 -0.576 -1.948 -4.988 -2.028 4.296 -0.804 -0.17 -1.102 -1.823 -0.122 -2.03007668325689 -3.695 6.057 -1.644 1.45 -1.003 -1 -2.056 -1.871 -2.5 -1.971 -1.5 -1.636 -1.33 -2.264 -1.343 -1.426 -2.523 -3.869 0.068 -1.083
3.82 -1.727 -0.266 -2.419 -2.523 -0.374 -1.156 0.426 -1.113 -0.589 -0.646 -0.58 -0.494 -0.667 3.151 -2.238 -2.153 -2.154 -1.681 -1.86 -1.6 -1.674 -1.889 0.755 -0.535 -1.28 -2.614 -1.746 -0.472 -0.727 -0.522 -0.209 -0.548 -1.401 -1.843 -1.272 -0.728 -0.257 -0.520661242584463 4.216 -1.729 3.787 5.176 2.059 -1.66 -1.708 -0.604
0.718 -1.971 -1.209 -2.231 -2.083 -2.108 -3.463 -2.315 1.16 -1.297 -2.24 -2.634 -2.195 -2.379 2.29 -0.595 -1.604 -2.467 -2.511 -2.891 -2.001 -1.814 -1.708 -2.035 -2.144 -2.434 -3.928 -2.521 -1.616 -2.74 3.723 1.309 -1.531 -2.31 -1.848 -1.97 -2.665 -1.877 -2.354 -2.504 -3.397 4.147 -2.344 -2.356 -3.747 3.172 -0.955
4.532 -1.63 -0.166 -1.878 -1.983 -0.36473189404061 -0.947073908352968 0.84 -1.647 -0.706 -0.829 -0.211 -0.223 -0.781 2.335 -2.265 -1.26814447449041 -3.231 -1.908 -1.161 -1.145 -0.187 -1.535 0.492 -0.875 -1.399 -1.57407041448442 -1.54224111599421 -0.685787107535249 -1.392 -0.81 0.064 -0.803 -0.79 -1.014 -1.102 -0.985 -0.347 -1.001 4.165 -1.285 3.923 5.674 1.207 -1.81252148789862 -1.077 -0.4
-2.095 1.477 -0.517 3.323 -2.608 -2.607 -0.81 1.692 0.903 0.514 1.407 -0.834 -2.001 -2.608 -2.554 -0.602 -2.235 -2.7 -3.326 -1.803 -2.951 -1.882 0.416 -0.593 -2.088 -2.714 -1.441 -2.326 -3.275 -3.378 -1.123 -1.932 -1.648 1.198 -0.124 1.512 0.981 -1.583 -2.384 0.472 -3.242 -2.349 -1.379 -3.354 -6.365 -1.415 -1.095
-0.549 7.895 0.30726801981353 2.209 -0.839 -0.8 -0.37 -0.347 -0.845 0.684 -0.006 -0.172772913809297 0.533 0.062 -0.3 0.246 -0.432 -1.121 -0.78 -0.644 0.444 -0.016 -0.881 -1.385 -0.152926934141485 -0.765 -1.077 -1.087 -0.773 -0.434 -0.454 0 0.499 0.047 -4.474 -0.33 0.338 -0.00704438000557757 4.97 -0.227 -0.275375943288907 1.237 -2.543 -0.96 -1.447 -3.699 0.00641042034520678
-0.954 3.471 -1.364 -0.322 -0.211 -2.434 -0.507 -0.628 -0.011 -1.847 -0.349 -0.381855231779897 2.525 0.223 -1.406 0.632 -1.853 -2.664 0.176 -0.597 -1.094 -0.466716143803965 0.881 1.585 -0.138034568183666 -0.414 -3.25 -2.536 -2.729 -4.817 -1.375 4.285 -0.0645469194043725 0.504 -2.677 1.444 -1.623 -2.433 1.873 -0.724 -0.298 -0.518 -0.998 -1.46605803849593 -2.26948673772254 -1.442 3.28
3.019 0.199630091982525 1.24244961088067 -1.419 -0.362 6.047 8.112 0.201189889091249 -0.346 -0.0188023522601446 -0.079 -0.214 -0.019 1.673 -1.068 -0.304 1.808 0.876 0.143242888193145 1.008 0.578 -1.227 0.202 1.147 0.075 0.443 -0.184405087711499 -0.051 -0.611652015233382 1.326 2.854 0.302 -0.219 0.005 -1.637 0.415 -0.917 -0.6 -0.095 -0.344 0.267 -1.044 -0.669 -3.013 0.233 0.031 -0.106
-8.919 -1.791 -1.95798435175523 -2.582 -1.771 -1.356 -1.323 -1.751 -3.166 1.25 1.086 -0.931 -2.064 -0.466 -0.538 -1.396 -0.561 -2.218 -3.041 -2.353 -2.12 -1.929 -2.272 0.316 -1.64561749727217 -3.753 -0.9 -0.672 -6.142 -2.251 -4.149 0.705 -1.092 -1.693 -1.762 0.305 0.593 -0.86 -1.183 -0.081 -2.5 -2.165 -2.0932758292867 -4.251 -3.436 -1.068 -0.977
-2.141 1.209 2.219 4.205 -1.676 -2.087 -0.981 2.769 -1.103 0.824 -0.036 0.843 -1.125 -1.16 -1.345 0.064 -2.385 -3.124 -2.648 0.604 -1.774 -1.119 3.364 -1.044 -1.508 -2.302 -3.298 -3.559 -1.871 -3.001 -2.002 -0.595 -0.271 -0.118 -1.05 1.908 1.58 -0.49 -1.148 0.146 -2.496 -1.084 -1.12 -1.248 -3.844 -1.178 -0.764
-0.48 0.377 -1.334 0.569 -1.704 3.151 2.233 -0.793 0.214 1.784 1.319 -0.826 1.062 -1.337 -0.493 1.561 -1.88 -3.53 -0.929 0.812 -1.432 -2.447 -0.892 -0.567 -0.044 0.684 -4.735 -4.287 -2.574 -2.02 -1.874 0.755 -0.773 -1.649 -1.739 2.303 2.04 -0.855 -1.179 -1.556 -0.898360131154448 1.122 -0.295 0.091 -4.387 -1.198 1.768
-0.613 -2.071 1.37 -2.279 0.576 0.229 -0.391 -0.369 -0.592 -0.0839494274101726 -1.051 -0.951 0.628 -1.211 1.282 -2.252 0.326 -1.468 -0.768 2.91 -0.36 1.504 -2.041 -1.272 -0.551 0.267 -0.897 -1.906 3.268 3.033 0.78 1.083 2.303 -1.182 -1.225 -1.298 -0.871 -0.883 -0.452 -0.273 -2.025 -0.698 0.98 4.101 4.891 -2.336 3.619
-0.45 -2.012 -2.918 -1.059 -2.737 -1.097 -2.12 -3.235 -3.413 -2.238 -1.59 -2.759 -2.997 1.426 -1.752 -1.878 -0.659 -2.412 -3.629 -2.898 1.3 1.505 -2.68 -0.924 -0.185479305029679 -2.834 -2.093 -2.52 3.851 3.07 -1.976 -1.955 -2.315 -3.259 -3.198 -3.409 -1.895 -2.315 -2.864 0.223 -2.864 -1.544 1.604 -3.684 -3.362 -0.136 -0.892713857250038
6.73 -0.713 0.433156168120558 -2.059 -1.434 -3.398 -0.322 0.813 -1 -0.123 -0.716 -0.055 -0.104 -0.689 2.785 -1.708 -0.636 -1.44239998951987 -0.438150304144852 -1.067 0.415 0.178 -1.146 0.072 -0.583 -0.958 -0.267 -0.692 -0.3866061263819 -0.024 -0.255 0.321 -0.523 -0.201 -1.213 0.023 -0.145 -0.005 -0.666 2.948 -0.55 3.991 4.811 1.369 -2.00891916405607 -0.921 0.02
-0.474 -3.523 -1.11849352834694 -2.523 -2.466 -2.441 -1.56208462682903 -1.59097906928439 0.760347243518906 -2.442 -0.071 -1.615 1.869 -3.229 0.257 -2.218 0.867 -0.676 -2.824 -1.001 -4.514 -3.433 -2.806 2.59 1.37943654321942 1.015 0.342 0.546 -0.297 1.49539209091925 0.807 -0.839 -0.517 0.954 1.579 -1.672 -1.029 -1.153 2.441 -0.597496042098656 -1.263 -1.866 -2.61 0.362 1.574 -1.837 1.759
1.984 1.698 0.246 1.433 -1.608 2.595 1.079 0.48 0.58 2.29 1.134 -0.569 1.955 -3.678 -2.158 2.288 0.772 -0.682 1.176 1.392 -3.769 -2.778 0.595675196117532 -2.023 -1.018 -1.061 -0.394 -0.476 -2.937 -2.408 -2.221 -0.786 0.495 -2.163 -1.022 1.016 1.282 1.06 -0.026 -2.765 1.159 -0.066 -3.351 -0.982 -0.214 1.209 -1.51
3.096 -0.955 0.244788815934857 -1.796 -2.69 -1.679 -0.505 -0.067 -1.203 0.16 -0.338 -0.206 0.512 -0.668 2.898 -1.796 -1.785 -3.49 -0.706 -1.531 -1.367 -2.548 -1.938 0.452 -0.54411009183916 0.339 -1.149 -1.57592183960849 -0.760338896908038 -1.906 -0.066 0.116 -0.269 -1.183 -0.918 -0.198 -0.095 -0.516 -0.126 3.456 -1.276 3.894 4.852 2.539 -2.3124285122815 -0.769 -0.304832613127397
2.206 0.336 -3.428 -2.12 -1.657 -2.98 -1.947 -1.841 1.895 -1.355 -1.798 -1.393 -1.418 -1.407 -2.07 0.098 0.045 -3.675 -2.858 -2.214 -0.883 -2.191 -1.238 -1.089 -1.85 -2.203 -1.12780593317849 -4.126 -0.62 -3.269 2.788 0.752 -1.221 -0.616 -0.06 -2.329 -1.714 -1.691 -1.722 -2.194 -2.74 2.329 -1.776 -2.649 -3.106 3.415 1.53
1.979 -1.671 1.408 -1.561 -1.648 -1.971 -0.839704180370198 0.282 -0.17 -0.344 -0.54 -0.186 0.274 -0.904 2.625 -1.613 -0.371 -0.664 -0.515 -0.293 -0.331 0.152 -1.801 1.895 -0.692 -0.089 -2.008 -2.234 1.423 -6.126 -0.102 0.276 0.076 -0.284 -0.901 -0.289 -0.131 -0.106 -0.882 3.748 -0.703956770327818 3.554 4.26965150294818 1.101 -1.89669842951796 -1.133 -0.421
-1.826 0.797 -1.834 -0.336 1.614 -2.912 -2.305 -3.108 -2.823 -0.057 -1.012 -0.043 -0.33 -0.474213523179563 -0.702829648274646 0.372 -1.149 -3.054 -2.637 -3.168 -2.252 -2.109 -0.01 -0.894 -0.883 -4.699 -4.823 -2.469 -3.724 -3.897 -2.515 0.563 0.339 0.04 -1.008 -0.848 -0.545 -0.166 -0.798 -0.414 -1.839 -0.748 -0.326 -3.64 -6.731 0.354 0.753
0.242 3.666 1.48423504273521 0.17 0.206452493092651 0.816 -0.274 0.008 -0.699 0.448 -2.086 0.74 -0.152 -0.22 -0.132370679864976 1.348 6.381 -2.022 -2.825 -2.092 1.255 0.502 0.061 0.294 1.593 0.684 -0.567962809305882 -0.0786636289861114 -0.00690120212318068 -0.249201323026478 -0.199 -0.486 -0.194103553754999 -3.818 -0.656576773747426 0.691 -0.179608330284273 -0.763 -0.1 2.883 1.088 -4.085 -0.0922794427144798 0.437 1.307 0.943 2.346
-3.355 -2.756 -2.851 -3.279 -3.224 -3.456 -3.589 -3.498 -1.277 -3.184 -3.351 -3.624 -3.573 -3.181 -3.661 -2.837 -3.456 -4.569 -3.417 -3.735 -2.768 -3.528 -2.756 -3.133 -3.099 -3.176 -6.021 -5.042 -3.668 -3.773 3.941 -2.165 -3.224 -3.909 -3.825 -3.815 -3.558 -3.544 -3.529 -4.29 -4.012 2.684 0.07 -3.972 -4.02208005717222 0.611 -2.065
0.699 -0.234 0.333 -0.213 -1.181 0.287 -1.345 -0.056 1.251 -0.468 -1.473 -1.482 0.489 -1.571 -0.616 0.674 1.727 -2.283 -0.465 -0.051 -1.319 -0.791 -1.012 -0.317 -0.913 1.219 -2.759 -3.694 -1.373 -1.509 -0.11 0.852 1.004 0.211 1.043 0.141 0.99 -0.835 0.471 -1.668 0.16 -1.823 -2.093 0.178 -9.092 1.018 -0.462
2.7 -0.517 0.43 -1.523 -1.873 0.273 -0.635 0.341 -0.734 -0.051 -0.93 -0.029 -0.504 -0.0263473778090426 1.309 -0.585360070363795 -1.094 -0.751 0.815 -0.111 -0.161 0.263 -1.438 0.476 -0.472 -7.694 0.368 0.675 0.454 -0.917 -0.456 0.567 -0.862 -0.307 -1.713 -0.295 0.058 0.304 -0.501 3.061 -0.956 2.866 4.829 1.504 -0.853 -0.93 0.23
1.05066151653732 0.729651181484536 0.742912403242603 -0.309 -0.394 -1.199 -0.357129187004128 -2.003 -1.129 0.143 -0.516 -0.476 0.755 -0.111 0.048 0.083 0.427720252145015 -1.787 1.139 0.0658097700708321 6.249 0.736 -0.0545481533961351 0.483 0.582 0.566 -0.343 6.466 -4.597 -0.464481273374363 -0.265519500538474 0.203 0.921 -0.239 -0.135 0.508 0.742 0.192 -0.064 0.587 -0.443 -0.049 0.28 -3.511 -0.395296803876734 -0.05 -0.209
-3.75246601222147 -0.132673629972948 -2.682 0.041 -0.15 -3.951 -3.766 -3.706 -2.488 -2.006 -2.491 -2.807 -2.786 -2.965 -3.176 -0.46 -2.598 -5.474 -5.011 -4.596 -3.361 -5.012 -0.095 -1.983 -2.222 -3.764 -6.352 -5.04041018908521 -3.162 -3.596 0.859 -1.385 -2.404 -3.123 -2.937 -3.168 -2.768 -2.546 -2.807 -3.344 -4.153 -0.726 -2.9 -4.369 -4.42724516798767 2.102 -2.211
-5.258 0.967 -3.912 -0.065 -0.199 -4.05786190730428 -4.208 -4.124 -2.642 -3.54 -3.371 -3.965 -3.349 -3.8 -3.733 0.402 -5.305 -5.809 -4.842 -4.478 -3.864 -5.135 -0.198 -3.047 -2.99980081325492 -4.92 -6.852 -4.916 -3.661 -4.23326011698119 -4.581 -3.012 -3.171 -3.241 -3.62 -3.468 -3.235 -3.319 -3.491 -3.876 -4.51 -3.829 -3.645 -5.284 -5.485 0.592 -3.279
-1.76 0.774 -2.144 0.464 -2.718 0.0429886896640676 -0.032 -1.145 2.028 2.235 -0.368 -0.328 1.261 -2.25211846668369 -1.98706876343481 1.597 0.483 -3.336 1.979 -0.485 -2.682 -0.601 -1.498 -2.427 -0.294434837963649 -2.177 -3.211 -2.232 -3.301 -1.51288475256821 -2.512 2.479 -0.431 -1.132 -0.215 1.487 2.503 -1.033 0.013 -2.883 -1.411 -1.93046246245086 -2.25555107596502 -1.857 -1.836 1.939 -0.349
1.15 0.185 -2.06175283978641 -1.971 0.16 -3.807 -3.2 -3.375 1.23 -1.351 -0.493 -0.931 -1.274 -2.185 -0.695 0.346 1.232 -3.5 -2.682 -3.341 -2.383 -0.917 -0.711 -0.125 -1.782 -2.547 -1.95 -2.859 -0.54 -2.557 0.873 0.218 -1.69 -0.975 -0.306 -2.291 -0.64 -1.15023437152331 -2.368 0.4 -3.325 1.686 0.569 -1.647 -4.472 2.486 2.442
0.616 -0.224 -1.262 -2.146 -0.139 -4.504 -1.39583926506688 -0.829 -0.423 -1.181 -1.733 -0.658 0.975 -1.762 -0.166 -0.744 1.449 -2.377 0.461 -1.794 1.397 -1.651 -0.501478142031163 1.847 -0.962 -1.902 0.952 1.338 1.23 -1.582 0.731 0.48 0.13 1.089 0.819 -2.156 -2.857 -0.976 -0.344 -2.059 -3.03 -0.399 -0.401023089086974 -0.97 -7.547 -0.608 -0.208
