"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106" "V107" "V108" "V109" "V110" "V111" "V112" "V113" "V114" "V115" "V116" "V117" "V118" "V119" "V120" "V121" "V122" "V123" "V124" "V125" "V126" "V127" "V128"
5.5783 6.5504 6.0985 6.0776 9.4364 5.9683 7.635 7.7344 6.8765 6.3732 7.8683 5.8798 5.7955 6.3537 5.8084 5.726 7.9062 6.2757 5.8965 5.9907 9.9392 5.9371 5.453 5.8009 6.6339 6.0849 10.2949 7.5358 6.0871 5.9082 7.6615 5.9641 6.1282 7.8737 9.651 11.7528 5.9543 11.321 7.2474 6.189 8.3954 6.2574 9.6263 6.7007 5.7827 8.0867 5.6639 5.7868 10.2905 6.2806 6.2495 6.5929 5.6894 6.4403 5.7891 11.3836 5.9976 8.1115 5.9437 7.4865 11.1837 8.7896 6.1098 5.9214 5.8417 10.2905 5.8307 5.8863 5.7052 5.9226 6.0536 8.4121 5.7734 5.8735 5.8582 11.4383 6.4624 5.8318 6.1736 5.7452 6.1643 8.5605 5.7134 6.2446 9.1918 10.8157 5.7372 6.0608 8.5591 5.7647 11.3948 7.5041 6.1261 11.0469 5.9402 10.7237 6.5172 5.9873 9.4073 6.0366 5.5593 6.1967 5.647 5.7966 9.5158 5.8112 5.6307 8.1624 5.697 8.1042 6.7711 9.9101 6.3295 6.7466 10.1479 6.6083 5.9054 10.9086 9.8166 11.7528 6.0533 10.8706 5.9071 5.7906 6.0519 5.7925 6.1311 6.036
6.1272 8.4822 10.4408 5.7618 5.8668 9.6461 8.7741 5.8403 5.9036 5.9542 9.9199 8.3332 6.0333 8.8055 6.0576 9.4518 10.5229 8.408 5.7446 5.5292 9.8094 5.7181 9.3744 6.2615 9.3327 6.2384 8.5605 5.3866 9.755 6.5873 5.9159 5.6994 9.0604 6.0167 10.8894 9.3857 5.7805 8.2056 5.5024 6.9342 6.0988 5.8854 5.6162 8.9893 10.0169 9.7907 5.6968 9.5069 10.0037 8.9991 9.0018 10.3963 8.3977 8.6113 5.8033 5.8047 5.5989 5.8406 9.4729 5.7657 5.7098 8.0133 8.8004 10.6812 8.773 5.8527 8.8516 6.1318 9.102 8.7719 9.503 6.0994 6.012 9.0787 9.6164 8.8546 8.3849 7.9888 9.6555 8.6935 9.9825 8.0637 8.5816 5.6794 8.2956 10.4314 8.3954 5.8895 9.1947 10.5872 8.6524 9.7691 5.5813 6.0926 5.792 8.5798 5.9707 5.6291 6.3638 8.3195 10.4722 9.2424 6.3692 9.5667 6.3681 9.6461 9.5355 8.6617 8.784 8.7377 8.6005 5.6513 8.5837 9.3763 5.7627 9.8804 8.888 5.6127 5.795 5.7129 5.5824 11.7832 10.1929 9.3974 5.5442 5.6742 5.8741 8.6818
8.784 6.6209 9.8108 7.8849 9.0046 8.4133 7.6085 9.5069 8.011 7.424 8.2564 5.7775 8.3491 10.0353 7.9938 9.1122 8.892 8.9217 8.4469 9.2215 8.5816 9.6994 8.3367 10.197 10.1394 9.9363 7.3487 11.9233 8.7008 8.7896 6.1074 6.5784 6.6576 12.3644 8.9617 8.8145 10.6679 6.1891 8.0228 6.0365 9.8079 7.6852 7.3413 11.991 6.4929 7.3097 6.0284 7.6058 12.3644 10.6745 8.1887 7.4255 7.1046 7.0675 6.2641 7.1952 6.998 8.6055 9.1342 10.5056 9.9292 10.9671 6.0383 11.8785 8.33 10.7119 7.5959 9.4118 7.5061 7.8723 10.2234 8.0313 6.4852 6.3703 7.2099 7.2741 8.0461 7.147 10.6618 8.5926 8.5538 7.8992 5.8886 7.5216 7.2575 11.9082 6.8027 9.0814 10.5812 10.0135 7.2775 8.4967 9.4598 10.5872 7.9583 7.3614 6.736 11.2595 11.9371 9.181 8.728 8.4834 9.7743 6.9951 7.0183 7.1259 11.9744 7.9853 9.0178 11.1558 11.0154 10.6322 8.7189 7.0186 9.4291 11.4605 7.0675 6.6104 11.5918 5.939 6.294 12.1225 5.5681 9.2197 8.1174 10.8437 11.2505 7.7643
6.0499 5.7113 6.0517 5.9521 6.8602 5.9408 6.0521 5.8565 7.9228 7.1482 6.4292 5.6419 5.7482 6.0214 5.6161 5.7092 5.4653 5.5716 6.1758 5.9558 6.0055 11.5455 5.5891 5.8253 5.9652 8.0253 5.7009 11.4071 6.9468 5.6906 5.802 5.4591 5.7701 10.2538 6.1901 5.7398 6.2057 9.97 10.3605 5.7315 5.6514 10.5229 11.991 5.9908 5.6537 5.873 5.801 5.9446 10.4012 5.6037 5.669 5.6963 5.7963 5.6944 5.576 5.6314 5.6503 8.3319 5.6172 6.5257 10.718 5.4742 5.7953 5.4405 5.926 9.3067 5.7417 5.6146 5.6593 5.9009 5.7468 5.8398 6.817 6.0663 8.4048 6.4695 11.3625 5.7474 8.0833 5.7595 6.0796 6.1108 5.7785 5.7874 6.354 7.2181 7.0717 6.0189 5.7586 5.7478 7.9028 6.0527 6.0825 11.1299 5.3652 6.3344 5.6478 7.2693 5.7666 5.7259 11.0301 5.8461 9.1077 5.5126 7.7571 5.6228 7.3939 5.8414 10.61 5.9328 5.4261 6.2087 7.7388 6.0191 5.655 5.7396 5.4657 5.7467 5.6039 5.5335 5.4326 8.2933 5.6873 5.6492 5.5233 5.7768 11.475 5.2809
9.7077 9.3272 9.7234 10.976 10.6502 6.6643 7.6261 9.8139 10.2991 9.9392 9.3175 10.0687 9.5158 10.8372 10.4832 9.8365 10.7952 8.892 9.1243 8.232 7.2004 6.3397 6.5358 10.1684 9.3155 10.864 6.5606 6.1897 9.8423 9.5506 8.9307 10.1889 9.7208 6.5758 10.3409 5.6921 10.0353 8.399 9.2526 11.7528 6.0589 9.2986 6.3195 6.2839 10.8372 9.5618 10.3627 9.95 6.4356 9.6275 10.4122 10.5585 9.2811 11.0875 10.9671 9.8166 10.1762 6.1587 9.97 6.1477 6.4297 5.6689 9.5641 10.3963 9.1918 6.051 10.3738 8.4355 7.091 9.7497 9.4322 6.505 10.2316 9.7392 9.3644 6.2005 10.1889 9.6191 9.545 9.4073 10.2061 8.6996 10.3409 10.1315 8.2879 6.203 9.4073 8.8746 6.6652 9.5953 7.5308 9.2526 10.9369 6.2184 10.1163 8.2567 10.2188 6.0636 5.8651 9.8681 9.2986 8.6838 10.9528 6.3546 10.2061 10.4618 6.1672 7.9963 8.8984 7.1233 9.6388 6.3977 10.5981 9.2424 9.5091 5.9101 10.9369 10.3036 9.9392 9.8969 9.777 6.2348 5.9429 9.7472 10.5118 9.8681 8.2014 10.6812
8.8894 8.9907 9.5158 8.222 9.2424 7.8846 7.1412 10.4885 8.41 7.5439 9.2986 6.2729 9.3327 9.3838 8.3316 8.8565 9.3135 10.1806 8.1152 9.2841 9.6046 10.0019 7.5973 10.4359 10.1163 10.1762 6.7993 11.7528 8.6234 8.1931 7.3347 6.6842 8.632 12.8438 9.1389 7.6329 10.6045 5.9565 8.2701 5.6922 10.6679 9.4795 7.2482 12.3368 7.6939 8.0217 6.6119 7.7287 13.3228 10.1889 7.6479 9.8804 9.1061 8.23 7.2799 6.8476 7.7576 8.6935 9.6816 11.7994 9.5332 11.0469 8.9469 12.4229 7.0349 9.6816 7.6927 8.616 8.1544 8.9217 9.4944 6.9684 6.244 6.2122 7.889 7.7692 7.9329 8.3106 11.0875 8.3177 10.0169 8.457 7.1291 8.4556 6.8403 12.3908 7.4852 8.7553 11.0956 9.8473 8.1347 8.4063 10.3084 11.0642 9.7286 8.2328 6.3843 10.4065 10.9236 8.8788 8.5437 9.8643 9.5091 7.4981 9.2455 7.451 11.9082 7.1269 7.236 10.3738 10.1081 10.7119 8.0151 6.9545 7.6371 10.8856 7.5262 6.9399 10.5585 6.1517 8.9086 12.0086 5.8469 9.947 10.2858 9.3307 12.1672 6.9338
7.0762 9.1962 9.7995 10.0908 10.7119 6.8132 6.3992 10.61 7.6877 7.2524 7.5707 9.0619 8.4205 10.0794 8.2584 10.4832 9.947 6.3864 9.8052 6.354 6.3378 6.3727 6.1382 8.8816 9.9934 9.7798 6.4679 6.1161 10.3694 9.6738 7.2845 10.0353 9.2593 6.28 11.0381 6.0305 9.5883 6.2302 8.944 6.8136 6.9141 9.1682 6.1817 7.2746 10.5461 9.425 8.6452 7.3141 6.6476 8.9267 8.2353 11.1558 9.5222 11.0223 9.7743 8.5837 6.8866 6.3978 6.4454 6.9617 10.5146 5.7493 7.7704 6.9989 8.2211 5.9614 8.1477 9.5222 6.1415 7.6555 9.2802 5.9032 9.966 9.2663 9.3704 8.5692 10.076 6.1691 7.4601 9.4373 9.1769 10.197 8.0284 10.2061 9.7938 6.2842 10.7237 9.4354 6.4256 10.0388 7.0298 7.6523 10.3036 6.0045 8.0003 7.7481 6.67 6.1883 5.7691 9.4137 7.3083 10.3915 11.1558 6.3228 10.5461 9.0889 6.0406 6.6448 9.581 6.4233 7.4032 6.2304 9.4741 8.4752 7.75 5.7605 5.8494 8.1848 7.2764 10.4456 6.4316 6.1198 6.3372 7.7034 10.5174 6.8724 6.594 9.6263
7.9539 7.9711 8.6606 7.3013 8.4044 6.8666 6.4039 9.4923 7.3574 6.5069 8.0001 5.9318 8.56 8.5216 7.485 7.8562 8.2063 9.0619 7.3298 8.6055 8.342 9.3272 6.9146 9.2697 9.5245 9.3544 6.1786 11.1927 8.268 7.4871 6.6689 5.8896 7.848 12.3908 8.2272 7.0431 9.4311 5.5651 7.4192 5.6384 9.5473 8.4474 7.1372 11.5918 7.0404 7.0746 6.2409 7.1461 12.5187 9.5473 7.3835 8.6494 8.0032 7.2871 5.9381 6.6779 7.0687 7.9033 9.4016 11.475 9.2197 10.4065 6.9311 11.7994 6.3954 9.0512 6.7407 7.5871 7.2366 7.632 8.4634 6.3373 6.0877 5.8202 6.8331 7.2334 7.1011 7.4574 10.0794 7.3516 9.2327 7.82 6.6645 7.6672 5.9456 12.1455 6.6588 8.0558 10.1605 9.5287 7.5867 8.2727 9.5715 10.1439 8.776 7.2271 6.0544 9.6994 9.7286 7.8759 7.5786 9.0018 8.4625 6.5434 8.5499 5.9203 11.3836 6.3083 6.5913 9.8307 9.1028 10.4885 7.2654 6.6689 6.8384 10.4065 6.6325 6.404 9.1164 5.7578 7.8697 10.8157 5.4366 8.8038 9.3604 8.3491 11.5805 6.973
9.3292 9.5379 5.7227 6.4485 6.2538 5.5566 5.7432 5.9833 9.4433 6.5282 5.6504 5.674 6.3373 6.2109 10.6045 5.5311 5.5475 6.1183 6.5329 5.8249 6.2001 5.7707 6.1269 9.7855 5.8836 9.8518 5.6244 5.9642 10.3181 10.4456 9.5267 5.9855 5.6607 10.7237 5.6373 5.9069 6.0395 5.6172 5.5752 7.4601 9.9429 9.8585 5.7311 5.6803 6.0213 5.6938 7.0104 5.6907 7.8653 6.9476 5.6944 5.5117 7.0178 5.6569 5.7584 5.7832 5.6951 5.5772 5.6802 10.2991 5.777 5.7891 5.7287 5.5957 9.3763 6.0892 5.6483 7.0768 9.8166 6.0047 5.9577 7.4431 9.1869 5.4132 5.6224 5.8671 5.7852 5.9073 5.6012 5.598 5.5954 5.5693 5.7566 5.6632 5.6556 5.6217 5.9106 6.5794 10.0576 5.4474 6.3541 5.661 5.9027 9.9035 6.2445 5.6919 6.5524 6.1249 9.9035 5.7317 5.7984 6.5122 10.0274 5.8639 7.4556 6.0155 5.7562 6.6609 9.7286 9.8491 6.0335 5.6821 5.739 5.617 5.9301 5.5287 5.473 9.0461 5.7315 6.1068 5.7232 5.5831 5.8011 5.7067 5.5054 5.5919 10.6322 5.6367
7.8749 9.6436 8.1432 9.9858 6.5212 6.1397 6.6272 10.7237 10.2949 9.4774 6.0744 7.047 6.9269 5.8203 7.6025 6.4327 6.1865 7.0083 7.825 6.0465 6.0771 5.8876 6.0849 7.8389 10.7889 6.2628 6.2943 6.0484 6.1599 9.1147 9.4729 8.6251 8.697 6.4626 7.5932 5.968 9.7021 7.3191 11.0004 8.7886 5.7925 6.8134 7.3647 5.7618 8.9595 6.9238 7.5875 6.2282 6.0494 9.9894 5.8859 7.0443 5.8168 6.2552 7.5101 9.6461 6.5497 6.2311 9.8969 6.2053 6.0759 5.986 6.2249 6.1405 5.9094 5.855 7.2883 9.6865 6.3372 8.2211 5.995 5.7596 5.9768 5.6933 9.9265 6.1056 10.6155 7.6943 9.6191 9.4577 8.888 5.9459 9.1787 9.8352 5.7639 6.032 9.6816 8.749 6.4194 6.5311 5.9414 6.473 8.0595 5.8849 6.5194 6.5886 5.9245 6.057 5.9533 8.6514 7.3453 6.0265 8.7975 6.2401 9.8256 5.7132 5.8206 5.9104 10.2407 5.9589 5.6544 6.6876 6.2815 10.7438 6.1167 9.0758 10.9442 6.0663 9.2161 8.5798 8.0637 6.2325 6.2229 6.3891 9.4836 6.0453 6.2412 6.1938
9.9101 8.72 9.2054 8.2759 8.7463 7.6042 6.4926 10.1042 7.7892 7.345 7.8268 6.2337 9.1787 9.3057 7.8142 8.025 9.0237 9.4888 7.9447 9.042 9.2878 10.0888 7.8367 9.5518 10.1762 9.2697 7.5822 11.45 8.2191 8.8504 7.3587 6.0514 8.6823 11.3836 8.6975 7.424 9.7422 6.1357 7.3929 5.914 10.976 8.1231 6.661 11.8937 7.8882 7.9182 6.4023 8.1102 12.6567 9.7077 8.3523 9.6461 8.7307 8.0581 7.1756 6.5514 6.7675 9.2986 7.8959 10.3555 8.7969 10.4722 7.993 11.9233 6.668 10.9855 7.2346 8.2349 7.6341 8.0999 8.9549 7.5021 6.0694 6.5205 7.2058 7.3716 7.8475 7.6519 10.1605 7.2617 8.6484 8.0481 6.8071 8.9159 6.6099 11.3101 7.4749 8.5864 10.9528 11.1837 8.6099 10.6679 10.0955 10.9442 9.1424 7.5602 7.0629 10.0333 11.2111 9.3704 8.1435 9.8598 10.2234 6.9396 8.7597 6.8105 11.475 8.0128 7.5705 10.083 10.9008 9.0133 7.6872 6.5331 9.9733 10.9671 6.6462 6.3415 10.9671 5.9955 7.8671 10.5701 5.9529 9.4036 9.5544 10.3915 11.4605 7.6171
