"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85"
148390.42 142107.23 129693.016 285279.06 198399.5 126492.57 198296.27 244438.31 207990.44 205082.53 232152.97 233221.4 208261.08 253451.77 202620.94 141673.44 150462.44 191745.38 212525.3 162648.55 155367.9 175611.78 230143.19 166587.14 150802.53 96718.98 211813.81 168485.56 119200.266 232141.34 169624.72 133799.2 116234.016 123763.305 180742.45 231519.02 132030.88 122215.05 235396.23 201928.34 195394.77 141627.25 170310.06 147422.69 188829.08 158500.11 161139.47 144759.4 141972.16 178693.72 169499.64 320464.12 234259.14 213702.67 259691.94 143550.42 283819.56 220863.08 182983.33 388247.06 211807.34 255612 302921.16 246941.92 232235.25 227549.12 207465.36 369315.3 253522.8 156397.39 181158.6 185825.14 125053.74 206586.38 217472.67 209214.47 217968.03 133498.6 193249.81 203672.16 198027.42 182539.67 248824.8 155930.23 254811.28
156527.05 203192.92 163107.44 240602.4 301374.78 270985 267391.38 263085.78 267681.88 156903.42 152108.02 186513.75 145221.64 258003.86 182279.03 363725.06 167852.55 246923.9 243907.6 256855.78 267064.2 247692.47 243033.56 241119.92 282464.12 169023.4 213682.55 258845.42 172453.02 201701.62 225671.9 237921.73 266058.06 62884.49 184252.42 202054.88 227722.11 225056.9 252731.52 211646.3 221257.97 174900.75 253610.47 279745.12 253895.11 193348.06 192865.47 198926.6 291620.78 249895.86 280387.53 351353.66 251122.77 360500.03 299231.75 228636.22 242780.28 254224.27 303722.2 250332.39 258913.84 194573.86 200058.23 243946.39 245951.12 229057.53 280650.94 311639.5 249815.81 196513.3 188543.83 194669.03 87165.3 302505.8 204555.92 170851.22 200261.5 216088.77 158136.55 195631.86 266192.25 230300.12 318296.7 197822.61 290816.6
196830.22 211335.56 200478.44 258522.14 282822.2 241298.23 221353.3 274466.2 315955.84 288795.94 237310.19 241286.25 273901.1 285540.2 387600.75 286238.7 209957.75 309768.84 288010.75 255949.17 271981.03 240451.56 281347.56 259365.9 307522.72 188985.78 347737.12 331472 239452.58 295187.28 292737.47 329818.2 332934.2 171080.94 231946.8 288285.6 298714.5 225573.16 301468 355561 200789.03 230118.06 330408.72 306659.25 366708.28 240990.12 247704.78 224527.34 344925.97 303634.9 295706.2 417462 272144.7 278600.34 346049.66 293060.16 304535.6 270991.34 283638.38 266827.97 307228.62 221499.44 365703.3 230515.06 370655.97 320314.9 311111.94 419286.03 305382.78 288468.56 273123.53 310383.2 152914.33 306023.53 210192.94 236927.1 314586.66 198168.94 332452.56 260510.73 339276.22 290544.75 302657.28 294778.53 367698.62
15059.886 18016.057 13562.199 30924.736 13903.518 19575.604 20442.93 11219.132 12191.181 16639.387 24417.646 43373.055 25059.18 38220.26 210654.19 6838.256 6651.414 9546.292 16132.858 19471.426 4523.417 3675.209 24800.75 43644.69 3497.59 4453.465 132332.36 18324.068 199979.25 7769.537 4542.897 31999.893 15146.571 47764.992 19639.043 78877.3 6606.065 48720.043 4804.003 18816.902 5589.461 62866.902 170172.89 17518.822 15998.041 85677.13 16630.402 4994.815 6057.292 12616.683 253682.1 6752.31 43892.168 13337.294 3641.821 12801.138 2243.525 67717.66 33117.484 21664.654 11074.792 11719.541 5569.912 23695.375 4248.795 8334.939 3369.521 4950.664 28850 20675.738 130196.33 14722.636 10833.116 5197.484 102373.805 191909.23 9107.737 9503.571 138055.2 20452.795 53324.637 17440.84 3418.859 13608.731 12695.058
94673.16 137551.38 136794.45 199336.22 131822.7 145369.81 161695.58 182482.17 185874.84 178616.53 167856.12 132879.69 183029.56 160934.97 251442.48 183028.89 178379.6 189273.44 195292.92 132602.39 162436.05 165872.22 144896.69 146793.44 241129.56 119873.016 263354.1 196550.84 197208.28 206456.22 221172.38 270332.16 269063 150053.17 142760.2 138669.16 191471.83 181796.77 260308.67 175928.47 193231.47 137985.56 242039.25 239613.31 225341.27 142197.98 165007.28 173347.72 179191.19 168850.95 214937.25 219132.56 246795.14 287637.16 236166.9 195009.92 264409.75 179812.9 234966 314873.6 247533.56 190748.72 278812.88 213684.08 241789.81 170154.08 265798.03 305012.7 282994.6 197500.05 190980.97 241899.28 131974.33 308049.1 130328.65 197445.72 282901.75 144380.42 241542.3 163139.48 171545.78 194443.2 322376.3 205164.28 249546.94
46911.992 81023.17 87808.055 112875.336 85428.22 231.984 74482.68 92925.76 212.425 72364.55 92182.445 70708.51 80761.3 116097.58 88006.74 70808.21 72470.82 61736.812 107036.09 495.657 173.866 177.851 120782.88 69193.36 47173.445 198.116 160.354 110425.516 82777.2 75139.336 168.258 111487.51 219.632 251.508 85242.445 207.71 514.652 63756.527 79399.62 248.821 33558.047 75532.92 407.557 75129.38 262.916 51740.29 70531.1 187.464 62923.887 103456.984 176.039 97755.6 80604.125 73975.914 190.818 187.513 335.639 101086.26 239717.12 185937.2 102.131 250.425 107013.38 148058.97 202.364 314.764 369.24 81776.086 176.481 9081.848 65500.332 76261.81 75289.48 112839 117676.39 315.314 549.612 57813.02 244.069 118858.22 253.506 121.335 72777 1198.391 88519.49
157630.7 157429.72 132430.02 195363.45 209165.53 175924.83 157830.05 196254.34 240600.94 195640.7 181037.45 176758.64 205580.33 197831.88 310148.28 240648.25 163415.08 227919.17 213037.58 206489.27 197477.5 189159.55 200637.72 194865.03 255000.47 147258.45 279140.97 240175.36 220620.11 258415.95 227354.77 268092.94 289508.8 139356.8 160639.7 192945.6 196907.42 151958.62 268402.22 253026.86 171520.81 208659.05 248308.53 242177.55 266368.2 196312.48 211323.02 182926.92 233315.75 210819.52 257702.7 378576.56 244253.55 224829.42 297217.4 213986.34 217473.08 236922.2 185357.05 184697.73 265200.22 163900.4 274302 152614.22 310456.5 230257.61 258891.83 375576.53 282522.44 236726.25 230338.17 251548.12 127394.45 235989.19 151687.44 205734.95 262501.94 174878.84 252131.77 212701.88 234156.16 241637.84 262260.4 262073.23 307420.72
15107.846 25086.035 18226.71 77245.17 55539.05 20882.654 92126.25 54554.793 96386.555 48667.42 39971.28 9865.758 45288.617 73882.03 146377.5 33395.88 64528.86 20699.512 27276.115 60116.676 49295.48 83615.4 56411.97 19569.145 46559.73 40193.65 98220.945 97877.42 70373.77 139621.03 80513.555 102098.75 189875.97 62104.664 80486.85 68807.95 85176.836 133606.98 16662.379 137949.28 34581.68 39036.6 117420.305 144858.39 106313.625 34804.88 94393.46 14503.134 93373.51 145923.52 101767.47 232246.78 159411.53 29744.98 80943.92 122218.83 57220.062 140024.9 136952.34 89370.2 84851.68 50571.348 174599.9 64591.22 186468.11 113194.086 13271.704 137498.8 27407.105 34192.168 70888.625 106244.43 62298.92 158489.53 7529.194 93034.46 119248.484 119796.05 125331.27 60684.81 87108.234 94474.05 39065.29 80856.67 161131.56
85552.53 65850.336 73946.11 140670.8 66720.93 103630.34 51000.066 133596 92745.64 74892.33 102381.83 188121.84 104532.96 135940.58 20581.176 108305.23 24298.203 86619.836 143339.05 155002.48 122841.05 172954.22 86117.82 170922.86 11530.84 52288.156 53272.812 83410.266 58382.277 20018.96 64959.49 99944.875 713.06 40268.188 78584.89 166279.2 47818.34 72989.31 97865.625 2532.592 13224.419 51056.293 75045.1 68921.875 155367.12 106232.95 92427.234 41733.832 44438.15 16383.449 62181.21 2075.802 76162.2 47038.156 5467.39 74537.54 196911.1 88356.8 92405.69 142094.45 38625.633 69163.68 83697.98 129180.21 12863.987 54858.824 108140.445 12118.146 56389.566 96135.13 74873.66 32961.23 84779.63 86181.66 197938.58 40100.48 15490.244 50335.78 11690.349 143746.52 86367.734 93544.76 97607.45 65221.44 10447.258
125929.22 128409.09 120669.38 233509.64 118759.695 138023.4 172914.53 215862.25 204173.73 166177.97 205715.12 212185.88 154588.7 253014.02 130521.94 118864.53 121914.18 154096.84 247052.36 145253.2 146772.05 179390.03 150410.5 146797.81 126101.625 116777.586 170706.31 129317.43 85020.49 177131.17 174295.08 156606.81 153705.78 100166.64 126793.414 166028.34 150644.58 120511.086 178792.77 167481.89 160411.8 132048.28 151358.03 151882.03 203368.55 96949.664 130438.84 144742.28 140202.58 157544.62 135846.1 281390.03 161061.45 126902.586 216902.7 82516.21 217716.45 170263.25 260693.78 367823.12 109440.91 192163.9 253657.47 204888.23 206204.3 114753.695 140795.62 196110.28 166256.3 117795.125 132681.8 165981.44 106328.05 162046 193524.12 94973.79 177625.19 103049.82 181968.1 170545.5 110962.836 146691.97 187633.22 164638.03 150153.89
157432.53 171027.03 144875.39 189879.38 243658.4 210056.64 208763.38 210384.19 240682.22 205760.8 248999.75 207456 207537.78 201094.89 292998.75 202563.14 161750.55 206797.08 244456.06 176204.84 127142.29 197595.86 209901.1 187271.4 194948.17 167468.94 262424.53 233911.7 169934.9 227627.3 254925.7 227775.45 217518.69 127444.29 168128.5 183958.8 177695.14 171216.81 266432.8 220206.61 193238.5 172476.6 203526.84 248737.98 247343.8 165871.28 161870.67 180374.36 261585 180981.28 206376.11 257242.16 217056.17 376265.2 230007.48 185376.31 252508 257509.2 266107.6 174350.27 212595.11 181585.92 312346 165409.28 298701.62 207619.17 224856.12 338626.25 248159.23 211105.78 194337.56 192185.84 129054.57 280633.9 175483.95 150681.22 218300.12 186026.86 232598.84 191155.11 253469.27 147391.23 284378.72 234106.4 267059.8
143754.81 107732.42 137965.66 223158.03 123876.79 129118.51 189533.38 203874.58 172613.67 217110.19 206516.94 211340.8 180926.02 247069.4 226567.8 127345.87 92925.78 161707.42 240552.42 144827.12 149613.8 157415.38 141705.84 152039.25 137784.31 103452.34 189444.9 168367.98 132817.03 184221.03 191376.39 143219.62 129870.19 113292.9 167698.84 210275.05 149230.12 132991.4 211952.53 196624.06 122547.74 145326.5 155004.9 145676.08 127586.086 92516.82 144818.78 147503.5 161573.08 130579.07 143801.39 273625.4 173665.5 218871.78 213695.28 134341.4 282308.22 154876.45 333312.88 269759.03 156816.12 188234.89 258713.7 164174.53 174408.4 167370.66 156811.5 297438.9 182112.3 140296.14 161185.16 198667.72 115483.42 188261.1 195316.17 145008.92 188910.94 126792.766 199813.92 169557.98 143380.84 160186.28 213265.92 173149.61 164414.83
154803.38 111794.53 120127.7 293769.5 204590.88 118269.68 156088.62 242924.92 181657.16 167631.45 166625.89 230145.72 185605.97 246322.38 139949.83 114749.39 93927.31 219598.98 234547.48 145613.52 125429.73 130361.945 171043.75 154629.33 131171.61 91926.055 156721.23 133224.97 98163.07 168570.23 120236.9 92488.15 138417.33 114367.32 164691.03 154153.05 121624.5 94110.45 167411.39 166238.14 109203.3 125630.875 106767.6 112627.61 166684.03 106920.49 108379.14 96521.375 114641.29 124851.16 123491.94 233821.11 141274.73 129305.43 188052.73 112014.734 215727.7 148195.64 239053.31 274740 137003.39 172195.39 236855.25 181566.45 187915.62 192732.88 139680.33 204961.16 171297 122708.25 130290.52 165321.58 116271.01 135861.31 166696.23 141646.3 189872.8 109527.83 166517.39 182398.98 101872.82 129717.836 162103.25 135552.03 172829.73
120420.17 155056.14 128953.8 191485.58 224191.02 203844.66 207304.6 204091.55 234332.22 163199.06 129845.25 173309.61 135261.27 246307.58 163407.89 256975.28 138447.64 198400.36 199560.19 172391.19 225916.19 224475.42 205744.31 184792.66 187025.89 131817.11 209707.73 208702.73 147004.23 167660.84 209671.33 235064.84 218157.77 55891.348 151630.84 178925.83 159694.89 154136.98 214651.67 164916.17 187016.58 152099.61 182428.19 237657.42 224575.14 162040.64 161453.16 174654.81 217040.33 198470.78 223895.7 289269.44 208168.73 268641.8 209880.81 181178.42 201499.34 222107.56 363842.06 212231.53 185295.16 160790.48 180960.08 208617.06 234032.33 192562.73 194243.89 257920.75 204944 158227.05 163341.4 166491.77 77514.91 255708.6 160091.39 145624.08 167442.69 184472.05 154629.8 156797.94 206647.12 209938.06 249381.73 201151.28 249269.45
76084.875 118188.445 82741.3 71188.73 67086.63 131068.36 11193.695 28762.627 117224.45 120603.08 127796.88 48320.586 87108.766 61069.855 60672.49 192779.3 111386.47 5404.279 32161.523 63105.05 153155.95 125899.51 62739.047 95932.49 74465.24 95576.55 22230.713 22418.824 45077.37 23649.51 155115.1 77019.85 18677.031 27004.516 23750.557 24381.037 96579.34 82243.88 122467.46 2417.052 71907.78 51725.14 83256.836 138414.88 63628.836 48740.945 51584.035 125502.33 78920.1 30923.158 101775.74 4088.216 86966.766 191672.27 4298.64 94316.21 23758.775 47808.53 77574.125 72648.805 78387.695 152951.25 16641.16 124692.61 111748.08 10996.372 31036.53 40524.33 83116.945 40229.15 75605.87 58791.94 17862.27 70128.39 52262.508 52314.445 35224.184 125779.82 64608.32 31647.45 61327.45 17578.182 124929.45 35669.18 26763.152
25115.436 11575.045 29950.998 25079.896 22686.463 5253.969 24203.332 42021.887 41980.324 24132.93 17802.033 20411.26 37219.8 29146.559 82780.47 23033.97 23301.395 34875.746 52868.99 28704.008 15105.206 17341.73 69922.35 11950.073 47208.883 18074.207 55543.32 28661.424 56684.438 103440.95 26858.346 77115.27 100479.79 60554.254 66237.8 21081.688 48651.83 14377.808 24280.459 99759 11277.894 49516.453 119350 37280.754 70081.77 22693.205 84520.44 11396.081 48794.67 90570.65 42084.453 261439.81 89199.734 13964.592 188455.92 41485.203 20285.09 81338.984 28833.459 44216.383 47290.73 20591.24 105596.445 20980.64 155965.94 70638.63 48984.32 162786.69 35866.652 58138.74 56122.934 89156.77 66433.07 20777.762 18947.248 35180.656 57679.473 52454.27 91574.82 106493.39 30262.717 63488.766 50566.793 148174.89 100662.89
3990.669 22332.453 52767.523 15334.886 33426.293 38403.76 41222.78 18694.68 68063.516 36505.188 16291.637 55095.29 46160.75 69776.36 76566.586 80976.914 77276.13 171683.98 111748.695 33497.08 44302.71 28254.676 77552.05 31478.586 61648.6 23774.979 82653.77 63220.617 34036.42 60783.758 108690.23 31348.5 169353.44 34579.84 11045.003 11499.059 93492.34 16533.621 33863.91 106225.52 89555.68 40617.816 30921.549 98800.54 35562.992 80867.02 26375.314 15517.744 49975.92 56010.176 46393.75 131800.16 106399.164 19702.195 84524.99 42071.14 111479.91 82472.66 68403.195 26699.805 85968.086 37887.12 105899.82 38214.688 227524.39 52777.266 37284.34 33770.73 20909.445 74891.3 68991.75 20727.666 34296.043 146883 29219.414 76320.016 92193.375 88247.89 95458.6 27969.107 37471.6 87844.84 17839.129 101778.23 158429.73
151158.56 147044.67 126139.96 173450.28 176774.61 148494.19 163445.73 178639.02 177646.08 166201.6 180168.94 180912.11 170961.1 146387.98 228017.55 176418.33 124943.914 204313.23 192853.66 172010.86 157742.1 171749.73 157201.56 162552.55 207353.48 129558.68 223769.98 195115.22 204964.6 212956.31 175745.78 202448.11 279398.53 112880.1 156070.39 163673.83 148646.5 132293.47 199431.12 173709.7 138597.73 157420.22 189167.4 182862.12 157027.5 156956.69 181908.84 136893.36 170366.17 179261.61 218466.08 319979.8 237950.53 159816.1 230871.66 155910.4 214565.2 184979.5 182206.98 151771.42 220648.17 145889.83 185410.95 141804.62 236212.61 156903.38 226579.78 341273.22 261320.88 186877.31 169489.1 201553.36 118093.96 253889.38 172612.55 173712.62 247809.17 142039.55 213540.25 153239.9 168375.8 213390.02 224196.77 220782.67 245673.22
42822.918 61462.816 75399.266 79680.484 96171.23 1395.122 88672.17 106500.836 1639.312 78903.664 96901.26 69464.68 79433.25 115133.92 79433.35 90496.94 54338.688 74152.695 120661.48 2119.738 1311.724 1153.468 72479.81 76591.73 42743.35 1340.211 1807.107 120359.39 80690.125 58811.39 1681.972 111946.336 783.595 1315.013 67837.69 1636.74 2322.519 71660.96 38220.188 2298.348 33455.03 53620.96 1102.39 72493.39 1941.074 39710.98 51902.438 775.034 65913.54 108411.78 1635.984 105354.23 80098.305 34547.72 1170.621 921.511 1001.656 80493.28 101505.06 65361.707 846.169 1853.283 86663.56 134394.66 1764.068 1976.738 1720.373 34646.24 1168.832 7518.97 46304.008 56650.535 47838.254 106245.67 89201.57 1721.462 1920.411 59548.36 1289.752 57253.484 1718.835 1057.78 38033.156 2340.446 88488.08
19430.174 106370.64 56354.15 13902.788 16118.487 145191.86 16877.178 17554.51 78448.21 37411.574 60524.34 28587.178 18611.105 14717.09 8187.455 115036.85 75306.09 19742.754 22074.26 25929.207 117406.625 64195.684 22724.928 34364.832 130192.69 124204.41 13739.182 29747.172 14574.213 7716.452 69222.08 13324.029 5779.054 16430.803 31760.543 35450.72 104487.82 72777.57 103088.84 1799.466 38771.984 15367.194 52858.1 82593.78 26873.53 23156.22 16058.622 138392.9 63980.688 15123.999 13817.557 4049.437 20444.793 185114.05 2892.924 66617.695 29768.893 25457.678 31146.297 43867.168 37824.66 94344.18 25367.459 116995.81 41801.844 19818.684 35059.25 10654.184 70886.695 21148.15 14271.595 7008.045 11892.066 16352.527 17756.38 7429.25 11057.382 65161.46 17244.025 21576.314 33297.156 26705.244 146509.28 14803.842 6059.336
89670.18 49813.707 59575.1 132021.94 58269.316 51279.22 100810.72 139963.98 100600.875 96798.37 114424.75 202108.05 117129.33 182109.03 113659.016 70471.484 52539.22 121283.56 120593.94 75389.586 54548.598 59769.395 86685.195 76115.77 57872.305 45779.574 110817.03 90927.87 73180.3 157502.94 75993.234 64789.824 80768.19 129313.54 80494.94 77851.23 60516.46 40455.434 88570.24 107064.35 62334.805 73129.22 75329.195 62793.574 86961.73 87271.414 78626.78 56910.65 64283.64 78323.65 48350.324 186946.38 101462.15 60743.453 181591.48 55548.062 166505.58 96495.92 139017 241995.89 87791.38 109459.57 188117.48 92159.23 134538.12 108737.63 78865.89 171960.64 96471.43 75299.24 87468.375 116801.76 82061.164 94053.3 109272.5 84233.52 140924.67 64871.06 140820.67 119007.76 65443.094 109552.29 85946.83 105943.914 109116.82
5068.893 4186.965 4256.753 4537.48 6790.06 3581.269 6473.812 5103.22 8318.222 7272.736 4052.955 5991.558 14407.862 10137.968 182227.34 5838.726 8113.313 19799.723 12233.902 3340.207 10952.526 5549.952 7914.873 7572.773 9471.473 4095.239 15813.173 5102.322 22080.965 75235.6 24954.992 40794.793 120638.3 28418.682 10856.013 4039.879 11331.485 4045.331 4280.096 81961.72 4796.254 6137.959 6167.203 13356.418 5243.414 7564.725 6168.289 3491.36 12043.854 12778.07 25294.582 94072.85 58432.805 5622.724 95803.74 4192.906 9227.836 9275.536 13930.575 8955.898 40140.98 3922.862 9025.316 9936.915 165829.69 15654.948 4719.445 48824.62 13369.271 9070.598 34488.12 51221.773 8408.494 9540.344 5170.138 29483.06 55928.56 15203.203 146180.55 7711.114 10542.513 7503.432 5788.083 45952.008 135065.8
