"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59"
0.523 -0.772 -1.67 0.281 -0.397 0.45 1 -0.203 0.238 -0.367 -1.554 0.067 0.046 0.396 -0.942 -0.411 1.035 -0.478 -0.042 -1.445 -2.173 1.097 0.027 -1.079 -0.041 -0.958 -0.42 -1.899 -2.129 2.388 0.08 0.534 1.352 -1.16 -1.481 2.118 2.397 0.037 -1.025 2.397 -0.218 1.118 -1.168 -1.095 -1.89 0.927 -0.946 -1.019 -0.508 -0.915 1.088 -2.602 0.676 -0.768 -0.783 1.602 -1.646 -0.767 0.348
0.668 0.109 -0.216 -0.821 -0.266 1.2259317684389 1.096 0.178 1.408 -0.25 -2.53 -0.129 -0.121 1.152 0.993 1.325 1.027 1.638 -1.984 1.09378829855219 -1.439 2.241 -0.494 1.09407317504559 -0.448 1.5409115664861 1.239 -1.555 0.316 0.625 0.524 -2.427 0.006 2.187 0.482397733059599 -0.717 -1.048 -0.276 -0.056 1.354 1.156 -1.809 0.334 1.227 -0.566 -0.795 -0.715 0.724 -2.596 0.991 -0.875 -0.356 -0.864 0.403 0.327588525633895 -1.569 1.607 -0.805 -1.107
-0.944 2.371 0.089 -0.069 -0.291 0.503 -0.904 0.265 -1.001 2.73 -0.3 -0.799 -1.198 -0.079 -0.759 -0.631 -0.79 -0.991 -1.829 0.033 0.208 0.267 0.366 0.305 0.793 0.465 0.17 2.167 1.022 1.533 0.478 -1.84 -1.023 1.064 0.474 -1.466 -2.246 -1.462 0.138 -1.375 0.425 -1.465 0.881 2.071 1.503 -1.209 1.487 0.091 1.182 0.08 -0.988 0.382 0.452 1.441 1.549 -1.793 1.397 1.67 0.85
0.5 -2.365 -0.654 -2.167 0.236 -0.985 -2.268 -1.762 -2.745 -1.323 -2.575 -0.926 -0.372 -0.743 -1.378 -0.865 -1.972 -1.941 0.9 -0.463 -2.243 0.799 -0.214 0.729 1.152 -1.27 -0.932 -1.9 -1.068 1.214 0.573 -2.331 -1.942 -1.543 -0.868 0.033 -2.281 0.295 -2.068 -1.646 0.938 -1.368 -1.188 -1.416 -0.214 -1.264 0.57 -1.686 0.267 -1.261 -2.464 -2.139 -3.023 -2.481 -1.239 -1.737 -2.059 1.03 -1.791
0.839 -1.446 0.688 1.122 0.63 -1.107 -0.108 -0.036 0.755 0.202 -1.527 -1.678 -1.834 -1.132 0.342 0.457 0.402 -0.981 -1.425 1.651 -1.418 1.368 -0.122 -0.660644247083189 0.829 0.022 1.844 0.178 1.113 1.228 1.851 -1.636 -0.299 -1.881 1.067 -1.83 -1.32000445384449 -1.572 -1.091 -1.077 0.464 -2.041 0.008 -1.25 -1.519 -1.793 0.342 -0.102 0.983 -0.537 -2.156 0.159 0.73 0.11 -1.498 -1.647 -0.118 1.475 0.477
-0.556 -0.928 -0.458 -0.874 -0.381 -0.806 -0.947 -0.905 -1.562 -0.362 -1.129 4.292 1.827 -0.307 0.257 -0.269 -1.597 -0.731 0.158 -0.974 -0.543 -0.26 -0.576 0.35 4.307 -0.356 -1.006 -0.199 -0.467 -1.237 -0.776 -0.606 0.052 -0.634 0.438 1.577 -0.827 -0.736 -0.718 -0.451 -0.895 -0.831 0.148 -0.602 0.482 -0.436 -0.518 -0.77 -0.867 -0.658 2.498 -0.387 -0.959 -1.209 0.722 -0.965 -0.907 -1.172 -1.062
-0.356 0.132 -0.16747766835852 0.74 -0.934 -0.015 1.034 0.064 0.429 1.028 -1.952 -1.107 -0.764 -0.897 0.301 -0.543 1.61 -0.331 -1.511 1.536 -1.354 1.11 0.066 -0.13 -0.347 0.075 1.371 0.208 -0.662 1.627 2.014 -1.918 1.528 -1.412 -0.069 -2.187 -1.66 -1.986 0.183 -1.588 0.675 -1.443 0.561 -1.891 -0.867 -1.604 -0.88 1.046 -0.23 0.686 -1.985 0.733 0.574 0.736 -0.519 -2.014 -1.221 0.631 -1.209
0.042 -0.114 -0.382 -2.485 -0.02 1.062 1.29 0.277 1.448 -0.725 -2.97 -0.054 -1.565 0.716 0.276 0.078 0.7 0.765 -0.543 0.246 -1.591 0.987 -0.008 0.995 0.603 1.658 0.437 -1.006 0.435 1.394 -0.448 -2.791 -0.706 0.936 0.91 -1.4 -1.33 -0.659 -0.732 -0.016 -0.082 -0.95 0.04 0.704 -1.241 -0.927 -0.004 0.424 -2.425 0.212 -1.468 -1.233 -1.901 0.83 -0.27 -2.124 1.225 -1.543 -0.637
0.886 -0.045 -0.382 -0.653 -0.147 2.004 0.808 0.468 1.487 -0.19 -1.938 0.305 0.269 1.193 1.069 1.059 1.04149401419787 1.576 -1.65 1.91 -1.092 2.351 -0.164 1.437 -0.428 2.231 1.467 -1.516 0.194 0.459 0.643 -1.875 0.106 1.824 0.894 -0.495 -0.705 -0.478 0.404 1.119 1.404 -1.612 1.222 1.037 -0.179 -0.457 -0.606 0.216 -2.44 1.394 -0.544 -0.026 -0.752 0.747 1.016 -1.307 0.748 -0.461 -0.386
1.7 0.499 -0.856 -0.381 0.508 1.124 0.129 1.621 -1.119 0.399 -1.12 0.662 0.939 2.473 0.71 1.174 -1.085 -0.257 -0.68 2.968 -0.479 -0.388 -0.451 1.137 2.063 1.839 -0.046 -1.061 -0.118 -1.382 -1.261 -0.882 -0.778 0.124 1.66 -0.873 -0.167 1.746 -0.946 0.421 0.114 -1.309 1.234 0.913 1.36 -0.488 0.465 0.303 -0.882 -0.107 1.532 1.652 0.08 -0.016 2.745 0.283 1.099 -0.724 -0.449
-1.339 -1.28 -0.89 -2.776 -3.011 -1.553 -0.217 -1.544 -2.3 -2.288 -0.867 -0.906 -1.019 -2.167 -1.141 -0.552 -1.33 -1.921 -0.183 -1.692 0.603 -1.661 -0.334 0.386 0.675 0.072 -2.025 -1.529 -0.332 -4.013 -2.953 -2.03 -1.573 -1.279 0.16 -2.077 -0.779 0.904 -2.423 -0.784 -1.818 -2.485 0.133 0.828 0.117 0.326 -1.725 -1.346 -0.399 -0.67 -2.697 -1.342 0.27 -2.766 0.381 -1.014 -0.268 -1.296 -1.2
-0.863 -1.418 0.409 0.014 0.309 -1.601 0.579 -1.684 -2.309 -1.536 -1.346 -1.629 -0.759 -0.283 0.293 2.181 -1.806 -0.213 -1.678 -0.046 -0.832 -1.474 -1.388 -0.801 -1.429 -1.335 -0.691 0.14 -1.512 -0.902 -0.793 0.718 0.406 -1.802 -1.122 -1.802 -1.944 -1.367 -0.382 0.281 0.704 -1.865 0.172 -1.194 -1.333 -1.529 -1.718 3.076 0.352 -0.516 -1.496 0.053 -1.588 1.969 -0.976 -1.798 -1.324 0.27 -0.64
0.029 -0.739 0.522 1.056 1.084 0.759 -0.948 0.153 -1.022 1.501 0.135 -1.751 -0.733 -0.797 0.248 0.358 0.45 1.04 -1.45 0.243 -1.818 -0.386 -0.143 -1.445 0.483 -0.078 0.038 0.804 1.24 1.082 0.897 -1.992 0.726 -0.306 -0.548 -2.556 -1.888 -2.272 0.46 -2.083 0.073 -1.941 -0.583 -1.565 -1.691 -2.402 -0.529 0.116 -0.599 -0.028 -2.024 -0.173 0.186 -0.311 -1.59 -1.763 -0.409 1.434 -0.003
-1.793 -1.419 1.203 -1.3 -1.824 -2.34 -1.531 -2.258 -2.385 -1.679 -2.251 0.265 -1.391 1.101 -1.934 -1.163 -1.926 -2.228 1.761 -2.361 -2.056 -2.293 -1.85 -2.099 -1.426 -2.159 -2.054 -2.496 -2.284 2.364 -1.013 -1.83 -1.792 -2.115 -2.039 -1.511 -2.166 -1.24 -2.266 1.364 -2.262 -2.15 -2.067 -0.635 -2.128 -1.644 -1.73 -1.954 -1.194 -1.921 -2.18 -1.494 -2.783 -1.455 -0.757 -1.875 -2.284 -1.805 -1.896
-1.262 -0.794 0.517 -0.066 1.379 -1.314 -0.452 0.134 -0.287 0.767 -0.694 -1.474 -1.33 -1.105 1.608 -1.044 -0.982 0.444 -1.807 -1.208 -1.083 -1.814 -0.081 -1.197 1.052 -0.926 -0.964 0.455 -0.954 -0.845 0.898 -1.963 1.438 -1.013 -0.659 -1.574 -1.848 -1.76 -1.567 -1.136 1.087 -1.886 0.77 -0.535 1.193 -1.472 2.252 0.224 -1.368 -0.524 -1.977 -0.55 0.562 -0.593 -0.391 -1.829 -0.756 -1.178 1.428
-1.247 0.547 0.170739536985274 -0.273 -1.532 -0.881 0.342 -0.806 -0.612 0.771 -1.035 -2.217 -2.903 -2.279 -0.431 -0.069 -0.453 -0.173 -2.582 -0.368 -2.162 -0.932 -1.729 -0.591 0.707 0.366 -1.152 -0.215 0.347 1.059 0.04 -2.694 -0.072 0.069 -0.28 -2.874 -2.65 -1.208 -0.764 -1.105 -0.44 -2.948 -1.682 -0.658 -1.602 -2.169 0.142 0.057 -0.165 -0.564 -3.234 -1.302 -0.961 -0.503 -0.86 -2.638 0.095 -0.068 -0.386
-0.145 -0.492 -0.037 0.368 -0.258 0.082 1.06 -0.169 -0.023 0.737 -1.108 -0.127 -1.623 -0.854 0.783 -0.686 1.897 1.487 -1.833 0.807 0.21 0.686 -0.729 0.913 0.53 0.904 -0.624 0.925 -0.104 1.732 1.891 -1.963 -0.398 1.699 0.704 -1.589 -1.932 -0.666 -0.445 -1.055 0.136 -1.979 -0.546 -0.545 -1.351 -0.939 -0.721 1.37 0.608 0.98 -1.984 -1.706 -0.99 -0.494 -0.202 -1.835 0.149 0.106 -1.227
-0.72 -0.97 0.033 -0.687 -0.074 -0.893 -0.577 -0.207 -1.056 -0.275 -1.487 2.492 0.84 0.34 0.931 0.187 -0.276 -0.521 0.769 -0.768 1.028 -1.044 0.368 0.173 0.181 -0.228 -1.087 1.361 1.143 0.043 -0.116 2.05 2.631 -0.205 0.841 0.703 0.552394872340197 -0.526 -0.87 2.439 -0.75 1.823 -0.33 0.726 0.005 2.263 -0.094 -0.629 -0.622 -0.412 0.502 -1.333 -1.069 -1.27 1.132 2.379 -0.641 -0.556 -0.087
1.623 -1.073 1.039 -1.622 -0.229 -1.044 -0.005 -1.401 1.57 -1.067 -1.358 -1.108 -0.974 -0.859 -0.738 -0.506 0.986 1.913 -1.394 -0.12 -1.085 -0.109 1.205 -0.926 -0.34 0.322146392469223 1.853 -1.327 0.032 -0.761 0.811 -0.989 1.293 0.515 0.828 -1.323 -0.79 -1.596 -1.169 -1.279 1.566 -1.381 -0.884 -1.491 -1.024 -1.458 -1.343 -0.694 0.895 0.178 -1.453 -0.828 -0.586 -1.14 -1.327 -1.719 -1.86 0.702 0.06
-0.02 -0.077 0.107 -2.528 0.047 0.731510666260803 1.151 0.194 1.274 -0.769 -2.746 -0.237 -1.75 0.55 0.078 0.182 0.421 0.6 -0.662507325856394 0.174798780598714 -1.692 0.382 -0.246 0.729 0.515 1.31103424260683 0.157 -1.778 0.294 1.20496122075243 -0.434 -2.569 -0.798 0.904 0.068 -1.399 -1.609 -0.596 -0.685 0.000702 -0.296 -1.12 -0.377 0.412 -1.333 -0.833 -0.175 0.418928652902746 -2.522 0.013 -1.671 -1.436 -1.526 0.701 -0.908 -2.166 0.425 -1.444 -0.596
0.005 -0.032 -0.246 0.286 -0.157 -0.112 -0.323 -0.098 -0.184 0.264 0.062 -0.17 -0.156 0.152 0.423 0.17 -0.04 0.528 -0.144 0.077 -0.088 0.216 -0.056 -0.164 -0.256 0.26 -0.139 -0.000711 -0.307 -0.286 0.322 -0.04 0.111 0.191 -0.04 -0.512 -0.196 -0.261 0.309 -0.303 0.335 -0.166 0.155 -0.132 -0.061 -0.348 -0.118 -0.062 -0.092 0.293 7.792 0.306 0.166 -0.246 0.014 -0.175 -0.018 -0.088 0.023
-0.108 -0.03 -0.108 -2.291 -0.028 0.736757274919915 1.289 0.177 0.988 -0.655 -2.889 -0.18 -1.816 0.405 0.000155 0.093 0.534 0.726 -1.111 0.49 -1.827 0.162 -0.329 0.915447565165277 0.617 1.30273490115832 0.027 -1.088 0.38 1.319 -0.333 -2.378 -0.833 0.865 -0.205 -1.393 -1.472 -0.414 -0.801 0.049 -0.204 -1.351 -0.306 0.605 -1.484 -0.897 -0.08 0.454 -2.381 -0.053 -1.687 -1.295 -1.727 0.325 -0.373 -1.882 0.311 -1.558 -0.756
-0.047 2.194 0.859 1.032 -1.268 0.128 -0.654 -1.381 -0.409 -0.047 -0.605 -2.232 -1.469 -0.814 1.641 0.125 -0.249411650784518 0.359 -2 0.347 -1.571 -0.82 0.2 -1.157 -0.827 -0.234 -0.027 1.349 0.225 1.408 -0.441 -0.941 -0.904 0.501 -0.127 -1.019 -1.44 -1.457 1.204 -0.084 1.463 -2.044 -0.841 -0.818 -1.103 -1.116 -0.684 1.023 0.994 -1.052 -1.797 0.972 0.245 0.056 -1.101 -0.983 -0.868 0.612 0.562
-1.176 0.03 2.186 -0.066 -0.266 1.736 0.05 -0.266 -0.228 -0.05 0.19 1.258 -0.00582084060450431 0.091 0.635 0.709 2.297 -1.151 3.479 1.746 -0.254 -1.73 -0.033 -0.139 -0.028 -0.931 0.052 -0.0748203283508424 -0.113 -0.11862695023153 1.165 -0.359 0.239 0.007 -1.844 -0.027 1.827 -0.078 -0.265 -2.853 0.161 -0.128 -1.461 0.114 0.017 -0.158 -0.07 -1.12 0.054 -0.241 -0.868 0.068 -1.154 0.189 -0.0371384626299716 0.064 0.056 -0.525 0.006
-0.842 -1.417 2.122 -0.979 -1.321 0.207 -0.751 -0.471 -0.772 -1.766 -2.511 -0.712 -0.287 -1.198 0.699 0.135 -0.819 -0.533 -0.108 0.002 -1.313 -1.065 -1.188 0.433 0.002 -0.876 2.627 -0.879 -0.602 0.918 -0.38 -1.811 -1.886 -1.109 -0.724 -2.119 -0.201 -1.544 0.46 -2.126 0.295 -0.402 -0.593 -1.346 -1.094 -0.591 -1.644 -1.343 -1.443 0.277 -2.232 -1.877 -1.307 1.086 0.065 -0.511 -1.561 0.809 -1.646
-0.298 0.029 0.531 -2.347 -0.133 0.253 1.08 0.085 0.948 -0.59 -3.135 -0.332 -1.541 0.293 0.266 -0.015 0.153 0.792 -0.205 -0.271 -1.839 0.241 -0.323 0.603 0.521 1.2387447142703 -0.065 -1.293 0.394 1.22 -0.364 -2.151 -0.718 0.532 -0.172 -1.143 -1.055 -0.301 -0.818 0.101 -0.378 -2.632 -0.356 0.505 -1.418 -0.828 -0.11 0.563 -2.698 -0.23 -1.692 -1.452 -1.876 0.228 -0.29495958260015 -1.722 0.342 -1.407 -0.731
-0.94 -1.044 -0.91 1.236 1.577 -1.317 -1.001 1.346 -1.188 2.603 -1.976 -1.404 -1.232 -0.107 -0.066 -0.338 -1.096 1.304 -1.722 0.247 -1.445 -0.282 -1.027 -1.467 -0.679 -0.405 -1.494 1.848 -1.604 -1.566 -1.008 -1.762 -1.55 -0.479 0.64 -1.438 -1.496 -1.301 -0.021 -1.56 0.15 -0.869 -0.686 -2.185 -1.683 -0.653 -1.138 -0.385 -0.235 0.03 -1.271 -0.851 -0.952 -1.806 -1.404 -1.241 -0.915 -0.136 -1.269
0.11 -0.366 -0.351 -2.064 0.154 -0.084 -0.366 -0.159 0.383 -0.501 -0.004 -0.795 -0.539 -0.39 0.163 1.071 1.009 0.215 -2.198 -0.06 -0.153 1.611 0.683 0.124 0.986 1.628 0.415 -0.279 0.068 0.125 1.391 -1.575 0.509 1.586 -0.156 -2.065 -1.426 -1.309 0.865 -1.15 -0.967 -2.044 -0.528 -0.291 -0.973 -1.486 -0.48 -1.187 -1.21 1.015 -2.175 -0.983 -0.606 -1.494 -0.079 -2.039 0.197 -1.375 -0.269
-1.553 0.033 0.314 -1.299 -1.104 1.327 -0.084 0.041 -0.116 0.716 -1.774 -1.619 -1.499 -0.725 -1.186 -0.534 -1.632 -0.413 -1.277 0.947 -0.746 -0.757 0.157 -0.912 -0.912 -0.639 -0.318 -0.298 -0.221 -0.375 -0.761 -1.069 0.565 -1.515 -0.45 -1.759 -0.412 -2.266 -0.106 -0.723 1.394 -0.751 0.655 0.634 0.375 1.016 0.703 1.999 0.323 -0.875 -1.839 0.219 1.617 0.535 -0.184 1.053 0.625 0.516 1.673
-0.539 -0.725 -0.525 -1.186 -1.085 -1.247 -0.526 -1.523 -1.185 -0.701 -1.207 -1.163 -0.855 -0.075 -0.379 -0.446 -1.662 -1.185 -0.284 -1.344 -1.258 -1.254 -0.681 -0.883 -1.211 -1.014 -1.264 -0.398 -0.999 -1.258 -0.884 2.757 -1.368 -1.171 -1.134 -0.271 0.461 -0.479 -1.277 4.349 -1.51 -0.229 -0.818 -1.16 -1.34 0.246 -1.082 -1.152 -1.576 -0.456 1.73 -1.606 -0.757 -0.777 -1.012 -0.526 -0.981 -0.927 -0.906
0.153 -0.768 0.868 0.814 0.082 -1.255 -0.13 -0.65 -0.182 1.288 -0.213 -1.561 -1.129 -0.713 0.658 0.527 -0.012 1.504 -1.824 0.775 -1.306 0.356 -0.407 -0.34 0.697 0.314 0.379 -0.315 0.797 1.103 1.249 -1.26 -0.207 0.716 0.029 -1.956 -1.157 -1.429 1.731 -1.76 0.604 -1.915 -0.339 0.43 -1.548 -1.73 0.308 0.383 -0.375 0.467 0.177 -0.071 -0.643 -1.602 -0.363 -2.461 -0.319 0.87 -0.151
0.928 -0.583 0.655 -0.032 1.705 -0.9 -0.568 1.442 0.055 0.367 -0.828 -0.885 -0.777 0.046 1.412 -0.259 0.046 2.538 -1.646 0.007 0.434 -0.732 -0.685 -0.525 0.315 -0.33 -0.759 0.808 0.73 -0.203 0.211 -1.424 1.372 0.642 -0.497 -1.535 -1.507 -2.064 0.201 -0.322 0.789 -1.222 0.001 0.397 -0.253 -1.982 0.939 -0.283 -0.425 -0.383 -1.622 0.679 0.163 -0.9 0.958 -1.881 0.466 -0.198 1.305
-0.06 -0.044 -0.611 -2.308 0.066 0.847627528676699 1.096 0.149 1.304 -0.701 -2.453 -0.265 -1.534 0.614 0.116 0.162 0.272 0.658 -0.521048000194187 0.242235491873225 -1.563 0.835 -0.158 0.974006333845446 0.554 1.36976420633584 0.118 -1.15804476639203 0.35 1.107 -0.359 -2.149 -0.689 0.842 0.254796292321345 -1.295 -1.19 -0.483 -0.644 0.027 -0.238 -1.147 -0.017 0.373 -1.358 -0.768 -0.152 0.368 -2.331 0.036 -1.592 -1.386 -1.234 0.628 -0.37080469933637 -2.018 0.767 -1.334 -0.523
-1.549 0.03 0.34 -1.204 -1.076 1.42 -0.049 0.064 -0.158 0.601 -1.711 -1.568 -1.566 -0.664 -1.125 -0.45 -1.469 -0.426 -0.87 0.898 -0.735 -0.693 0.216 -0.822 -0.951 -0.535 -0.21 -0.296 -0.305 -0.352 -1.152 -1.08 0.588 -1.561 -0.056 -1.673 -0.652 -2.206 -0.037 -0.664 1.431 -0.705 0.509 0.572 0.316 0.935 0.781 1.944 0.407 -0.808 -1.862 0.133 1.523 0.556 -0.098 1.039 0.627 0.562 1.752
-0.859 -1.015 2.241 -1.017 -1.459 0.31 -0.645 -1.42 -0.701 -1.178 -1.957 -0.731 -0.231 -0.933 0.752 0.229 -0.83 -0.594 -0.119 0.093 -1.234 -0.944 -1.194 0.393 -0.03 -0.988 2.499 -0.928 -0.519 1.055 0.067 -1.447 -1.931 -1.051 -0.149 -1.862 -0.123 -1.508 0.284 -2.202 0.269 -0.37 -0.565 -1.232 -1.089 -0.617 -1.429 -0.904 -1.416 0.289 -2.046 -1.876 -1.468 1.054 0.023 -0.672 -1.517 0.64 -1.564
0.014 2.109 1.136 0.884 -1.473 0.078 -0.604 -1.159 -0.507 -0.129 -0.597 -2.309 -1.449 -0.827 1.404 0.15 -0.678 0.397 -1.927 0.543 -1.381 -0.823 0.182 -1.09 -0.705 -0.221 -0.13 1.14 0.226 1.531 -0.489 -0.793 -0.846 0.405 -0.0787611873640705 -0.883 -1.405 -1.264 1.015 0.039 1.35 -2.03 -0.927 -0.646 -1.156 -1.05 -0.658 0.884 0.916 -0.947 -1.524 0.904 0.286 -0.032 -1.102 -0.912 -0.955 0.386 0.487
-0.888 -1.164 -0.952 -1.953 -2.349 -1.657 -0.084 -1.402 -1.485 -1.66 -0.979 -0.92 -2.264 -2.102 -1.087 -0.945 -2.223 -2.131 0.004 -1.556 0.748 -1.6 -0.154 0.778 1.015 0.269 -1.922 -1.435 -0.791 -2.398 -2.191 -1.794 -1.201 -0.982 -0.211 -1.579 -1.309 1.96 -1.451 -1.071 -1.433 -1.986 0.591 0.248 0.182 0.109 -1.503 -1.535 -0.664 -1.044 -1.677 -1.133 0.243 -2.222 0.122 -0.813 0.234 -1.203 -1.272
0.165 0.063 0.819 -0.73 -0.306 -0.115 -0.232 1.448 -0.916 -0.287 -1.088 1.056 1.152 1.308 0.552 0.398 -0.986 -0.579 2.025 2.108 -0.101 -0.653 -0.088 1.442 2.116 0.121 -0.401 0.799 0.431 -0.812 0.626 -0.392 -0.213 -0.555 0.436 1.184 2.649 1.895 -0.7 0.204 0.279 1.224 0.294 0.527 1.782 0.356 -0.098 0.347 -0.255 -0.054 1.48 1.651 -1.097 -0.675 2.381 -0.74 -0.515 -0.255 0.188
-0.7 0.235 0.671 -2.3 -1.58 -1.453 -0.248 -0.72 -0.59 -0.469 -1.714 -1.396 -2.65 -1.477 -1.306 -1.65 -1.864 -3.962 -0.719387097945157 -0.673 -0.783 -1.256 -0.763 -0.854 0.081 -0.581 -0.82 -1.087 -1.718 -0.225 -1.811 -1.174 -0.17 -1.069 -2.269 0.452 -1.172 1.113 -2.625 0.684 -1.497 -2.007 -1.036 -1.411 -0.868 -0.252 -0.889 -2.837 -0.099 -1.834 -2.001 -1.973 -0.51 -0.727 -1.409 -0.617 0.821 -0.387 -1.608
