"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104"
1854.2 2192.5 1704.3 1370.1 618 1216.4 1647.5 338.9 232.8 146.3 3327.3 682.8 1321.4 83.5 1122.7 245.5 446.8 502.7 1135.1 414.8 640.8 399.5 986.85 284.7 852 114.1 334.7 970.2 2137.3 808.6 198.9 789.7 1476.7 876.7 145.5 11156.3 14391.1 456.3 2630.1 1238.5 263.4 396.1 3159 86.3 964.9 271 1828.8 911.8 875 1.1 501.6 1136.5 312.3 2366.1 1325 1583.3 1781.6 350.6 1971.05 312.7 1240.8 28.5 3237.9 1162.9 1239.2 352.5 160.4 735.3 1726.4 279.7 128.7 304.9 370.7 282.3 2439.4 1780.2 783.4 114.1 1130.2 1029.4 1047.6 2148.2 1187.1 1482.4 1501.7 821.4 1314.7 12981.6 11609.2 15191.7 2073.9 413.2 2268.2 1778.1 3515.4 340.3 11.9 28.4 2143.5 2745.2 1149 1.7 1328.3 94.8
1969.1 2454.2 2016.6 2371.4 1383 2262.5 2191.5 1578.8 2821.1 2400.6 3051.1 2091.3 2626.9 2283 2983.7 1852.1 2148.8 2812.6 2330.6 3414.9 2769.8 1889.5 2198.3 2192.2 1780.2 2060.4 2375.4 1882.9 3441.3 2295.2 1671.9 1816.7 2595.9 1729.6 1881.3 11553.3 15073.3 15964.6 2394.9 1722.7 2935.6 2062 2886 2152.5 2537.1 2607 2164.3 1514.4 1121.1 2249.9 2738.8 2306.4 1684.3 2570 2073.2 2814.4 2053 1936 2481.6 1834 2390 2699.6 2623.9 2199 1703.5 2178.8 2999.7 2513 2665.9 3505.3 2058.7 3213.9 2883.5 1844.45 2632.35 2079 2255.6 2287.3 3032 1412.6 2424.7 2500.1 2126.2 1569 2469.5 2286.1 1567.2 12869.3 13800.5 13011.3 2253.9 2410.3 3361.9 3432.7 2816.2 2802.8 3317 2651.5 2080.3 1761.7 1469.2 2275.6 2722 2351.4
2382.5 2809.6 2183.75 2328.5 2242.9 1983.4 2173.4 2336 2727.7 2405.9 2739.1 3472.3 2972.9 2157.6 2636.7 1790.3 811.6 1674 2865.9 3794.4 2610 2379.9 1969.85 2601.3 2200.7 1642.6 2611 2541.7 2589.4 2310.9 2807.1 2382.6 2202.3 2977.6 2535.7 12349.2 14195.9 14496.5 2446.4 2612.6 3005.9 1983.35 3350.9 2919.2 2855 3038.7 2464.5 3055.3 2077.7 2428 3246.1 1985.1 2096 2727.1 2208 2560.9 2540.2 1709.6 2545.45 2658.7 2078.1 2366.7 2880.4 3022.8 2274 1853.5 2232.9 2298.7 3145.6 942.3 3168 2751.4 2927.8 2439.85 2007.2 2583.4 2553.5 2515.4 2768.6 1609 2087.6 2743.8 2927.5 2540.2 2107.2 2826.2 1860.5 12805.6 11743 15439.5 2912.4 2665.1 3151.6 3078.6 3418.7 3792 2947.6 3438.3 2363.1 2324.2 2573 1941.6 2825.4 1812.1
2255.7 2882.3 2110.15 2290.3 1558.3 2433.1 2381.75 2097.8 2463.1 2663 3194.8 2800.9 2401.7 2258.9 2499.1 1871.4 1791.7 2417.3 2500.5 2792.2 2466.1 2223.5 2214 2316.9 2642.4 1798.1 2514.8 2435.6 3187.5 2521.9 2568.2 2010.9 3215.6 2756.5 2199 13133 13994.9 16572.8 3044 2077.2 2934.9 2056.1 3097.6 2640.2 2529.8 2889.9 2572.3 2480.5 1452.8 2451.8 3445.6 2123.2 2477.2 2655.2 2247.1 2681.6 2429.6 1914.7 2822.45 2442 2206.4 2866 3212.5 2727.1 1925.2 1985.9 2058.6 2435.3 2965.8 1569.6 2584.6 2692.9 2790.3 2165.3 2308.95 2393.3 3140.8 2065.5 2660.8 1884.6 2041 2642.2 2659.5 2190.3 2842.5 3084.7 1724.1 11292.3 12435.7 13233.4 3086.2 2964.6 3317.3 3717.9 2980 3283.6 3377.3 3318.3 2501.8 2194.4 2041.8 2379.3 3277.4 1969.5
1666.1 2639.3 1716.75 1438.9 2043.9 723.5 1980.55 1552.8 2098.2 1082.3 3079.1 2600.6 1405.9 510.1 2269.3 1987.2 2038 2350.7 2102.5 3564.7 2821.3 2504.05 2191.45 2270.4 1529.2 1546.6 770.8 2407.1 1623.7 2496.6 2445.9 1011.7 1097.4 724.9 2195.4 4986.4 16952.2 11823 799.9 792.6 1253 1149.75 1645 1761.8 989.8 2829.1 974.9 2429.3 1571.5 1668.5 1171 1033.3 1392.6 2690.7 2239.1 1112.3 2019.6 635.7 2738.15 2015.4 1450.4 849.7 3260.7 3107.1 1324 668.7 2014.3 2164.9 2721.3 1290.9 1699.3 3072.5 2532.3 2260.85 1602 2085.1 2423.5 2112.1 1168.9 1833.8 1962.6 2831.4 2835.3 1547 595.8 3009.8 1288.4 12751.9 13318.6 11760.7 2490.5 779.5 2034.3 2030.1 777.1 1857.8 1279.1 3780.2 999.9 1394.2 2070.7 1471.6 1257.2 812.6
1589.2 2376.5 1763.4 2371.2 1503.2 1944.6 1860.15 1863.8 2275.6 2478.6 2553.9 1999.5 1895.4 1695.4 1870.7 1254.9 1711.6 2268.4 2958.6 2926.4 2825.6 1851.8 2307.25 1930.3 2343.9 1054.2 1206.6 1303.7 2337 2391.5 1895 1745.8 2329.5 2171.7 1783 12281.1 13797 13768.4 2164.7 1551.5 3065 1752.6 3666 2353.5 2004.3 2375 2210.7 1682.4 1406.6 2326.6 2806.5 1772 1815.6 2073.8 1899.6 2324.1 2006.8 1500.7 2273.15 2116.7 2022.7 2421.5 2329.1 1950.9 1451.6 1540 1292.2 1796.3 2867.8 2357 2938.6 2357.8 2571 1543.75 2351.05 2096.5 2548.6 1346.1 1693.1 959.1 2109.9 2400.6 2084.2 1736.6 1778.6 2145.8 1329.6 11892.6 11812.3 14360.1 1986.1 1978.6 3299.8 3464.6 3070.7 3027.3 3344.5 3048 2118.3 1406.3 1809.6 2304.6 2740.9 1555.8
3571 547.1 1862.35 3836.8 1908 400 2183.85 738.3 129.9 143.6 870.4 1167.7 1869.5 90.6 1788.9 328.4 2399 2413.8 2247.5 969.5 192.1 941.3 3248.85 469.8 833.7 392 234.1 506.4 602.2 766.3 126.3 1785.7 145.9 185.1 463.8 7138.1 16547.8 3295.5 714.1 1311.3 1679.8 2082.35 1079.3 273.2 842.5 231.4 2119.6 1181 1956.8 1 395.7 1265.5 675.2 607 2345 3572.1 946.4 255.5 2417.15 1484.2 367.8 95.9 928.4 2229.4 788.4 268.3 1291.9 308.4 4329.3 1425.9 443.8 1140 61.8 769.8 3917.85 1542.3 857.6 410 1016.3 1138.6 452.6 1481.7 1035.9 2543 244.9 3572.3 1401.6 13116.4 14289.1 7359.8 2325.5 1440.3 2716.8 3504.5 1057.4 1041.6 27.4 77.4 2848.7 3410.5 2623.9 69.6 313.1 656
2370 2442.5 2051.25 2114 2289.1 1881.8 2106.2 2220.6 2155.2 2559.4 2702.6 2199.7 2470.5 2153 1950.8 1973.2 2231.3 2830.1 2639.5 2092.3 2807.4 1958.9 2279.35 2212.1 2114.8 1689.3 2294.5 1778.4 2775.6 2109.6 1792.9 2239.4 3224.1 2683 2117.5 11884 14041.6 15699.1 2756.5 2362.2 2946.9 2387.05 2972.9 2638.9 2615.1 2876.2 2260.1 2142.9 1008.7 2368.8 3550.9 2077.6 1635.1 2381.3 1922.9 2514.3 2521.1 1784.6 2394.7 2642.2 2153.6 3189.6 2880.4 2341.8 2104 1945.5 1662.2 2276.8 2417 3344.2 2301 2098.6 2996.5 1866.45 2480.45 2385.3 2394.9 1858.1 2937.5 1476.9 2473.1 2238.8 1998.3 1567 2758.3 2316 1629 12126.8 12577.4 12757.5 2580.5 3072 3215.5 3892 2997.1 3166 3255.9 2620.7 2258.7 2026.7 1366.4 2474.2 3218.2 2244.9
2129.1 3062.3 2946.65 2795.8 2744.2 2824.7 2969.35 2979 3542.1 3615.3 3225 3214.9 3170.5 2884.5 3129.7 2434.2 2504.3 2636.4 3622.6 4093.3 3348.2 3092 2941.25 2838 3475.8 2171.4 2960 2654.6 3453.1 3645.7 3035.5 2353.1 3183 2837.9 3022.6 11802.2 13454.7 16262.6 2940.6 3111.3 4102.2 2975.35 4058.6 4437 3167.9 3665.3 1857.8 3273.4 1832.8 2423.1 3695.3 2373.9 3022.4 2758.9 2726.6 2939.8 3242.2 2559.5 3003.45 2680 2746.2 2800.5 2863.6 2850.2 2450.2 2365.4 2173.6 2935.3 2476.6 1791.8 3714.5 2858.7 3368.3 2935.05 2829.7 2780.1 3487.3 2652.3 2306.3 1984.9 2665.5 3158.3 3170.9 2380 2216.4 3131.1 2084.4 13462.4 12572.6 14071.4 3061 2561.6 4425 3906.6 2434 4657 3312.9 3759.7 1941.8 2372.3 1895.4 2391 3280.9 2318.2
1850.8 2153.5 1610.25 1354.7 1247.5 1616.5 1759.9 1615.4 1138.9 2731.2 2483.9 2141.6 2011.6 1380 1946.4 1649.6 1762.5 2686 2417 1421.9 1953.8 1425.35 1931.85 1494.8 1306.5 1067.4 1534.8 1673.4 2053.2 1580.7 1093.8 1486.8 2571.2 1590.8 1313.3 11039.1 12973.5 14577.1 2219 1246.1 2785.1 1798.05 2492.7 2050.7 2029.2 2251.5 1997.5 1495.1 771.7 2241.3 2659.5 1419.4 1427.4 2067.2 1325.9 2035.4 2084.6 1178.6 1765.8 1978.6 1429.4 2510.8 1976.8 2107 1180 1085 1700.4 2091.8 2727.1 2772.6 2563.4 1150.2 2207.7 1289.65 2065.4 1972.8 1676.6 1206.9 1759.8 1285.9 1504.6 1748.8 1760 1157.1 1997.8 1713.1 1177.2 11363.4 12019.7 10159.3 1923 2052.9 3046 2836.3 2344.4 2485 2923.6 1997.4 2043.3 1460.4 1083.3 2288.8 2493.1 1619.4
1623.8 2179.6 1591.75 1611.1 1208.6 1822.9 1687.35 1170 1913.2 2131.4 2492.3 1643 1635.4 1524.4 1896.7 1401.5 1270.5 2483.4 1758.1 1629.2 1838.7 1576.3 1580.15 1408.7 1892.3 905.5 1113.4 1143.8 1899.2 1661.3 1187.7 1759 2219.6 1318.6 1982.7 11866.8 12983.1 12963.8 2216.4 1473.2 1989.6 1830.35 1842.3 1889.9 1902.4 2163.4 1359.5 1402.4 883.4 2060.9 3422.3 1569.4 1654.2 2315.1 1323.6 1878.1 1518.5 1466.7 2038.45 1525.4 1782.1 2423.5 2229.8 2296.2 1182.4 1292.7 1837.4 1716.4 1366.7 2787.9 1544.3 1342 1975.4 1387.95 2298.1 1370.7 1911.1 1122.1 1721.9 750.1 1592.1 1887.5 1670.1 1280.4 1991.6 1757.9 1256 11110.5 11720.9 10959.3 1919 2259.1 2251.3 2401.4 1612.8 2408 2642.9 1945 1709.7 1595.8 1014.2 1913.6 3149.1 1518.3
3213.9 2011.2 2098.6 3635.9 1638.7 1289.6 2476.05 608.2 221.4 244.2 3239.8 1177 2333.5 166.2 1817.3 367.2 2087 2135.4 2560.8 1011.6 343.5 934.4 3185.55 525.8 1452.9 108.9 298.3 913.8 2029 1117.1 247 1717.2 995.2 711.5 428.2 8992.3 13136.7 2750.3 2255.5 1461.4 1766.5 1782.65 2526.4 440.9 1252.8 331.8 2348.7 1430.7 1995.6 17.6 560.8 1667.9 841.4 2453.4 2236 3897.4 1951.1 472.6 2822.95 1915.4 946.1 91.2 3889.2 2154.7 1594.1 422.9 1153 646.3 3253 2053.1 484.6 1099.1 309.6 746.85 3867.8 2113.6 1153.2 90.5 1376 1221.6 1064 2261.3 1369.7 2592.1 1268.2 3768.2 1603.6 12259.7 11139.6 12576.7 2476 1038.5 2952.2 3242.9 3052.4 1145.5 73.9 105.9 2734.7 3521.4 2252.5 84 1201.6 461.9
3295 1949.8 2217.55 3630.5 1722.6 1209.6 2454.85 597 197.2 248.7 3525.6 1107.9 2427.1 160.6 1952.4 375.8 2053.1 1952.4 2537.8 961 322.3 990.5 3312.95 595.3 1383.4 116.8 277 834.4 2177.2 1299.3 230.3 1597.4 980.9 646.5 376.4 8811.2 13367.1 2687.6 2079.9 1481.8 1871.1 1863.3 2413.6 330 1188.8 325.5 2515.7 1401.4 2001.4 5.2 599 1596.4 845.9 2354.7 2348.8 3816.8 2047.8 509.5 2810.65 1800.1 939.2 129.2 3671.1 2247.6 1461.9 470.4 1229.1 673 3246.8 2136.2 432 1062.6 252.6 740.85 4005.95 2301.3 1253.2 95.5 1426.2 1323.6 1067.8 2098 1301.3 2576.4 1225.3 3920.1 1645.3 12810.4 10978.3 11767.7 2424.2 983.7 3169.1 3681.2 3231.5 995.8 49.3 128.8 2573.1 3156.7 2199 80.2 1198.6 492.7
1933.3 2355.8 1794.45 1534.8 1361.1 2217.5 2244.9 1564.8 1826.2 2740 3256.1 1984.9 2174.2 1479.6 1699.7 1694.5 1855.9 3308.8 2032.8 2237.5 2302.1 1728.55 1407.2 1083.4 1653.1 1207.9 1948 1927.6 2427.8 2047.6 1854 1914 3133.9 1999.4 2040.8 12508 11608.2 13405.3 2940.8 1674.3 2080.8 2051.85 2636.8 2391.7 1967.6 2402.7 1443.6 2292.2 820.4 2328.3 3206.5 1860.9 2111.1 2553.4 1671.8 1984.4 2068.6 1822.5 2627.15 1994.6 1734.3 2573.5 3341.1 1895.6 1629.1 1315.4 1281.6 2242.3 2333.5 3147.2 2284.9 2251.1 2482.4 1950.6 1773.65 1349.3 1892.2 1372.7 2329.9 1119.3 1869.4 2688.6 2341.1 1630.8 2870.3 2411.6 1428.6 10424.1 10930.2 13511.5 2923.1 2717 2734.5 2996.1 2614.6 3032.8 2675.6 2310.9 1721.8 2191 1426.4 1771.6 3236.3 1658.9
1370.4 1790.7 1536.45 1471 1214 1560.5 1705.7 1580.2 1729.6 1904.6 2189.6 1788.9 1951.5 1642.1 1932.9 1184.1 1114.3 1736.8 2081.6 2579.7 2075.6 1507.85 1549.55 1607.8 2243.8 1098 1321 1470 2177 2151.1 1637.1 1252.3 1837.2 1624.2 1179.6 10474 12839.1 14372.7 1889.9 1326.8 2201.9 1277.65 2196.5 1807.6 1784.7 1942.1 2030.8 1647.4 1257.8 1757.7 2039 1503.3 1463.1 1663.6 1337.4 1826.9 1948.2 1075.9 1896.7 1596.3 1399.9 1810.7 1860.4 1671 1150.3 1364.4 1233.7 1616.2 2529.8 1335.7 1961.4 2213.2 2045.7 1322 1584.5 1700.7 2531.9 1402.7 1565.8 1171.5 1522.5 2167.9 1646.4 1367.4 1442.2 1761.3 1095.3 11074.4 10113.1 11485.8 1686.4 1731.1 2380.2 2524.5 1694.3 2395.7 2026.2 2289.2 1725.1 1308.2 1463.7 2120.4 1889.3 1634.6
2746.6 2783.3 2336.5 2022.1 2512.7 2487.6 2421.1 2549.6 2525.4 3584.5 3229.7 2923.9 3019.4 2320.3 3089.5 1901.5 2046.8 2677.6 2489.2 2920 2396.5 2301.4 2954.55 3049.4 2418.8 1310.8 2641 2665.3 3840.5 2613.5 2989 2102.6 3227.5 2885.6 2531.5 11415.8 12312.4 14396.2 3096 2410.2 3370 2297.2 3496.3 2823.4 3054.6 3627.7 2514.7 2849.9 1360.2 2306.2 3774.2 2002.6 2840.3 2639.8 2683 2438.6 3777.8 2101.1 2764.5 3123.3 2563 3447.9 3122.3 2653.5 2203.4 1861.4 2458.1 2651.7 3117.4 2073.4 2508.8 2676.4 2657.7 2009.45 2823.35 3230.7 3074.7 2105.5 3123.5 2296.1 2464.4 2734.7 2839 2415.2 3259.3 3296.3 1898.8 12362.1 11418.6 13735.6 3185.8 3106.9 3830.6 4013.5 3727.2 3649.9 3616.3 3983.4 2297.1 2440.6 1975.5 2192.8 3578.2 1984.4
1341.7 2441.9 1474.75 1366.4 2158.3 618.1 1975.9 1436.4 1767.3 921.4 3018.2 2529.4 1351.4 535.7 2148.7 1926.7 1769.4 2231.1 2335.3 3696.1 2296.6 2352.75 2094.8 2394.5 1447 1774.5 697.4 2298.1 1878.1 2171.8 2350.1 807 680.1 591.9 1444.8 4174.6 16326.3 8187.7 501.3 498.2 923.9 769.6 1170.4 1299.3 639.3 2738.7 710.9 1952.9 1317.6 1143.8 874.2 992.2 1633.8 2529 1943.4 1064.4 2075.9 653.9 2658.6 1965.2 1376 514.6 3197.1 2588.8 1321.9 640.9 1709.9 2054.2 2658.9 1274.2 1778.8 2761.5 2541.8 2093.25 1574.5 2201.6 2050.7 1857.2 1028.9 1683.3 1717.2 2602.1 2701.9 1049.1 430.4 2318.8 997 12421.1 12166.6 9543.4 1933.1 605.2 1573.5 1939.6 539.7 1498.1 976.6 3728.8 711.3 862.4 1755.2 1087 925.6 617.7
