"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60"
9.231 6.858 7.121 6.409 7.94 7.503 8.025 0.989 5.23 0.485 7.725 7.978 2.739 6.345 7.874 9.001 7.581 6.794 -0.169 7.653 6.412 7.669 6.954 4.979 7.61 2.415 7.384 6.895 5.346 9.305 2.429 6.784 3.188 7.288 8.058 7.829 8.027 9.524 8.742 4.288 5.283 9.846 10.031 8.181 7.929 5.644 8.58 2.432 8.122 7.529 5.463 8.337 5.258 8.466 9.039 7.458 1.939 9.233 5.337 7.954
-3.454 1.84 -0.458 1.532 -2.012 -3.975 1.468 -1.439 -0.616 -0.05 -4.969 0.126 1.346 -2.409 -1.13 -3.742 -1.969 -5.638 -6.147 -1.562 0.898 0.035 0.927 -4.828 -1.373 -5.649 -4.442 0.582 -3.103 -1.42 0.894 -5.161 -0.261 0.55 1.234 -3.792 -4.393 -0.82 0.636 1.776 -1.34 -3.696 -5.204 -3.475 -4.843 -5.605 -4.417 -3.495 -0.189 -4.943 2.146 -0.355 -5.178 1.731 -2.822 -2.78 -0.275 -1.388 -1.731 -2.328
0.771 0.695 0.947 -1.484 -3.407 3.62 0.311 0.297 -4.435 -4.074 -3.815 3.092 -3.021 -1.084 -3.758 -0.549 -3.903 -3.715 -3.497 -0.144 -3.329 3.62 -3.376 -4.311 -3.323 1.908 3.531 0.993 -2.74 -3.755 -1.01 -2.976 -4.252 -0.996 -0.098 -3.306 -0.225 -3.93 -3.291 -1.486 -3.616 1.156 -3.25 -3.828 -3.422 -3.909 3.289 -2.951 1.677 -1.054 1.297 -3.254 -3.732 1.719 -1.836 -3.791 -3.333 -1.391 -0.066 -1.063
4.135 0.361 1.645 4.594 0.404 1.333 0.226 -0.099 0.096 0.189 0.84 -1.558 0.149 0.923 5.743 2.686 2.42 1.173 -1.452 -1.029 3.224 2.406 2.822 4.83 1.827 -1.612 0.144 0.257 4.891 3.207 1.928 0.202 6.651 2.161 2.076 0.107 3.355 6.45 4.603 -0.57 -0.107 6.321 -1.896 7.753 6.417 -0.11 -1.624 -0.349 -0.223 0.113 0.411 -0.311 0.632 -0.438 0.631 3.168 -1.053 1.978 -0.093 2.615
7.359 2.593 3.134 5.399 7.678 6.606 6.658 0.685 0.227 1.423 7.875 6.572 1.655 2.793 7.428 5.984 5.57 5.396 0.407 7.546 5.244 5.054 3.297 2.851 3.537 -0.213 6.546 2.86 4.473 7.668 2.999 2.312 5.316 5.796 7.051 5.254 7.728 7.206 8.244 3.406 2.675 8.705 7.737 6.19 8.034 2.767 6.809 2.536 4.948 6.079 4.222 6.466 2.315 5.882 7.108 5.504 0.179 7.146 5.06 5.992
7.196 5.333 5.308 5.854 6.33 -0.137 6.622 0.973 1.7 0.137 2.137 5.356 -0.507 3.691 4.511 5.197 2.644 0.943 3.639 -0.211 3.973 -0.16 6.152 5.649 4.536 -0.444 0.059 4.632 0.647 2.589 4.633 4.97 0.064 -0.212 0.435 5.065 3.854 -0.577 1.511 4.829 3.394 2.898 -0.491 1.651 0.926 3.644 4.013 -0.018 -0.096 -0.274 0.111 5.31 3.458 4.706 4.074 4.476 0.492 1.94 4.686 6.705
0.474 6.807 3.194 0.429 2.428 4.551 6.943 4.728 -0.101 0.272 1.857 2.643 3.289 3.541 4.159 5.37 3.63 -0.509 2.588 5.263 5.095 1.043 4.066 1.132 -0.165 2.289 0.131 4.849 0.523 0.864 4.863 2.808 -0.094 2.705 -0.318 0.181 4.475 -0.195 0.881 4.505 1.294 -0.243 0.183 -0.392 -0.05 5.971 1.541 -0.879 5.3 3.101 5.314 6.661 2.798 7.051 1.6 2.355 -0.691 4.369 7.13 0.238
4.073 7.072 5.102 3.041 6.225 6.944 7.399 7.576 1.149 2.077 7.533 3.653 8.147 7.068 4.106 3.134 2.762 2.336 6.359 2.426 5.561 5.161 4.689 6.933 1.014 8.191 3.293 7.611 1.47 2.861 3.653 8.149 5.803 3.815 2.967 2.224 7.565 1.435 1.647 7.036 4.142 2.653 3.899 2.33 2.06 1.638 3.742 1.734 6.562 0.936 4.815 7.707 2.311 7.998 2.31 7.459 1.658 4.732 8.106 6.88
3.363 -0.501 2.568 3.256 -1.09 -1.487 1.467 -1.836 -1.713 -1.827 3.38 4.052 -2.157 -0.935 3.943 0.964 4.01 2.616 -1.76 -2.069 3.096 0.015 2.454 3.721 2.456 -1.922 -1.672 -0.153 -1.481 2.999 -1.402 -1.112 4.826 -1.903 -0.383 4.7 0.899 1.139 2.764 2.732 -1.93 3.749 -2.31 4.846 2.52 3.245 -1.424 -0.436 -1.283 1.232 -0.613 -1.702 1.806 -2.043 -0.093 2.886 -2.099 2.347 -2.165 3.876
3.117 6.137 0.272 3.529 1.55 -2.387 6.181 -1.352 -2.007 1.438 -1.906 -0.163 2.427 -1.568 -0.308 1.166 2.614 -1.396 4.589 2.848 0.008 2.534 -0.796 0.741 2.507 -1.472 -0.794 -1.172 -1.104 3.019 -0.381 -1.093 -0.754 0.975 -1.588 0.066 -0.729 2.961 -1.125 0.382 -1.56 -1.753 -2.531 -0.012 -0.593 3.097 -1.485 4.95 2.942 0.661 4.444 0.075 0.956 6.927 0.372 -0.269 2.566 -1.797 3.946 -0.405
1.456 -0.062 0.477 0.774 -0.33 2.901 1.393 3.487 1.197 -2.028 -0.074 2.937 -3.88 2.055 -0.9 2.353 0.848 -3.123 -1.512 -1.167 1.838 1.801 -1.962 1.5 -1.536 -1.927 -0.156 0.311 3.28 3.075 2.919 0.082 -3.702 -1.543 1.242 -0.683 2.676 2.787 0.955 1.254 -3.63 3.161 -4.371 1.217 7.718 2.787 -2.097 -1.771 1.309 1.576 -0.153 -1.128 -2.52 1.723 0.907 -0.168 -4.256 -0.148 -2.447 3.038
1.95 3.714 0.898 3.502 -0.998 3.473 3.711 3.236 3.366 -1.857 0.919 4.971 3.38 0.831 -2.24 3.476 1.8 -2.799 -2.849 1.761 2.556 3.772 1.032 -0.03 2.632 3.379 3.706 -1.529 -1.497 1.468 3.034 -0.281 -2.927 2.277 0.401 -0.725 1.941 0.239 2.33 2.272 -3.517 1.761 -3.606 -1.849 -3.592 0.727 2.515 -1.246 1.188 1.855 2.39 1.602 -0.818 3.363 -0.703 -0.242 -4.2 -0.03 -0.853 3.011
-1.109 -0.439 5.055 1.688 3.783 -0.836 -0.208 -1.118 0.341 -0.815 -0.107 0.167 0.924 3.636 0.669 5.563 1.998 -0.7 -1.117 1.477 6.245 -0.567 3.874 5.384 -0.59 -1.19 4.723 -1.453 -0.346 0.115 -0.504 -0.438 -0.617 -1.297 -0.259 6.543 -1.118 0.095 2.133 -0.000649 5.316 3.746 -1.338 -1.515 -0.156 0.704 3.967 -1.084 0.149 -1.422 1.487 3.334 -0.915 -1.419 -0.895 -0.76 1.754 -1.611 -1.518 -1.07
0.102 -0.331 -1.425 0.919 2.659 1.173 0.223 -1.528 1.113 2.081 4.652 -1.796 3.871 -0.41 -1.41 3.703 1.418 0.897 -2.29 0.264 2.938 2.538 2.311 -0.529 1.273 3.003 -1.913 2.544 -0.576 0.997 2.709 0.361 -1.808 0.508 -0.14 2.238 4.222 -3.54 0.107 1.935 4.34 -1.273 -2.784 -1.349 -1.474 -2.883 -1.615 1.355 -0.541 2.124 3.211 4.104 -2.657 -2.576 -0.657 -1.054 4.456 6.249 -0.569 4.508
1.93 3.708 0.835 3.43 -0.995 3.417 3.698 3.22 3.322 -1.857 0.859 4.848 3.333 0.824 -2.177 3.438 1.77 -2.518 -3.661 1.755 2.646 3.754 1.01 -0.088 2.626 3.377 3.585 -1.592 -1.363 1.466 2.986 -0.303 -2.894 2.262 0.359 -0.641 1.867 0.259 2.331 2.159 -3.514 1.774 -3.661 -1.839 -3.596 0.748 2.509 -1.204 1.168 1.785 2.389 1.645 -0.894 3.258 -0.635 -0.317 -3.38 -0.063 -0.817 2.989
1.082 1.807 1.824 -0.599 0.507 0.122 1.351 5.667 3.986 3.685 7.633 0.288 1.846 4.137 -0.585 4.665 -0.786 2.508 3.641 0.465 3.522 2.672 4.166 0.745 4.075 5.08 1.856 0.038 -0.253 5.416 1.894 5.543 1.346 3.634 4.961 0.924 2.918 3.567 6.848 2.394 0.6 -0.108 -3.3 4.932 5.795 1.235 3.899 3.638 -1.119 5.514 -1.648 1.89 3.026 -0.032 4.934 2.284 1.332 4.876 2.651 4.362
-2.703 -4.511 -4.933 -2.85 -2.308 -3.067 -3.531 -4.54 -3.938 -4.272 -1.858 -2.212 -3.358 -3.442 -0.436 -4.739 -4.795 2.216 -4.896 -4.421 -1.314 -3.449 -3.62 -2.248 -3.416 -5.208 -3.041 -3.791 1.484 1.801 -4.038 -1.208 2.874 -5.402 1.482 -0.851 -4.222 2.464 -0.22 -0.21 -1.563 -4.795 -2.732 -4.125 2.018 -0.296 -1.053 3.32 -2.653 -0.677 -1.154 -2.871 -5.236 -1.717 -0.138 -2.333 -2.176 -4.297 -3.094 -4.665
7.146 0.703 3.046 4.589 1.303 6.617 2.266 0.323 0.12 -0.214 0.314 4.519 0.383 1.678 -0.749 6.326 0.527 0.431 0.51 3.729 0.186 4.474 2.993 4.066 -0.285 4.065 2.859 0.031 0.803 1.968 0.441 0.99 8.439 3.218 2.686 1.521 7.302 1.953 1.23 0.303 1.084 2.748 0.577 4.859 5.472 -0.466 2.078 0.473 2.021 -0.425 3.448 0.193 -0.386 -0.155 5.038 1.375 -0.654 3.919 -0.824 1.176
-4.499 -4.383 -0.07 -2.704 -3.897 -3.452 -4.394 -3.633 -4.348 -3.3 2.292 -1.042 -4.512 -3.733 -3.874 1.893 -1.732 -3.781 -3.677 -4.651 -3.212 -0.542 -4.072 -3.355 -1.901 -4.029 -4.422 -3.543 1.489 -3.349 -1.268 -4.162 -3.712 -3.962 -2.898 1.923 -1.628 -4.107 -3.821 -4.177 -4.378 3.388 -4.212 -1.904 -4.148 -4.604 -1.944 0.993 -3.541 -0.891 -4.473 -4.413 2.536 -3.977 -0.057 1.615 -4.729 -1.687 -4.605 2.238
4.048 -0.105 1.559 3.991 4.374 2.691 7.519 0.889 0.449 6.129 3.218 5.915 5.494 3.107 1.074 5.141 2.605 0.071 7.51 7.226 2.196 3.554 1.649 0.665 3.478 6.575 6.875 1.826 2.124 2.239 3.947 2.271 0.812 5.73 2.651 1.913 1.957 1.017 4.996 8.205 4.462 1.621 0.783 2.289 0.634 5.93 6.262 0.716 2.513 2.81 3.381 1.647 4.07 4.506 1.541 2.382 8.3 2.317 7.47 4.662
1.562 -1.478 4.412 1.032 3.632 3.838 4.908 1.185 4.066 3.183 2.506 2.213 4.189 1.78 2.15 2.462 1.656 -2.621 3.704 2.752 0.765 2.687 2.39 2.253 3.912 3.928 3.425 -1.508 -0.309 1.984 2.586 2.71 -2.444 3.299 0.078 -1.68 -1.269 -0.652 3.21 -2.286 3.707 1.973 1.014 -3.039 -2.901 0.832 3.696 0.293 4.757 4.229 4.564 2.883 2.054 -3.264 0.397 -2.223 2.158 3.189 3.357 3.443
-5.158 -4.866 -5.19 -5.047 -2.761 -5.07 -1.614 -4.784 0.973 -3.379 -2.818 -0.707 -4.666 -4.835 -3.159 -4.51 -5.249 -4.512 -4.484 -1.904 -4.713 -4.291 -4.475 -4.764 -3.718 -4.12 -4.33 -3.55 -4.603 0.476 -4.906 -4.182 -5.532 -2.81 -3.412 -5.207 -5.033 -3.81 0.075 1.168 1.091 -4.497 2.996 -4.279 -4.191 2.172 -4.667 -1.972 -1.939 -2.527 -0.446 1.619 -5.079 -3.311 -3.963 -4.41 1.606 -4.67 -0.462 -4.691
2.484 6.192 4.227 5.357 2.242 4.521 2.667 0.79 0.802 0.259 7.51 -0.203 -0.216 1.812 1.353 2.686 2.218 0.502 7.438 1.839 3.832 0.346 5.247 6.396 0.583 6.362 3.74 2.321 2.475 3.699 2.701 0.283 -0.013 2.889 0.486 0.922 0.966 2.45 4.274 3.736 -0.158 3.291 -0.554 0.565 2.725 1.737 3.782 0.236 3.416 5.075 1.053 5.368 -0.112 6.644 4.779 1.599 1.965 1.884 8.256 -0.112
6.843 0.599 2.988 4.786 1.076 6.601 1.917 0.241 0.172 -0.17 0.135 4.389 0.34 1.173 -0.665 5.998 0.28 0.342 0.408 3.489 0.23 4.262 2.506 3.69 -0.065 3.802 2.676 -0.072 0.807 1.6 0.309 0.852 8.482 3.203 2.447 1.344 7.382 1.747 0.906 0.407 0.802 2.361 0.337 4.742 5.252 -0.247 2.303 0.231 1.631 -0.52 3.104 0.135 -0.188 -0.325 4.689 1.027 -0.601 4.249 -0.725 1.162
-4.659 -7.138 -4.737 -1.424 -7.672 -6.36 -7.698 -7.886 -3.35 -5.817 -7.194 0.977 -8.179 -6.933 -5.734 -4.424 -3.181 -5.416 -7.577 -5.219 -7.151 -0.479 -6.228 -4.234 -4.915 -7.522 -6.985 -6.995 -7.13 -5.127 -4.453 -6.866 -3.297 -3.658 1.3 -6.175 -3.503 -3.01 -7.599 -7.494 -6.815 -4.796 -7.828 -4.38 -7.085 -7.256 -6.027 -7.269 0.059 -3.188 -5.245 -7.169 -6.067 -6.894 -6.021 -5.842 -7.226 -6.016 -2.405 -6.821
6.751 5.084 5.596 4.654 6.407 0.565 6.542 1.985 2.213 0.199 2.938 4.691 0.155 3.996 3.777 5.748 3.216 1.351 4.918 0.381 3.342 0.507 5.447 6.357 2.591 0.325 0.25 4.429 1.161 1.571 5.724 7.168 0.354 0.496 1.189 4.765 6.842 1.398 1.182 3.86 2.03 3.96 0.546 1.464 1.348 3.65 3.628 0.516 0.272 0.401 0.238 5.699 4.25 4.45 3.293 4.918 0.513 1.99 3.425 7.286
0.335 6.821 2.28 3.195 -0.13 6.045 0.083 3.448 -0.771 -0.383 2.53 -0.246 -0.325 0.769 0.091 5.147 0.472 0.311 5.273 -0.355 2.348 2.166 2.706 1.463 0.136 1.324 1.637 1.963 6.217 4.493 6.682 1.106 -0.144 2.344 2.512 -0.239 5.601 3.466 2.572 -0.508 -0.49 6.688 0.669 6.943 -0.01 -0.576 2.179 2.441 -0.547 2.096 0.091 0.222 1.636 1.558 2.302 0.536 -0.614 2.244 -0.185 3.107
-0.43 4.639 3.537 3.215 4.635 0.36 2.978 4.36 5.179 -0.6 5.988 5.109 2.802 3.627 3.403 3.088 1.248 5.04 -1.468 6.449 3.585 4.131 0.379 -0.764 2.326 0.247 -1.004 1.792 4.19 2.85 2.999 3.949 6.887 4.423 4.302 3.328 3.631 3.833 4.338 4.333 -1.846 2.357 -1.926 5.713 3.669 4.403 5.34 4.287 1.056 -0.195 -1.132 3.781 -0.197 3.966 4.569 2.574 3.845 4.069 4.621 4.295
0.551 4.391 7.731 7.1 -0.142 0.332 0.9 1.816 0.447 0.538 0.03 0.119 0.234 0.437 0.517 1.761 0.374 0.799 0.272 0.668 1.522 -0.031 5.787 0.377 0.389 1.491 1.835 0.01 0.999 0.43 3.646 0.425 0.485 0.074 0.018 0.28 4.408 0.186 0.081 0.232 0.247 9.758 0.27 5.506 1.947 0.058 0.324 0.14 0.129 0.164 0.46 0.064 0.436 2.611 6.359 0.159 -0.067 3.741 0.381 0.84
3.631 5.879 3.708 1.187 2.949 6.213 1.703 6.135 0.898 5.884 1.557 0.388 0.48 1.71 0.57 2.005 0.993 0.592 6.203 6.243 1.185 6.017 2.253 0.903 0.716 5.896 6.875 6.692 3.154 3.771 5.812 6.798 2.365 0.788 1.294 1.232 3.012 3.01 0.807 1.173 4.053 4.469 1.031 0.448 0.306 0.664 5.558 0.537 4.54 6.11 4.25 2.431 1.937 6.825 2.362 5.25 0.651 3.966 2.353 2.445
-0.942 -2.657 1.003 -1.538 -0.181 0.005 -1.901 -2.821 2.628 3.546 3.437 2.307 -3.184 -0.501 -1.467 -1.101 -0.396 -2.679 3.046 2.695 2.066 -1.618 0.73 -1.929 -0.619 -2.409 0.81 -2.354 1.384 -0.1 0.112 -0.377 5.174 -2.583 1.327 2.038 -0.601 2.322 5.227 -2.35 -2.366 0.733 -2.813 0.299 0.791 0.108 3.262 4.247 0.324 3.181 -0.634 1.813 -1.901 -3.175 2.749 -0.686 -0.764 0.333 -2.057 -0.04
3.583 3.4 5.337 4.316 0.931 3.57 1.842 1.513 0.949 3.737 3.854 -0.997 2.855 3.276 2.702 3.246 6.182 3.051 1.355 -0.583 2.657 5.764 6.195 2.583 3.741 0.304 3.011 4.431 2.898 6.668 4.685 3.093 -0.471 5.103 5.967 4.306 5.778 7.023 5.471 3.687 1.711 7.311 1.358 6.859 3.019 -0.158 6.034 3.002 0.634 5.413 2.055 5.082 6.665 3.1 1.995 5.498 -0.534 6.098 -0.371 2.536
