"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
3921.8 3150.655 3862.3208 3152.052 2740.5151 3971.4856 3813.5764 3222.2876 3704.1855 3480.1921 3558.3796 4328.7695 2396.7039 3413.9363 3057.4321 2620.2834 1972.7513 2865.3625 2285.8372 4218.9307 3124.1353 1086.2 2226.2136 1199.3284 1584.2183 1516.1959 1160.5104 832.0456 1856.7047 1892.102 2256.0615 2228.8267 2585.8845 2247.032 1820.874 1426.0784 1695.3055 1256.2612 808.80835 1045.4248 2569.143 1272.7114 2194.9993 1649.7802 1218.1622 1468.3878 1236.4768 928.47906 1815.6687 1733.1503
-15.8 1258.3728 1502.3546 1912.5541 1198.325 267.22244 3690.2239 133.26677 3043.9097 4681.3125 3251.869 3171.3098 2287.1973 2786.4282 2810.544 3369.0579 1735.8553 1473.6936 3256.7156 2852.2598 1734.7076 1153.4 553.8969 389.67288 1017.35 305.8136 1435.8284 1093.9318 1497.1948 2014.5541 1429.8865 1458.0504 1839.0643 1303.1134 1382.3492 1532.425 1517.3242 1955.9985 1425.3975 2307.0981 1198.7401 1331.4503 1390.1108 1291.1171 963.07837 1572.0798 220.21765 672.9567 1215.6652 1988.9508
1867.6 2447.0837 3849.4338 3118.3108 2422.3633 3619.0059 3200.0835 3469.2407 4038.7083 4224.535 3138.0964 2924.7905 4161.699 3944.103 3205.8313 3935.9058 2452.4658 1844.486 2535.3413 3692.0293 2695.2305 1182.5 1787.4556 1172.485 1582.6956 1819.8778 1366.925 937.8596 1793.2 1845.9471 1760.3564 2031.5374 2375.756 1880.1042 1637.7651 1477.0244 2057.738 1487.5498 956.97736 1518.9667 2118.2727 1303.4388 1575.6533 1787.0952 1395.4928 1635.7139 1324.1448 1221.8057 1735.8085 1988.8529
2362.6 2760.6274 2517.374 2087.3015 2475.4226 3991.785 2790.3875 3476.0771 3523.142 1535.9854 2129.9885 2195.1606 4500.082 3761.4666 1390.2709 2777.2983 1396.6202 3505.7666 2160.0725 1508.1823 2916.8713 473.9 1927.5219 1182.4001 1460.3807 819.46564 1305.8417 414.56262 1464.3207 1288.9479 1512.9836 1446.2778 1282.4025 1830.9752 1270.3485 1986.635 1692.1272 777.0324 997.8239 1454.3406 1613.6296 749.5998 809.96405 1841.4209 1702.5228 947.3083 2813.081 1399.8135 1568.6692 861.0206
-8.7 2776.764 2512.7715 2574.1772 3950.2683 2158.1829 2653.0176 1860.9241 2771.753 1103.0673 2545.596 3157.5156 3776.8008 2783.8237 1300.9648 2227.8176 249.68839 1403.1829 3028.071 2542.8318 2768.1523 2629 1064.0891 1980.77 1988.5261 1.5577636 2131.2048 2101.8135 1665.3202 1548.2948 1010.4972 1138.7463 1130.4092 821.1249 1793.5219 1473.9923 522.87665 1003.36676 3209.032 1953.4397 1027.1912 1380.9231 998.8736 1824.327 1774.9653 1129.697 1124.9486 2068.852 1806.3594 274.5439
38.2 1408.7164 1586.5048 2807.9482 1911.769 922.5264 2657.4563 2084.245 3266.0896 1035.9895 2663.611 2423.2874 3808.7449 2795.8694 598.3639 4160.111 1647.967 2230.7664 2960.7332 2854.863 1316.1863 493.5 636.4302 658.5907 1044.2168 47.798748 1157.4858 1741.4482 1023.44946 1184.6439 1154.5609 1114.1945 511.3967 2030.4569 2178.2708 1139.1558 1959.4965 2045.4956 1713.9551 2295.0525 1315.1525 1634.411 308.41656 1483.0623 1515.3175 2277.513 1065.1289 1219.6877 1249.4425 1594.9485
2596.6 2192.7068 2392.0308 3414.1729 2188.0857 2245.3137 1832.1458 2545.4883 2997.065 3752.7935 3278.2773 3320.6428 2986.4927 2603.7917 3952.5244 3023.4258 2915.3606 3259.7942 3715.1182 2977.2212 2632.5322 476 1386.9075 864.3096 805.461 2337.3015 896.77484 1827.2947 1848.1887 1743.7155 1603.4578 1520.4583 2148.0989 1931.9661 1446.416 2073.554 2535.325 1720.9944 738.32794 1833.875 1406.8955 2403.2886 1190.2959 1392.7224 926.2348 1403.8804 1094.4641 1141.2202 1239.8479 2396.0198
249.7 2467.6807 806.0629 372.17468 1654.227 628.5505 3126.5703 1121.5847 1398.9274 958.4473 2866.4797 840.81976 3699.4626 1748.8834 198.23958 1762.894 389.33856 518.335 1238.2041 3686.6367 924.9804 274.3 873.04 664.7978 448.79572 101.17265 831.19135 168.09346 848.31885 1082.9774 2000.7495 826.13806 1323.4518 451.0576 261.56735 377.58493 135.24532 550.331 923.6822 427.14365 1859.3575 501.75687 415.66125 1171.6353 523.3617 584.2771 808.4786 583.7939 435.82468 1142.8563
2361.5 3189.7493 3512.986 3284.2278 3234.9873 3362.089 3479.6516 3144.218 3119.0833 3312.2363 2568.8872 2724.5654 4463.319 2800.4272 2911.5564 2826.5522 4026.166 4175.618 3381.7712 3208.8271 2709.208 1409.4 1829.2681 1630.7577 1782.5652 2123.8057 1543.093 1302.1641 1544.6747 1767.0754 1953.3788 2089.0437 1654.7308 1956.6759 1511.2566 1737.2574 1561.8763 1568.1476 1517.2736 1637.8301 1820.2502 1837.8403 1588.971 1817.8898 1698.8717 1415.2319 1890.5732 1529.216 1443.4753 1510.5787
1423.3 3038.3562 2703.5479 1941.3688 2544.8079 2711.2615 2035.2416 3235.1165 3200.8696 2248.4114 3176.367 2134.3406 3939.099 2937.3232 1992.5602 2623.5576 956.586 3531.7495 2129.0872 1589.6301 2444.996 714.5 2188.8408 945.16235 949.25836 1685.5822 1181.6831 364.03268 1889.4873 1928.1469 1630.1864 1500.8518 1823.865 1678.2971 906.3748 1291.8068 1528.9589 808.13385 926.3138 1702.01 1681.9537 534.82745 1409.258 1707.4551 661.1103 575.5451 1324.6179 778.1095 1885.8984 1203.9314
63.6 2873.0571 134.47166 405.9158 3038.668 1265.8453 1268.0253 564.54816 894.1497 322.20322 84.853195 774.3568 2033.2136 3055.1743 338.08682 2110.2344 1104.646 1693.479 3092.1685 790.58466 1477.6045 132.2 97.707985 2004.389 602.3282 87.97266 230.53812 751.3608 118.53937 178.15186 471.39114 254.09534 44.100266 438.09216 792.9039 1491.5858 580.4255 1010.01825 1535.237 525.16614 390.959 1097.826 452.09634 992.1734 1172.1907 1217.0166 407.3824 2051.8032 166.92523 385.29132
316.9 3681.4487 1321.8572 2877.3826 2318.8975 648.4334 1572.7468 802.72345 1497.9061 1462.001 2887.26 3986.422 2675.6821 1994.5149 3265.2754 1970.0171 1330.0526 1633.4634 2054.4587 2922.5505 2548.828 880.8 559.39185 1437.7753 727.2535 1708.2108 1353.4985 741.9883 1001.74695 1183.5764 1570.0798 696.377 969.5402 494.89587 926.37634 1332.3839 1446.722 1088.6434 1125.398 951.6724 1201.6392 789.9662 1672.2439 1275.9373 2046.1475 1446.0122 968.4034 1394.9424 838.193 1483.6139
2233.6 2030.1625 2232.475 566.9994 1155.6733 2694.0852 2469.1565 2525.2324 1827.5569 661.6729 2938.1719 719.49347 2563.9338 2305.4202 992.24945 2767.903 1015.45465 2471.1343 1763.4382 635.59174 1311.9531 275.9 1881.8884 962.4131 663.3496 384.2757 589.3661 229.0825 1546.0482 763.53485 927.03613 464.77655 746.70905 789.6124 755.1834 1376.1055 1346.721 567.8543 527.57324 667.99347 1531.6636 209.87305 810.21533 1526.3838 740.60614 567.68634 2141.2078 478.21756 846.8603 499.36652
412.3 3607.8516 1396.7257 2734.982 2447.0562 712.8707 1586.5306 775.7156 1542.6624 1572.4019 2547.1545 3792.3628 2478.5256 2008.8392 3085.9622 1978.2734 1220.1328 1110.1356 2099.823 2874.1094 2516.4006 861.1 649.85815 1448.9802 757.0572 1679.2692 1327.0881 690.2359 986.13403 1102.4441 1530.6484 722.85443 997.77545 584.026 980.92596 1354.0201 1412.4991 1079.102 1252.7433 841.60425 1299.2936 797.0489 1624.5013 1239.7491 1951.3832 1358.6926 964.2802 1387.1062 861.59106 1427.5305
3001.9 2910.315 2701.4001 2232.955 2087.8853 2858.978 3267.5225 2529.959 2995.2556 3092.167 2943.4536 3566.4304 2042.7408 2589.1416 2516.3389 2279.0645 2284.5063 1664.2355 2038.8647 3400.825 2569.1948 1057.3 2018.3157 985.0647 1244.1409 1402.3152 884.2335 864.30597 1412.0333 1411.274 1872.5972 1908.0784 2092.0723 1809.056 1746.5938 1205.7113 1393.6 1018.18353 804.2317 976.9111 2022.8918 863.40314 1628.9238 1238.4877 1110.3698 1292.4388 1149.958 755.6599 1532.609 1345.1184
1495.2 1138.7277 2367.8674 2359.554 1357.5029 2568.958 2385.7534 2503.4573 2502.8674 1490.883 3119.6538 2236.8567 2929.4417 2594.676 1920.4985 2754.522 911.102 2574.7605 1619.7506 2119.972 1298.6147 688.6 1691.2396 369.92322 1217.6003 562.3527 1013.5563 587.2744 1808.0344 1221.505 1088.1361 787.2317 1548.6683 1112.004 879.60297 1328.4161 1420.2745 846.85016 1220.7068 1205.269 1159.4055 558.73834 822.0253 1470.6227 385.5301 732.5021 1523.679 753.8598 1701.9241 530.4424
31.7 2658.6929 300.85446 234.32877 1246.2825 549.53925 1467.5388 120.52246 722.50305 100.04101 412.7502 273.68967 3973.8452 1783.7178 463.2133 1116.7559 858.0373 385.66895 1830.2697 1121.9551 1067.7091 273.9 253.74963 782.32837 206.17844 29.843473 549.3816 253.60039 367.79712 139.65799 411.6816 269.01898 35.446632 51.919884 804.5102 505.5303 159.99016 420.97092 1297.2512 598.96985 678.46564 607.146 18.34317 1121.7461 1600.373 266.65216 824.8361 363.9579 289.47974 446.2195
54 2056.9253 1884.6744 316.1254 118.36316 1344.7524 1736.0491 361.8206 832.1314 861.0224 736.2314 1565.0159 1938.7263 3616.5945 1156.1406 1128.7135 2101.5044 1878.7224 364.73758 783.70435 2332.0593 475.4 1078.1721 214.82794 131.3429 293.8434 456.6499 509.17038 317.9822 674.4903 667.62213 1277.6104 717.53076 1519.1072 499.49655 1444.4952 1776.2369 686.1133 479.86166 1257.212 580.0154 790.1792 452.85016 1670.919 169.94525 93.868546 1325.8346 1385.0942 648.3333 699.8178
1274.8 2831.2078 1777.7415 2323.9539 3180.4995 1774.1614 2001.9894 2450.8765 1949.3662 3445.3452 1917.3358 2851.2214 1842.894 2234.2864 2981.515 2440.0652 2209.8843 2694.0786 2991.6174 2178.8262 2757.8489 642.2 1528.3566 686.32086 902.5405 1628.9288 523.11865 921.3559 1392.1624 1558.3422 1295.4159 1156.3395 1492.808 1467.6523 1034.8566 1719.5518 1452 1159.3787 1230.5465 1687.0963 1465.3859 1504.6848 1481.4247 1391.374 849.72626 960.4062 1052.0159 764.55505 1137.1603 1569.0112
2060.9 2130.7852 2297.6782 3236.3582 2065.233 1893.3549 1926.2958 2394.4133 1847.9512 2255.2134 2531.9155 1978.5287 2440.6409 3319.1995 2872.371 3350.9792 1971.9222 2610.831 3167.9106 2333.0754 2507.3752 764 1438.0359 596.1979 637.5161 1644.7524 746.27954 1111.5222 1615.7343 1390.9911 1155.6857 1210.7385 1740.4906 1148.284 1231.9316 1501.2435 1727.9392 1494.293 901.37103 2018.703 1288.9484 1467.8333 1481.1733 1400.8995 719.197 2033.1271 929.26715 951.77576 1203.8948 1478.2306
2312.6 3664.1318 2449.7163 2802.5571 4242.5024 2791.522 2431.7769 2237.177 2348.4133 3189.3828 2454.2488 2859.477 2686.2183 3436.2368 2281.017 2976.0227 2013.0237 1919.378 2407.6526 2840.6377 2527.103 1927.6 1343.603 1833.5747 1454.7246 1797.1674 1731.286 1453.0066 1288.5491 1482.6731 1282.7794 1388.7278 1461.8545 1414.9186 1274.991 1181.4175 1490.366 1400.2087 1970.133 1399.8481 1472.1499 1376.1835 1266.9855 1308.4718 1700.6141 2167.3809 1500.0891 2188.83 1225.2241 1506.8595
882.5 2904.018 1744.7565 2637.2908 2161.352 874.0162 1431.3274 997.8551 2252.4275 2983.4407 2480.744 2134.1316 1878.8733 2664.1821 2020.5997 3472.9753 1017.34985 1835.5194 1234.7612 1548.7202 1673.1276 793 814.16046 779.507 725.9483 1420.0245 658.9333 468.0129 1280.033 1265.1482 1017.37787 1444.4397 1262.7654 1199.3899 833.642 686.4432 1329.2407 922.3102 539.70135 830.5146 740.65076 718.1801 1388 1312.4298 662.355 818.7301 1100.142 639.3883 876.6429 946.85846
2394.8 1454.8951 1613.8135 1550.418 951.1908 2350.7664 1970.8397 3275.8813 2204.1216 769.353 2660.5808 1470.0238 2560.5713 2734.1765 1284.8422 2299.1362 1261.1157 2834.0808 1557.476 1674.1464 1184.7992 998.2 1975.4844 436.83026 883.01587 543.4135 859.2986 584.354 1494.2646 1056.2892 1363.131 599.1329 1140.6715 1151.598 824.58905 1491.0618 1129.9767 634.1399 1196.7938 979.9065 1047.9385 295.55832 819.9146 1260.018 618.20905 628.4826 2275.3796 899.88763 1612.077 520.41
626.6 527.2519 883.00244 882.19525 636.1 757.5293 574.3999 825.2581 3062.0068 863.22 701.2511 4034.075 1638.4519 822.19006 875.3245 723.4357 467.27734 905.93994 907.7935 796.16327 612.36725 304.3 365.28592 333.48712 454.12555 378.78253 2392.285 328.17276 429.1043 378.21945 348.6971 353.6153 342.87262 586.3516 289.46118 435.60577 433.03473 350.14392 342.44775 422.42734 808.2927 520.6619 498.73325 976.2105 348.52054 327.0118 1982.1616 242.2856 401.4766 390.7724
2213.2 -4.9852133 1181.7858 -26.212103 -60.6101 1253.1453 2578.0247 2976.8542 601.59863 980.6321 887.755 55.385845 640.5632 204.61153 26.146875 220.5041 19.188576 2203.3567 -30.1754 174.89001 205.82632 3.8 757.1004 -48.527737 353.29337 63.622345 48.099472 -8.421652 882.2919 811.44806 769.90576 237.15858 482.8286 852.3465 1.0445672 155.1965 28.660883 -11.101118 -25.743652 23.07162 816.30743 -19.01159 685.0797 181.89772 -37.590427 -1.7463915 49.95115 -9.318677 62.311623 -12.626083
3039.3 247.03044 1879.9952 233.4922 520.3897 2538.665 2352.9683 2820.2932 1332.5239 406.86133 1627.1033 503.6977 1827.4264 909.1133 369.63132 570.97614 619.3646 1147.7345 451.6184 474.2764 683.37213 266.4 1149.7155 258.35782 500.40826 796.5911 362.29526 209.31882 1354.4348 1036.8853 983.3385 420.04944 701.9431 991.1872 372.63968 653.61456 276.44983 183.9024 212.8142 189.48045 1054.1342 168.0156 612.05884 562.3519 335.57547 346.0038 749.9432 285.91394 652.3995 186.7486
1714.6 1532.8219 2028.8115 2301.3667 1393.216 1934.6821 2007.5183 1587.9762 1987.301 2199.7512 2233.8037 1715.6027 1700.995 2213.1252 3321.7751 2148.527 3022.4375 2319.8218 2622.4246 2416.569 3660.6257 550.8 1377.3005 540.7376 787.18726 1378.7848 571.51324 1352.0146 1221.1982 1250.0771 1253.1395 1150.5626 1259.6589 1115.2018 1289.2667 1567.0131 1501.3196 1292.6838 665.216 1221.33 1136.2709 1539.4061 1678.1741 1173.6361 487.016 1242.4485 587.7878 695.61804 1105.63 1747.1466
450.4 4102.699 730.42737 789.8952 3190.9075 1276.5675 878.0314 970.8472 1055.3556 913.3451 641.33435 738.51276 1149.8754 1499.5079 1005.42804 1584.3839 842.0468 1862.8269 848.4553 529.9697 555.819 339.1 519.8356 1164.5044 496.76443 777.07806 305.6382 145.74892 511.93076 357.9364 621.6078 582.8088 469.73718 521.5244 465.33536 488.0866 447.9611 513.08264 244.73631 468.4431 456.61148 393.86475 750.3111 974.9927 238.07271 165.79803 424.34818 545.88385 373.3347 594.7962
308.3 741.7473 1043.2485 2453.3413 1107.92 2218.248 955.9055 1656.0022 993.89417 212.53484 1006.2896 2515.458 2196.8572 1139.1182 2700.068 1961.6183 1887.3503 1184.5183 2997.0857 2028.3894 1566.74 1137.4 962.0143 901.8743 176.10281 127.98258 138.7655 1655.5338 597.4586 319.06577 962.2664 1006.14056 808.61584 400.99823 1441.5414 1328.1542 1333.1567 1444.3838 1235.8097 1629.0986 827.0506 1303.7052 411.99265 1064.2017 1538.3862 2015.2267 591.3026 907.08844 1522.1228 754.8734
2996.7 259.62466 1842.3308 258.0312 581.20386 2473.395 2374.0723 2890.2603 1445.911 496.12387 1681.3055 562.53204 1549.3447 1059.8453 433.4914 554.7479 856.85284 933.85895 589.5342 547.1705 714.36194 301.9 1124.2787 270.12698 505.30304 738.462 352.18848 261.61456 1433.1406 1147.5315 979.6335 410.4651 708.7107 940.89526 419.3357 634.7859 280.36588 209.91205 226.20088 227.08337 1013.32166 167.80258 653.5697 652.03937 313.1706 412.1484 695.19293 306.6692 710.5023 213.90936
1292.7 2013.6326 710.86646 1275.6556 1349.5441 715.9937 1068.0443 807.61865 1280.0415 1449.4435 1098.7623 2467.9097 1282.1351 2298.5835 2879.2407 3167.9136 3013.08 1826.9602 1694.9867 2483.8843 1497.5721 1669.2 712.5223 829.8888 594.8229 893.58246 398.5912 1956.4719 616.3223 591.47424 604.47235 780.79834 519.4401 980.4311 880.1833 1069.1564 850.2918 1201.5355 879.9752 981.62726 565.1228 1088.6132 1301.6616 799.5322 2165.5571 1489.4536 1163.7468 1228.5828 1422.895 1096.5607
1613.7 1391.0057 1642.7329 3008.164 1028.3309 1051.4011 1014.15546 1639.2911 2201.755 2559.9407 1960.6283 1628.0304 2183.631 1397.1207 2185.262 1300.9601 1130.2308 2468.689 1237.9003 1327.3417 1791.0164 449.6 855.7546 297.13162 792.68024 2398.464 256.2846 356.42603 1027.4786 1136.8562 1001.2679 1231.4391 1247.8434 1069.0961 805.20654 848.22784 1476.5747 652.6264 253.43195 775.25745 886.7346 482.74527 1574.8491 1044.3243 256.1626 957.8957 516.81525 331.3425 923.40326 790.9409
1823.3 1275.0339 1781.2701 247.24892 628.3451 1974.0316 1962.1178 1918.7377 1311.2247 277.101 2421.6929 331.16553 1987.5952 1585.4546 472.11584 2048.8804 479.47748 1629.8971 890.98444 258.19754 919.46936 108.5 1494.2953 607.7253 417.36044 138.47699 432.74768 59.766563 1212.2242 431.59595 747.01434 230.59395 550.449 570.1884 472.99548 1054.0336 986.16144 288.72083 249.77063 317.26663 1325.7251 49.52599 450.63895 1109.4369 470.75165 314.45963 1544.9708 212.21167 587.1988 328.27817
1971.3 2970.4 2282.1829 2894.2065 2201.7588 1529.3201 1894.8345 1214.4241 1950.8278 2437.1917 2898.6892 2424.019 1906.334 1839.0623 3014.181 2330.3113 2344.678 1931.5035 2253.6367 2452.83 2291.485 1082.1 1229.7014 1118.3145 1187.5792 2471.023 1253.8323 905.0559 1078.0719 1013.2112 1260.748 872.8346 1348.8025 1559.1661 1281.6066 1081.3969 1311.0226 1216.1229 780.08984 1065.7559 637.9942 1409.9995 1514.945 1185.9888 809.7294 1350.8337 837.20557 925.6199 1100.5295 1510.5787
1923.5 2992.9646 2096.6995 2820.3108 2057.8865 1501.8379 1655.9944 1138.8866 1842.1044 2178.194 2701.2756 1842.4675 1816.6664 2033.907 2845.8037 2594.0908 1894.5757 1828.1829 1984.2856 2513.079 1795.8086 1030 1284.578 1223.9954 909.6108 2623.192 1148.6332 758.15247 958.3421 941.4355 1163.9557 733.9706 1192.6487 1606.2023 1080.2372 965.3926 1124.3579 1146.8556 734.4378 1005.1451 655.2173 1133.0269 1368.3503 1197.3411 784.5861 1235.1354 683.83734 861.6599 896.15314 1610.5598
92.1 2322.0598 1612.8162 2166.6812 2891.5303 1701.6041 1945.297 1223.3705 1455.3772 818.5364 1227.9469 2068.6091 1939.8472 1530.1101 906.16797 1740.9718 2805.5593 515.6858 1951.8826 1629.7964 1079.8494 752.1 877.15204 1164.3433 1234.5688 116.25836 298.85117 1784.9149 751.11566 372.7562 861.7361 995.19946 695.6193 507.1636 1215.2959 784.59204 747.1126 893.5482 1212.24 1101.383 735.7624 1009.7976 360.481 749.3386 930.6328 856.60504 442.12512 1169.0703 1001.55145 986.3516
921.1 1690.1185 1474.3556 2185.643 1548.1084 1671.7278 1092.7305 1288.78 1462.1986 2372.6255 1033.131 1791.8888 1130.821 2218.1714 2587.8398 2578.005 1986.2545 1213.9657 2984.023 2618.7942 2055.787 450.1 961.5775 746.9402 608.90894 1113.801 646.1707 1076.0698 1074.0885 873.61597 742.05237 758.5223 796.91125 1077.4683 1096.0605 1450.5968 1309.4335 1058.2301 806.4056 1284.7451 728.42975 1878.2065 1377.8988 758.82056 548.91986 825.3883 385.07672 648.3893 911.526 1553.5956
