"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47"
2.196 0.767 4.692 2.354 5.942 0.53 2.385 3.974 4.896 -1.894 -2.858 4.126 3.737 -1.66 5.675 -3.064 5.542 -1.763 5.313 4.63 4.724 0.993 1.552 4.243 -0.83 -0.803 -1.278 0.697 4.001 2.811 -0.266 2.516 4.622 1.739 1.117 5.492 5.156 0.001 5.608 5.252 3.403 -5.085 5.101 -1.814 1.446 1.255 3.209
1.604 0.647 5.145 2.418 5.133 -0.697 2.36 4.538 4.926 -1.658 -3.054 2.805 3.284 -1.366 5.722 -2.554 6.424 -2.031 3.921 4.194 4.479 0.475 1.909 3.725 -1.098 -0.796 -2.407 -0.96 3.329 3.063 -1.438 2.954 4.352 0.618 1.061 5.239 4.664 -0.824 5.577 4.272 2.078 -3.865 5.536 -2.312 1.206 1.403 2.855
0.286 -1.845 -2.849 -2.927 -3.061 -3.971 -2.183 -2.688 -3.998 2.488 1.05 -4.295 -0.15 -3.768 -5.49 -3.814 -4.372 -3.149 2.058 -0.584 1.881 -2.422 1.237 -0.002 -3.982 -0.635 -0.335 3.121 3.967 -4.62 2.356 -0.882 3.207 -3.645 -5.42 1.465 -2.125 -6.68 -2.144 -0.142 -2.977 -5.31186541183687 -4.589 -0.956 1.216 4.018 -1.902
1.068 -1.092 -2.348 -1.717 -2.516 -3.771 -1.764 -2.042 -3.339 3.239 1.302 -3.543 0.434 -3.608 -4.58 -3.346 -3.563 -3.452 2.499 0.442 2.529 -2.417 1.428 0.0168177468389532 -3.665 -0.212 -0.018 4.035 4.347 -4.335 3.1 -0.538 3.467 -4.194 -4.579 1.81 -1.365 -4.262 -1.57 0.657 -2.32 -5.389 -4.303 -0.575 1.858 4.623 -1.594
3.101 2.491 -1.389 1.794 4.691 -1.042 6.346 0.643 -0.393 5.274 1.589 -1.495 5.126 -2.791 -1.315 1.241 1.361 -3.177 5.506 3.73 4.928 -0.946 3.178 0.648 -2.014 2.138 2.653 3.704 4.732 1.436 3.418 3.568 3.994 -0.63 1.228 5.085 6.194 -3.964 4.468 4.498 3.41 -1.892 0.883 3.529 3.698 5.817 0.826
-2.141 -1.846 -2.039 -2.272 2.556 3.591 -1.995 -1.97 -2.777 -1.451 3.973 -2.193 -2.726 3.105 -2.419 -2.166 -2.524 3.165 3.677 -1.534 3.307 -1.983 3.248 3 -2.261 -3.081 -1.478 2.759 -0.444513714239166 -2.396 3.596 -1.985 -2.82 3.626 -2.656 3.143 2.15 -2.139 -1.217 3.785 -2.728 -2.669 3.497 3.528 -2.066 -1.98 -4.255
4.665 7.303 0.577 6.12 4.612 3.618 5.596 -0.744 6.876 -0.753 1.9588570949969 4.919 6.333 1.023 -0.427 -0.633 6.751 -1.093 5.747 3.889 2.428 0.038 4.789 -1.414 2.209 1.895 0.482 2.809 6.114 6.564 3.671 3.38 4.539 5.331 4.151 6.358 7.946 -1.74 3.086 2.797 3.332 -1.45138766685756 5.673 -0.112 2.121 3.509 2.926
0.822 -1.086 -2.909 -2.245 -3.306 -4.6 -1.873 -3.096 -4.064 3.061 0.92 -3.497 -0.078 -3.283 -4.833 -4.192 -3.965 -3.693 1.787 -0.196 2.019 -2.135 0.949 0.28 -3.926 -0.702 0.054 3.39 4.203 -4.309 2.308 -0.93 2.616 -4.694 -4.557 1.621 -1.459 -5.191 -1.796 -0.044 -2.197 -4.134 -4.417 -0.888 1.373 4.08 -1.407
1.04 -3.777 -3.55 0.864 0.311 -2.786 2.832 -3.389 -3.222 -3.79 -1.266 -3.34 2.999 -4.202 -4.343 -3.342 -0.31 -2.962 3.664 -0.866 0.733 -3.82 2.008 -4.292 -4.211 -1.454 -1 -1.364 0.76 -1.299 -3.219 2.193 -2.681 -3.433 -3.609 2.54 3.879 -3.912 1.074 1.845 0.198 -8.572 -2.581 -3.375 -2.175 -1.816 -1.1
-0.506 -1.597 5.204 -0.383 6.428 0.317 -0.725 2.871 2.279 -1.776 -0.597 1.044 -0.274 4.195 3.891 -1.37 2.404 -0.115899157736392 4.224 1.461 3.713 -0.195 1.954 2.779 -1.933 2.914 3.713 -1.445 -0.092 -0.545 -1.587 4.154 0.917 -1.472 -1.739 3.234 3.22 -0.581 4.234 4.606 -1.76903073933219 -2.37 3.453 -1.156 4.462 -1.598 -5.802
5.054 1.033 0.663 2.755 3.91 0.168 6.177 0.255 4.407 5.027 0.812 1.066 5.057 -0.796 -0.437 4.925 3.985 -0.084 4.852 4.053 4.407 -0.396 4.567 -0.088 -0.946 4.22 4.316 5.581 6.036 2.237 4.958 4.698 5.622 1.843 1.623 6.213 5.848 -1.338 0.381 3.714 4.016 -3.56 3.754 3.564 4.998 5.582 -2.751
4.687 7.17 0.753 5.983 4.629 3.769 5.581 -0.174556979780403 6.364 -0.398 0.264 4.619 6.033 0.986 -0.495 -0.488 6.195 -0.306 5.272 4.217 2.307 -0.386 4.686 -0.382682031908963 2.494 1.943 0.941 3.541 6.34 6.335 4.031 3.501 4.708 5.594 3.705 6.575 7.993 -1.411 2.725 3.077 3.371 -1.25025380428853 5.606 -0.449 2.4 3.141 2.704
-1.117 -2.039 -0.258 1.196 1.977 1.441 0.047 3.635 -2.278 -2.013 -0.661 -2.557 0.348 2.967 3.396 -2.801 -3.553 -3.296 1.68 2.5 2.185 2.951 1.605 3.568 -2.308 3.12 3.521 -1.474 -3.768 -1.931 -1.353 4.032 -2.911 -0.144 -4.584 -3.031 -1.302 -0.168 2.268 1.918 2.9 4.394 -0.988 -1.899 3.977 -3.475 -2.03556551757663
0.192 -1.755 -1.52597984369685 -1.746 -1.858 -0.255 -1.512 -2.185 -3.175 -0.472233782437832 6.756 -2.9 -2.671 -2.093 -2.768 -2.336 -2.703 -1.174 -1.052 -1.411 -2.979 -1.022 -1.544 -2.012 -1.02001550607588 -3.333 -1.852 -0.898 -0.972339927341143 2.012 -1.283 -3.095 -2.304 -3.59 3.235 -0.096 -0.104688760150703 2.341 -2.569 -2.218 -2.07298616313188 -2.894 -2.313 6.749 -1.249 -2.588 8.182
4.646 1.229 0.376 2.529 3.544 -0.27 5.457 -0.283 3.925 6.148 0.98 0.46 5.663 -0.119 -0.932 4.383 3.891 0.565180864944365 4.802 3.487 4.053 -1.885 5.189 0.25 -1.101 4.008 4.475 3.7 5.991 2.058 5.104 5.19 5.715 0.933 1.558 6.945 5.652 -1.573 0.734 3.70829604270261 3.645 -2.68444150135654 3.697 3.45 5.464 5.896 -0.248009771557494
-0.558 -2.621 4.722 -0.789 6.1 -0.29 -0.118669344812774 2.776 1.963 -1.796 -1.431 1.1 -0.285 5.085 3.768 -1.365 1.913 -1.05 4.291 1.502 3.815 -0.157 1.75678004328191 1.998 -1.788 2.513 3.783 -0.929424466444262 -0.299 -1.38 -2.536 3.478 -0.021 -0.925507618517812 -1.489 2.514 2.713 -1.421 4.292 4.517 -2.35304027720176 -1.88640470095874 2.958 -0.797601249247283 4.206 -1.656 -3.2546463847357
0.506 -3.261 2.036 2.535 1.658 2.55 -0.516 2.809 -3.267 -2.467 -1.918 -2.234 3.316 3.291 2.615 -3.254 -2.655 -2.452 1.37 0.781 0.779 1.297 3.071 2.291 0.713 3.166 2.302 -0.61 -3.604 -2.355 1.071 2.866 1.494 -1.941 -3.321 -3.168 -0.2 -0.063 1.934 1.286 1.727 3.274 -3.649 -1.947 3.215 -3.067 -4.941
1.921 -1.945 -3.079 -2.122 -2.33 -2.892 1.741 -3.268 3.207 -2.809 1.046 2.176 1.535 -3.568 -3.232 -3.272 3.661 -3.311 -0.956508854665906 1.971 -0.982 1.479 -3.779 -2.365 1.375 -4.78 1.898 -2.913 -2.129 0.535 1.654 2.788 0.773 -0.721701698155614 -1.9 -3.126 0.274 -3.546 -3.128 1.854 -0.035 -2.33471754637624 3.052 -3.022 2.587 -3.043 -4.644
0.0861625115460112 -1.137 5.183 -0.77 6.011 -0.081 -0.189 2.908 2.052 -1.81 -0.669 0.636 0.039 4.052 3.584 -0.974 2.191 0.151 3.794 1.257 3.663 -0.48 1.782 2.626 -2.05 2.34 3.441 -1.01 -0.689 -0.604 -1.898 3.951 0.336 -1.131 -1.42 3.036 2.638 -0.738 3.947 4.368 -4.808 -2.344 2.722 -0.736 4.219 -1.715 -1.862
0.591 -3.179 2.188 1.959 2.34 1.1 -2.557 1.693 4.19 -3.531 -2.74 -0.329 3.972 0.593 1.885 -5.011 5.346 -2.71 -0.475 1.402 0.745 1.075 2.191 -0.02 0.546 2.139 0.933 -1.457 -1.954 2.669 -0.055 0.37 0.315 -2.399 -0.973 -0.096 3.769 -2.789 1.049 2.104 0.174 -1.22775166245629 4.892 -4.512 -0.229 -3.572 -0.909909924649328
-0.586 -4.118 -2.511 -2.911 -3.879 -3.111 0.169 -1.634 -3.555 3.194 -3.203 -3.306 -1.101 -4.085 -4.959 1.291 -3.401 -1.946 -5.621 0.519 -0.493 -3.753 -1.356 -1.58 -4.846 -3.339 -0.626 -1.952 2.779 -4.406 0.661 -1.688 0.436 -3.315 -4.509 1.578 0.103 -5.43 -4.375 -3.454 -3.5410453476185 -4.64632219737177 -4.481 -1.282 -0.919 4.895 0.739
-0.521 3.884 4.939 4.41 4.662 3.136 3.698 5.088 0.588 -1.463 4.377 -0.375 4.604 4.491 3.526 -2.09 0.751 -1.441 2.825 3.719 4.485 3.112 4.992 5.729 -0.711 4.994 2.958 1.701 -1.05 1.375 1.93 5.029 -1.278 4.343 3.197 -0.156 0.734 -0.282 3.471 4.738 4.353 3.036 4.458 0.632076768886062 5.118 -1.191 -2.328
-0.609 -3.527 -2.055 -2.551 -3.077 -2.654 0.279 -0.988 -4.409 3.086 -2.861 -3.149 -0.944 -4.151 -3.992 1.586 -3.607 -1.455 -2.657 0.572 0.265 -3.217 -1.223 -1.865 -3.906 -3.668 -0.789 -1.064 2.814 -4.877 0.847 -1.646 0.512 -3.255 -3.801 1.704 -0.082 -3.51 -4.819 -2.756 -5.964 -6.538 -4.055 -1.289 -0.909 4.95 0.816
1.51556824867512 0.527 -1.994 -0.699 -0.665 -1.449 1.08731254771778 -0.624 -1.922 3.608 4.634 -1.533 1.529 -0.642 -2.703 -0.975 -1.779 -0.372002826288962 4.011 2.373 4.635 -1.1809366993357 1.627 3.117 -1.051 1.226 3.056 5.814 4.762 -2.188 4.132 0.757 4.564 -0.695526819246437 -0.844 2.465 0.789 -0.829448444898836 0.044 1.913 -0.00713138609610919 -2.02832364295549 -2.932 1.354 4.035 5.271 -0.525498608652649
-0.011 -4.041 -1.599 -1.741 -1.507 -0.434 -0.514 -3.633 -3.131 -1.851 5.08 -2.044 -1.559 -3.759 -2.456 -2.272 -1.43935136750919 -0.909430084592644 -0.942170251982224 -0.93059689988636 -1.711 -1.31985428768378 -1.851 -2.385 0.222 -2.562 -3.126 -1.336 -0.427 0.36825222212702 -1.066 -1.718 -2.494 -2.031 2.749 -0.507 0.787 2.314 -1.37765833448988 -0.284 -1.90758522827298 -2.87675725967617 -2.619 6.462 1.659 -1.903 7.741
3.719 4.921 -2.643 2.425 -1.819 3.703 0.945 -3.26 -2.932 -2.541 3.079 -2.323 -1.449 2.269 -2.844 0.74 -2.854 -1.969 -0.492 -1.205 -2.701 -0.186 2.41 -2.265 2.761 -1.817 0.234 0.892 -2.219 3.27 2.941 0.382 1.867 3.979 1.835 -1.974 -0.439 1.677 -2.784 -1.75 0.953 0.915 -2.99 1.823 1.169 -2.864 2.936
3.222 -0.47 -1.765 -0.913 -2.268 -2.01 2.351 0.812 -1.454 2.938 -0.959 -0.648 1.868 -3.079 -3.46 2.92 -1.925 -2.076 0.017 2.358 3.423 -2.421 0.413 1.536 -3.772 0.302 2.409 4.342 4.565 -2.197 1.892 0.007 3.188 -2.373 -3.851 3.297 0.992 -2.017 0.54 2.235 0.691 -2.46064263072307 -1.678 0.97 2.784 4.427 -0.79
0.06 -0.93 5.949 0.645 6.933 0.917 0.535 2.913 1.568 -1.289 -0.539 1.84 -0.017 4.335 4.65 -0.667 2.302 0.168 5.041 1.889 4.643 0.658 2.468 3.954 -0.564 3.786 4.414 -0.026 -0.43 -0.105 -0.463 4.771 1.13 0.31 -0.467 3.746 3.164 0.169 4.749 4.724 1.09719251469463 -1.723 3.695 -0.754 5.158 -0.853 -2.625
-0.676 -0.974 -2.132 1.415 3.437 -1.782 4.992 -2.134 -1.906 -0.926 -0.318 -1.61 5.445 -2.496 -2.08 2.229 -0.727 2.023 3.58 2.499 2.903 -1.874 2.378 -1.183 -2.474 0.23 0.584 1.342 2.593 0.372 -1.144 3.575 -0.803 -1.727 -1.383 4.544 4.21 -2.183 1.414 3.261 3.009 -2.854 -1.569 -1.218 -0.04 2.744 -1.957
0.718 -1.157 -1.995 -0.09 -3.832 1.276 -2.81 1.035 -1.821 -4.175 -4.696 -3.339 0.858 3.069 -5.367 -5.214 -3.209 -3.439 0.085 -1.179 -1.599 1.009 2.386 0.394 1.837 1.761 -0.359 -1.628 -4.338 0.248 0.548 2.097 1.863 -1.767 1.281 -3.496 -3.352 -0.375 -3.461 -0.216 1.56 -0.745 -4.411 -4.615 0.884 -4.248 -0.63
2.127 -2.302 -3.771 -2.335 -0.184 -2.075 -1.653 -0.125 -2.787 2.242 0.585 -2.22 -2.511 -2.423 -2.008 4.98 -2.721 4.85 2.094 2.526 3.698 -1.614 -3.383 0.153 -3.172 -3.331 -0.953 -1.935 -3.382 -3.135 -2.27 -2.741 -3.152 0.72 -3.475 -2.435 -2.113 -2.25 -2.103 -0.138 -2.45826914621719 -2.941 -2.76 4.327 -2.569 -2.45 -0.963
2.22 -3.122 -2.619 -1.557 -0.329 -0.976 3.11 -1.904 -2.672 -0.165 -0.707 -0.266 0.46785461767935 -3.499 0.002 -0.378 -2.064 -1.429 -1.982 2.811 3.098 -2.233 -2.235 2.039 -1.113 -0.461 4.925 -0.629 2.993 1.309 2.731 -1.194 0.542 -1.395 -2.832 3.619 0.651 0.388 3.82 0.188 -5.991 -0.91 -1.596 -0.471 1.828 4.964 2.062
1.691 0.142 -2.996 2.223 5.017 1.003 2.608 -0.885 1.938 -1.986 -0.66 -0.744 3.517 -2.675 2.647 0.28 0.658 2.468 4.941 2.244 3.001 -1.664 -0.081 -0.135 -0.212 1.226 -0.169 -0.315 1.644 4.324 0.138 -0.144 1.35 0.994 3.038 4.099 5.278 -2.792 3.059 4.573 -3.155 -3.771 -0.727 -1.798 -0.404 2.133 -1.737
1.339 2.982 1.561 2.702 2.001 1.762 0.214 2.039 1.454 -2.352 -0.687807310563305 1.756 1.648 4.323 2.442 -1.808 0.82 -1.03364698548644 1.966 0.922534987660235 1.069 3.077 5.652 2.879 5.825 5.043 -0.077 -0.366 -2.321 4.714 3.862 3.433 3.862 2.908 3.124 -1.599 -1.391 0.703 0.28 0.978 1.912 1.854 1.541 -2.045 2.911 -5.339 -2.34919033958713
1.318 2.724 -0.788 -0.927 1.21 -1.248 1.807 -1.338 -2.951 5.237 -2.005 -2.681 -2.28 -1.496 -2.815 -0.533 -2.86 -1.413 -0.685 0.382 -1.249 1.855 -0.086 -0.813 -1.451 -2.901 0.363 -0.989 -0.609 5.163 2.476 2.056 1.023 3.713 -2.767 -1.298 0.277 -2.931 -1.077 -0.742 3.174 -3.328 -2.631 -2.074 3.713 4.004 2.953
-1.193 -2.375 0.032 1.708 2.028 1.504 0.431 2.913 -1.673 -1.99 -0.412 -1.62955440174542 0.513 2.352 3.848 -2.318 -1.998 -1.602 1.829 2.532 2.584 2.259 2.038 4.138 -2.038 3.718 3.514 -0.386 -2.921 -1.498 -0.714 4.717 -1.947 0.192 -3.006 -2.106 -1.745 0.158 2.061 2.044 2.896 3.917 -0.926 -2.002 4.295 -2.696 -1.69479191935133
2.199 -2.798 -4.546 -3.092 -1.46349372565082 -2.809 1.795 -1.564 -2.77 2.135 -1.751 -2.719 -2.948 -4.035 -3.753 0.049 -2.742 -2.982 -0.604 3.076 1.856 -2.846 -4.31 1.188 -4.57 -1.641 1.771 0.923 0.989 -2.389 1.194 -1.243 -3.905 -3.706 -2.931 1.389 0.747 -3.983 -2.43 1.616 -1.034 -3.362 -2.768 -1.046 -0.21 4.663 -0.907
3.213 4.812 -0.0169848431468105 1.114 -0.237575254680551 4.182 0.718856926160659 -0.24 -0.0724864500190506 3.584 3.892 0.0168596689748656 1.58 2.432 -0.769914469967719 2.871 0.0116521738473178 5.529 0.534 0.264 1.474 2.736 1.607 2.097 4.553 2.875 -0.304 3.037 -0.210702368052064 4.685 4.159 1.407 1.02 4.821 4.865 0.339431651318931 0.376941483417205 3.369 -5.322 -0.023 2.198 0.933442663865772 -2.113 5.229 2.572 -2.042 6.089
1.744 1.926 -0.566 1.886 4.964 0.072 5.691 -0.101 -0.489 4.8 2.677 -0.842 4.819 -0.759 -1.757 0.088 2.218 -0.568 5.245 3.664 4.881 -0.969 0.774 0.327 -0.796 2.101 2.114 3.356 4.202 0.466 3.509 3.265 3.249 -0.764 1.561 4.87 6.414 -0.696 1.886 4.083 3.152 -2.789 1.41 3.826 2.781 4.983 -0.041
0.048 -3.574 1.651 2.17 1.067 2.114 -1.178 2.079 -3.637 -3.082 -1.603 -2.433 3.054 3.009 1.612 -3.217 -3.629 -2.817 0.638 0.319 0.578 1.663 2.781 1.802 0.129 2.625 2.167 -1.019 -3.23 -1.70000554634403 0.661 2.297 1.184 -2.209 -4.026 -3.468 -0.429 -0.328 0.905 0.524 0.842 2.441 -3.362 -1.114 2.454 -3.755 -3.41228486741599
-2.821 -0.084 -1.362 -0.522 -3.075 -1.86734612199859 0.172 -3.165 -0.309 2.287 1.409 -1.134 -2.303 -3.818 -0.35 0.345 2.558 1.095 -1.933 -3.124 -2.786 1.046 -2.732 -4.03 -2.24097522660081 -4.991 -3.765 -3.865 2.411 -3.812 -3.971 0.549 2.206 -3.938 -3.795 2.916 0.59 -0.158 -3.041 -1.339 -0.159 -2.63418474847519 2.031 0.318 -3.589 3.017 1.829
2.781 3.464 0.267 3.891 -0.942 0.194 0.037 2.599 5.147 0.032 -1.661 1.405 -1.251 3.247 1.799 -1.401 5.571 -0.785 -0.221 1.568 2.046 2.243 3.426 1.897 0.922 1.076 1.167 -1.625 -0.688 3.181 0.704 4.265 2.804 2.153 2.049 0.717 0.359 -0.635 -0.239 2.055 1.653 -7.792 2.697 -2.538 2.643 -0.546 -0.586
-1.41 3.696 -3.435 1.186 -3.328 -2.961 -0.057 -0.763 -2.729 2.213 2.846 -3.1 -3.637 0.085 -2.274 4.594 -0.675 2.69 -0.571 -2.009 -0.993 1.47 0.923 0.028 -4.314 -3.176 0.664 -2.672 -3.578 -3.572 -1.247 0.035 -1.21 1.374 -4.117 -0.114 -0.489 -1.999 0.285 -1.809 -0.807320957997032 -0.149 -0.392 1.623 0.689 -2.729 4.8
3.037 -0.856 -1.441 -0.498 -1.476 -1.441 2.493 0.932 0.033 3.20544627536577 -1.244 -0.183 1.842 -2.854 -2.857 2.856 -1.753 -0.643 0.387 2.108 3.278 -1.96451128740059 0.221 1.524 -2.372 0.198 1.914 4.453 4.248 -1.616 1.969 0.075 3.08 -1.468 -2.492 3.413 0.702 -1.448 0.568 2.261 -0.357 -5.596 -1.335 1 2.925 4.384 -1.43
-0.033 2.177 -0.272 -4.96 -1.003 0.023 -1.369 1.144 -0.834280981969406 3.064 0.231 -1.306 0.877 -1.052 -4.778 2.888 -1.96088077671729 1.997 -0.11 0.322 2.839 -1.98216335667451 0.497 0.666 -2.645 1.37 0.463 2.681 0.413 -1.92328278306048 0.531 -4.759 1.538 -6.706 1.113 0.157 -3.281 -2.976 0.985 -0.489 -0.774611636274988 -2.68207974190373 -3.908 1.487 0.538 2.251 0.29
-1.15506934416115 -5.291 -5.299 -4.693 -4.92 -4.629 -1.794 -4.302 -3.783 -3.146 -4.588 -5.089 -3.943 -5.467 -2.295 -3.8 -6.393 -5.678 -5.855 -0.789 -0.185 -3.69415995448219 -4.104 -1.325 -4.411 -3.501 1.656 -5.16 -0.851 -1.794 -1.661 -3.707 -2.948 -6.875 -6.283 -0.68 -3.397 -2.948 1.374 -4.605 -3.56510830936329 -3.74142818408966 -5.451 -4.868 -1.564 2.494 1.082
-3.625 2.49 -4.114 -2.981 -3.915 -3.696 -2.394 -4.646 -2.194 -1.868 2.849 -3.21 -4.358 -4.023 -4.347 2.331 -4.732 -0.967253485684667 -2.348 -3.407 -4.191 -2.567 -2.937 -4.058 -4.798 -4.585 -2.071 -4.04 -2.831 -3.176 -3.016 -2.242 -1.803 0.609 2.438 -3.789 -4.476 -0.703 -3.814 -3.759 -3.73201300451736 -3.38191280763928 -3.479 0.026 -1.077 -2.05176120475992 4.409
-2.32 -1.605 -4.342 -4.192 -1.035 -2.07 -1.1 -1.345 -0.511 -4.28 -4.458 0.392 -4.752 -5.155 -1.625 -4.812 1.973 -3.537 -2.316 1.668 -0.065 -3.03348962551123 -4.254 0.527 -2.113 -3.994 -4.922 -3.643 -4.919 0.99 -1.68 -3.06 -3.554 0.071 -0.158 -3.745 -2.197 -4.15 -1.713 0.188 -3.59993408544306 -3.34761064847762 1.716 -4.272 -4.96 -4.345 -8.451
2.933 5.001 -0.044 1.504 -0.332 -0.046 2.237 -0.083 -1.077 4.004 2.699 -0.555 2.14 -0.878 -0.86 5.136 -0.718 4.84 3.505 1.443 4.16 -2.372 3.102 2.57 0.39 2.807 3.422 5.019 6.302 0.944 3.51 1.451 3.387 1.6 -0.309 4.43 3.067 1.291 0.749 1.992 1.78222428057303 -3.536 -0.277 4.327 3.395 5.442 0.584
-5.138 -4.641 -8.001 -4.943 -5.227 -5.563 -4.29 -5.234 -5.47003568467018 2.347 0.605 -5.422 -6.109 -5.736 -5.933 -5.581 -6.43 1.967 -3.972 -5.846 -5.989 -4.326 -6.231 -5.685 -7.933 -6.713 -7.158 -5.125 -3.71 -5.829 -4.985 -5.67 -6.643 -4.398 -6.188 -6.322 -4.866 -4.384 -5.192 -5.367 -9.655 -6.36838395394975 -6.501 -1.809 -5.368 -6.803 -8.309
0.922 0.94 -1.006 1.913 -2.993 -3.646 -0.687 -1.314 -3.2 1.965 -0.699 -1.125 -1.889 -5.811 -6.282 0.567 1.177 0.607 -0.422 -2.207 1.421 0.392 2.441 -2.194 1.289 -1.435 1.127 1.019 0.864 0.822 0.062 0.523 1.435 -0.952 0.469 1.105 0.287 -5.174 -5.402 0.056 0.023 -2.879 -0.93 -0.342 0.639 3.935 -2.2
-4.192 -2.666 -5.313 -4.849 -4.916 -4.432 -3.633 -3.927 -6.06 1.738 -0.24 -3.995 -4.992 -4.693 -5.13 1.559 -2.115 2.826 -3.015 -4.197 -4.282 -3.752 -5.11 -3.587 -4.733 -4.301 -4.219 -3.81 -2.269 -4.562 -5.091 -4.514 -4.37 -3.333 -4.963 -4.597 -3.493 -4.43 -4.582 -3.631 -3.95641345377829 -4.39780374110317 -4.952 2.078 -4.397 1.758 -7.542
