"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65"
2.017 2.706 4.934 3.402 4.155 1.13 4.459 0.162 0.13 4.195 0.264 1.45 3.55 -0.859 5.17 2.836 1.88 0.06 3.519 4.408 0.51 2.362 2.697 3.907 1.881 4.209 6.155 4.766 4.797 2.352 3.036 3.001 1.8 4.238 2.169 5.357 4.367 1.187 4.487 5.187 4.542 0.141 2.041 4.165 0.364 0.367 4.098 2.414 0.835 0.993 0.198 5.069 4.996 5.373 7.611 6.312 4.376 6.416 4.628 5.887 3.948 5.218 4.351 4.072 4.126
2.943 3.255 2.895 2.738 2.655 2.998 2.546 3.577 3.05 2.534 2.836 3.367 3.248 0.362 2.215 2.75 2.817 3.061 2.895 2.837 2.648 2.875 3.009 2.78 2.954 2.322 3.025 3.309 2.755 2.661 2.899 2.366 1.458 2.283 2.429 1.548 2.363 2.287 3.405 1.499 2.433 -0.639 -1.734 -3.619 -2.878 2.024 -2.462 1.882 -7.127 -1.587 1.327 1.528 0.11 1.054 2.472 2.218 1.085 3.071 0.234 1.39 2.401 -0.987 1.356 2.449 1.725
-0.161 -0.041 0.171 2.125 0.372 5.347 1.073 5.292 0.904 0.941 5.631 5.948 6.91 0.512 1.352 1.366 -0.152 1.205 2.33332620449756 5.488 6.716 -0.021 1.156 2.041 3.576 0.51 1.29444665381282 2.309 0.313 0.948 6.099 3.475 0.71 2.342 3.426 2.397 1.207 2.025 -0.388 3.587 -0.236 1.128 0.178 -0.199 -0.743 0.191 0.143 0.172 0.005 0.254 0.277 1.131 0.844 0.363 -0.023 0.622 0.527 -0.4 0.685 0.232 0.654 1.887 0.438 0.801 0.382
2.293 0.797 4.54 3.085 2.684 4.862 3.659 4.959 3.746 3.362 3.787 5.192 4.109 2.33 2.912 3.945 4.155 2.243 3.273 3.45 5.119 3.22974247152155 2.41467299124363 2.31309687091469 3.353 3.455 4.507 3.824 3.483 4.972 4.716 3.182 -0.190965373323851 3.01 0.022 -0.042 -0.209 0.301 1.62870937304692 2.433 -0.117 -0.106 0.091 -3.092 0.385 -1.21 -1.244 -0.422 -0.0898014190779232 -0.502 -1.192 1.19471850544161 1.629 2.862 0.334 0.204350551072175 0.478 3.094 1.431 1.091 1.117 -0.301 1.737 2.237 1.65797145138668
-1.539 -0.745879517317279 3.507 -3.228 -1.197 -0.876 -2.598 -1.72 -1.00250113267885 0.285 -2.913 -2.49 5.438 -1.02563406215421 -1.955 -1.794 -2.963 -3.012 -1.20104225936593 -1.447 1.447 -1.375 0.771 -0.045 -1.377 -2.638 -0.064 -2.138 0.574 -1.33432656181372 -2.142 -1.09853422345345 -1.962 -4.866 2.624 -0.948 -1.328 2.179 -4.888 -2.612 2.387 -0.347306248321218 -1.101 -0.426548236552903 -0.630594304294832 1.197 -1.97 0.746 -0.509336580854317 -1.436 -2.424 2.699 -0.061 -1.717 -0.890869674140424 -3.101 -3.903 1.456 0.304 -0.139 -0.342096208810179 -4.375 -0.055 -2.248 -0.952645092471928
-1.25546852905837 -1.60579411802258 -3.911 -1.492 -0.733 2.555 -3.137 4.188 1.976 -2.996 -1.274 4.596 -0.822 -1.388 0.988 2.258 1.22 -1.409 -2.5459808808757 -0.832 1.23 0.914 -1.53 -0.995 1.998 -2.924 -1.354434730079 -0.801358723181536 -0.823 -1.855 -1.312 3.159 -1.971 -1.151 -1.231 -1.05 -1.48067643851698 -2.291 -1.615 -1.228 -0.491 -3.56 -2.161 -4.061 -1.36755600071365 -1.825 -1.941 -2.78 -2.681 -2.495 -3.025 -1.806 -1.843 -2.057 -6.445 -2.574 -1.284 -2.732 -1.912 -1.43483860044223 -1.40830858622834 -0.521 -1.262 -1.011 -2.395
4.237 -0.187 5.154 0.37 4.959 4.393 6.154 3.262 2.239 2.465 1.846 0.537 0.369 0.889 1.558 6.489 1.341 4.536 5.946 5.035 1.308 4.003 5.32 4.23 6.81 3.919 2.451 -0.696 3.126 6.326 4.498 6.882 3.855 4.405 3.69 2.766 1.443 4.321 1.699 5.07 3.108 5.525 3.821 1.163 5.269 4.217 0.291 4.578 5.604 2.216 5.267 4.696 3.848 5.666 6.173 6.287 3.83564766787027 5.125 4.209 5.984 2.896 3.449 4.83 3.024 3.45
2.538 3.798 0.255 3.307 1.878 1.841 2.966 4.429 2.524 1.67 0.79 3.209 6.284 1.142 2.253 4.54 1.913 2.462 4.417 0.171 1.356 1.253 1.337 2.695 0.058 3.406 2.648 4.84 2.62448948588461 3.508 3.459 4.015 1.343 2.115 3.47 5.65 6.098 1.281 3.854 3.347 5.931 0.149 -0.38 -0.294 -1.237 4.004 0.075 5.217 -0.058 0.058 3.728 4.604 2.855 0.789 2.148 0.623 3.279 1.153 3.166 -1.018 0.607 0.854333677986285 -0.591 4.575 -0.792
-0.769 1.904 2.418 6.328 2.358 4.868 2.719 0.953 4.702 2.196 2.953 1.223 0.781 0.046 0.574 1.971 4.45 2.824 6.342 0.386 4.233 3.444 -0.034 4.477 1.528 1.793 1.135 0.307 0.718 5.242 2.313 2.873 1.19241340588631 3.581 -0.174 4.372 0.468 0.853 -0.12 3.327 0.86 0.430200632320304 -0.732 0.375028276430563 0.784232880894412 0.199 -0.317 2.523 1.391 -0.207 1.734 0.855 0.351 1.209 2.13127634749713 3.392 -4.606 0.845 0.109 3.264 1.07367069447041 1.074 2.773 1.85376897016603 0.147
0.062 -0.224 0.382 0.082 1.013 -8.519 0.351 -0.919 1.326 0.304 -2.056 -0.762 0.282 -2.653 0.885 1.662 0.249 -3.795 0.754511885753845 -0.781 0.629 -0.45 1.172 0.581 1.916 -0.64 -3.576 -1.319 -0.171 -1.743 0.308 1.292 0.384 0.759 -0.491 1.956 1.496 1.698 1.995 1.756 1.07 0.555 0.041 -0.241 -0.446043114994514 -0.027 -0.369 0.039 -1.659 0.063 -1.1 3.016 1.702 2.598 1.259 0.539 2.935 1.964 1.921 2.348 3.717 1.18921936012479 2.672 1.875 2.937
0.956 0.247 0.411 -2.367 1.347 -2.697 1.158 0.785 -0.074 -2.152 0.147 -0.921 -0.247 0.844 2.002 -0.672 -4.008 -6.565 4.026 0.561 0.518 -0.258 0.664 1.278 -0.101 0.944 1.445 -1.724 1.822 2.568 -1.022 -0.227715595947052 1.659 -2.113 0.189 3.575 0.876 5.355 0.285 -2.36 0.041 1.171 -1.913 -0.32011340822843 1.33 0.142 -1.448 0.525 -2.069 -0.881 1.354 -0.225 -0.348 0.51 2.025 -3.732 -0.186 -0.148932670706529 -0.606 1.031 0.799 0.07 -0.015 2.071 -0.624
3.257 0.909 3.959 0.245 2.963 2.379 3.467 4.105 1.367 1.61539915420808 2.205 3.878 1.409 3.689 2.715 5.286 0.071 3.277 0.034 5.672 1.568 0.893 2.172 4.659 5.587 2.083 1.661 3.948 2.912 5.224 5.516 2.302 0.067 1.662 -0.103 0.603 0.613 -0.44 0.655 1.923 0.182 0.536 -0.738 -0.945 -0.824 0.167 -1.387 0.528 -0.237 -0.389 -0.303 0.732 0.352 0.983 1.541 0.605 -1.091 0.919 -0.11 -0.51 0.57 -0.407 -0.606 0.995 0.952
-5.056 -0.77594352345415 -2.008 -2.342 -1.045 -1.36975386707323 -1.337 -1.624 -2.095 -0.222 -2.422 -1.629 -2.171 -0.823730183390157 -1.3 0.597 -0.254 -2.146 -0.60034983292361 -0.726 -1.996 -0.74915270280735 -0.204100149317615 0.067348559747599 -1.626 0.336 0.99 -1.551 -3.209 3.131 -1.887 0.998 -0.319669782430605 -0.312536997131426 0.808 1.221 -1.621 -0.718 -0.049 0.59 -1.05 0.9 4.989 2.297 2.887 -0.998 1.554 -4.12 2.921 2.798 -2.397 0.302 1.445 0.592 0.988 -1.396 1.252 0.218 1.628 2.057 2.423 -3.09 1.09 -0.368 -0.0021233426576884
4.075 3.315 5.751 0.202 0.2 0.044 0.801 -1.163 -3.075 0.048 -2.062 -2.862 -1.132 -1.932 -0.07 2.388 1.3 1.774 3.146 2.684 -1.925 -0.249 -1.667 -1.647 3.162 -2.562 -1.796 -1.298 0.643 -1.242 2.927 -0.824 2.046 -0.588 1.843 1.961 1.264 1.107 0.431 -1.583 1.504 3.518 1.038 1.062 1.92 -1.723 -0.209 0.129 0.68 -0.738 2.451 2.153 1.414 2.929 2.372 0.502 0.229 0.617 1.669 1.065 -1.127 0.88 1.446 1.045 0.831
-0.165 0.732600200152031 4.521 -0.747 1.126 2.317 0.205 6.298 0.008 0.956 5.023 6.526 1.235 0.419 1.934 6.075 -0.584 0.546 1.07056200605076 -0.254 0.994 -0.263 -0.055 0.681 5.091 -2.069 0.817850852222602 0.359 1.799 2.653 -0.829 4.001 -1.618 0.986 0.609009439109991 2.012 0.574 -0.297 -1.556 0.213 -0.194 0.03 1.487 0.152072098557377 -1.714 0.255 -0.045 0.047 0.120333505895465 3.043 -0.616 0.946 0.47 0.138 1.384 0.519 0.517 1.053 0.709 0.312 -0.597 0.283162742526091 0.428 0.878 1.156
-0.841 2.011 -3.799 2.024 2.761 5.311 1.477 -0.531 -2.194 2.478 -0.536 0.483 1.134 0.429 0.025 1.507 0.667 -1.131 2.366 1.336 3.503 1.046 1.33 2.935 -0.235 1.533 0.525817117616569 0.275 1.906 -0.261 1.824 1.525 0.945 0.316 0.422 1.203 3.284 -0.363 1.17 1.539 1.788 -1.37 -2.019 1.342 -0.279103813710867 -1.326 -0.499 -1.126 0.16 -0.092 -2.014 2.825 3.816 4.017 3.1 1.145 4.015 1.19 4.091 1.035 0.155 2.596 3.949 3.993 3.172
1.715 5.124 3.781 4.51 4.967 3.278 4.618 2.834 0.703 4.131 1.7 2.042 5.054 4.275 2.687 4.342 4.67 4.344 4.248 3.594 3.89 4.715 3.089 4.321 -1.489 2.463 2.27657925842803 3.372 0.856 5.049 0.177 3.352 5.438 3.49 2.462 3.413 0.531 2.567 2.414 2.584 -0.811 2.73 2.649 3.651 3.829 2.942 3.12 0.65 3.673 1.476 4.506 -0.032 2.497 0.692 1.859 2.006 2.329 3.26 2.523 -1.352 -0.74 0.237 -1.318 1.004 0.916
0.717 0.269879525229608 -1.02820973919939 0.435 1.805 1.951 -0.605 -0.105 0.567 2.925 -0.274999887371573 -1.181 0.421 -0.261448187826939 0.029355454923662 -0.249929410556801 -2.424 0.144297294417796 2.749 -0.230379051335055 -0.151 -0.731 0.735 5.344 -0.349967149210496 1.189 -1.781 -0.23 -2.467 0.568 -2.276 -0.934 0.94 -2.166 -1.495 -1.669 1.352 -0.06 0.163 -0.674826523344086 -6.407 0.203 -2.724 0.0109384563531827 1.128 0.316 -1.647 -0.549179731259454 0.00498201427844308 -2.045 2.625 0.084 -1.006 1.248 -4.824 -2.9 -0.869 -1.572 -0.059 -0.646 0.448556661944153 -0.767 -0.530862202939693 0.161328259607446 2.279
-2.121 3.01649076232942 1.106 4.121 3.2 3.893 1.924 1.944 0.819 3.93 2.672 0.957 3.64 2.36816275036349 3.724 5.16 2.752 1.731 3.178 2.968 3.174 2.938 1.382 3.822 -1.647 0.587 2.041 2.02 3.258 4.209 2.881 3.747 2.116 4.279 3.221 4.79 3.943 4.683 3.505 4.136 2.64 6.243 6.031 6.607 6.504 3.878 2.944 3.52 6.163 4.304 4.679 3.096 4.622 3.135 3.747 4.213 4.78 6.265 4.663 6.566 6.277 4.012 3.824 2.103 1.783
-0.0603562776640658 0.194797912614111 -2.146 1.938 2.402 4.947 0.621967233275081 -1.266 -0.213 1.448 -0.801 0.023 0.254 0.411325739133959 0.478829082853818 1.224 0.067 -0.79 -0.111409831171855 0.57 5.01 -0.452 -0.844 0.273 -0.466 0.979 0.01236766024516 -0.667 1.49 0.293754537138211 -0.137 -1.595 -0.704 -1.648 -0.166 0.74275895799379 0.739872705779193 -0.973 -1.42 2.344 1.172 0.384 -3.208 0.761 -5.412 -1.501 0.028 -1.337 -1.249 -0.141 -1.638 0.632 1.704 4.049 0.814651031412356 -0.84 1.4913910679205 0.489 1.875 0.862078803059078 -0.727 1.02831658422527 3.131 3.218 2.936
-1.096 -0.197 -2.358 -0.078 0.308 -1.59 -0.038 -2.25 -1.07833689648222 -0.351 -2.078 -0.599 -1.654 -1.08674725546722 -2.062 2.819 -1.711 -1.384 -0.24 -1.32 -1.178 -1.242 -1.878 -0.211 -3.335 -1.806 -1.795 -1.032 0.119 -2.39 1.212 -0.125 0.68 -0.696 -1.243 -0.191 0.536 -2.054 -0.421 0.608 -0.327 -3.76 -1.571 2.021 0.716 -1.656 2.247 -1.433 0.647 1.932 -2.57 2.127 3.053 4.324 1.867 1.044 1.122 1.179 2.919 0.336 2.538 1.744 1.64 2.46 1.797
1.426 2.49 -0.505 -0.159 0.896 -0.842 -0.812 0.981 0.699 0.359 0.789 -0.882 -1.297 0.022 2.538 -0.932 -0.904 0.101 0.341 0.695 -1.348 0.356 0.744 2.094 -0.226 -0.004 1.326 -1.628 -2.815 -0.223346543742227 0.597 -2.01 -4.922 -1.184 0.756 1.913 2.86 -0.418 -2.124 -1.97 -0.266869940895812 -6.444 -0.166 -0.109 0.317 -0.875 -1.425 -0.109 0.669 0.673 -0.071 -6.435 -1.363 -0.189 2.605 0.412 -1.501 -0.426462076778581 1.064 0.298 0.96 -0.432365501431408 0.403 0.0305764389855082 1.093
-1.521 -1.176 -0.368 -0.031 1.386 -0.461 0.236 -0.63 2.985 0.184 -0.616 -0.653 0.496 -2.653 0.108 1.639 -0.649 -0.581 -0.720000340544286 2.731 -1.02 -0.803 -2.64 -0.646 2.428 -1.731 1.391 0.047 -1.506 -3.191 -0.796 0.511 -6.711 -0.091 0.339 0.677 -0.93 -2.354 -2.481 -0.327 0.31 -3.015 -1.105 0.217 -1.718 0.953 1.781 1.825 -3.876 0.359 3.055 0.579 0.028 -0.817 -1.418 2.651 -0.421 -3.972 -0.198 -0.874 -2.376 -0.902 -0.449 -0.996 0.479
-0.972 2.362 0.383 1.431 -0.499 2.559 -0.708 4.018 3.024 -2.449 0.929 3.865 2.213 -0.664 -0.711 1.42 1.397 1.561 0.29820048137581 3.63 2.654 1.351 0.683 1.362 3.649 0.286040826056748 0.311360425069262 2.897 0.817 0.30290940174212 -0.991 1.391 -4.004 0.021546190191736 -0.804 0.0734485508136269 -0.105837669409172 -2.693 -1.53 -0.714 -0.651 -2.237 0.132 -0.498 -0.472010848699736 1.239 0.706 1.276 -2.019 -0.342 -0.325 -0.913 -2.175 -2.078 -0.0265935913329628 -0.991 -1.025 2.018 -0.802 -1.818 0.325283934145321 -2.18 -0.972 -0.735 -1.31
2.557 1.434 2.01 3.339 1.702 0.884 0.4 0.75 0.019 6.36 2.218 0.475 1.426 3.358 5.32 3.413 2.19 -0.71 2.367 4.21 0.433 2.399 2.507 4.291 2.12 3.067 2.165 1.553 4.496 3.809 0.905 1.699 1.674 3.886 3.691 1.943 5.232 3.921 2.375 1.991 2.671 -0.114 2.736 2.02 -0.001 3.147 2.602 1.826 -0.166 1.177 0.033 4.093 5.805 2.945 2.789 2.944 4.935 3.268 5.441 6.083 4.053 6.886 4.039 4.244 3.408
-1.499 -2.889 -3.035 -1.118 0.137 -0.891 0.23 -1.107 -1.934 -0.404 -1.461 -1.763 -2.172 -2.099 -0.65 2.04 -1.19 -0.657 1.624 0.384 -1.86 -0.892 -1.333 -0.4 -2.728 -0.961 -0.336 -1.082 0.089 -1.736 -0.283 1.218 -1.343 -0.392 1.433 1.825 1.618 0.253 1.933 1.051 1.113 0.41 2.269 2.837 3.612 0.39 2.304 -0.77 3.318 0.422 1.107 1.107 2.043 2.153 1.308 0.859 2.468 1.752 2.216 3.365 3.489 2.441 2.846 0.81 0.296
-3.308 -1.29253616517008 0.265 -2.945 -0.162 -1.209 -0.393 1.475 -2.854 -1.80220053444088 0.535 0.528 -0.188 -4.02 -5.119 -2.129 -2.495 -2.471 -0.359 -1.75463695666247 -0.448 -2.186 -0.034 -1.986 -2.407 -3.139 -1.97321131365033 -2.512 -2.17 -0.422 -2.182 -2.489 -2.073 -1.879 0.952 -1.747 -1.49203344685041 0.79 -1.008 -1.273 -2.532 -5.296 -2.534 -0.975 -7.834 -1.256 -0.266 -1.872 -3.706 -1.936 -3.435 -1.532 -1.13 -2.352 1.649 2.372 -1.646 1.236 -1.028 -1.41 -1.54238759850981 -4.479 -1.779 -1.968 -1.049
0.468 3.851 0.754 2.534 1.657 0.911 1.458 2.194 -0.491 -1.114 1.314 1.477 5.051 0.933306976465322 0.451 2.928 0.355 1.69 1.71427696736489 0.535206876397096 0.571 1.043 0.81 1.065 0.999 2.206 1.12 3.199 0.818 2.425 1.418 2.455 -1.171 0.832 1.525 4.842 3.799 0.291 1.078 2.258 4.026 0.162618402938406 -0.114 0.506112235260678 -1.679 3.247 -0.06 3.236 1.148 -0.002 1.025 2.694 1.357 -1.945 -0.154 0.691 1.402 1.247 1.259 -3.949 0.0187748954868472 -4.539 -0.607 1.221 0.493
-1.555 -1.423 -0.348 -0.041 0.219 -2.072 1.385 -3.449 0.802 -0.5 -2.512 -2.876 -1.937 -0.349 -2.502 -0.186 0.419 -2.565 0.439 -3.007 -3.339 0.273 1.044 -0.072 -1.821 1.36 1.884 -2.125 -2.115 -1.936 -1.284 -1.121 0.163 3.645 1.891 1.121 -1.266 1.36 0.517 3.341 -0.948 0.95 3.537 -0.826 0.818 2.079 1.746 -0.588 0.269 -0.012 3.683 -1.596 -0.064 0.367 -0.172 -1.074 0.957 -0.799 -0.324 -1.142 -2.607 0.129 -0.356 -1.978 -1.202
3.391 2.918 4.769 -0.402 -0.319 -0.496 0.637 -1.631 -2.842 -0.381 -2.294 -3.206 -1.115 -1.593 -0.477 1.717 0.899 1.59 2.547 2.331 -1.713 0.124 -2.217 -1.827 2.657 -2.522 -1.793 -1.401 0.38 -1.48 2.374 -1.653 2.25 -1.044 1.547 1.11 0.433 0.974 -0.392 -1.731 0.93 2.634 0.757 0.387 1.783 -2.326 -0.666 -0.197 0.396 0.027 2.041 1.235 1.131 2.204 2.031 0.404 -0.083 0.54 1.092 0.443 -1.429 0.462 0.52 0.579 0.449
-3.747 -0.39 1.287 -2.381 -0.433 -0.911 0.282 -2.177 -0.215 -1.241 -2.289 -1.902 -1.688 -2.318 -1.926 0.262 -2.139 -3.291 -1.878 -3.201 -3.101 -2.707 -2.326 -1.888 -2.548 1.287 0.291 -0.944 -1.493 -1.006 -1.126 0.464 -1.17 -0.76 -1.188 0.219 -1.99 -0.985 0.016 -0.241 -1.168 -0.383 2.764 -2.177 1.643 0.328 -0.839 0.163 1.695 0.276 2.948 0.072 0.14 1.069 4.057 4.166 0.39 1.267 0.229 0.919 1.133 -0.735 0.591 -0.717 -0.503
-3.678 -1.637 -3.522 -1.325 -1.485 -4.128 -3.654 -4.637 -2.45 -0.166 -2.812 -4.427 1.451 -3.601 -3.201 -3.924 -2.296 -2.905 -3.039 -3.95 -4.174 -2.959 -1.527 -1.78 -4.565 -1.592 -2.24042294519264 -2.501 -3.143 0.179 -3.734 -3.723 -4.363 0.981 -1.819 -2.627 0.913 -2.423 -3.577 0.55 0.574 0.705 0.422 0.872 -0.603 -2.167 0.884 -2.692 -0.796 -0.399 -2.053 -2.761 -3.31 -3.62 -2.986 -3.697 -3.46 -2.716 -2.622 -3.59814098535922 -4.013 -3.57225688303144 -4.633 -2.83 -2.927
-2.113 0.544 -0.225 0.504 -0.552 -2.76 -1.971 -1.589 2.012 -1.305 -0.422 0.947 -1.488 -0.574 0.508 -0.352 -0.043 -1.325 2.261 2.066 -0.232 0.506 0.354 0.041 1.629 0.553 -3.409 -2.16 -1.269 -1.482 -3.015 0.593 -1.219 -1.354 -1.084 -1.455 1.637 0.874 -1.809 0.003 -1.773 -1.38 -1.179 -0.996 -1.346 0.217 -1.654 -2.497 0.456 -0.195 -0.596 0.35 1.042 -1.005 3.575 0.288 2.895 0.534 1.181 3.843 0.806 3.73 4.1 0.713 -0.048
1.83 1.772 1.85 0.651 2.744 3.281 2.491 1.639 3.056 1.423 1.44 1.549 3.602 2.465 2.863 3.289 2.878 2.275 2.128 4.52 3.236 2.303 2.297 2.502 4.373 0.795 2.215 -0.242 1.435 -0.504 2.739 3.642 1.886 0.889 0.484 1.679 1.886 0.6 1.95 0.993 1.871 -1.007 -1.913 -2.209 -1.45 2.279 -1.633 2.692 -1.521 -1.45 -0.706 1.413 0.571 -0.426 -1.549 -1.192 0.71 2.249 0.435 0.048 2.698 -0.862 0.245 3.579 2.771
-1.779 0.147 -2.255 -0.031 0.375 -1.201 -0.36 -2.018 -1.817 -0.285 -1.15 -1.675 -1.5 -1.468 -0.638 2.597 -1.806 -1.232 -0.534 -0.763 -0.774 -0.861 -2.981 0.585 -2.141 -2.747 -3.766 -0.901 -0.127 -1.2 0.848 -0.433 0.248 -0.62 -0.479 -1.091 0.401 -1.328 0.16 0.868 -0.308 -1.153 -1.153 2.007 0.662 -1.52 2.132 -1.429 0.342 1.856 -1.671 1.95 2.746 4.126 2.361 0.988 1.426 1.067 3.148 1.464 2.432 1.575 1.683 2.571 1.633
