"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84"
9916.6 9664.6 7821.1 10109.5 8465.2 11344.9 9249.2 7826.4 12093.7 11861.2 10709.6 11487.1 13708.7 12794.5 6506.6 55709.4 62510.3 76574.4 56024.6 51550.3 74454.4 58975.6 75349.9 94541.5 7932.8 6722 8854.7 8050.2 8369.2 7124.1 6605.6 7225.8 7861.1 6562.2 6538.6 7463.1 7397.5 5757.6 7059.5 8732.5 6637.9 6677 7344.4 6465 11992.2 7678.6 16433.6 12399.6 10928.5 14948.9 6976.4 8208 12648 13895.5 13231.8 9620.9 9236.4 9829.4 11161.5 10273.9 6486.7 11067.3 5476.9 9151.9 8858.4 9322.1 7228.1 10965.6 8393.5 12220.5 9567.9 12311.5 7061.6 8004.4 7751.4 10750.3 11700.2 9541.4 10096.3 12000.4 6023.7 10518.9 9519.6 7561.1
9764.1 9325.8 7121.8 10233 8661.3 10290.8 9059.8 8474.9 10219.6 11867.2 10087.7 10686.5 12135 11569.1 7497.4 56202.2 63550.8 73575.9 56011.4 48910 75790.4 58346.5 74453.2 95042.6 7747 6579.7 8772.3 9231 6795.5 7512.3 7502.7 7029.1 7078.9 6166.8 6345.8 7462.1 6056.4 5697.9 6861.9 8634.6 6299.2 6670.3 6992.8 6536.8 11441.4 8564.1 15500.9 12645.2 12449.2 14359.4 8530.5 8171.4 12191.2 13587.9 12599 9859.7 8603.3 8481.3 10340.3 9290.9 6451 9138.8 4398.4 9264.2 8789.5 8244.6 7736.4 10858 8675.4 10299.9 8309.6 13164.2 7218.3 7220.6 7461.1 10304.4 9616.1 9259.7 8971.6 11299.3 7842.5 9601.2 9247.5 7724.2
9134 10055.1 8174.4 11361.5 9474 12515.1 8776.6 9227.8 12529.8 12057.1 9876.6 13294.8 13798.6 13743.9 7181.3 55321.8 63811.8 69332.8 59499 53657.1 79289 63451.8 80228.1 84697.8 7823 4818.7 8736.6 10268.7 6834.4 6627.3 7740.3 7235.2 8429.7 5823.8 6473.8 7255.5 6676.4 5041.5 5910.7 8269.3 5736.8 7301 7377.3 4073.4 10898.9 8705.7 17879.3 13613.6 9731.1 16259.9 7651.2 8786.7 10506.8 15732.6 14343.9 9284 10227.1 9438.9 12453.6 10533.3 7237.2 9662.8 5664.2 10548.9 10223.9 9588 8129.8 12857.4 9884.5 12277.1 9806.3 12118 7620.6 7919.4 7502.9 11030.1 11326.3 9824.4 10663.6 13591.2 8355.9 10794.5 9909 7196.4
9809 9459.5 7142.2 10497.9 9292.9 10913.3 8967.8 8491.1 10493.1 12181.4 10625.6 11017.1 12181.8 11779.6 6804.8 56870.6 62935 66559.8 56994.7 48616.2 75824.7 59597.3 72856.1 97423.6 7738 6601.2 8288.6 9097.9 6586.4 7264.6 7242.8 6879.1 6764 6356.9 6232.6 7423 6068.2 5535.9 6941.6 8480.4 6315.6 6563.2 6912.6 6159.1 11661.9 8525.4 16011.6 12845.4 12375.6 13831 8470.9 8281.2 12668.9 14097 13697.3 9067.1 8809 8604.6 10924.6 9737.6 6261.2 9167 5251.4 9630.3 9170.3 8242.5 7561.5 10816.3 8767.6 10548.8 8723.4 12225.3 6576.6 6403.3 7540.7 10628.4 9951.4 9339.9 9015.4 11928.3 1823 9711.8 8784.4 7692
9265.6 8778.1 6943.2 9698.6 8252.4 10162.2 8249.1 7875.9 9825.2 11239.3 9888.2 10395.4 11691.7 11487.8 7142.5 57086.9 64598.3 73088 57001.7 48457.2 72231.5 59287.9 76503.9 90375.4 7693.7 6670.3 8747.8 8810.3 6860.1 7552.1 7653.4 6882.9 7548.4 6554.5 6373.9 7522.3 6243.9 6021.3 6829.3 8591 6363.6 6395.4 7029.2 6702.8 11207.5 8583.3 16119.3 12678.8 12603.5 15189 8617.1 8330.9 12395.9 13770.5 12489.4 9407.5 8434 8577.8 9891.2 9184 6338.9 8742.5 5665 8932.8 8616.6 8022.8 7132.4 10091.3 8421.2 10066.9 8260.4 12050.9 6643.2 7063.7 7418.1 9732.4 9426.2 9303.6 8292.1 10867.4 5517.7 9390.8 8347.8 7476.4
10355.2 9752.3 8132.5 9420.5 9404.5 8984.8 8646 8609.5 10129.6 12322.4 5284.5 9930.5 12482 11801.4 8511.2 54104.8 62225.8 84401.9 52704.8 46389.2 45500.6 59375.4 76214.4 96012.2 4385.4 6630.9 8903.2 8196.2 8068.1 7814 6942.3 6724.8 7674.1 6474.5 6921.3 7691.3 6493.1 6684.4 7355.4 8812.3 7105.8 7232.2 8431.5 7955.3 10890.2 8034.5 16009.7 12438.5 12797 13742 9168.1 4724.6 12088.6 11929.1 11609.3 10313.5 9118.2 9185 10547.7 9104.6 8676.9 9112.9 8283.1 8565.6 9386.3 8867.5 7519.7 9333.6 9297.4 9158.4 7506.2 13795 8792.6 8354.9 8101.8 9658.1 8400.8 9694 8398.8 11013.5 8312.7 9615 10003.8 9458.3
7319.3 6968.2 4901.2 7754.9 7863.7 9576.1 6780.4 5403.4 9502.9 12188.9 9810 8611.4 11798.4 11801.4 5372.5 51490.5 64253.4 73042.3 46480.7 47022.2 71340.8 54581.6 81095.5 83126.1 4884.9 5471 7250.8 7157.2 6817.9 5189 6378.2 5517.5 6882.8 5612 6278.2 8153.3 5461.4 5133.1 5956 8902.6 6393.6 6291.1 5706.6 6206.9 11870.5 8531.3 14732.5 12279.4 9419.2 14502.4 8246.4 7958.9 12194.5 13170.3 11478.7 9060 8610.9 7493.3 9254.6 10182.5 5085.1 5839.1 2917.8 8312.7 5677.4 6509.6 5339.6 10741.7 4874.1 10633.1 7526 13487.3 4834.5 5030.9 5663.5 10287 9924.6 6918.3 7366.5 10020 3826.6 9238 8467 5702.8
9780.7 9476.2 7921.9 10034.4 9011.8 11064.7 9071.9 8573 11450.7 10649.7 9666.5 10926.8 12466.7 12585.7 6789.9 54351.8 61267.9 65341.7 55412 50249.8 72446.3 59643.2 71031.8 89728.7 8283 5861.1 7680.7 8550.8 6971.6 6846.1 6191.5 6870.1 7506.3 3866.4 5925 7025.1 6334.6 5390.6 6688.3 8305.6 6658.4 7018.5 6782.3 6030.2 11072 8142.5 14464.4 12100.8 8806.3 13709.2 6572.3 8133.3 12234.9 12499.2 12978.3 9709 10064.5 9108 10243 9550.8 7419.3 10034.5 5181.4 9013.1 8944.3 9134 7659 11093.9 8364 11229.3 9606.6 13321.5 7411.2 8069.7 7913.5 10369.4 10428.5 9335.6 9745.7 11606.3 7808.1 10203.8 9089.4 6989.2
8191.3 7247.9 5878.7 7887.2 7595.5 8854.3 6786.5 6980 9133.7 10961.6 8418.2 8718 11095 10321.2 5103.2 54703.4 67356.4 71232.2 50813.8 45627.3 63738.9 58338.6 79588.4 76704.3 7371.9 6731.8 8693.4 7502.4 7265.1 6394.6 6124 6518.6 7624.3 5993.5 6354.5 7231 6202.4 5953.5 5898.8 8634.8 6284.9 6152.8 6538.1 6462.6 9970.8 8528.2 14818.4 10440.6 10241.7 13664 8110 8076.7 12781.3 11773.7 11885.5 8071.1 6770.7 7667.6 8489.4 7829.2 5731.6 8021.3 3917.6 7463.6 6843.9 6780.9 5557.4 8783.6 6542.2 8808.3 6995.4 9994.4 5791.9 5366.6 5870.4 8679 7868.9 7451.8 7647.4 9312.4 585.4 7733.2 7824.1 5934.2
8907 8102.7 7877.9 9398.9 7761.5 9455.7 8738.8 7720.6 10360.2 9468.7 5478.3 8530.3 9080.1 9204.3 7391.9 53680.6 62525 65896.6 51645.3 44590.2 68215.3 53032.2 75317.2 90591.8 8032.4 6373.3 6742.8 7743.1 8338.2 7959.4 7250.5 7650.8 8229.9 6747.8 6721.4 6699.4 6829.9 6444 7186 6735.2 6338.1 6789.3 6678.7 6763.5 8266.4 8306.8 12661.4 9250.1 9331.6 12120.1 7816.9 7540.7 11054.8 9803.4 9035.6 8403.8 7520.8 8194.5 8405.9 7516.3 7255.2 9152.4 7962.7 8718.1 8115.6 8215 8115.3 8451.8 9060.2 9551.5 7573.4 9615.8 8835.5 8430.4 8414.5 8387.7 8379.4 7877.8 8244 8733 5301.3 7635.7 8524.8 8248.6
7618.3 8415.2 5815 8680.2 6903.6 9870.8 6370 5256.1 9492.5 9521 8983.6 8755.9 10912.3 10857.6 4180.2 49561 59470.4 55169.3 48511.2 47928.7 73755.5 49408 81529.3 82754.5 4907.9 6118.5 6353.8 7288.4 7144.3 4648 5499.7 4882.5 7075.9 4957.2 6267.4 7176 5412.8 4630.8 5685.6 7610.1 5602.3 5868.5 5310 5504.9 11122.6 8685.8 15941.4 10989 7390.2 15642.7 7437.2 7255.6 10845.3 13352.9 11494.2 5359.9 7804.4 7025.9 8177.6 8870.5 4385.3 7082.9 3254.1 7202.6 6644.1 7102.3 4876.8 9447.9 6385.5 9956.3 8546.9 10563.4 4487.9 4749.9 5493.2 9371.9 9652 6449.9 7485 9886 4753.1 8928.3 6323.5 5030.3
10052.6 8996.2 8319.9 9864.6 9334.4 11273.2 8819 8158.3 11665.4 11741.4 10196.8 11503.7 12693.8 11834.6 7046.2 55171.7 60486.5 76867 49143.2 46721.9 60367.4 57724.2 69208.1 85846.7 8314.4 6505.4 8819.1 8464.6 7498.7 5643.8 6228 5605.5 7021.1 4626.1 4920.7 7570.1 6583.3 4911.1 5995.3 8565.3 7007.6 6056.7 5954.1 4774.8 9560.6 6378.8 16588.6 10809.6 12446.6 12047.4 6450.1 8493.1 14654.2 12398.4 14851 9611.3 8751.2 8737.1 10392.7 9419.8 6094.3 9496.6 5568.8 8633.3 10980.4 9681.3 6236.6 11692.3 10699 10543.3 9874.4 12382.2 7498 7579.7 8837 8926.3 9244.4 10589 7965.7 10937 7678 9741.6 7833.6 7276.2
8712.6 7983.3 7160.3 8065.2 8848.7 8789.4 7738.5 6304 9535.5 9842 8401.2 8812.3 12041 11333.2 5856.2 53396.3 59009.5 54850.6 58128.2 51540.2 70321.8 57809 62251.3 82784.2 6493.1 5900.1 7474.2 7851.9 6140.5 5073.6 5622.5 6288.2 7840.5 4949.3 5529.7 6303.3 6115.1 4578.8 4650 8454.5 5235.3 4656 6434.2 4372.7 10811.1 7145.3 15597.3 12558.3 9292.1 13935.9 6694.9 8187.1 10702.3 13129.2 12677.9 7134.2 7854.7 7671 9039.3 8345.9 6770.4 8051 4143.6 8406.2 7875.2 7592.9 6369.2 9475.7 7769.1 9514.6 7739.5 10171 6244.7 6374 6392.1 8933.3 7803.3 8594.4 7608.6 10010 4930.6 8611 6136.5 5922.1
5324.3 1308.7 4948.4 5502.2 6246.6 7819 4962.6 4557.3 4019.4 9785.3 2209.9 5175.5 7705.2 5606 5177.7 31728 51808.2 80216 50815.1 43243.6 77884.1 23538.9 62967.4 60375.4 2480.1 4773.1 4575.4 3857.8 2635.2 3167.2 2507.9 3309.1 3685.2 4055.7 1418.4 3787 4246.2 3991.6 3999.6 3234.5 2982.9 3359.4 2765.2 2565.2 4124.8 6741.4 8641.9 7047 4390.3 7125.1 6155 3107.3 9370.2 6720.8 5338.3 4435.3 3002.7 3250.6 3639.1 1925.1 2119.4 1390.5 1822.3 3778.9 2444.5 2233.3 1369.4 2179.7 1908.2 1467.9 3780.7 3342.9 4810.9 667.1 4640.4 3099.8 1985 3637.9 2798.5 4675.1 2272.8 4158.3 4039.5 2737.4
8441.5 6872.5 6404.9 8878.1 3921.2 9723.2 7866.9 6017.8 10112.3 8579.7 9668.7 10382.5 10637.8 11317.7 3883.8 54909 56200.1 54131.4 52828.6 49827.1 64838.9 58483.7 64313.9 76728.9 6962.7 5193.9 7517.2 7600.9 6579.3 3797 5471.3 6158.1 7112.7 2853.2 4177 5563.6 5367.6 4020.9 5455.2 7902.8 5776.3 5123.5 5952.7 4746.3 9098.3 7502.3 16168.2 11849.7 7353.7 14808.6 5400.5 7052 11765.2 13085.8 12380.7 3274.7 8850.3 7526 9750.8 8948.5 5384.3 7809.8 3124.4 8125.6 6897.2 7788.2 5205.6 10381.1 5815.7 10592.4 8664.3 7208.1 4730.3 4516.5 5831.4 9326.7 9042.4 8164.1 7522.1 10771.4 755.8 8381.6 6818.5 5352.1
9123.5 6801.2 6397.8 9043.3 4140.9 9907.4 7924.4 6128.8 10408.8 8519.1 10090.6 10624.6 10592.1 11376.5 3863.1 54144 58027 53385.1 54452.3 49595.5 62803.1 60608.6 64998.6 75620.3 6998 5181.7 7681.3 7190.8 6679.5 3791.1 5324.4 6189.3 7226.1 2742.3 4187.2 5312 5280.9 3943.8 5218.4 7552.2 5668.4 4952.1 5984.9 4513.2 8848.4 7632.7 16468.2 11653.7 7358.7 14987 5065.5 7334.5 11506.4 13486.9 12302.5 3719.7 8844.4 7550.6 9923.6 8903.4 5329.6 7716.1 2927.3 8036.3 6762.8 7620.4 5168.9 10840.2 5835.8 10826.3 8645.8 6872 4794 4845.3 5788.9 9180.4 9093 8238.9 7366.2 10822.6 5849 8981.7 6573.5 5309.9
8180.2 7743.6 5754.8 9472.5 6787 10519.5 7540.7 7273.1 10327.2 9424.6 9087.7 11087 11887.7 11600.2 4815.5 52745.8 59815.3 45417.7 57250.9 52311.6 76870 50958.9 67360.8 67154.7 7443.7 5491.3 6771 7864.1 6619.8 5454.8 4277.4 5694.1 7067.9 4637 5262.9 6495.9 6805 3895.5 4907.3 8172.7 4941.8 5642.7 5452.9 4171.8 11399.8 7694.8 16929.3 13808.1 6841.5 15228.3 6395.2 7069.2 11283.9 13979.9 11926.2 6665.1 8079 8335.7 10467.5 8906.5 4766.6 7810.6 3018.5 8820.1 6615.4 7308.9 5678.4 12011.4 6045.5 12180.3 8819.7 10175.3 4652.8 5085.9 5216 11404.8 10942.9 6983 9536.3 11878.1 964.5 8894.3 7631.6 5434.7
9276.6 8347.8 7152.6 10996.5 7613.1 11258 9004.9 8053.8 11009.6 10505 9871.1 10922.2 13511.9 12120.8 6295.2 58029.6 57801.2 49839.7 55105.5 53420.6 68775 52503.2 66543.4 72862.8 8006.4 5049.8 7176.2 8808.6 8149.8 5861.6 5796.9 6804.3 7695.6 5156.1 5939.9 7478 6282.8 3858.6 5741.9 8111 5645.1 6320.1 6171.6 5142 11356.3 7179.1 16664.3 12074.6 8666.1 14126.2 4913.9 8903.2 11180.2 14037.1 13566.3 6064.5 8723.5 9230.5 10950.7 10046.4 6542.5 8373.1 3359.8 8071.5 7467.8 8503.6 6633.2 11330.3 6914.5 12160 9111.8 10425.7 5954.9 5638.8 6997.4 9489.3 10349.4 8242.4 9291.9 12019.2 6893.6 9397.9 8115.3 5665.3
8793.1 8498.9 6799.7 9860.3 7819.1 10384.1 7600.9 7761.4 10843 10614.8 9908.7 10333.6 12193.3 12342 6063.9 53306.4 53452.7 41173.5 53273.2 51730.2 74530.7 59681.4 70636.9 70329 6670.9 5552.8 7252 7868 5666.1 5823 6014.4 6346.3 6820.5 4236 5648.2 7393.9 5866.8 3845.9 5008.1 8246.2 5210.9 5054.5 6131.4 5421.1 11690.9 7984 16077 12445.4 8733.2 14769.8 6466.9 7623.5 9602.4 14570.3 12487.9 6964.9 8808.8 7643.7 10290.4 8903.2 7081.8 8408.4 5578.6 8561.8 7941.8 8454.8 7383.7 11326.1 7639.6 10071.3 8960.6 9612.1 5752.2 6713.3 6297.1 9685.3 10359.5 8379.9 9032.1 11516.5 7208.1 9591 8164.2 5458.4
8981.6 8890 7093.5 7413.7 7904.6 7176.3 6582.4 6375.7 7819 9809.3 7310.9 7608 10008.4 9151.7 7624.4 38368.5 55432.9 62303.6 46154 33679.8 52491 51944.1 76624.6 89912.6 6563.1 5810.9 6850.7 6665.6 7458.2 6969 6399.6 5565.3 6789.4 6527.8 6271.1 6890.3 5490.5 6175.1 6028.8 7549.2 5901 5959.7 6460.5 6461.8 8380.4 8085.5 10926 8984.6 9781 10575.1 8198 6399.3 8255.8 9035.9 7645.4 7913.1 7839.4 8287.5 8913.7 6490.6 7147.4 9702.2 6254.7 7068.1 7870.3 7991.8 8815.4 5474.9 8661.8 6300 6296.4 7488.6 7877.9 8349 7111.5 7959 7111.6 7758.3 7649.8 6862.9 7094 6766.2 8383.9 7226.8
8895.8 7921.4 5982.9 8852.1 7305.8 9650.2 8188.4 7790.4 9181.8 9937 9609.7 9879.7 10978.4 10532.3 5634.2 50767.1 58005.1 54058.8 51577.3 44088.8 67792.7 51710.6 60019.6 80510.7 6545.4 5506.4 7729.2 7601.2 5643.3 5598.8 6400.3 6016.5 6306.8 5011.5 5774.1 5792.2 5209.6 4606.7 5895.3 7520.7 5131.9 5258 5346.2 5020.5 10396.6 7722.4 14628.2 11832 10694.7 13732.4 7342.5 7129 10767.6 12404.2 12216.7 7451.3 7400.1 7576 9578.3 8491.7 5728.9 7188.2 4967.2 7338 7507.7 6864.1 6138.5 9823.2 6413.9 9515.1 6840.6 9889.6 5865.1 6007.5 5888.4 8447.3 8230.5 8299.3 7373.7 10228 5920.9 8603.5 7814.3 7045.4
8958.4 8358.6 6743.3 9729.1 7707.2 10300.8 7740.8 7700.5 11017.3 10496.7 9828.5 10308.6 12083.6 12390 6050.6 53730.8 52088.9 40047.4 52608.1 49149.2 73455.3 57992.9 69735.3 69400.5 6593 5546.9 7363.8 7638.7 5593.7 5740.4 5766.4 6222.4 6584.5 4368.9 5466.6 7148 5732.9 3940.5 5123.8 7734.3 5099.6 4953.9 5924.1 5450.2 11052.9 7946.8 17474.2 12387.1 8966.4 14728.9 6227.4 7578.3 9660.6 14621.9 13446.4 6789.8 8445.9 7426.9 9771.7 8856.6 6474.3 8571.4 4547.1 8137 7899.8 8507.3 6701.9 11003.9 7353 9898.7 8362.8 9295.9 5770.1 6200.5 6126.3 9869.8 9703.3 8064.5 8730.5 11281.2 6908.8 9190.5 8055.6 5184.1
10285.5 8293.3 7274.4 10648.8 9210.1 8488 8754 7714.3 9310.2 11585.5 9530.3 10562.2 12149.2 8389.6 1409.6 42173.8 69845.8 80392.9 36407.5 34710.8 59573.9 47093.1 70366.9 52493.7 8384 6840.2 9757.6 8377.8 7950.3 5570.6 8107.1 6531.1 9001.5 6098.4 3834.1 7752.3 6578.9 5481.5 4064.3 7919.9 5225.2 5756 6518.1 5121.5 10907.5 7661.3 6721.8 7607.7 13030.1 14546.4 3554.9 9368 12516.3 3865.9 12306.8 7314 7158.3 9221 9773.9 1319.1 124.4 164.4 5977.9 9083.2 7677.2 6200.9 4514.9 7781.4 7721.3 2141.6 5762.3 10630.1 6465.4 1247.6 7803.6 4857.4 4473.9 7793 5699.3 11142.5 2459.3 7254.9 9761.8 5916.3
