"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49"
7899.2 10995.1 4536.3 5753.9 4457 11530.4 7189.4 5892.8 6085.2 7154.8 2958.4 7148.9 3412.7 8775.3 6932.9 10909.3 7370.8 13415 7769.5 8664 5196.9 7037.2 6660.4 2669.9 8130.5 3028.9 3408.2 5232.5 5021.4 23901.2 4875.4 4616 9082.2 181.3 1538.2 2031.2 10252.4 4886 8840.1 1259.8 1105.5 7351.3 6126.9 3309.1 3621.6 4810.9 2955.1 407.2 250
899.9 1132.7 1224.1 3301.5 664.1 1203.9 1064.3 4307.1 4464.3 1324.7 6939.8 1202.2 1223.8 1979.1 944 3798.8 3049.7 6086.8 1526.8 3092.6 2564.6 1112.9 3046 7293.2 6073 23683.2 1476.9 744.5 1344.7 2260.8 1123.5 775.5 1446 1721.2 1243.3 1488.3 1156.6 940.3 2649.2 6643.3 2501.1 4927.2 9027.5 10935.8 8170.4 1610.6 2496.4 3484.8 7071.7
2602 4153.2 5982.5 20532.3 9477.8 3335 3124.7 4943.1 8703.2 3686.3 6698.3 3493.8 6224.7 3248.7 2408.1 3925.9 6724.7 10571.2 1765.3 9743.5 2956.2 1672.3 5521.8 10628.7 5094.6 13265.4 2134.4 4176.6 6011.6 9999.3 6277.5 6453.8 9347.4 4195.8 8903 8390.6 3729.1 3709.2 2924.7 3785.9 1181.4 2101.2 4698.6 9156.1 5310.4 2477.7 2571.7 7976.2 13899.5
180.5 23.2 164.1 31.3 3462.6 55.2 208 52.4 35.6 6 270.2 14 36.5 17.7 2.8 7.8 11.5 36 4622.6 25.3 12.1 7.2 28.9 25.3 70.5 45 9.5 96.8 192.4 289.7 773.8 17.6 25055.4 8.7 21.3 23.1 50.5 64.4 93.5 61.9 12.3 50.4 152.5 23.7 4.5 26.4 17.8 10.7 51.4
3492 5795.7 6809 2688.9 7169.3 4887.4 1367.1 6751 690 3283.3 1339.4 3833.2 5897 1576.2 2478.6 2385.3 728.9 182.5 3352.9 8.2 1982.6 1486.7 1598.5 2721.4 4337.3 20.6 4081 8367.9 13194 15321.1 12660.5 3797.3 13074.6 484.4 4928.5 5846.6 5958.1 5370.2 7927.4 3342 2007.4 2369.4 3643.9 4273.3 4457.3 2634.5 2925.8 260.5 10358.3
2118.3 3247.4 4958.1 15296.8 10644.1 2738.9 3551.6 6016.5 9835 4058.2 7042 3163.9 5670.2 3464.1 2126.8 3917.9 8144.3 11946.6 1896.1 10798.2 3140.8 2114.1 6199 11791.9 5184.5 14647.7 1783.3 3338.7 5230 9086.6 5623.6 6515.2 8446.7 4126.7 7171.1 6730.8 3382.5 3462.9 3142.4 4069.4 1656.3 2119.3 5065.6 9901.6 6231.4 2388.6 2491.3 8108.5 13676.9
2606.9 3499.3 5375.4 17872.2 8546.7 2635.7 2852.4 5158.1 9471.3 3377.2 6934.2 3746.3 5768.7 2834.2 2199.8 4019.3 6134.6 12108.7 1565.6 10498.6 2952.5 1520.9 6335.6 10770.6 4520.3 14209.9 1788.9 3611.1 5144.4 8648.3 5437.9 5243.5 7286.1 4004.8 7412 6811.3 3301.9 3433.8 3217.5 3869.7 1151 1737.4 4825.8 9599.8 6103.7 2316.8 2292.2 7361.4 11335.7
2480.2 4150.1 3849.2 1293.5 1969.4 3692 1958.5 8599.7 15565.2 3002.4 13070.1 1603.8 5497.1 1844.2 1567.9 1590.9 68.3 8276.5 3466.2 427.5 1637.9 911 163.7 5913.5 2747.2 6289.8 1456.9 2428.2 5274.1 2174.4 5483.6 4692.7 6371.4 8344.2 3106.3 6931.6 3713.7 2468 3666.9 2342.5 838.5 1687.9 1427.1 4360.8 2338.7 2035.6 3145.2 3622 5870.6
1342.8 764.2 1191.2 656 364.1 1727.6 4214.3 217 83.9 1221 310.1 569 359.9 2523.2 7092.2 3068.6 1862.2 159.9 931.2 12492.2 587.2 6019.3 1102.8 99.8 627.3 516.6 258.8 27.2 79.5 11550.5 66.1 44 794.9 41 72.3 27.7 362.6 217.1 271.6 38.1 101.2 1465.3 1007.8 726.9 881.4 15.8 191.6 65.9 103.5
149.3 16.3 623.3 946.2 212 1304.3 647.7 679.9 13505 410.2 10684.8 283.5 339.3 228.5 329.3 530.4 5625.4 107.4 467.8 25.3 10.4 240.4 59.5 1523.4 900.9 211.6 1050.4 292.1 212.5 2583.6 868.5 53.1 699.9 722.2 542 110.1 264.6 323.6 1808.4 1191.9 484.6 427 774.1 301.1 1565.9 134 373.2 75.7 261
1689.7 2744.4 3641.8 9757.9 5155.7 1612.8 1545 2892.4 8071.8 1913.6 5504.7 2001.2 3970.7 986.4 1329 2128.6 3312 4790.3 1191 4778.6 1813.5 1191.9 3198.7 6932.5 3135 7085.5 1709.2 3240.4 4573.1 5760.9 3779.9 3911.3 6184.2 2299.7 4136.2 5773.9 2356.3 2437.9 2088.9 2031.7 909.9 1508 2473.1 4176.6 1200.5 1144.4 1063.2 3114.9 7852
1140.1 2086.9 1712 4380.7 734.6 1945 1171.6 3068.3 4563.2 1843.4 6003.9 1376.2 849.6 1936.9 1309.8 2911.1 2108.6 5969.7 1241.6 3814.7 1979.5 1129.7 3613.1 6462.4 4768.2 11012.8 1483.1 927.1 2097.4 2958.1 1889.9 1306.3 2095.1 2392.1 905.1 2280.1 1425.2 916.9 3034.5 3809.6 1346.5 3153.7 5556 7414.7 4619.2 1643.2 2371.6 2098 5995
863.8 1022.5 936.8 1924.2 227 1635.4 714.6 2129.5 3543 1268.8 6601.6 854.5 910.1 2137 1093.8 2084.8 1515.1 4346.4 1236.4 3746.7 2190.6 1354.7 2329.1 6384.2 3273.3 11119.8 1211 550.4 1402.4 2201.6 1103.1 538.1 1777.2 1785.5 727.4 1213.8 1101.3 657.2 2130.9 4004 1576.7 3762.1 6106.4 5249 5146 1393 2572.2 2474.8 4322.9
1095.4 1804.4 1509.6 257.2 126 962.9 1193 240.8 12093.5 407.4 9019.4 784.1 399.3 1391.3 788.6 563.3 57.9 403.8 1788.5 2149.7 827.4 540.2 250.8 427.8 708.5 104 1134.2 1034.2 2473.6 642.9 1606.2 222.8 746 1361.6 1232.3 966.9 914.8 674.4 633.4 246.9 493.2 1291.3 1210 1022.4 1210.8 127.2 570.5 30.6 394.7
550.8 517.7 435.7 3164 678.7 4640.7 2957.1 2659.7 209.4 4898.4 557.3 1923.3 102.8 1451.6 1568.9 2398.2 1552.2 8885.9 2109.9 348 2814.9 835.4 8238.5 3647.4 1560.5 238.2 2607 238.1 95.2 4069.6 613.3 1374.5 2676.3 1700.6 593.3 2077.6 1035.6 127.9 4088.9 5578 890.6 2358.6 903.5 5722.3 5108.7 468.1 810.8 3249.2 2248.1
3754 5942.4 5798.2 4612.6 10044.3 4080.6 4832.3 4455.1 3471.2 3016.3 4059 5747.1 5105.6 3088 3849.3 4828.5 2885.4 377.1 3111.5 143.3 5988.7 2858.7 5977.8 3310.8 3347.7 23 4394.4 5452 4016.7 9187 6326.4 5107.8 5462.5 5950.3 5114.4 2585.3 4875.3 4168.6 2739.3 4265.9 3136.8 3775.5 6809 2596.5 3958.4 3202.2 3465.8 4037.4 3142.3
1032.2 514.7 2988.1 99.6 11.8 767 83.9 111.3 124.8 1224.3 152.4 2832.8 8365.8 28.8 45 2.9 2.4 103.8 472.7 4.3 26.3 21.2 11.4 1243.4 46.5 234.8 126.9 4637.6 106 340 109.6 2044.2 309.3 26.9 138.8 435.8 2124.6 7409.8 324.8 195.3 66.2 10.7 208.2 7.9 17.8 888.3 3024.2 124.1 51
692.8 1076.7 771.6 2122.2 185.2 1760.3 697.3 1924.4 2871.9 886 4856.7 686.9 392.6 1225.7 1258.4 1948.6 2100.7 3975.9 976.2 2022.9 1581.7 914.9 1612.1 3819.6 2877.5 11517.6 1336.5 361.7 808.2 1882.9 1099.8 394.5 1404.1 971 646.4 222.4 864.1 351 1683.7 2646.6 857.8 2263.2 2678.1 3571.5 2654.8 815.5 1520.3 1433.3 2623.7
5217.4 7538.3 5576.3 7830 8291.6 4676.7 2539.8 3312.3 2479.3 2603.3 2967.4 6038 4145.7 3453.6 3674.9 5514.3 2893.4 2256.7 3316.4 2650.1 4862.3 3701.5 6182.3 2755.7 3232.9 3055.5 5331.6 6770.5 3749.1 5477.9 5318.9 8886.5 4053.5 4497.3 7419.1 6407.6 3000.5 5675 3259.1 6435.8 4052.5 4444.5 4051.7 3548.9 3206.7 4591.3 3745.8 3634 2978.2
221.7 289 327.8 723.6 260.6 825.2 542.7 3577.6 641.8 1870.3 1086.6 1979.4 1831.7 665.6 1666.3 1909.8 4586.6 6396.9 1403.7 8638.4 1844.1 1488.2 761 2339.1 2532.5 3840.7 1156.6 326.5 355.4 941.3 429.6 291.5 1158 525.2 1087.5 4238.8 1196.8 1480.6 2219.5 3565.7 1673.9 548.4 737.7 2821 2272.2 1869.6 2759.6 1989.6 2635.2
3.9 162.8 7.7 17.7 7 175 2.4 5.1 17 8.7 78.4 7.3 67.9 3.1 33.3 3.4 10.7 8 24.1 11047.4 2 119.8 5.5 8.7 123.5 15.2 586.5 11.2 25.4 376.5 229.6 8.1 305.7 169.8 24.3 16.5 116.6 62.5 41.2 4.4 32.7 3.2 3.3 116.2 15.3 51 48 6 14.7
804.9 1940.2 1940.3 2233.8 4468.6 888.4 737.5 2169.9 3725.4 1396.9 2573.9 1589.3 3578.7 1526.4 788.3 1302.7 1041.8 2308.5 696.1 1839.8 479.3 257.3 1106.8 3995.3 2063.2 3703.5 676.4 1154 2431.1 3203.5 2312.9 1908.1 2001.8 1180.6 5163.6 4687.1 1185.3 2653.2 1337.1 1842.3 516.7 1029.1 1928.4 2711.3 2154.7 1340.7 972.3 4785 8892.4
1451.4 2350.8 2462.2 4519.6 1271.5 1652.6 1343.5 3359.2 4391.9 1469 5779.5 1464.7 2217.5 1642.7 1199 1639.5 1734.2 2717.9 1030.9 2408.1 1354.4 908.1 2127.7 5428 2253.4 9081.5 1496.4 1442.8 2030.8 3295.7 2434.8 1400.5 2424 2563.9 2947.3 2427.8 1511.7 1792.9 1619.5 4063.5 1244.8 2370.7 3201.7 4814.6 4907.6 1283.3 1717.5 2802.1 4733.1
788.2 534.7 1022.2 2356.5 139.3 870.8 604.6 1622.2 2261.8 988.8 5519.4 897.4 799 1347.3 515.4 1841.7 1531.2 4933.1 658.3 984.8 1064.8 724.1 2007.6 5037.5 2424.5 7587.7 1008.7 459 816.9 1029.6 990.1 338.5 951.1 1280.4 652.4 1118.1 330.8 286.7 1463.5 2616.1 1170.5 2101.1 4201 4166.4 3006.3 857 1103 1006.8 3357.2
356.4 261.6 347.8 3144.6 39.9 564.9 7.6 154.7 9 261.9 413.5 344.8 413 647 83.1 165.4 13 42.2 364.1 10650.3 181 12.9 4 7.9 409.7 4.4 210.7 970.6 790.8 81 1146.9 135.9 173 484.7 1446.7 368.9 774.7 1182.4 355.5 276.4 325.9 276.2 23.4 1148.4 357.1 328.4 622 35.7 120.7
133.6 205.2 57.5 33.4 10.8 28.9 28.9 111.4 371.2 82.5 198.7 22.2 130 131 65.6 343.1 14.8 41.9 77.4 10908.6 4.5 37.7 10.8 15.3 303.7 6.3 26.5 205.9 79.8 184.7 93.7 12.7 337.2 183.1 217.2 125.6 140.9 227 147.7 60.8 110.4 102.4 139.2 373.3 20.4 38.4 77.1 64.9 101.2
985.2 919.1 750.6 535.1 1337.6 1093.9 2077.4 1866.8 1131.3 1535.4 544.7 943.4 863.9 2434.6 2261.2 1875.6 1881.6 1867.9 1619.6 10856.9 2330.3 2300.8 2719.5 684.6 1233.9 893.2 1124.2 1165.2 470.5 961.8 822.4 1090 579 980.9 888.9 374 805.1 788.6 1720.8 1401.3 1782.9 1583.5 1484.9 1240.1 1508.6 1590.8 938 1955.9 1302.6
2125.2 3115.4 1192.9 15.3 26.7 5.4 3.4 180.9 5.4 169.3 14 867.5 1068 455.1 402.7 1301.7 2.4 143.8 256 9658.5 175.9 275.3 1.5 4.9 669.5 4.4 391.3 2137.8 2016.5 10 993 68.1 19.8 1005 816.1 327.7 798.4 935.4 324.8 90.7 269 381.3 1394.4 64.7 2.9 393.9 450.6 229.7 222.3
694.1 817.2 478.8 1363.8 419.8 357.8 381.8 1856.2 1903.9 503.5 3331.4 715 706.6 1438.5 494.1 804 582.8 801.5 689.9 2250.9 897.9 255.5 717.9 1230.8 2097.2 9022.2 976.8 394.1 710.9 547.5 918.3 294 739.3 1141.3 532.1 812.5 489.6 520.5 1236.1 2687.1 856 1828.7 2837.1 3563.8 2697.3 761.9 1276.2 1026.8 1703.6
210.2 727.4 111.5 225.9 9.9 880.2 272.1 294.3 458 151.2 287.8 153.1 338.1 88.6 87.6 91.1 8.5 132.8 262.3 9845.1 238.9 92.3 11.6 319.4 76.9 53.1 328.4 399.4 440.1 233 231 1182.4 16.7 68.2 241.2 295.2 423.4 440.6 268.4 109.9 157.2 259.8 48.7 225.1 394.3 293 358.5 52.8 386.3
1995.3 1799.2 1860.6 2825.7 1270.9 1778.6 1584.4 1989.2 7369.6 1693.9 7837.2 3132.9 2372.9 2015.3 1804.1 1789.5 1134.5 1944.8 3075.1 4.5 2410.5 1980.6 1034.9 3053.9 2267 3515.3 1460.9 1214.6 1620.2 1342.4 1640.9 1347.5 1981.2 884.7 3235.3 2202.5 1538.1 2406.2 1619.8 2377.1 1932.3 2562.4 4754.4 2630.1 2687.1 3404.9 3690.5 2117.9 964.9
1137.1 76.9 119.1 23.2 10.2 48.1 22.9 130.3 5672.1 47.6 7961.6 152.6 47.3 66.9 47.3 34 6 89.7 61 461.1 29.9 57 16.4 90.4 4.3 49.6 552.1 43.9 243.1 148.1 285.4 14.8 272 167.6 48 53.2 95.4 46.8 37.8 43.3 60 49.4 19.5 70.5 37.3 39 18.4 8 136
842.5 2112.6 904.6 307.7 64.2 1261.4 1700.5 836.7 8137.3 699 3548.3 1844.1 569.9 1768 1797.7 1825.3 40.9 4260 1764.8 53.4 997.4 734.6 313.9 2313.9 1562.1 2410 1134.2 563.3 802.6 3244.6 809.4 310.9 1241.8 841.3 2573.2 2680.7 818 581.7 1718.7 1074.6 972.6 404.5 901.4 2055.2 1845.7 184.8 365.9 38.8 455.5
1669.1 1142.7 1518 1174 103.2 1780.6 828 601.1 873.6 738.6 1704.2 1275.2 816.5 1364 752.9 3129.7 2.2 1224.4 1771.9 8385.1 1427 1116.3 38.9 2294.4 2266.6 4843.2 1666.8 2146.3 1500.9 1923.5 1622.6 813.2 1018.3 1400.1 1164.4 1137.8 1455.6 1263.4 2102.4 636.5 1135.8 1536.2 4551.4 2125.7 1587.4 2274.5 3194.3 559 1066.6
2325.2 2053.8 1243.5 860.9 2209.7 2851.9 3742.5 2404.3 1706.3 2497.7 988.9 1746.6 629.5 2611.1 2811.9 2272 3564.7 3729.8 2852.4 1496.9 2354.1 3159.6 3786.5 1314.9 2071.1 1075.4 3365.3 3039.5 1960.1 2159.9 1614.8 1370.4 2917.8 7542.7 727.9 1078.1 814.8 1013.4 2965.5 4745.7 4217.2 3439 3131.5 2621.3 5100.1 2743.7 2165 5380 1824.4
75.7 449.4 154.8 544.4 255.7 431.3 911.6 673.2 586.5 1452.9 409.3 333 188 579.7 1656.9 2259.9 1742.8 2032.1 1626.4 8980.9 1816 2229.5 1400.3 1183.7 1534.7 681 272.6 332.7 276.5 374.9 494.9 474.3 468.8 377.4 269.7 648.3 248 228.3 1142.5 2045.1 1894.4 1284.7 1670.3 1380 1197.1 1576.7 1048.8 1184 1137.9
2461.8 2912.3 3856 807.1 405.3 3091.1 1261.9 1472.7 1673.8 1921.6 1267.4 3492.5 5526.9 1364.7 1446.7 2422.9 3663.2 2092.7 2448.5 30.1 2360 1737 704.5 238.8 1764.3 55.2 2025.3 2681.5 2727.6 3448 2510 994 1235.3 56.3 5896.4 2303.7 3908 3655.1 1672.2 1094.4 939.2 1764 3326.9 1383.2 692.8 2439.5 2566.3 976.7 375
749.6 598.6 1043.6 1539.3 563.1 667.9 1166.2 1767.6 6501.5 1057.1 5843.9 777.8 1447.8 574.9 722.6 1585.4 670.4 1276.6 1415.5 2196.5 1141 717.7 867.4 3699.8 1797.1 6054.1 886 1208.8 910.2 1412.3 1192.8 1165.6 2308.6 2406.3 2080.9 1300.6 1319.5 1331 2642.7 1826.5 1211.3 923.6 915.3 1740.7 1487.6 1107.6 1399.5 855.6 2216.9
192.6 389.7 466.7 9284.2 90.1 124.3 298.9 119 453.3 218.8 210.5 263.6 154.4 261.3 252.4 224.6 46.2 1316.4 276.3 70 90.4 369.3 101.5 104.6 284.9 191.1 229.7 298.7 464.3 734.5 259 311.8 1098.2 173.2 97.6 107.7 324.4 248.9 151.8 217 73.2 230.5 575.1 535 342.6 40.6 201.7 176.8 145.7
901.3 862.1 532.6 26.1 1853.7 1307.4 858.7 337.4 7725.2 581 4404.1 1187.1 942.9 4.9 453.4 221.8 21.3 252.8 2255.5 40.9 208.7 367.2 65.9 1249.3 264.8 55 608.9 642.2 1711.3 321 1937.3 155.4 2351 1355.8 2523.6 1358.4 508.3 1690 592.5 1028.2 1025.8 429 503.6 12 155.2 361.3 427.5 108.3 224.7
3220.3 3851.7 2627.2 3038.8 5101.6 2211 3773.5 1503.3 2172.2 1733.3 1956.4 4595.9 4417.8 2084.6 3055 6177.4 6823.7 2540.5 2700.8 1163.7 3166.3 2778.1 6726 1637.9 3766.8 2739.9 3807.5 4243.4 3124 2300.7 2436.1 2415.8 1983.6 3488.5 3556.5 2870.1 4699.3 3853.5 1770 3545.4 3373.6 3013.6 3943.8 2533.1 2156.9 3465.3 3300.9 2972.4 1471.2
572.4 614.2 1058.7 317.4 10.4 2319 723.6 649.8 32.3 667.5 42.1 348.4 234.6 805.9 523.8 946 6.1 7908 850.4 14.2 720.9 275.3 1892.9 953.9 493.4 3925.5 98.4 117.2 570.3 1367.8 188.2 552.7 809.9 2229.3 446.7 408.5 809.5 200.2 1310.6 192.8 190 890.4 695.2 248.9 1506.6 172.8 525.8 105.6 950.2
114.3 86.5 87.6 173.9 25 617.1 698.6 712.8 633.5 328.4 169.9 103.9 208.7 503.2 226.5 207.6 8713.8 107.1 154.8 13.2 5.4 185.5 3.7 19.5 5.4 4.2 46 175.2 296.5 32.3 122.9 21.4 106.1 622.8 820.7 487.9 237.6 268.4 332.3 195.9 228 128.4 61.8 192 2.5 102.9 273.9 49.3 3.4
2045.6 898.6 2238.1 61.8 3815.4 1027.1 1444.7 999.9 1129.4 716.7 371.6 1330.6 910 776 1689.5 1039 9.6 1166.7 1517.9 7982.5 872.8 991.1 1860.3 906.2 985.1 23.5 2235 2433.8 2484.1 1192.2 926.9 2526.5 2443.9 2256.6 764 774.9 1095.6 933.2 1155.4 887.3 1246 1598 2946.4 1136.5 1054.8 885.7 1129.9 1239.1 574.8
149.3 80.5 135.5 189 43 519 53.7 230.6 1169.8 144.7 985 103.6 224.8 1068.2 637.8 343.6 361 651.1 287.5 48 117 1388.2 40.9 1605.8 986 7848.6 95 88.8 159.2 100.3 435.5 107.8 83.8 395.3 888.2 1135.6 196.9 317.7 2087.3 574.2 602 710.6 2383.5 1233.4 2916.7 267 781.9 77.6 1065.5
317.6 211.2 447.7 1256 88.7 1098.3 418 720.7 268.5 2125.5 269.1 480.7 392.2 1015.1 517.4 1739 750.7 1571.7 758.8 165.3 758.6 931.5 5375.7 71.8 1378.4 14.3 507.1 178.2 355.6 556.3 453.4 879.3 455.7 479.4 758.3 600.8 631 304.4 2898.8 597.5 686.2 2747.7 4229.4 2737.5 1422.9 3833.4 3115.5 2326 2871.8
841.5 1307.9 2025.7 6899 3534.5 1037.4 1055.1 1861.4 2534 1373.8 1791.5 1021.3 1664.3 1087.7 846.4 927.7 2325.7 3101.4 594 2646.5 999.5 602.3 1721.8 3557 1182.4 3779 767.3 1228.8 2063 3113.4 1979.6 2313.9 2835.7 1425.9 1976.3 2588.4 1170.4 1001.1 965.5 1459.6 510.5 631.3 1578.1 2666.5 1551.5 821.6 810 1791.2 3309.3
194.4 182.7 185.5 107.9 73.4 1412.8 213.9 1916.8 137.2 975.7 323.3 923.9 819.5 317.6 1133.7 1401.8 2158.7 1391.3 2077.6 525.1 755.8 1333 338.1 1068.4 1262.9 90.6 431.7 256.7 88.3 509.1 203.7 390.5 811.2 861.3 525.7 2093.1 514 821.4 3330.4 2097.6 726.1 618.8 362.9 2496.2 1418.1 3781.7 5510.8 3279.4 3056.2
230.6 251.2 159.9 102.7 41.9 301 8.8 94.8 4.5 105.1 177.1 33.6 130.6 326.4 77 137.6 1.4 1.7 129.6 8075.1 227.3 362.8 1.3 7 20.1 6.6 508.6 169.8 88.1 3.4 61.3 8.6 178.3 103.2 21.8 326.5 309.2 265.8 113.4 53.4 80.9 110.1 170.1 89 219.6 108.5 228.5 4.4 2.5
759.1 1106.1 1632.3 3292.8 1598.6 1034.3 654.7 1767.6 2927.4 1184.3 2790.6 1014.2 1415.9 962.8 963.8 1193.1 2199.6 2762 969.7 2752 1261.8 914.1 1620.8 4694.5 2380.7 5929.1 845.7 1017.3 1622.9 3053.8 1556.7 1686.8 2712.5 1571.3 1973.1 3020.2 1090.9 1007.5 1370.6 1295.7 875.3 1265.9 2359.8 3858.1 1451.1 803.1 622.4 2360 4307.5
3041.8 1312.5 2849.1 1647.3 368.2 1213.4 304.1 481 1195.7 879.2 1496.9 3760.6 2124.7 508 418.5 1085.2 3.8 5.1 904.4 481.9 438.1 166.1 1351.9 128.6 1327.8 14.2 899 5124.7 1677.3 821.4 2016.2 992.3 1222.2 4375.7 1725.3 1429.8 2766.7 3047 1056.4 248.2 795 378.9 723.3 1605.9 542.3 400.1 630.1 564.8 381.6
553 822.8 434.9 84.2 60.9 951.7 493.5 375.1 141.7 1131.3 815.9 447.8 446.3 1696.6 1111.9 1984.8 5995.1 45.1 864.2 60.7 3467.6 954.5 4968.6 702.7 483.9 836.7 1195.7 429.7 729.8 1328.5 305 678.4 983.8 255.5 257.3 313.6 1218.2 373.8 1342.4 364.7 644.9 1337.6 1159.1 2398.5 398 614.7 921.1 623.6 1749.5
668 734.5 1077.4 8042.3 157.6 629.9 70.1 448.6 992.1 361.5 557.7 597.6 1035.4 415.5 329.1 370.9 78.7 1050.2 386.9 6.4 303.3 346 8.8 10.7 425.4 4.6 274.2 584.2 1535 204.9 764.9 164.3 269.9 580.2 1038.1 780.8 777.1 921.6 483.5 127.2 390.8 380.5 533.7 941.6 692.5 237.1 593 97.1 63.3
