"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72"
27574.2 8220 8549 24760 5300 25000 7650 7075 9892 4488 14181 24331 5225 6341 2654 10736 10424 24534 16555 4987 3499 18788 18075 6276 3902 6851 23364 21534 8965 25995 22953 5206 3626 12804 11101 3743 4095 8023 10622 1803 6126 5777 8222 17749 41294 36194 16019 -143 10926 13306 34383 4568 8510 5500 20350 33940 11691 25584 5702 10241 35687 10054 5525 28739 27211 28665 18968 20949 7073 20285 10287 32630
48 434 50 1754 235 1661 81 2608 1620 4144 3072 2255 4163 306 889 267 1100 696 2599 1149 3288 5528 3628 6534 6522 1158 9237 6238 3367 15748 4404 3792 4974 4511 4033 4303 27357 5378 39195 25786 20190 2115 2233 18134 30877 9843 4659 -48 14429 5097 19095 11099 27357 7928 12657 21244 27234 1779 3014 1107 231 2832 18359 3668 35483 18909 18555 3294 34444 21233 20299 3681
294 260 335 17 331 345 278 607 419 131 394 332 403 248 459 304 383 333 286 207 387 1763 355 549 2567 714 1183 788 489 4727 448 1467 2606 867 647 560 30017 11735 15990 880 14407 2246 1066 30668 20091 19698 2105 476 5771 1196 16704 1846 17394 9499 16640 24887 16417 267 635 366 126 525 1542 791 25064 20027 37670 7163 26927 14109 39825 7131
154.8 1972 870 536 5459 2654 1901 32385 6903 8141 1487 9904 24631 3912 825 2746 283 510 13821 735 1066 1453 3192 1135 6915 246 2354 909 3224 756 2629 3981 212 2676 1908 1469 206 22799 2551 5227 5169 4728 1864 5794 5637 33767 4970 192 22269 11707 3208 23976 904 15877 428 4889 3145 28541 1731 130 237 11626 79 744 6992 38438 6951 43886 -44 1169 895 878
-906.4 -556 -489 -630 -767 -1766 -764 -816 -866 -1098 2514 401 1020 -658 -423 -931 -2626 -600 18 -890 290 -80 -990 -831 454 -176 16544 -719 -46 641 -1723 -447 -351 -827 -1861 -1374 21354 441 39855 3502 33852 -672 -885 25598 12147 18328 -716 -1870 11204 -2139 18135 -1597 16252 8614 17179 18235 20252 1409 -760 -1006 -1064 -1264 -1290 -1454 9037 18569 23191 4720 1763 8890 29643 6414
26023.9 11575 9523 18110 14687 27658 11930 12035 12908 7192 19901 19069 10307 8622 4671 5408 18325 21909 21423 10751 7298 23093 25070 12094 2474 11614 35900 26066 7130 30884 24759 12027 8223 4689 20279 8300 12158 15236 17765 4730 12326 9516 15108 26150 10438 33339 28572 2220 17532 24348 39460 12568 21488 13642 28864 29304 24015 27335 8349 18745 35501 15049 9037 24743 27327 33961 28066 30879 9893 30065 17081 43775
6017.1 5007 14447 19813 2625 5868 2788 11557 4002 4399 15046 17821 15239 4092 3359 6523 9952 11788 11461 4285 2653 11132 7547 12400 28216 2483 3323 18552 9831 26883 9100 9644 6051 29470 9555 3732 29349 31232 25386 10173 12923 8694 13885 23485 33943 21083 3709 1593 31112 29269 21480 13231 8700 36671 22595 28230 23136 18368 8760 3729 10087 10413 11531 8590 28359 35307 21729 23627 19300 23011 5821 20291
29291.8 30217 17475 30692 16716 30664 24825 16434 14021 24729 22290 29950 16104 27561 12408 25109 31053 20105 19026 23683 13233 7688 7546 18797 21466 10143 8556 12899 10962 7236 11717 11357 11424 21985 20609 5605 316 1922 4778 9965 752 3944 5723 108 346 1572 899 1804 2632 14013 6841 9096 11869 4226 10526 18177 1606 20765 14563 24989 31928 14994 23021 17224 4359 1983 3253 324 18434 10907 1323 9831
22493.8 22914 15926 12286 29897 21732 29985 23704 28425 9875 25482 5627 21573 24530 29611 9998 24776 13362 15973 30051 23074 31464 24123 33481 4136 20267 31166 17194 11203 20773 10369 26216 23801 3387 26013 24274 11888 35994 36550 16878 27233 33213 34357 30368 2932 33228 9985 19069 31246 29985 37213 34632 31063 33421 35486 30851 38538 24931 28727 24006 14592 24105 25355 19727 29180 33102 33458 35042 21172 36488 12871 43721
19274 16906 5658 2136 25594 18453 20029 16325 5996 7456 12052 1931 25048 13700 20956 971 19280 1575 9185 24318 24325 19029 23348 25484 1171 19704 29423 15249 1307 19016 12289 23601 22257 1485 23163 23200 20281 25016 34731 24878 28245 31055 25807 22532 700 25068 26225 28637 20796 25153 30507 32848 25432 24253 28163 21314 27367 17035 18641 28351 14287 18787 19562 15127 7941 26244 26405 28632 28630 23543 32404 35818
20568.4 22553 4337 23284 24680 21883 19354 21712 30306 23814 24209 23372 17683 25258 23141 26666 20179 21557 20368 19692 24828 19801 26991 17058 24422 25240 25348 23753 20567 23234 10482 24922 21790 10652 17841 22866 20739 3008 2871 4717 2677 2186 17082 6874 6339 8915 18092 31232 4159 11073 3769 2955 5688 1999 5112 3924 3772 16570 23804 15767 25992 17784 17509 23176 8412 2829 2091 1677 7880 4422 6671 2557
3024.9 17515 5459 3629 7175 26913 7724 19086 12364 7592 4971 4688 36146 16031 16888 5031 20905 5804 10764 23058 5833 491 2847 4160 1511 2887 2110 730 813 7574 2084 7852 10737 4492 5116 4795 631 27788 680 1807 6670 3284 848 4206 -27 6084 726 3692 23367 5165 4069 2516 4323 5551 1243 1545 29184 2302 25871 15442 2354 8329 28190 486 574 28934 6704 2012 11508 1752 23354 640
31.5 54 936 -165 333 -279 737 11904 176 14329 4093 2946 1389 500 185 2106 100 1085 2981 1290 1670 547 639 1995 10628 2512 15727 585 1183 20 163 5309 3835 7459 775 908 13153 13195 1584 7534 27802 1761 6882 23476 33342 13543 -132 -327 20494 2234 768 644 20166 17377 1574 20645 8361 8299 1017 743 -68 620 512 138 5479 2217 18859 12948 14079 27878 23558 35861
14384.4 12277 3004 629 17568 12092 8382 2263 1320 1042 796 184 15994 555 5635 2 15492 403 1890 19513 18290 14802 21962 19189 385 19745 22216 14729 1850 14431 22506 14146 22767 577 22544 20948 22280 7770 26947 24797 23255 8426 17931 23568 826 17144 15819 11896 19639 15127 23939 14282 26965 13206 23347 19571 27338 8299 3748 14933 8888 4117 14829 9757 25771 20029 15805 4119 29915 24682 33105 20556
21633 11777 21230 25779 19673 28030 28176 24416 34212 26899 25691 28316 20785 29276 25039 25061 28214 12608 27998 30946 26533 11750 16226 11423 23617 21428 16898 16761 24783 28795 21142 18774 26704 30959 20923 30932 28568 11210 12736 18914 2903 12850 1758 20260 12702 9373 912 8363 10926 25897 4804 2070 4856 12745 5111 11732 18320 24291 27455 17806 16285 27434 20250 24836 5623 7171 16382 5833 7107 13930 6849 1539
1684.6 17196 31557 19704 8723 10673 14735 2827 7235 6894 15620 3864 4041 12259 25622 15637 13118 19988 3230 16163 16793 26690 12531 24615 3551 10181 27776 24438 12433 15088 7762 9760 11545 6127 11971 25357 375 4624 26494 5687 20962 12330 25657 14937 25819 6814 12183 2 8237 9912 22528 5591 26991 6389 14323 22708 31626 3070 18555 596 14302 3873 27 15705 5547 5022 8204 5818 382 19624 16163 35639
390.3 406 445 33530 564 328 234 407 225 675 521 1550 4789 538 73 118 172 1209 674 902 622 11469 450 1022 6548 715 352 3580 7630 2758 2837 619 306 3136 1188 1679 3676 1564 18759 3899 3901 417 7326 2700 4224 6740 876 471 27521 8757 5740 1774 2982 26254 3924 10504 49592 963 2409 399 350 1261 1880 5734 5659 29323 5072 5007 17956 8480 676 371
16341.7 11560 26469 19216 29578 20511 28531 26769 24776 25702 22721 23788 28957 21958 24101 23917 14879 25646 27036 28891 20941 10287 13973 28705 27360 18880 16338 25571 19377 13639 19168 20603 21799 28736 26110 9483 1622 5855 11794 19497 2123 8288 12621 1027 1914 8892 5728 4633 5981 23369 16015 28549 25634 18089 13469 26652 10426 25676 24734 30917 26878 25104 26575 22664 26180 8769 5430 1265 35149 21812 3644 21420
13866.8 14186 22464 19642 8756 15495 17702 22067 19560 9550 15899 23633 27323 20000 24650 11197 18298 21608 22771 22146 21496 432 22430 24505 17649 11494 16148 3741 15432 12123 12232 17418 19723 23021 20409 25043 -849 2567 244 2445 918 3024 19768 777 1222 7838 -753 13780 1528 16614 4790 3049 2660 12421 315 1973 3423 18995 26562 14843 14805 20238 23556 18478 2762 6934 475 355 10939 -1165 4956 -579
15789.6 14512 17145 8743 17944 12752 24799 27185 12217 3792 19849 11153 24560 19320 23083 2486 13199 9325 16473 22629 21771 766 23962 28070 5770 9430 17815 1789 5560 10576 7769 22497 20835 3256 16831 27738 107 3029 184 4443 898 4139 18207 -70 -79 5902 679 21460 1857 19688 3044 6022 6813 13695 901 3572 1912 17880 27278 17151 9362 17875 17344 19204 1280 3689 479 590 7104 1597 4352 -64
24928.1 17859 43032 22881 33489 26359 31492 30370 39589 21075 22569 30976 36347 27794 33818 21478 16554 25299 30858 35437 26904 36146 24235 37041 25830 41841 41987 34039 56922 24109 38915 34082 29295 34345 23916 34064 29565 41375 49151 38530 42510 47614 37521 37119 35736 33418 40832 44993 30099 33758 45994 49122 38560 39058 36203 29668 44343 18249 34651 37598 24349 26266 32530 18613 38993 40154 38500 45537 43371 44392 49191 46934
2548 16066 4314 4078 6378 24493 5917 14829 10012 7729 4629 4380 34192 13217 13809 4095 23650 2465 9329 22079 5620 516 2427 3058 1596 3029 1851 693 634 7631 1726 7457 11177 4738 4278 4605 677 25704 650 2086 6104 3095 1017 3924 -81 6215 282 3191 24703 5059 4372 1845 4562 6420 1289 1816 28463 1947 25194 15444 2009 7829 28717 393 783 28397 6750 2242 11047 1252 22365 379
1066.1 2108 2701 1886 4666 16519 3690 11492 3850 3452 2294 1830 22700 3457 7145 1900 -452 524 6826 6396 -837 398 487 2728 1038 95 1084 -704 788 6577 126 4935 4477 1657 1401 3013 1536 31340 2099 4835 6382 5547 2903 7715 306 583 1724 1463 27184 12203 4516 7958 11069 8168 2087 6115 26802 -1299 18996 12416 -936 8558 18277 1425 -171 29672 11539 7280 26672 -152 35402 1578
21828.8 13674 31131 27340 6289 11069 10544 13589 17979 10961 25843 28133 23873 19951 10775 6206 27163 20473 16738 12954 18170 10932 25297 24683 27197 12902 2027 22193 25803 28718 11776 9747 20605 31990 26215 16954 26263 21351 21413 20050 10373 9990 8517 20464 31463 9336 1870 1935 6416 28298 7570 9512 2718 7857 13999 15739 11070 28404 15902 9891 23462 28492 18625 24610 14391 8510 13007 2139 8878 15769 207 26734
22574.1 27069 17961 29876 7381 22076 16360 25087 35408 30295 19354 29078 25104 28989 32841 31391 31009 31324 24649 22756 32727 24259 31833 37371 31722 37470 18671 36761 27674 29691 14619 35812 32940 37314 30975 36166 33718 20347 49984 37198 26679 28571 31569 37220 47593 37125 42402 22428 34452 34920 48337 33002 38031 40608 38472 36163 44847 32416 30427 32311 12617 32385 34178 27921 39940 39978 37488 15033 42201 44769 36020 38365
732 374 177 937 1372 442 1375 3036 514 1007 5400 4128 2648 1576 815 914 188 1368 1902 762 3381 4178 1354 546 15003 2176 11569 2642 777 16159 8006 185 14112 3779 4414 2505 17957 4368 30661 23923 11710 462 1222 23707 22232 21446 3283 -212 21236 1080 13584 1792 12833 10717 17914 12047 23825 8049 504 265 76 1659 1436 1918 22682 19604 18317 93 18761 16909 22146 480
20525.9 13721 34625 14749 28762 15434 24542 17516 33148 9272 21036 18300 29731 18795 28736 14660 8482 17350 18354 23650 15527 21794 16983 31802 14713 33437 34428 25668 48405 17023 23081 27762 20846 22879 20970 27707 19029 31653 31127 28769 38619 40133 32712 32114 38355 30230 33483 33073 28074 25502 36619 33653 29075 32963 30003 25675 32652 13510 27785 29070 11983 22425 23981 11852 29670 31953 31520 35704 36151 34055 38023 28315
473.6 1861 2374 1062 3451 11358 2297 7335 2639 1910 844 1415 30315 2073 4720 1021 874 55 4856 5824 494 197 712 1621 346 857 495 161 244 5371 710 4288 2579 734 941 1469 590 29883 940 2848 5009 3447 1452 4708 74 567 503 249 24328 8506 2197 3616 9215 5414 1482 3813 19844 832 13780 9381 32 6527 15387 610 692 35702 9786 5187 25103 1295 31256 775
20526.5 22516 3559 20582 26764 16684 15337 12716 16718 13379 20573 21972 27992 19201 16394 16721 8572 22131 27360 22897 2334 1909 5453 3265 10866 3380 8251 12938 21388 4498 4627 10279 5713 14414 4989 5715 5581 2131 3938 19115 582 7955 1245 2994 24427 2007 1213 2924 4567 5752 2571 6837 1554 4278 3349 4458 7736 24906 18356 17872 7396 21741 20753 14607 6404 3074 1747 724 7079 2099 2329 1358
17620.8 15225 32181 11645 24772 23306 23415 24314 23221 19895 19250 13806 31211 19877 25562 13616 13918 18350 22342 21729 22283 24113 18881 28381 7068 29608 32578 26460 11770 20767 32475 25074 21906 3054 19060 25590 22614 27993 38981 27398 34430 40214 30748 28702 270 26465 28873 31068 23673 23204 37436 36770 30189 30984 27461 25124 34807 18503 24991 25856 25676 22119 22729 16269 30424 32020 29163 35502 37103 33001 37095 41190
4652.7 5889 3279 3524 6360 3892 3272 4325 4067 7082 1723 1946 7443 4880 9878 2010 22443 11662 1860 8329 18197 9084 19099 18240 7791 9431 6031 15567 6092 16775 9628 21130 23098 2742 23473 21756 24385 13429 31227 19847 19997 21492 23978 22041 14582 21588 24152 15355 19186 21641 23908 18529 27530 19574 19412 21793 20702 16589 4259 5300 1747 12766 23229 16386 30242 20063 24046 9595 19452 14679 12005 19789
12755 9942 17842 22600 7611 4628 11970 7218 3981 5164 11778 12908 13612 3408 3823 8714 8830 20086 11392 4571 6084 27983 5771 5068 16818 2376 4475 18100 6631 16941 14542 7431 5050 16211 11607 4827 12533 16152 26551 24177 17064 20419 22522 6863 8409 18106 3662 2914 25931 27748 21928 19468 23164 30610 13462 27866 32992 23750 13458 6973 16467 22212 15216 11962 15471 25275 16758 16504 32333 20538 2321 13839
23879.3 17710 8134 17482 28208 24439 27110 23773 24964 24002 23155 14179 28949 20503 23410 16404 18301 17339 24289 27545 27107 29878 23563 32822 17189 30935 35672 24988 5536 21339 16794 26633 22201 3473 24291 27866 19360 31530 43419 27059 34979 40440 29739 24387 143 28248 29720 35378 24373 27456 36662 37733 24594 28658 29503 22991 29109 23191 26847 29568 21407 19817 17363 18617 20870 29655 29963 32049 33362 32344 36647 42708
18407.8 18977 23832 20981 11346 22320 21340 23675 18113 22846 22320 26338 21166 13592 17872 21835 22023 24237 21841 15411 15702 23405 14085 20147 21956 13741 17553 22882 20997 19929 8593 19247 16024 26813 22368 6868 27589 35516 29289 13734 8315 16788 23847 30721 37117 24316 12258 6746 29988 30055 38078 18488 16773 37961 23109 32163 37808 18256 11697 16823 18024 24568 26595 19293 34466 36951 30597 43002 28911 36425 9613 17062
8143.8 5686 27216 12872 16406 11506 13493 16354 26755 11731 9612 17447 20736 10172 14929 14569 4281 17009 15160 11945 12415 16509 9881 20183 16780 19375 22667 18610 45161 9145 21830 19934 14452 21355 13216 18659 11105 17801 39504 12699 29256 24023 18645 16219 17817 14582 16354 23614 10879 13011 31208 30100 21295 18803 14667 11780 26398 8378 18223 17640 12289 11129 16284 8317 33655 20154 18769 27817 36868 28232 24461 37653
19297.3 12229 35538 18633 26226 17925 24096 22356 34838 14066 14089 25956 30262 16428 25011 13933 12998 17982 21022 20970 15012 23572 14957 30696 13990 25597 35341 21449 45719 15914 33701 20292 18850 21868 16186 23999 16345 28872 40936 22269 29942 36990 27174 26708 35119 18688 22362 31396 17387 21837 38645 38243 27958 29493 27513 19987 32881 14739 29560 31836 16210 18869 23367 12092 21698 31443 31758 33936 36349 24902 31625 39317
21071.5 16558 36365 19762 29238 20789 26999 26329 36714 24782 20469 23904 32065 21154 30171 24254 20772 25802 26004 27641 27887 27316 26725 30647 27734 33328 35844 31690 28020 25215 35722 26622 26310 27753 22646 19551 7972 10738 30842 26628 13696 13278 25445 7373 5206 19127 14862 20592 20528 28783 36295 39744 31129 32783 32926 29360 33885 26108 28686 30211 22155 25461 26235 22191 31974 31344 22533 3196 35272 34649 10673 40544
13964.5 21381 19963 20545 9893 8619 1622 11427 2065 16670 19818 16214 23350 845 1613 15175 13308 18525 18105 17314 20655 26477 18462 22027 25617 17587 16905 16446 5869 17907 25838 14953 14778 14679 13746 14506 18650 23669 32159 12228 26655 8245 12418 26847 9485 26053 1403 837 16471 28210 17941 12107 6437 29942 12582 15875 27463 20716 5346 7715 25176 17469 22470 24479 7979 25411 29096 9282 27826 25137 11844 5503
18647.8 18250 21090 20140 32085 23777 31354 22805 35260 24197 22332 15298 20852 22352 26689 18494 23179 18582 26528 25283 25834 27343 22666 11770 17101 16699 23216 23114 28158 24801 1568 23077 29549 20889 28067 20545 20676 32462 14789 27931 9791 24825 30886 16961 1735 23134 30282 3706 9978 32299 8504 14435 19170 6614 24063 26778 19946 23048 10676 20569 2964 26180 28242 22303 10580 10225 18303 23309 17531 19049 7572 4949
2158.2 1212 39 5335 1719 15644 422 132 3643 1065 2655 3403 4112 27066 8957 226 957 22428 3616 1928 2188 26296 8932 1344 3402 1590 5804 35264 24675 1811 3773 1692 1621 2555 13212 2594 4339 1869 4194 1168 982 863 3730 5099 3443 3937 5502 2083 5125 12197 2411 3090 1667 5684 2582 2270 4120 20839 21101 1159 23232 6099 4629 14431 6355 4720 4268 6592 9363 5348 1033 26830
14632.3 6855 4344 5995 4731 11160 21592 16900 1599 6528 19573 8794 5443 20435 1280 11528 63 6380 8868 522 5237 308 23727 6364 14719 7049 25046 10702 8457 24358 14484 6874 6621 9897 12095 23674 8124 658 165 86 100 45 330 127 1 118 273 9510 178 203 275 103 158 79 20 149 123 12149 927 15461 10812 22034 22981 21663 82 137 326 40 105 406 335 158
11738.5 17999 2260 18981 2184 10878 7572 13446 11082 8253 16977 6338 12639 5332 17218 9051 10525 8943 10199 3297 19017 18331 14514 9098 21172 12909 24998 26059 10028 16662 15301 15143 22168 12386 20881 9956 21322 11038 35725 24867 33766 10473 11513 25230 28855 20180 22600 18892 22901 8029 27439 10986 14539 13309 14703 19892 31079 7690 13023 8571 6525 20132 23497 18553 20941 20445 13636 6123 32518 24202 30306 5933
27803.8 25248 1682 14556 9325 29442 30334 20202 3407 12125 16529 16827 17704 4827 6300 4722 3523 4888 16323 7588 3243 1602 3780 1752 1151 2270 2552 2168 975 5881 978 3782 5921 3142 2207 3597 3298 2175 1213 1912 1618 1026 1361 1816 1366 1941 4020 2586 1676 2118 1908 2490 2276 2808 1126 2796 2488 1734 4243 33901 12984 8665 3366 12417 1128 1984 1767 1759 2465 1481 2277 2076
14735.3 13047 37799 20635 26942 16196 26621 27386 22837 23810 23009 22417 28847 23726 27869 20617 11746 20945 23684 22908 20742 30344 13454 30248 18551 31405 36262 29911 15240 24172 29039 22917 21576 13371 16316 27726 20894 30262 44768 25945 34996 37974 30604 29816 3825 26301 30722 33635 22973 24526 37111 39642 28936 29976 28734 21965 36012 16609 29886 28159 17689 20680 25552 19059 28146 30538 29503 33795 36774 34824 36158 43549
6853.9 12605 4042 11205 8462 8927 7216 10567 6967 12816 10010 8286 7810 15251 9689 9663 12266 9798 11383 8430 11563 12995 8899 7373 11922 8597 10699 8324 5027 18859 3846 12286 16305 8941 9600 11854 27779 14613 36254 32175 35340 6618 8649 31725 40503 15036 10225 8248 29233 8187 22717 5658 14781 16090 13236 15417 23490 5546 8847 6449 4387 11347 13715 13831 19493 15286 19113 11142 12636 12631 16162 12359
21823.4 14882 35585 17479 26626 18416 26050 23995 35129 15254 21271 22679 32639 19715 28243 16098 11876 24115 18694 21105 17539 24586 19294 32220 19440 28124 38255 28162 42913 16444 32058 28176 22832 27848 19454 27505 19780 30452 40313 26648 39314 41362 31569 31153 29254 25364 26799 36895 23628 24299 37261 41857 29453 30734 29823 22480 37517 17413 29420 30526 25441 20918 25320 13778 28363 33200 31612 35209 34317 33207 37661 45761
13858.7 200 18035 -194 15714 16829 137 213 182 234 18381 16 -229 118 -391 20434 16157 15271 14969 268 16 13294 13348 7389 423 10478 9624 14746 13695 116 264 11267 -98 15840 17216 95 201 -337 8224 15891 -212 -210 -300 14710 22576 345 199 72 29 119 9584 -327 30 -299 15935 16075 9522 16382 -36 10602 19713 -91 19264 16414 18523 155 87 11911 15 9837 -148 -62
402.2 3507 5189 1377 2725 16723 3082 11337 2192 2479 886 2441 28128 2721 6795 286 122 199 4683 19223 1289 -74 1315 6652 187 1275 655 294 44 6773 371 3109 3199 612 529 947 412 26427 863 3585 8920 4927 1113 5933 -104 10094 104 -373 22746 9952 7515 2851 6611 13703 1141 1880 20840 290 25729 14885 508 5342 18283 32 1533 23815 13571 4640 15755 1328 23643 -591
