"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58"
7.297281 3.581453 5.929438 3.032568 3.968012 7.342742 5.176649 1.488557 14.29344 1.459676 1.227699 49.82246 7.459554 3.799017 1.655797 1.905834 8.368039 11.55177 2.208375 7.134444 17.18753 14.23791 11.72538 7.535925 13.9936 8.206961 6.394416 3.424206 12.81767 2.278775 40.83901 4.449348 2.620809 6.722991 2.731209 6.041168 4.063347 15.93116 4.194908 4.089409 8.111241 8.940826 3.626173 6.28292 4.55835 5.225259 16.80291 20.55507 17.09396 37.09629 98.4502 37.99791 242.3473 17.92985 12.7329 57.68717 54.53174 13.61525
3.007744 9.623898 9.836173 1.831428 1.420909 14.15296 1.914453 5.323358 11.59701 2.985411 1.165057 40.49381 10.35185 2.526788 2.991517 1.915868 12.86116 10.13133 1.413395 8.650331 8.412008 4.225894 2.063697 4.638681 5.654058 30.595 23.83687 13.91191 14.60519 10.2682 49.53202 4.260472 4.01827 1.795428 6.278688 5.013237 10.98343 14.19919 20.23259 14.48228 10.70242 20.45668 3.840013 8.903671 6.732958 5.22882 18.48421 43.92006 54.24257 144.5383 108.3326 106.4212 68.10659 26.56912 28.57655 124.8305 90.02735 30.64566
6.172179 9.901985 7.939912 10.42769 6.143239 20.89628 10.72265 3.851574 12.65893 7.78279 2.547383 29.75192 13.0075 5.338606 4.602749 6.505496 7.54256 34.43669 3.388406 36.99944 48.42124 20.92768 21.34446 7.895723 24.90558 8.168671 8.827919 10.40049 15.79681 7.817203 4.463962 12.13186 15.68264 14.21226 2.849359 10.82217 9.552826 2.369468 5.356216 18.09484 27.43282 82.88651 1.694704 13.47729 3.514811 7.46206 6.350285 27.31149 40.59621 57.22358 18.29714 11.55447 16.13114 37.63854 31.454 207.2118 81.03435 59.05987
4.695462 9.526046 16.31554 7.993478 2.30481 17.54651 8.175008 5.35167 8.350341 5.834829 3.161178 15.01175 15.1429 4.787011 3.266988 3.975945 20.72202 26.27692 2.619214 27.52047 19.69954 9.846233 13.21521 3.251051 23.12178 32.07476 8.228752 7.836603 30.69938 19.32787 6.818066 6.748175 11.00003 7.822937 8.183835 14.18951 36.72317 13.10085 22.27784 18.0045 25.99877 32.87763 3.511022 12.35196 7.495651 6.661019 6.580044 19.66056 21.62777 8.450798 147.2966 62.0022 147.6542 63.77594 7.413769 70.64658 93.39835 50.99347
4.850093 2.986136 6.803407 8.361168 3.154212 24.64339 9.766804 6.19131 16.89675 5.669865 2.494393 13.27328 4.612457 6.868296 2.831632 5.724084 5.138574 30.39452 1.933387 12.72114 48.93285 16.05889 19.98531 6.33107 15.57328 4.088922 2.491649 6.133337 5.675966 6.74583 6.791464 11.39051 4.563199 3.593722 4.553746 2.339025 5.401758 2.307982 10.91755 7.899493 10.73781 19.66856 1.25446 9.247399 2.861907 4.89407 1.742925 67.84043 88.33435 200.2175 35.0054 3.199863 18.22944 22.26374 44.04922 42.83194 16.29751 19.41007
6.721593 9.20874 5.79091 5.010245 3.289656 16.59441 5.077772 4.702888 14.95421 5.002887 1.520558 35.25332 5.562981 4.01596 3.005509 4.553413 9.917598 13.25517 1.50565 17.46826 19.57469 11.03902 7.482399 7.292467 10.74697 10.11064 8.810642 8.904694 13.85907 9.569744 28.74927 3.870751 7.391857 5.090745 6.617627 7.667544 7.004537 5.375966 13.46187 11.05021 18.64466 22.7596 1.324856 8.106943 5.250874 5.411151 8.083504 16.0298 79.66407 167.2448 4.355702 44.79953 42.78583 17.49626 16.38929 105.1646 65.87206 50.22506
1.729011 4.073456 6.97983 5.391219 0.990412 13.07189 6.694163 4.252818 4.552298 6.04165 1.671218 48.78661 8.119871 4.792647 4.131377 3.14296 8.403983 19.22321 2.214465 22.12861 7.706709 16.80758 12.15092 6.495412 12.73512 9.092301 4.154174 5.633002 3.331414 4.919527 41.17551 10.37843 6.441935 6.916224 6.558403 3.786869 11.38818 2.846767 9.006635 5.38274 26.08911 26.14869 1.404238 10.04008 7.733423 5.730613 7.093139 91.82227 121.5345 63.78983 14.30867 21.43035 9.563632 68.7763 1.596745 24.88845 53.11371 113.8379
6.656867 8.965099 16.0066 7.959045 5.009899 22.94827 9.072584 5.820033 17.93602 6.347849 2.80417 50.56983 15.02063 5.798377 3.978565 6.231832 17.03703 25.63798 3.007583 31.05651 26.72001 15.52761 15.69004 7.519032 15.68954 20.85506 12.7424 11.09746 33.89349 15.57236 26.64664 13.00672 7.90599 12.00084 6.366633 9.851388 37.47466 14.30825 18.56354 14.01054 19.67548 32.82871 5.045752 12.59567 7.066221 7.784674 4.019677 46.1169 40.63568 30.42985 110.4736 41.85207 58.69524 89.31799 19.90472 90.32944 91.29531 101.9985
8.280486 8.436751 18.62901 6.752512 6.4619 11.01967 9.134451 7.113902 10.00781 6.329629 3.081279 8.549565 18.0811 2.302719 4.407581 6.472777 15.63075 13.61629 3.470099 34.35203 12.08816 10.58075 15.21189 6.600754 18.75472 23.36629 9.537819 10.062 19.60381 14.08261 35.8063 13.3261 17.06501 11.52464 7.643583 1.927362 24.35194 16.8698 10.88061 3.014585 24.35878 48.88111 2.95414 9.452947 4.433066 5.905265 6.991832 19.81355 61.47034 35.68163 92.88993 106.9897 58.6069 73.52787 25.02178 35.52973 90.72161 83.71133
3.747964 4.83284 8.540448 3.830454 2.490022 13.85668 5.428257 3.57006 10.38366 1.305626 1.513758 12.62919 13.93002 3.449566 2.478748 2.084844 10.20153 19.57429 1.443131 18.16372 20.93138 11.64421 14.1043 5.381615 11.73313 9.380897 6.462947 6.267453 10.17324 4.231517 8.881893 5.139212 5.844759 4.651189 4.059727 3.880771 25.17141 6.7811 7.752274 5.730504 12.99754 186.1505 4.232937 7.978746 3.128437 5.899539 9.828663 20.19656 16.04385 11.34456 10.03615 14.92421 11.66627 12.69041 12.23748 8.805765 9.048573 24.57925
2.570354 3.728921 4.274485 2.624613 1.743186 5.147242 2.100967 3.231035 2.234019 4.03065 1.448032 28.66831 3.162997 4.267983 3.251919 2.922458 5.26114 18.27954 3.45493 18.94246 10.58249 8.453204 3.266942 6.794185 6.819855 4.120559 4.698813 4.819683 2.672786 10.27343 23.93533 4.685345 2.762175 4.934025 5.971025 3.10831 3.751848 2.956379 2.534098 3.862922 14.8815 8.481828 1.376755 9.409562 7.418063 4.04651 10.49477 62.17062 61.91398 163.1875 23.04097 1.535334 13.39666 25.03576 1.391364 10.03532 18.13627 40.67394
6.674848 9.279847 21.73485 8.666633 3.790688 21.3396 7.875999 6.825264 15.6152 4.681038 2.508872 30.89725 14.96854 5.869231 4.107538 6.195966 24.04274 34.18732 2.16609 36.27936 20.56038 12.3077 12.92998 4.799147 28.09282 22.11657 8.490632 9.03005 17.37584 14.77344 11.57 17.04207 16.66553 9.416591 5.942225 4.125283 23.07866 17.61932 14.37776 10.08651 26.25674 41.07225 3.439589 9.812069 5.24402 4.09573 5.234438 25.68204 11.16761 29.10531 67.52421 68.25967 119.8759 69.41949 11.11042 27.24881 69.79642 43.37952
5.029089 9.935528 20.18486 8.055717 1.878738 7.961433 8.403155 4.02105 13.72329 6.886043 3.158903 17.65356 9.520144 4.545958 4.283574 5.170087 19.93741 20.0746 1.830655 23.4277 15.2902 10.68857 11.97616 4.42719 25.45889 29.56283 11.27458 9.646308 18.29515 15.78379 17.0986 11.08254 15.48082 8.561362 7.27973 9.895337 20.97282 9.239588 14.51138 15.58705 17.34178 13.91701 2.863362 12.12875 7.199665 6.290257 7.131849 39.24697 21.6652 47.57772 48.51236 28.67231 95.35799 34.29325 9.064801 37.81304 92.10947 77.54057
1.855065 2.397086 3.820393 4.217066 1.494232 11.90874 5.652464 4.140551 4.587691 2.884671 1.347602 12.39872 4.799464 2.537196 2.88005 1.69595 5.814258 21.5764 1.406981 26.30761 4.109982 9.08663 20.46567 5.200907 10.40524 1.802067 1.388 1.562635 1.618731 1.433127 1.748567 1.467711 1.899026 4.219687 1.298954 1.501741 1.843756 8.117743 1.76672 1.249474 8.898643 4.620988 1.056541 1.33027 1.586737 1.472738 1.620171 97.51687 102.7863 36.50495 38.82663 6.594229 20.94647 11.56473 5.521576 36.56575 12.56099 10.17978
3.889916 6.611577 8.267238 5.582411 3.320517 23.20234 8.581734 5.444821 8.410872 5.560127 1.647693 19.18311 10.71713 4.645899 3.735495 4.578924 7.402746 31.86938 3.265706 29.25782 14.21908 8.032492 12.66375 7.549598 11.95647 10.12377 4.272816 7.34498 20.97561 5.523008 15.6297 11.6783 4.292677 11.15566 3.895745 9.34155 15.76953 8.923163 8.597831 9.28179 16.50124 18.60427 5.057598 11.69301 4.072039 7.130782 4.892996 37.32382 109.3188 18.77392 88.67565 26.60017 39.85248 24.6058 24.03494 48.74701 13.38443 15.88635
5.551294 7.725874 17.3475 9.521239 1.891442 21.22927 7.670278 5.513768 8.965035 4.159636 2.702291 50.37094 9.204198 5.112866 4.336643 6.118156 21.95369 35.71362 2.381231 33.67725 30.37445 10.11048 11.06574 4.367327 14.82838 11.14397 4.921011 6.916496 8.781087 10.46063 18.61065 10.36334 7.350391 12.51573 7.183806 7.806975 11.41106 8.048444 10.16698 9.232104 22.4083 22.28216 1.472939 9.885261 4.328824 7.298042 3.730251 24.45813 28.61802 73.44424 90.86744 59.43506 62.9621 23.94168 6.637147 41.02661 30.95058 20.67057
3.186954 6.903594 13.9228 8.094813 2.889656 22.47744 7.892128 6.816321 7.692012 6.509472 1.978723 20.92917 15.75436 6.110228 4.218467 4.143279 22.12615 37.42466 3.267024 33.43936 17.1748 13.50991 14.43997 6.233449 15.1178 10.23827 6.218891 8.169702 10.6871 6.601657 20.51183 9.995197 5.571046 8.285822 5.739059 7.24648 7.443018 8.249825 10.965 9.118973 13.95131 24.10382 2.744712 10.66814 3.916778 6.75216 8.709697 22.03996 84.60311 25.722 84.55546 44.87896 65.61432 21.75111 17.15392 59.91512 12.7734 13.47911
4.991759 8.36624 15.17229 8.40208 2.965308 21.48729 8.974893 7.098785 11.69192 5.886188 2.183967 8.025716 16.16156 5.278464 3.637802 5.503127 21.16781 25.57616 1.426168 30.67671 8.69964 11.94773 11.29736 3.123342 21.56475 23.48037 8.912013 10.50323 14.1146 11.06835 7.319814 15.85345 10.38633 8.871849 5.283592 8.286813 71.97543 4.808973 14.62433 11.69442 27.04456 45.30243 2.553716 10.39037 5.876326 5.329759 5.883924 12.97121 11.94645 34.66439 18.66559 21.12743 84.02417 64.62169 7.204636 47.79634 60.87522 45.28449
1.010339 2.785722 5.508449 1.549404 1.382923 4.142007 3.858553 1.857017 2.559394 3.195303 0.861327 10.30475 7.493893 4.50324 4.093648 0.609254 4.576308 31.07228 3.658416 15.69803 2.837093 18.53676 4.779332 7.998584 4.883096 5.628583 3.54993 3.126058 4.303178 18.4823 11.44488 3.640757 3.41765 3.195589 6.146988 2.019321 2.651732 0.907487 3.077072 1.682249 7.728074 5.224341 1.323686 6.092661 5.570947 3.022893 14.86796 75.41849 86.16197 75.83506 2.198209 7.153296 3.357972 44.28415 1.006725 16.55157 7.840207 4.177578
8.02306 11.21207 21.27155 10.38578 2.87178 11.65037 9.533145 6.512966 15.28716 6.361734 3.066799 44.40294 20.82991 2.855347 3.794671 6.480674 21.81147 29.14616 3.618906 36.06726 37.11205 16.78515 17.95909 7.85751 26.79937 12.27653 4.411186 8.646858 15.18709 15.06496 27.62623 6.412758 18.59549 12.25476 6.190061 3.702992 15.81473 8.582786 5.201962 5.871284 28.21471 60.92677 2.753852 8.802325 4.569183 4.063919 8.841428 25.77435 26.79234 26.01709 26.40163 72.21054 46.47392 49.74539 22.98116 44.51424 72.01976 60.81118
4.594206 5.251207 10.36991 6.277924 3.081202 15.34231 3.909256 3.123121 12.39974 1.318295 2.243614 3.731145 6.057301 4.770877 3.043441 3.486757 9.999499 7.709701 1.368001 13.62 10.73827 3.891088 4.777525 5.421131 7.517398 16.22323 9.726552 8.831393 14.81393 8.153007 8.045272 8.816778 11.05914 2.982268 6.578758 7.532836 17.84507 2.932503 11.32872 12.86295 6.096237 15.03889 4.488659 5.994627 5.146326 5.315117 8.040186 25.01903 19.11871 26.56431 88.1703 24.96775 89.88496 14.55989 16.42692 63.30379 36.90411 35.62116
1.434446 4.286986 6.555876 8.980676 2.124046 7.709578 9.530581 2.968492 4.749038 2.325278 1.075655 10.91388 5.940808 4.423506 2.968134 3.272146 6.352692 26.16328 2.203983 23.53873 24.31753 10.45811 16.68733 7.368991 19.58291 6.081285 4.44007 3.79553 11.41517 4.981068 7.033324 14.75426 6.371964 6.003625 2.750901 5.764271 4.730931 3.282881 6.777781 4.560731 15.76117 9.367831 1.806388 4.036055 1.122631 3.381923 3.684761 36.78583 104.9891 43.40619 41.652 9.073581 16.69978 14.38768 40.24886 60.25921 3.895042 8.01756
4.604976 5.643547 12.87137 6.484862 1.87859 19.12258 7.461456 2.605511 10.75359 2.657031 1.74684 11.95612 11.08466 3.504932 3.452347 4.362258 16.04597 22.86613 1.772533 24.53429 14.65497 9.493587 7.048841 5.972651 18.88508 13.98827 3.572214 6.35156 24.11264 12.02207 5.710176 6.3005 6.66302 8.959888 6.976497 8.048812 20.11163 8.5678 9.348771 15.12171 14.71378 12.8425 3.50104 9.885643 3.228607 4.737331 8.577462 30.53811 34.64366 39.44564 108.5466 22.28116 51.12706 30.01076 11.05545 52.66341 33.65903 13.24922
4.275187 4.009221 13.58909 8.660408 5.103884 26.50293 8.427958 6.25814 13.38657 8.113786 3.003561 24.63301 23.70808 6.55459 4.438006 3.43563 13.21493 25.04783 1.996065 25.88139 21.77356 16.00671 19.0398 7.599774 4.281332 17.29255 5.264376 12.12737 18.45713 8.228375 5.048528 12.72859 6.966042 4.462206 4.803907 5.525076 20.28606 2.460747 14.16122 13.03583 13.57017 17.18833 4.602473 5.618784 6.313396 7.086114 13.66234 35.38675 85.64736 65.84541 70.13876 11.46631 31.7063 14.60515 35.10835 27.6472 9.178288 37.69734
4.735974 7.669701 11.34436 6.79821 1.744698 13.90244 6.356067 3.139873 6.88704 3.152571 2.458457 16.0944 11.44487 4.914874 3.401533 4.783248 12.50564 13.13053 2.674649 15.20505 12.51191 8.295779 14.57092 2.96264 16.16905 3.477976 3.235546 2.195411 2.152138 2.416208 5.532465 3.424869 3.317108 7.820071 2.883995 1.635996 2.754646 11.08498 2.495165 2.403514 11.73964 12.4166 1.464906 3.109074 2.159015 1.765206 2.624911 26.32709 16.33461 37.13199 53.06923 49.19643 82.7817 39.07287 6.229416 21.11095 48.894 40.22004
5.637201 5.548418 5.487906 4.698229 6.248129 12.25998 8.689946 1.977434 5.577538 2.475932 3.007479 12.64649 4.472329 5.086957 3.761552 6.195725 6.105628 18.14279 2.271567 31.48658 24.31051 13.29877 6.238859 6.668984 16.88067 9.972509 10.11619 5.739024 23.81861 14.95992 7.040893 10.11907 13.96453 10.09731 4.65844 7.224388 12.08502 1.263172 4.418797 9.389256 17.94155 19.96149 1.768266 12.20407 2.604985 6.336544 2.473776 34.76884 94.18433 51.62297 13.32534 6.989139 10.4269 38.65855 23.62565 45.5218 38.81628 7.805686
5.83751 9.763072 20.32135 8.629585 4.624559 20.55131 9.771843 6.89889 13.66903 6.232222 3.009645 42.35069 14.56388 4.522676 3.243138 6.378074 25.20064 27.80019 3.344535 31.39891 17.96574 15.56364 15.6523 5.721111 25.86788 19.3248 8.187904 8.659153 18.62735 15.1439 37.70051 11.60775 12.18731 10.79467 6.258938 9.193789 17.26702 9.348439 13.18451 13.1735 18.38822 29.63192 3.808499 11.47039 6.268677 6.433146 14.0717 27.79728 21.89913 43.62051 62.63198 69.68842 24.02902 67.71375 12.75887 34.86055 34.19651 41.04551
6.242026 7.720648 21.53904 9.230127 2.874278 19.25136 8.661156 7.796763 11.92939 6.998506 3.097297 15.62121 15.98315 6.36187 4.159966 5.523717 23.23224 17.77369 2.50485 33.11932 11.20287 7.744449 9.348466 4.680869 21.64866 15.84676 8.51406 9.536519 15.2121 11.30362 18.52199 15.70467 14.88771 8.416362 6.559758 4.023448 12.32705 4.61248 16.70749 6.825076 13.38392 24.12817 1.666094 5.749309 4.752896 3.251569 13.01807 8.825549 17.91705 31.76204 58.84522 8.212369 102.355 18.17509 5.786863 27.73051 26.20863 8.187997
2.600393 6.576455 8.59172 5.79291 3.515125 9.154367 8.679015 4.660208 11.45542 5.118586 2.416974 15.94742 13.10727 5.363196 2.745402 4.281131 14.5056 22.77101 2.813505 15.45005 20.98911 14.42769 18.1934 4.266545 21.55808 19.70062 11.51031 6.825506 16.86598 12.46438 25.81659 6.194162 12.15592 10.43239 4.506881 9.088533 9.344346 13.31146 14.26725 10.99097 11.66002 13.94657 3.078065 10.95984 5.783932 4.935286 8.604259 16.0246 13.89141 26.6657 48.28549 29.50677 99.95172 29.44739 8.018663 21.40049 44.1076 21.87559
3.935933 7.926474 15.46341 8.228283 1.49805 17.26143 7.799595 6.806937 8.35653 4.735486 2.61546 15.83807 8.29197 3.884051 3.094039 5.921261 14.95746 20.8623 2.553542 22.66052 15.64776 9.782128 12.41092 5.65843 12.57981 14.8135 10.88396 8.566673 9.817073 10.12826 38.54872 14.64993 9.831272 11.09935 5.267794 7.917529 13.99596 6.951784 11.80338 9.321412 19.20251 25.06485 1.831976 11.24227 5.926607 6.366695 4.236944 25.44259 25.68145 22.61723 50.55523 55.34605 75.19092 27.35478 7.338596 46.94829 43.19479 19.88573
3.293678 7.568121 14.81743 7.545566 1.975756 11.97048 6.481748 4.682529 10.82344 4.207287 2.129234 10.1119 12.89351 3.944384 3.803088 3.777164 17.0754 14.9532 2.181817 25.72199 13.44885 10.77136 10.75367 6.26972 22.06593 28.59162 18.91378 10.29658 29.38644 17.2686 28.61799 11.06814 17.18676 8.623457 6.524309 10.64417 27.79187 10.75802 14.58416 12.96986 19.78739 18.98017 5.442196 12.55535 6.907413 5.383671 7.722951 13.29932 10.36649 28.9239 49.13618 18.71092 47.84801 37.39678 6.874348 33.2463 71.10806 62.3959
3.247774 8.517551 16.06397 9.121586 3.339215 11.2141 6.959891 7.15923 11.03297 4.888363 1.738312 6.750991 17.12171 2.780656 3.692042 4.071848 13.55937 14.6386 1.706543 27.3472 3.93199 12.56266 6.089936 1.492644 18.48293 18.56069 7.917737 8.463428 5.482452 4.219899 5.455564 6.199312 5.231472 9.132503 2.813253 2.586908 12.15335 8.751072 8.900603 8.320163 18.36912 21.53543 1.874409 6.041101 3.993578 2.457837 3.220088 27.93959 9.748844 11.14408 41.13174 5.006145 73.65212 12.12606 1.814318 39.86798 63.1701 15.78574
3.48901 9.838923 17.02292 9.212608 2.81459 11.74979 7.324895 4.484799 10.6154 5.141926 2.302032 48.75636 16.22432 4.963781 4.017152 4.20783 22.68946 32.16451 1.340084 32.37935 23.11081 10.08285 7.208482 2.625293 17.66384 20.01041 10.72357 9.491138 18.3246 11.18155 5.255171 13.911 15.80666 11.69662 5.899155 9.760575 23.64252 10.10224 16.68397 12.59592 21.21901 40.28058 2.635636 9.12416 4.95173 4.291122 8.111427 17.65405 27.64855 26.08135 49.40664 42.85135 42.56403 13.35093 9.329773 45.14305 51.58701 33.38385
5.125041 10.83069 20.80835 8.303334 3.315991 20.17738 8.399765 5.564494 15.19297 2.11688 2.84852 36.85928 16.08651 6.541055 3.607449 6.494449 21.14888 20.68868 2.146237 32.80601 27.0665 11.30868 11.2446 6.250747 27.79084 20.61613 13.09724 9.389262 20.85656 15.40777 21.95185 10.51083 10.71755 10.74501 6.501455 8.101337 10.80269 16.59523 15.1781 12.09237 19.77061 30.98067 4.459765 10.17898 6.827373 3.884925 18.30768 36.09397 22.63725 51.70913 44.72581 35.98505 68.15014 37.8075 8.722875 31.10828 38.04476 22.89648
2.546729 5.024864 9.419884 6.241507 2.205014 20.72111 5.098629 4.334824 12.32442 3.875128 1.342253 8.744282 9.628785 4.566946 3.881968 2.8107 8.889977 14.76738 1.335068 18.84828 26.06851 9.754206 7.05057 2.640886 11.19144 3.361328 2.672042 5.540931 3.059789 4.408992 2.09777 3.620485 6.935563 3.621537 1.345799 3.28264 6.520045 4.657602 7.217155 6.024975 10.74823 71.85764 1.821577 2.605563 3.901116 5.934261 2.773587 17.9105 19.56635 21.88501 46.5023 34.18872 55.15105 14.28142 5.062555 24.74728 25.72595 7.209795
2.246769 7.940907 11.38997 8.976476 5.598884 22.66449 7.562774 7.364769 10.43052 5.952916 2.468396 14.14179 7.704978 6.780159 4.169001 3.781657 6.27105 31.95526 3.429266 27.3835 17.64216 9.264367 15.96688 5.459905 12.81624 7.185594 6.086038 6.480275 24.82277 6.374908 23.29504 6.729841 8.335697 1.969243 4.651831 3.902679 11.31523 1.139603 10.04183 6.184667 6.745487 9.194348 2.426448 9.867718 5.522081 6.233065 18.56815 52.59473 82.865 26.33195 35.32444 19.09967 19.96309 9.743546 14.56243 15.05107 6.491866 13.64882
3.402018 2.677409 5.107642 2.571368 1.973599 6.549673 2.968848 0.962372 5.555679 0.691215 1.251997 8.425663 4.870522 2.020155 2.256291 2.932546 23.58281 5.113335 1.243256 17.18725 12.10168 3.749099 4.042374 6.801226 14.67146 10.55884 6.743465 6.064595 3.447679 4.077753 7.024808 6.118687 5.39645 3.351158 3.198379 4.200683 6.485149 3.025207 3.780576 4.267936 8.243857 5.74241 6.507779 5.669511 6.596411 5.984557 6.595398 13.51134 10.33758 97.39006 22.76926 9.245881 6.967401 7.33709 3.290992 19.85388 11.21914 26.40502
