"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106" "V107" "V108" "V109" "V110" "V111" "V112" "V113" "V114" "V115" "V116" "V117" "V118" "V119" "V120" "V121" "V122" "V123" "V124" "V125" "V126" "V127" "V128" "V129" "V130"
30948.8 3925.1 8609.8 20838.5 8487.4 27537 20083.5 4590.9 41926.8 18890.9 12412.4 19301.2 3824.7 29773.3 25764.2 21017.1 32669.1 26064.4 30278.7 34879.2 17017.6 38793.4 16148 25565.7 16873.4 6700.6 32215.8 19432 38883 37930.6 11417.2 33553.2 12866.5 30599.8 9211.3 36334.3 36498.2 35019.6 12357.7 41766.3 35963.5 33831.9 29236.5 33228.6 35210.5 43151.7 41753.3 16887.8 16145.6 31096.3 11196.1 24650.6 36447.2 10790.4 11947.3 18981.5 10124.3 33841.9 41455.5 28735.2 33726.7 17198.2 40341.6 26418.8 39203.7 36603.1 15838.8 15526.7 45465.3 44386.1 40283.1 12694.5 37532.5 18057 3484.8 13757.8 29214.9 38579.8 34086.1 30331.3 12182.7 38648.1 33199.3 2504.9 24496.7 29769.7 28452.1 21870.4 28224 30632.4 17272 947.8 17181 9230.1 48385.2 33780.4 4363.5 33471 32831.5 26488.5 28475 26579.2 22486.3 5221.5 7822.2 30336.3 15334.8 17553.2 10685.1 3962.7 36323.2 37443.5 7059.2 42371.9 11148.5 4916.6 22691.6 8872.2 7534 6029.8 8345.2 6279 31480.7 28346.5 44912.7 18358.7 31625.2 8388.2 6758.9 38761.2
44500.2 27877.4 27309.4 35408.2 26946.2 26842.6 42409.3 50521.6 44150.4 26066.7 40356.6 39802.3 1482.3 38676.4 32141.2 36919.3 45698.4 45759.6 36821.5 40635.1 28351.7 14381.1 21607.6 39072 47090.9 15801.3 26798.7 27236.4 33443.1 58954 25042.8 21228.5 27239.4 31000.6 42651.7 51976.4 38387.5 25271.4 46786.5 12885.2 43764.9 36946.5 38288.5 36900.1 31684.3 66481.8 37622.6 52534 26414.9 36438.9 30293.4 31471 39930.9 33396.6 32028.7 38426.5 33358.1 20229.4 41493.3 35132.1 32897.8 33840.7 41642.2 42818.3 62294.6 41202.4 39753.9 45852.4 52221.1 39300.7 25699.8 55013.9 32551.5 43635.1 42337.5 7140.5 30331.2 1888.9 33806.4 39624.4 35730.8 31013.2 25643.6 7155.8 29266.4 32807.8 43301.9 44858.3 31203.7 17071 28996.8 17149.2 31269.3 14125.9 42669.3 2608.7 36631 61985.6 49936 40744.8 39747.4 17476.2 20625.8 35427.2 35887.7 37705.5 35432.8 34639.1 43728.3 22665.1 28385 48162.8 61972.9 46139.8 48074.3 29904.1 53430.9 32548.1 31823.4 46818.5 36926 25907.3 37338.7 30182.8 43327.2 39932.9 28497 3641.4 39911.6 30882.5
17559.9 2273.8 73.8 16762.6 271.3 12447.7 7486.5 1338.8 37391.8 14804.6 208.8 27049.4 2757.9 19466.3 2737.2 5412.2 27074.1 23432 22883.4 3555.3 9512.9 23197 159.6 28794 138.2 3227.7 18146.4 14129.8 12820.1 16217.1 154.7 24339.1 175 19085.9 208 379.7 33784.2 24042.2 8007.1 38697.8 25584.3 15882 23265.9 23027.7 19256.7 42129.1 19711.5 34763.6 3553.2 15384.5 4486.2 7790.7 33001.7 12324.1 88.4 13150.8 246.5 23665.3 24457.8 14267.8 16095.8 126.1 28916.2 630 42632.4 20518.2 23037.2 22590.3 28395 36154.2 33092.2 8928 33827.1 3701.4 2537.4 8223.7 3804.3 25353.8 29162.2 24751.9 414.1 28441.2 24786.8 44.1 19139.8 11927.4 23864.1 16279.2 18145 20314.4 1496.4 118.1 25257.9 460.1 34663.9 27401.8 121.3 34035.2 38482.2 38496.8 28468.9 19908.9 12736.2 184.4 11033.5 16573.1 5604.6 20485.3 112.5 552.2 26102.8 8775.2 293.8 27181.1 985.7 59.5 25311.5 15807.4 5930.7 252.6 100.3 70.5 8576.3 23205 29774.1 13803.2 28376.6 18600.9 306.1 16350.4
25768.9 976.9 452.2 12148.6 934.3 15956.5 20874.5 294.8 32013.4 5238.7 25071 6580.2 4918.2 6890.2 20894.3 30035.4 8241.5 2540.3 1139.6 18210.7 5304.2 16964.1 213.4 1059.3 29739.7 2133.4 2265.9 27914.9 25659.5 21351.7 630 24208.6 300.8 3155.7 4685.7 14995.3 1229 18163.7 2629.4 27850.2 2636.6 22323.3 2977.6 30280.8 21226.8 5646.8 21593.1 1657 15480.1 23140.8 20980 1264.1 6357 585.5 30163.6 5281.1 372 17334.8 29697.3 7262.5 3117.3 429 2414.6 14894.1 15442.1 15926.1 1163.5 2562.7 15793.3 12052.7 3587.2 434.8 22778.2 31689.2 597.5 26204.6 23801.2 22283 28630.6 23889.6 954.9 28795.1 7550.8 594.4 3044.9 24098.5 2170.3 24906.7 14587.1 19122.1 11017.1 135.3 19791.1 525.7 33576.7 20866.7 310.4 30581.8 2872.5 2242.4 1050.1 13584.1 714.3 8449.6 2218.3 11465.7 696.2 11895.1 558.8 11969.9 2128.8 21961.2 4502.8 24207.4 41144.4 15532.9 3688.8 474.3 1062.8 1774.1 22458.6 205 18954.9 2027.3 17045.8 907.8 9896.2 643.7 557.4 22065.9
31550.4 1249.4 235.8 12463.9 349.7 17745.5 7470.1 1048.2 25216.1 9373.5 354.1 18537.5 1347.3 5441.4 16677.5 6967.9 18409.9 19192.3 19064.2 23889.8 5414.2 36809.8 128.6 24915.8 332.5 1112.4 22787.8 16225 16217.5 16952 191.2 25730.7 986.4 19422.9 381.1 1251.4 5830.6 16972.3 8120.5 32858.5 2779.1 6120.5 5602.5 21186 20433.2 22830.7 25821.1 3912.5 18308.2 13262.1 3293.9 3826.3 39899.1 6331.5 439.3 2136.1 728.7 27462.9 7057.5 11195.3 23356.4 190.8 31296.4 2797.3 34705.8 12660.6 21092.2 22278.2 16501.3 37656.1 16716.3 27909.7 30651.1 2448.3 2984.3 1706.1 12067.4 26684.6 12274.1 14789.8 474.3 33568.6 19430.7 455.3 2769.7 9451.6 3012.9 18233.7 22498.3 15830.6 21119.2 260.7 6945.5 1690.5 1203 30029.2 180 24870.1 9772.6 13409.7 12649.1 7666.1 3618 214.5 2384.4 14338.3 6857.5 20660 449.2 692.7 798.5 10858.4 1815 3143.4 3381.3 184.1 17035.1 1727.4 544.8 425.6 426 173 13872.5 22947.9 18213.2 8707.9 8021.3 3138.6 239.1 11566.5
20972.2 564.7 1680.2 1113.8 678.4 21532.3 615 928.3 17044 14543.2 1204.6 6082.2 1066.7 20695 14722.9 1312 24141.4 11794.7 23009.6 7539.1 1591.1 28620.6 1671.4 2569.6 1193.5 1502.1 22868 27502.5 23757 2600.2 448.3 14425 460.2 13768.6 251.3 2474.4 26173.4 15258.3 2479 13116 3601.8 6306.9 18927.6 4806 20494.3 28961.6 35067.1 4430.3 4801.9 13767.5 4811.8 15164.3 33974.3 8971.3 488.5 4288.3 455.1 22302.8 11418.6 14607.3 16612.9 1296.1 34958 1618.7 19646.1 19387.6 23442.4 17710.9 23342 15649.5 23845.1 1976.6 26414.5 5087.3 1061.1 491.2 5695.1 14681.9 21611.1 22684.2 957.2 32840.5 23094.4 227.1 16936.1 20039.8 6715.3 13653.5 24213.8 27634 27164.2 459.4 1603.8 24424.6 11707.2 22373.6 240.7 9718.5 11436.9 15939.7 16931.4 22364.1 18368.2 272.9 15929.9 13904.7 290 3264.8 1378.8 807.5 26843 10140.3 653.6 11569.9 1476 391.9 31041.6 1123.2 569 415.2 236.4 1002.8 11376.3 20407 25887.9 19981.2 14366.6 4748 398.4 8341.7
25043.5 341.9 90.7 22432.5 149.9 10855.9 21895.1 336.1 21433.2 924.5 117.6 14165.9 2113.3 7349.5 19505.8 18012.7 22652.4 16952.9 17997 25786.7 1163 24660.5 60.8 26907.5 204.7 899.6 18870.1 12268.1 13520 14011.7 191.9 22007 295.3 15841.6 310.1 19968.1 30182.4 12534.4 15069.6 28224.5 11188.2 15390.7 20360.9 14006.1 21585.2 28348.8 25067.4 836 21867.3 22680.1 3950.6 2121.7 27420.6 1234.1 92.3 16650 267.4 17816.3 26712.2 14226.6 16563.8 103.3 27684.6 12523 40071.6 22249.5 17085.9 17481.7 19316.4 33388.2 21470.9 8771.4 20100.8 16042 181 9512 17741.2 26259.2 16319 18770.6 2347.6 26984.5 16302 98.8 15477.3 7321.1 6226.6 4915 19730.3 19965.5 14529.4 84.3 2440.9 2084.5 18200 24450.9 102.4 27242 24387.2 20766.2 15250.3 13594.9 7810.1 130.1 1716.1 17933.2 490.2 18409.2 73.8 370.8 23921.6 427.3 772.1 19874.3 1363.2 83.5 22006.6 2658.6 304.4 1355.3 108.6 172.1 12846.2 14360.3 23040 4319.1 16043.8 311 82.8 25174.3
912 1942 2351.7 3838.9 4791.1 13464.2 1906.5 772.6 14276.9 9157 1981.7 17395.7 3169.2 17864.4 2095.7 2063.7 31140.1 21086.1 29018.6 19924 14838.8 10048 1916.9 10513 1383.3 3390.9 18222.4 4111.6 13065 3825 5239.7 5607.2 3246.9 16876.9 9105.8 1613 31191.5 1399.8 5371.2 8788.6 24489.5 5485.9 31735.4 6299.9 5257.8 40025.5 14168.9 13476.4 4461.9 11892.4 12843.6 18778.3 8922.7 4593.3 1558.8 2969.5 23953.1 2895.8 36423.3 22631.7 35648.8 3801.3 18780.8 2662.5 15079 4700.7 5632.4 1796.3 29546.6 16060.9 33236.5 4860.4 21404.6 2782.3 1581.8 945.5 2717.5 8454.4 16545.5 26955 15777.4 2374.9 25135.6 1625.1 24279 11120.5 1009.4 1147 18005.5 16506.7 28957.7 631.7 15420.5 4324.3 1672.9 1007 1727.3 20892.1 3729.2 11604.3 17911.3 645.6 26102.5 6482.6 18843.7 16934.3 6891.3 6278 1092.8 1668.9 25402.6 3799.2 2511.9 9213.2 396.3 1829.8 25734 9505.6 4763.4 13327.9 1023.2 1736.7 3420.8 8869.9 28397.3 9412.8 7049 8179.4 623.3 7948.7
18486.1 3056.2 15167.4 4930.2 13627.4 8722.2 8670.9 19819.8 11041.3 6285.4 14089.8 12057.9 1025.4 14867 12799.5 6665.3 24065.2 19507.3 19255.9 7938.9 5283.2 1302.8 3425.5 5063.1 17512.1 2166 6359.7 3964.4 10624.8 44406.3 3317.1 1951.7 16592.7 13008.5 35738 24413.5 4753.6 3317 29369.8 1705.9 11838.4 8832.3 15063.9 9210.2 9080.8 30155 25264.4 5978.7 13640.2 20433.6 13752.7 5291.1 4892.5 14570.4 17937.6 24483.4 14899.6 5940.9 18139.8 9134.6 7044 16289.8 7844.9 10969.2 28095.1 23756.3 20164.4 15665.7 11321.7 10358.2 4378.3 44672.8 5494.1 12777.2 23635.2 2203.5 5964.8 619.7 16471.8 23601.2 21880.7 4705.9 3549 1650.3 18116.5 18200.6 9298.3 9418 13273.6 1959 6791.3 2406.9 13983.5 2768.7 3683.3 818.2 9710 37864.9 7833 15510.7 14494.9 2412.7 6929.3 16297.9 15943.1 16839.7 15393.4 32218.3 37638.9 3148.1 11255.1 10051.3 17548.1 27979.4 32658.2 17632.8 38514.4 6206.6 12241.1 23397.1 25430.1 15151.2 7134.4 6424.1 11711.8 30271.8 3598.9 1069.4 22329.3 2348
25446.6 8604.6 16590.2 9156.3 13610.1 13467.8 27095.7 28482.9 16626.2 4118 9946.9 18251 347.7 17171.5 17266.4 11170.8 29704.6 34039.7 21366.7 13872.3 8442.1 4835 8467.6 9764.3 21739.7 2070.1 10246.7 8447.9 16325.9 40643.1 3860.9 3839.8 15925.1 17616.6 24394.3 33396.6 11077.8 5036.9 18984.2 1408.8 18283.3 11920.5 27205.6 13472 13003.5 44298.8 15798.7 7219.3 14418.6 23442.8 22425.3 8555.8 8738.5 21921.5 17446.4 26481.2 16374.7 4201.2 22028.1 16222.4 13533.4 19931.1 17973.7 12251.1 30016.2 27856.9 24845.8 25464.8 26546.4 15079.2 4805.2 30874.6 8648.3 16064.1 26197.4 1003.7 11562.3 352.9 14395.7 22288.6 22587.4 6369.2 4573.9 1018.5 21430.7 23093.3 15326.5 8461.9 14347.9 3440.4 10841.5 1462 21999.4 1587.6 7396.1 612 16437.9 35440.6 14674.8 26605.6 19785.7 4790.8 5542.9 12319.2 15957.6 26120 25147.2 24697.1 33093.5 5434.2 15631.2 21842.5 31593.3 27758.2 36456.6 22654.1 34026.8 15582.7 15690.8 24753 25299 13836.4 7458.2 10698.7 23523.8 26144.6 9437.6 500.9 19976.9 8646
21697.9 743.9 223 14223.3 680.4 13378.5 17925.8 231.1 28859 4722.9 19317.8 4624.1 4760.4 4431.7 19099 25679.6 7067.8 2672.7 630.3 18552.2 4991.5 16359.1 148.6 983.6 27505 1698.7 2367.9 22473.5 18354.1 20165 341.6 19479.9 179.7 2454.7 3515.8 17489.5 1493.5 23029.7 2309.9 24217.8 2313.5 21442.9 2339.8 26812.7 18886.1 4633 20084.8 1489.7 13810.2 19344.6 18242.5 998.2 3730.7 410.2 26528.6 3282.7 177.8 14997.3 25156.9 8085.8 1963.9 217.9 2011.1 8373.9 18873.5 12227.5 1007 2456.2 10507.2 10694.1 3017.5 301.4 20746.5 29896.1 558.1 14361.7 20606.6 18754.8 23828.2 19939.8 507.2 25172.3 4658.3 542.5 2584.4 19231.8 1894.6 16457.8 13357.9 17169.1 7585.9 152.5 15465 351.7 29505.7 18576.2 179.8 25878.3 1589.9 1462.1 746 17834.8 687.8 6735.5 2270.3 8847.7 424.1 14380.6 391.8 12288.4 1811.5 21389.5 4422.4 22743.2 31927.6 14564.5 3302.2 308.5 674.2 1325.7 20495.2 100.5 19544.7 1633.2 15165.4 516.6 11004.9 580.2 375.4 18580.8
