"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103"
337.57 336.66 417.37 478.06 513 782.86 477.62 489.53 473.98 377.24 390.7 655.77 1058.21 1636.51 961.98 357.66 357.44 238.53 135.84 1124.41 327.85 460.1 343.98 381.47 293.6 156.54 111.25 55.38 138.79 179.32 189.71 159.3 225.16 111.88 172.69 212.25 124.07 375.56 90.38 253.91 137 119.29 94.88 91.28 168.21 215.1 114.81 126.87 162.88 117.69 100.94 124.07 64.67 327.84 52.66 78.02 75.52 129.42 111.55 122.83 134.49 114.22 508.76 395.38 181.7 311.03 191.87 435.91 156.54 371.26 139.59 58.82 116.25 235.37 319.76 205.31 361.44 406.62 173.95 183.36 35.24 166.83 108.9 250.47 127.23 99.12 79.25 114.46 135.76 236.22 133.59 112.2 138.92 68.5 137.1 89.91 40.53 15.72 58.16 27.33 49.03 37.5 107.75
240.81 320.96 175.48 176.07 215.16 171.05 361.71 246.39 321.05 184.7 408.32 238.56 302.49 119.37 507.8 284.69 273.83 325.95 198.76 258.46 342.85 225.73 410.84 240.58 325.42 168.66 312.64 169.17 219.34 256.93 258.7 151.24 244.01 -6.53 176.61 75.6 178.77 147.7 146.87 61.98 144 178.45 230.7 217.89 191.84 -19.9 274.8 405.1 129.15 68.89 192.61 178.77 250.33 560.86 398.56 218.25 335.29 259.81 293.92 464.85 95.92 460.87 325.83 339.32 182.73 281.41 195.82 402.22 320.16 352.91 393.68 488.49 267.88 167.4 363.93 184.58 494.49 560.23 232.63 114.34 457.11 405.44 436.53 274.08 446.29 456.52 283.19 687.78 195.15 263.76 690.37 295.81 712.19 677.15 273.21 193.96 561.91 301.53 707.4 384.59 757.49 542.34 427.26
-107.51 -102.92 -70.39 -33.08 -58.77 -51.53 -95.52 44.31 14.1 -99.63 563.77 21.79 899.32 343.99 -27.29 82.22 61.66 -51.81 -86.89 33.14 19.29 -19.44 690.12 -67.19 7.19 -1.01 8250.48 6369.2 6333.65 3351.57 3426.3 3096.35 4746.08 1953.32 8745.24 1309.36 -21.49 -16.21 1888.74 6318.87 7831 5020.85 1911.5 5040.97 4406.6 3579.9 1836.09 859.2 6769.78 6234.78 2338.1 -21.49 250.33 -63.55 7.23 13.83 18.12 -21.41 144.53 -25.41 68.23 207.39 -37.16 31.47 -26.84 20.74 -65.27 -20.8 -11.11 47.49 45.8 45.86 84.91 1.01 -25.24 -4.94 37.73 -9.04 46.32 113.31 250.71 2808.77 -21.59 -98.54 4.97 41.94 474.45 43.8 26.52 -9.53 288.67 6541.41 187.83 81.22 -66.59 -18.18 111.46 1.96 282.2 55.64 24.03 43.27 -3.75
32.25 -7.85 -34.7 -54.42 -6.97 28.51 40.79 -14.05 -19.52 26.87 19.69 35.95 9.17 38.51 99.41 15.42 78.39 17.27 57.93 24.3 17.14 -15.12 -37.74 11.92 50.3 6.06 14.39 21.15 14.56 13.63 36.41 7.06 26.18 -2.8 38.27 13.57 17.58 10.81 20.54 41.99 9 40.73 4.99 27.48 17.01 -6.63 16.94 28.87 30.84 23.92 15.45 17.58 108.48 43.38 37.17 24.69 58.4 -2.92 221.16 23.3 29.67 51.1 27.63 -8.85 35.1 71.09 50.44 31.7 46.46 34.54 79.61 102.68 80.87 66.96 14.73 79.95 38.73 49.2 71.02 184.39 -11.08 -20.22 15.96 37.98 18.89 21.92 29.59 -30.86 3.18 50.85 -1.87 9.18 65.54 14.68 -4.9 21.21 59.88 40.27 27.65 10.74 18.26 12.5 30.92
201.04 131.7 184.4 167.53 130.49 189.68 122.36 163.18 114.97 173.51 198.98 179.74 100.83 87.28 99.41 106.89 148.41 168.37 129.84 81.73 115.71 133.93 84.11 165.81 144.75 89.88 121.8 64.45 28.15 92.28 79.53 81.67 69.12 75.52 97.14 72.69 81.08 81.06 127.35 60.98 106 100.86 82.89 61.83 68.04 61.59 125.17 63.87 74.21 73.68 42.23 81.08 87.62 82.72 67.11 46.42 60.41 56.44 -0.97 109.07 76.15 70.13 67.64 71.8 87.75 74.06 125.6 89.16 105.04 84.18 189.75 -3.99 93 49.71 43.13 63.17 51.63 124.5 121.46 177.18 100.69 71.79 78.86 78.01 69.58 102.93 71.85 79.63 105 78.39 83.14 99.96 46.96 67.52 122.41 134.36 89.35 72.68 33.37 60.52 52.87 19.23 28.11
122.56 75.88 37.67 69.36 78.69 83.33 77.28 44.31 119.31 85.07 95.34 75.16 88.61 37.22 234.89 67.83 25.08 7.56 24.97 18.78 45 104.77 135.87 26.01 101.63 273.69 73.84 90.63 62.11 16.78 67.07 110.91 84.83 40.09 66.72 49.43 131.88 83.76 136.6 55.98 65 78.56 75.9 61.83 68.04 84.33 66.82 73.5 57.83 92.81 61.8 131.88 86.57 275.39 251.94 70.12 104.72 67.14 149.38 172.6 41.53 287.55 938.44 97.37 213.7 61.22 167.14 254.61 130.28 193.18 215.92 141.56 144.55 112.61 213.52 503.41 126.11 299.19 254.24 243.11 27.19 8.09 46.94 112.92 40.75 95.31 32.76 80.62 71.06 29.66 53.25 83.64 91.96 203.54 138.08 80.82 108.7 134.56 108.68 114.21 94.21 59.62 34.67
43 59.31 62.46 93.9 40.84 155.69 67.62 39.98 60.74 101.87 57 112.2 139.53 130.92 63.35 38.03 71.07 90.66 115.86 391 51.43 110.17 256.64 91.03 90.34 120.18 33.57 33.23 45.61 33.56 40.24 38.31 29.32 57.81 16.68 28.11 -5.86 73.85 20.54 50.98 29 38.79 15.98 28.46 16.07 39.8 3.76 36.75 30.84 44.01 35.02 -5.86 61.54 111.97 18.59 38.51 87.6 76.87 135.8 81.53 228.44 4.01 259.14 77.7 85.69 21.72 70.22 76.28 0 38.85 31.63 148.54 175.89 104.5 64.16 37.51 19.86 77.31 51.47 14.42 109.75 297.26 186.82 233.02 164.01 284.02 194.43 137.36 321.37 272.24 101.83 331.51 264.14 138.95 664.92 564.71 71.85 527.44 22.88 749.67 273.01 519.26 277.35
-10.75 17.44 29.74 26.68 21.91 19.74 3.22 46.47 30.37 -7.84 14.51 10.89 31.57 20.54 13.65 44.19 17.77 -5.4 27.97 7.73 21.43 15.12 18.33 50.93 19.5 -5.05 111.25 105.73 101.91 304.12 202.17 59.49 107.87 50.35 125.59 42.64 239.34 123.39 72.92 39.99 73 59.16 218.71 123.67 105.84 72.96 72.46 51.62 114.69 140.66 181.28 239.34 43.81 10.09 3.1 36.54 17.12 -13.62 73.72 16.94 18.79 30.06 -5.72 25.57 20.65 38.51 32.64 22.79 56.56 2.16 37.08 -25.92 20.22 -6.09 61.01 36.52 27.8 -43.17 -24.7 32.96 46.32 16.18 16.9 49.27 17.89 7.62 32.76 20.9 12.73 -2.12 -7.47 38.76 24.46 35.23 24.48 47.48 -30.4 10.8 0.95 2.93 30.76 23.08 26.24
-37.63 -110.77 -159.61 -51.22 164.36 -18.64 22.54 -103.74 -118.22 -43.66 -35.24 -2.18 14.26 -326.02 -72.12 -28.78 -75.25 15.11 56.93 960.94 -23.57 120.97 259.87 -34.68 -5.13 96.95 -10.55 -36.25 -58.23 -69.21 -28.74 -74.61 -5.24 -80.18 4.91 -35.86 -43.96 -44.13 -13.35 24.99 12 -49.46 -63.92 -18.65 -54.81 -48.33 -51.76 -53.37 -56.86 -47.84 1.03 -43.96 -90.75 74.65 -10.33 144.18 90.62 -40.87 160.05 -5.29 531.05 -6.01 342.03 22.62 51.62 80.97 -13.85 53.5 -88.88 -88.5 46.89 201.38 263.83 45.65 13.67 -2.96 44.68 -40.16 27.79 -62.84 -29.2 651.13 119.22 335.67 344.91 464.15 269.46 181.15 355.31 852.73 103.7 796.64 420.66 134.06 1554.09 903.14 11.05 977.28 -3.81 1837.07 404.7 1019.29 329.82
170.93 197.98 286.51 209.15 132.48 192.97 153.48 105.9 232.11 175.75 98.45 138.34 73.33 274.68 50.68 33.92 103.47 239.61 155.81 106.03 131.78 105.85 126.16 138.72 182.73 115.13 38.36 40.28 63.08 81.8 23 48.4 55.5 44.75 41.21 47.49 78.15 84.66 43.14 51.98 27 62.07 38.95 32.39 55.76 60.64 61.17 53.37 46.26 52.63 51.5 78.15 64.67 67.59 76.41 49.38 29.2 53.52 154.23 50.83 56.37 49.09 38.11 60.98 61.94 151.07 68.24 50.53 65.65 60.44 85.06 63.8 43.47 80.15 65.21 50.34 46.67 76.3 108.08 19.57 123.84 109.2 265.67 197.09 100.39 138.2 125.75 92.57 208.94 181.14 88.75 70.38 122.28 19.57 199.77 85.87 105.01 47.15 83.9 41.97 26.92 27.89 59.03
351.54 420.39 1857.86 897.43 3082 1915.49 1314.81 1805.76 2587.89 1650 545.12 468.41 708.87 228.47 460.04 1990.76 2968.23 2726.34 303.63 409.78 1246.04 2295.12 1647.66 2283.38 801.75 786.72 152.48 980.81 521.17 354.45 575.84 591.84 479.64 340.32 274.73 97.89 115.27 7.21 477.58 484.84 898 282.22 254.67 287.58 383.68 401.77 385.85 338.61 434.68 669.79 204.97 115.27 1946.35 2014.47 480.13 1349 2045.98 710.35 971.96 1039.83 1859.15 156.3 1967.39 2212.95 635.93 600.34 662.63 855.96 369.64 440.33 845.16 911.18 1236.27 1515.7 834.1 424.44 793.38 364.45 428.19 765.39 5730 1615.7 1621.27 3297.13 2731.43 1578.29 1003.85 2813.83 1482.75 849.55 2962.32 1287.27 612.4 3285.95 1882.15 1054.67 1482.14 2575.3 1356.64 1949.33 1793.76 3602.14 2185.05
94.6 182.29 49.57 54.42 134.48 301.52 354.19 244.23 27.12 30.22 275.67 28.32 10.18 542.94 25.34 496.41 -68.98 198.59 46.94 94.99 176.78 99.37 101.36 24.93 43.12 106.04 29.73 36.25 90.26 12.58 28.74 110.91 93.2 74.59 38.27 -7.75 -21.49 182.83 25.68 91.97 51 105.71 16.98 -8.83 58.59 61.59 44.23 24.5 53.97 12.44 36.05 -21.49 64.67 196.71 448.12 65.18 -14.1 122.61 290.04 50.83 258.11 34.06 19.05 12.79 76.39 300.17 28.68 56.47 159.57 97.13 167.94 130.6 57.62 72.03 238.77 118.45 140.01 84.34 157.49 81.38 397.71 656.19 432.78 436.26 82.5 478.44 392.03 146.32 573.8 387.7 280.26 499.81 267.07 447.19 265.38 218.21 374.91 145.36 640.66 837.52 143.23 293.29 349.5
-21.5 18.32 -141.77 17.07 9.96 -224.77 15.03 74.56 56.4 17.91 99.49 45.75 -92.68 193.81 -121.83 20.56 -43.9 12.95 53.93 53.02 34.28 0 24.8 50.93 -65.7 34.34 -19.18 -158.1 -219.34 -102.77 -122.64 -425.48 -63.88 -75.52 -68.68 38.77 50.8 -95.47 -102.7 -295.9 -135 -251.19 -91.88 -17.67 -99.23 -197.09 -357.62 -171.49 -223.6 -342.55 -114.33 50.8 439.13 86.75 59.89 377.25 457.12 -58.38 138.71 189.54 21.76 13.02 -38.11 -1.97 -4.13 196.49 -4.95 66.38 -56.56 58.28 359.87 258.2 73.79 359.14 -83.09 -17.77 21.85 -70.28 56.61 -97.86 108.74 88.97 -57.27 -14.37 9.94 0 122.58 -41.8 23.33 110.17 42.97 -9.18 -44.02 -143.85 -173.33 -349.54 24.87 -111.97 -58.16 -104.45 -134.58 -70.2 -16.87
86 47.97 145.73 107.78 47.81 82.23 52.59 55.11 104.12 148.88 41.45 75.16 25.46 69.31 70.18 142.86 91.97 86.34 31.96 58.54 88.93 81 71.17 50.93 79.05 120.18 196.6 183.27 187.31 153.11 164.8 164.35 147.66 179.95 140.31 193.84 175.84 165.72 134.54 163.94 140 153.23 187.75 177.65 217.35 144.98 152.46 160.12 198.54 196.15 180.25 175.84 194.01 58.51 64.02 62.22 49.34 78.82 56.26 87.89 127.57 128.24 79.08 126.88 181.7 22.71 80.11 57.46 108.07 158.65 92.69 102.68 149.61 122.76 176.71 150.04 76.46 125.5 167.78 113.31 67.46 71.79 95.76 74.93 87.47 110.56 84.53 90.58 85.91 98.51 99.02 72.42 74.35 89.05 113.59 130.32 127.12 120.81 102.01 80.04 147.08 145.2 75.9
102.13 -75.01 75.35 45.89 44.83 130.48 -21.47 36.74 -106.29 -52.61 -75.65 -46.84 73.33 -183.55 18.52 108.94 59.57 -65.84 -12.98 40.87 -73.93 -48.6 -81.95 -28.18 -57.49 -78.77 -2.88 19.13 -18.44 -5.24 25.87 -29.24 -2.09 -12.12 5.89 -34.89 -12.7 -49.53 -20.54 -38.99 -4 -11.64 29.96 31.41 -0.95 18.95 11.29 70 66.5 34.45 -18.54 -12.7 -52.15 5.04 14.46 188.62 16.11 89.52 42.68 67.77 387.65 -35.07 55.26 -30.49 -46.46 -54.31 -35.6 157.52 15.15 -2.16 70.88 98.69 141.52 105.51 173.55 9.87 18.87 102.41 51.47 66.96 53.36 39.43 80.73 87.25 215.69 -61.95 90.88 146.32 15.91 173.72 33.63 284.59 0 171.25 162.56 269.73 58.95 245.55 216.41 236.22 184.57 259.63 348.56
316.07 320.09 364.83 287.05 170.34 429.81 316.63 437.66 629.08 257.46 367.9 263.61 294.34 635.35 756.33 354.58 386.71 347.54 964.83 183.35 663.2 180.37 644.83 330.53 2362.13 188.85 87.27 150.04 150.43 128.99 206 215.77 165.46 128.67 128.53 124.05 182.68 268.39 201.3 145.95 99 345.26 181.76 172.74 129.47 186.67 167.52 148.74 178.3 157.88 164.8 182.68 776.04 935.11 409.91 855.22 1196.17 786.25 536.42 2356.04 282.83 852.62 594.5 680.61 1916.06 491.73 1493.39 553.8 548.41 403.63 2730.67 539.33 650.99 864.37 572.2 3715.36 553.08 387.54 1669.55 1267.07 527.59 310.4 268.49 892.03 562.59 765.32 634.01 672.85 620.46 570.96 492.32 402.91 282.72 417.84 331.97 807.17 792.2 267.16 805.59 620.82 701.74 336.56 397.28
-17.2 72.39 -3.97 -13.87 -18.93 -39.47 -37.57 -51.87 -11.93 -11.19 8.29 -11.98 -11.2 -62.89 -21.44 0 6.27 -1.08 -13.98 7.73 0 -6.48 30.19 -16.26 -9.24 1.01 -4.8 -5.03 -3.88 -4.19 -7.67 -18.15 -25.13 -0.93 3.92 33.92 1.95 -8.11 -3.08 -1 -4 -20.37 -17.98 -9.81 9.45 -3.79 -16 -6.12 10.6 3.83 -1.03 1.95 -30.25 215.87 -9.29 -2.96 80.55 -4.87 -12.61 1.06 -4.94 64.12 825.06 368.83 77.43 -26.66 300.66 129.78 62.62 -15.11 -7.63 -31.9 -12.13 -10.15 132.53 396.8 56.6 111.44 922.27 -41.21 -13.09 -6.07 3.76 -57.48 -16.9 1.91 -11.62 0 -49.85 -13.77 -29.89 -14.28 -14.67 -22.51 -9.79 -14.14 -2.76 -7.86 -6.67 0.98 -1.92 25.96 -19.68
-222.54 -151.76 -189.35 -135.52 -74.71 -362.92 -105.18 -5.4 -124.73 476.86 -81.87 -127.45 48.89 -515.98 63.35 -2.06 -48.08 -98.22 57.93 -88.36 -27.86 -74.52 -98.13 -52.02 23.61 -91.9 -46.99 -78.55 -94.14 -83.89 -13.41 -85.7 -38.75 -52.21 -65.74 -83.35 -6.84 -92.77 -50.33 -78.97 -30 -92.13 -68.91 -0.98 -34.97 -5.69 -25.41 -83.12 -61.68 -63.15 5.15 -6.84 -14.6 3.03 6.2 60.24 119.82 218.94 169.75 34.94 97.9 60.11 37.16 -60.98 52.65 -17.77 93.96 23.78 78.78 25.9 49.07 72.77 88.95 161.31 75.73 169.78 -85.39 -70.28 -103.96 317.28 -101.69 -124.36 -120.16 -183.74 52.68 -36.22 -87.7 -41.8 -200.46 46.61 66.33 -2.04 15.65 1.96 -88.13 -16.16 -82.9 -59.91 10.49 -4.88 6.73 19.23 -84.33
9871.14 7766.77 10526.54 8973.21 12276.22 16933.48 11525.21 13015.33 7783.19 9158.93 8810 10540.22 7033.66 9328.76 7408.36 6091.51 6480.98 9054.34 7402.01 7670.93 5863.8 7317.4 7915.89 7131.92 8169.41 7372.35 3140.8 4939.28 4149 3688.19 3345.81 4228.61 6166.14 7059 4321.11 4780.95 4866.89 4323.94 4659.72 6323.87 4341 4862.77 4109.62 3640.37 4703.33 7095.37 5188.3 4783.37 5049.38 4737.32 4144.71 4866.89 8770.04 6363.18 6292.24 7957.72 4687.02 10607.57 9990.25 5980.64 9838.67 3101.89 6757.71 5354.36 4569.22 5265.84 4824.34 5533.05 5404.28 2496.27 7740.53 8041.07 4775.25 8183.15 6693.87 6100.13 3919.22 6293.08 6794.5 4613.97 9076.79 8707.4 6455.97 8116.56 8572.99 6263.61 7663.09 5271.33 8743.76 9231.69 5402.43 8587.58 6272.72 5748.94 6971.38 4887.45 5117.04 5009.17 4214.83 4940.18 5182.29 4186.79 5567.56
195.66 56.69 166.55 544.22 441.28 961.58 701.94 260.44 434.93 361.57 145.09 413.94 249.53 601.98 145.22 206.58 175.59 151.1 196.76 321.42 95.36 1101.66 75.48 183.15 307.97 214.1 811.33 1271.83 1868.26 1261.56 773.22 1168.57 1035.72 1484.34 711.35 1263.81 1935.23 2900.04 904.83 1369.54 1725 994.08 2078.28 1491.88 966.75 1835.43 2725.43 999.2 1773.4 923.35 1037.21 1935.23 691.55 544.72 892.11 1147.54 709.85 314.31 568.43 869.35 1005.72 246.47 461.12 299.98 411.91 130.34 480.65 362.6 169.67 198.58 627.05 769.61 673.23 801.47 372.35 295.14 224.41 306.22 186.31 289.47 278.9 183 117.35 152.95 104.37 46.7 158.5 123.42 49.85 186.43 214.86 316.21 457.83 99.81 255.59 53.54 66.32 138.49 99.15 39.05 24.99 51.93 81.52
