"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86"
4078.9 1070.4 1237.7 2956.9 4459 1325.6 1957.5 829.1 3166.1 841.6 12455.3 490 11711.7 2780.7 26815.4 5802.3 14074.4 13763.6 6090.4 2022.1 25303.7 1001.6 4732.7 928 4402.6 2515.4 5985.1 1154.9 20111.4 3911.5 1772.8 555.2 1781.4 5010.4 7380.4 1362.8 649.3 2237.4 4087.7 1794.3 9323.8 4976 21427.1 2274.2 4316.6 42112.1 778.7 10220.2 1150 2646.8 3215.7 1770.5 4302.6 2454.5 4613.8 3225.4 1895.7 973.7 3754.4 2455.6 1635.9 732.3 7246.9 7444.3 5077.7 438.6 5769.6 1099.5 864.4 13865.3 15882.9 5010.5 1332.7 6276.2 12344.8 11557.1 6730.6 1547.9 1647.3 3513.2 562.3 1439 1403 8333.3 14733.7 2082
12368.3 1944.6 2031.6 4667.4 8196 764.1 11747.1 3503.7 4609.3 3457.4 174 746.8 1223.2 422.8 1112.7 17831.7 52 2099.2 20231.9 15377.9 14022 1859.4 1469.4 4352.9 9063.9 15639.4 2055.1 7311.5 1343.3 5982.6 13912.5 5815.8 2790.3 -34.2 15539.1 843.5 309.8 1952 18022.3 65.9 3908.8 60.4 12139.1 4907.8 4804.2 -39.8 1222.4 5405.1 203.3 111.6 12990.2 6957.9 8774.4 2502.1 1912.2 11567.8 19281.5 503 2544.4 18812.9 1740.1 103 423.6 20453.2 1510.3 1722.9 16553.8 2877.6 14503.9 5778.7 2146.8 354.4 3106.6 6281.4 10063.3 331 903.7 3002.1 4848.1 14.6 52.5 2859.6 8927.4 30483.9 7592.9 27362.5
3.8 102.4 180.6 550.8 360.2 29.6 784.6 31229.5 368.5 -1 899 -5 1628.5 82 3209.4 683.4 56.2 24.6 12538.8 271 3790.2 -44.8 803.8 8949.8 45 365.1 59.7 844.5 2923.9 52.7 3339.4 195.6 38 -2.2 17381.3 197 243 45 998.6 535.1 198.7 13.7 33192.3 1439 118 343.1 11.3 18.8 22 37.6 74.6 491.9 318.9 265 0.3 205.2 -11.8 167.6 328.9 -15.5 827.4 79 2.1 -18.9 86.9 73 7.4 67 -32.8 22686 347.1 1.2 150.6 30949.8 443.4 62 268.7 -3 70.2 62.3 -30.6 156.1 118 -50.2 96.2 1273.5
19443.6 20584 21252.6 13720.7 17940.9 20167.5 23535.3 26948.4 24115.7 32771.6 17417.1 18306 21691.4 23180.5 12615.4 17199.3 11291.2 12648.9 13974.8 13670.6 12515.9 15518.1 15601.1 11158.4 17575.6 20311.5 23306 21314.1 13706.5 12215.7 20293.7 15230 16619.8 16694.4 21075 27500.5 43839.2 11374 21380.8 32995.4 16370.8 13487.3 16190.8 31774.7 16564.8 17440.7 28263.1 20345.9 14194.4 26730.1 25447.2 25601 24130.5 20748.1 16560.3 26261.4 16465.4 27005.5 28067.3 24767.1 19028.5 28639.2 14155.8 13361.5 18645.4 29505.7 16548.1 19620.1 31782.6 25431.1 19952.7 15706.4 16952.3 24856.6 14895.1 15691.2 10092.4 8446.2 24050.3 13607.1 14712.5 17431.2 32349.5 18605.7 15070.6 13808.5
14389.6 13060.8 15227.2 4632.6 8151.3 18864.4 15846.7 7867.5 10450.2 7061.8 11960.3 12671.9 14028.6 12887.5 5454.5 5155.4 6798.4 5185.6 6821.1 6770.8 4998.9 16664.4 3225.3 4805.2 12979.6 14031.9 15631.4 11226.5 4889 15621.3 9950.6 21286.7 19975.5 11694.9 6159.9 17609.8 5656.9 9817.3 19779.8 8529.4 12671.4 12625.4 15396.5 11197.1 11602.9 9479.4 18560.3 1053.5 10100.6 12780.9 17337.7 13633.2 18291.6 13573.7 12127.3 9715.4 17397.7 16964 15905.7 17934.2 13220.5 10640.4 31907.6 19967.2 16372.6 12185.7 14682.9 14869.4 11346 6290.9 13652 10763.7 12053.5 14257 13173.5 15446.2 4754.4 27941.5 6182.5 42612.4 9039.5 8192.6 10865.3 15654.8 14122.6 4890.5
252.6 3164.4 800.2 383.2 609.4 1618.2 714.6 154.8 555.2 116.9 348.8 233.4 1394.8 522.3 152.4 691.6 124.9 1548.4 339.1 380.8 291 882.9 215.4 963.8 402.8 569.5 2010.3 212.7 439.8 860 1281.6 3070.9 295.5 250.3 145.1 531.8 2511.8 398.7 4523.1 5738.2 4205.5 22609.3 379.4 1357.5 204.2 203.2 185.3 766.5 9747.5 165.5 124 2330.3 1129.4 677.7 174 5287.5 317 213 43442.2 162.6 147 128 497 304.9 305.7 329.6 384.6 4097.5 28139.9 239.5 236 1926.7 255.3 2679 246.7 859.6 258.3 249.5 125.5 12620.3 4651.6 7819.6 170 206.8 386.2 195.3
16089.5 9818.2 10097.2 13753.5 17542.2 15602.5 12588.3 3691.6 12894.1 10225.9 4628 9241 5972 20783.3 3797.8 8647 7724.3 17139.5 17123.5 9446.6 10494.3 19962.3 12512.8 16369.2 11075.7 9234.5 15176.1 14480.6 12320.1 20182.2 10861 9783 16883.3 4684.6 7188.4 11612.8 3766.7 6944.8 24815.2 4242.2 11274.5 12046.7 9956.7 12385.7 10867.3 7701.3 19583.5 8421 9498.8 13231.8 13567.3 10067.6 21703 9627.2 16820.8 7045.4 20011.5 19106.1 3358.6 14194.6 19981.5 6270.6 18807.7 13911 21770.1 961 13344.2 7409.6 10143.2 9206.3 8237.5 12144.9 5991 5995.6 6724.8 4848.3 20010.5 25740.5 21627.7 10320.7 10576.6 24709.8 15739.2 17342.9 11969.5 32132.6
23065.3 21256.1 19324.9 11508.8 22098.5 23376.5 11770.9 8048 14232.6 18171.4 18014.1 22248.5 14865.2 25454.3 22004.9 19351.7 12181.3 14920.4 23174.3 12519.5 11235.4 25071.7 17765.2 22024.4 16953.7 18329.2 27567.3 13655.4 27461 25281.2 12614.3 21036.6 20629.8 20066 16606.4 21858.7 10673.1 12718.1 25131 8456.3 17557.8 23610.3 16631.1 14518.8 31075.4 9636.4 18404.3 20344.4 25742.2 15369.7 25025.4 20351.4 32953.3 16203.9 15820.4 13248.9 16425 17491.3 15702.3 22631.6 20665.5 15945.3 20961.5 15198.2 23335 16858.2 14911.5 16722.2 16668.8 8719.7 21031.9 15645.1 18686.2 19102.6 15964.7 18389.5 17675.7 46489.6 13851.5 28266.3 15171.5 23408.8 13749.2 23021.7 14214.9 16517.4
6402.3 13390.4 2893.1 4585.1 18573.1 5282.6 4745.6 3431.9 1686.8 2010.1 7707.8 2965.5 8643 13604.3 3522.8 2387.2 9027.2 23991.7 23255.9 5528.7 8237 10136.6 11974.8 8622.4 4296.9 968.2 889.1 17070.4 7916.2 7370 902.7 440.6 6994.9 15453.1 13960.9 11066.4 175 2167.7 20882.6 1327.2 12530.3 4154.3 10564.5 6424 1962 3198.3 1636.7 2034.6 54.9 5908.3 3181.5 3022.6 5931.3 7398.1 11876.2 2775.2 10240.4 98.8 1882.4 6249.2 16516.4 557.2 9573.8 12656.4 14090.3 3440.7 7999.1 5077.1 3537.4 1985 8517.3 12733.8 227.7 13376.3 11573 10365.4 7524.3 572 1825.5 19651.1 94.7 14096.8 3371.8 7371.2 13416.3 16720.5
9125.9 8670.3 7258.3 4013.1 8897.2 8316.3 11947.6 13255.6 11725 10614 12708.3 11331.7 11173.2 15662.5 4430 5084.6 1118.5 11120 6631.6 8575 4594 7678.5 8024.8 10154.8 6749.1 8776.6 20757 9513.7 2974.7 10755.3 4468.2 10262 9072 19106.6 7512 8879.8 19955.2 9573.6 9860.8 11769.4 17619.4 19740.4 21525.3 18218.5 17401.7 19139.7 13549.3 9908.4 16028.7 11820.5 11075.1 13761.1 10680.5 5983.4 5311.9 7868 10783.9 7114.8 8876.7 13896.1 18253.2 20058.7 12715.6 5691.8 6632.6 12667.8 12048.4 16897.6 18930.9 5189.7 3732.9 15150.7 10991.9 14151.7 7165.4 6867.3 4160.2 16676.8 8018.9 20572 21723.1 35124 12362 14524.3 4068.4 5204.1
19083.1 13513.1 10794.6 16431 28235.3 13309.6 22606.2 11220.3 16295 20076.1 17005.8 14182.9 16789.9 24896.8 13223.2 17702.2 37209.8 16685.5 12929.9 9293.1 8854.8 22976.4 11254.3 27457.9 11333.4 20518.9 15862.3 10576.2 13200 13283.7 13431.3 16572.3 15725.5 18859.3 5048.7 16821 7178.6 17506.6 14806.4 7608.4 10870.7 12640.6 10031.9 7394.2 15822.8 4180.9 8737.9 13748.8 15550.6 15397.2 18581.2 15902.6 13984.7 18007.9 15031.3 16031.5 16691.4 14137.3 14207.1 10127.7 10042.6 11995.7 16797.4 13910.2 13038.6 4284.8 12389.3 11605.7 4666.9 17741.8 15993.2 10950.6 18218.7 9104.9 16709.1 11456.4 23480.5 26418.4 19011.8 6677.6 12804.3 11329.7 10410 16939.9 12684.3 21294.3
124 1659 3137.6 721.2 9977.7 122.3 2613.9 15442.1 767.6 4443.4 396.1 647.3 4695.3 10470.9 247.2 784.1 4161.2 1207.8 3126.3 240 1428.7 4389.4 5201.8 22021.6 642.5 6473.2 174 9076.1 210.5 177.6 4150.7 6648.2 1838.3 3686 3608.9 223 789.4 172.8 3315.7 521 1322.3 1758.1 15048.5 13873.3 161.2 5164.5 17258.7 111.6 3018.9 7811.3 220.2 1081.5 3912.1 615.4 1090.4 1374.8 184.7 54.1 2352.5 170.6 14996.2 5767 1299.5 354 1357.7 736.6 84.4 12522.4 3311.9 4197.3 236 255.4 769.7 3427.7 211.4 1391.8 605.9 53.5 166 3853.5 12638.4 29439.9 8871.3 182 472.8 9543.6
11510.2 14430.4 8297 15137.6 8764 10367.6 10176.3 14029.2 15585.6 15179.2 9485.5 10412.8 8190.1 12297.9 12832.2 11745 10475.4 14401.4 12139.2 18239.1 12483.7 8058.9 13558.2 7860.7 11245.1 9959.9 9103.8 13912.9 15885.1 13656.6 12168.8 10831.8 10750.2 18548.4 21681.5 17632.9 16142.1 11288.9 10936.7 19072.5 15201.7 11098 21050 19419.3 13695.1 11961.7 15189 19326 13921.6 12273.2 11187.3 14884 11067.9 12162.4 11660.6 9720.4 10754 12777.7 12879.6 12562.6 11994.8 10371 20585.5 12438.8 17629.4 8820 17537.9 15421 12907.8 7324.9 10658.4 20444.8 10404.3 19233.9 11661.1 16921.3 16345.2 6394.6 16390.5 21022.8 9904.1 17045.9 49744.8 11518 15212.5 8983.7
1578.5 2522.7 1219.3 5188.7 1246.3 5019.7 5128.5 5547.7 19322 554.2 2421 1593.8 10105.4 386.1 25957.7 5710 9872.7 8087.5 4117.6 5267.5 7045.4 3516.8 20174.3 9903.7 4044.3 1227.5 1230.2 1400.5 19394.3 2693.5 6933.7 4192.2 1598.1 6392.4 13958.1 960.1 1106.5 2965.9 1722.3 7249.8 1692.1 365 9175.4 2175 2335.9 22851.5 1008.2 19245.9 4709.8 3283.6 2626.1 4722.7 2146 5791.3 2289.8 4646 3065.4 327.7 1628.6 1120.7 2826.7 1735.3 2372.7 2577.6 6751.4 678.8 1542.1 1531.8 398.1 2399.4 4512.3 5791.6 5848.7 2123.8 3042.7 3346.1 2870.8 1341.7 2444.4 1621 336.4 1759.8 682.3 411 4577.8 5334.4
14011.9 7104.4 11562.5 21167.3 9958.3 25968.5 24072.7 19549.3 20577.7 11968.5 18345.7 12441.1 28605.4 15975.3 13991.4 15844.2 9097 15095.9 23813.9 9982.1 9694 7538.2 15165.6 16753.7 8595.2 18870.3 25292.6 9779.1 14409.9 13742.2 11053.4 10892.9 11569.9 14410.2 15152.1 15652.7 20177.3 15358.3 15942.6 10350 13666.2 11432.1 22594.5 12487.3 18229.8 28845.1 11348.4 7801.2 14725.2 10775.8 14783.5 21847 20712.4 14835 18285.9 12118.6 10465.5 9264.3 14811.6 13639.9 20610.7 25307.9 9696.2 16112.9 17024.7 8350.9 14237.2 18375.7 7525 13385.5 12788.2 16388.8 19588.5 16928.5 13558.4 13505.9 23146.4 18559.1 6481.9 9928.6 19988.9 12636.8 8660.3 18038.9 13832.3 6754.5
13210.9 6532.4 5681.3 17552.2 8650.2 7466.1 14568.3 4897.5 15005.6 6552.7 13809.5 6103.3 9066.4 16637.7 14795.7 11665.2 11841.3 6432.9 9762.5 8052.4 7891.8 6805.1 2793.9 4801.9 7200.2 11961.1 10945.4 5209.5 16169.6 9558.5 8730.4 6921.2 8367.2 12273.2 4909.5 3915.5 1485.4 10374.2 14148.9 2302.8 11003.7 6612.8 4260.3 3961 8704 1801.3 5313.6 10295.1 19606.6 9566.2 15932.6 8741.9 10608.1 10866 11842.7 7360.1 7518.4 3937.4 8476.8 7937.1 2134.8 2362.4 10508.5 8914.8 18063.8 982.4 9869.4 5028 1171.8 5627.5 8527.5 9571.3 9625.9 3304.3 14819 8836.6 31084.7 16269.5 20309 2408.9 2185.3 4309.4 2162.9 9968.4 10615 3055.5
118 72.8 2239.9 31 22191.9 124 5528.6 111.3 88 99 21 52 124.9 365 127.4 718.4 -7.1 49 160 81.6 31 3906.1 82.3 37830.9 112.5 748.7 79 2927 57 98.9 2069 840.3 77.2 34.3 3 -12.4 93 61 9188.5 637.2 32 178.4 4.2 1020.8 43.8 90.2 4765.4 99.1 140.8 174 69.7 348.6 49 230.3 85 6736.7 151 178 408.7 396.6 1147.9 340.5 -86.7 32 30.5 89.2 91.3 1072.9 2018.1 204.3 159.7 232 127.8 1028.1 120.8 84.6 49 266.6 131.8 109.8 1457.5 3090.8 4027.8 421.5 47 11930
10961.2 10728.7 8897.4 5832.7 12104.7 10402.5 14575.6 17981.1 14286.2 13491.7 14733.1 14421.8 12372.5 18428.8 5270.1 6189 7864 11801.8 6478.7 8997.9 5564.7 8341.9 10146.3 12287.9 7300.9 12135.9 22483.1 11741.4 4564.6 10793.4 6567.1 12228.4 10659.4 16302.2 8706 10963.8 20008.6 10584.8 13273.9 13221 15594.1 18053.1 18372.2 15681.7 17111.4 13449.2 15904.7 12086.2 12956.3 14051 14120.3 15372.7 14055.8 8376.8 7535.3 11306.9 13719.6 11540.3 11885.5 16785.9 18048.7 25012.4 17076.4 7775.4 9410.2 15054.7 12283.9 16945.4 19410.5 8576.5 5527 16926.1 12382.3 15459.8 7626.3 9064.5 7280.4 15996.2 13214.9 16469 20947.1 35260 14283.2 16385.4 5231 8276.2
15707.7 11117.2 11663.6 22442.7 12339.1 17964.2 18876.6 12949 17291 13550.1 16626.2 9526.8 16800.8 24266.4 20639.1 16253.7 11471.1 10386.8 17107.6 11328.1 12047 9243 6637.2 9241.4 12586.1 17317.5 18041.7 8256.2 18454.1 15256 12942.5 15516.6 13372.5 20198.5 11860.5 9465.9 3842 15853.9 18022.3 6663.9 14165.6 10435.9 9972.8 6171.8 21107.4 2415.5 8407.1 13115.7 14127.9 15056.3 18065.9 11263.7 18103.9 17319.3 13329.7 12394.4 15055.6 6345 13802.5 12408.6 6757.6 8622.8 13973.9 14796.4 22074 1517 14925.2 10141 2473.9 9348.2 19317.6 11667 16992.7 6025 16567.3 13625.4 15051.7 19222.4 18168.2 5961.4 5341.5 9186.3 7665.7 17975.1 14762.2 6991.7
10370.6 10796.4 9708.5 12458 8862.2 9657.1 11704.7 11100 15848.4 14728.4 11795 13135.9 10352.1 12527.2 16898.4 14702.9 10587.2 14859.6 13366.1 14659.2 13801.6 12247.9 16457.4 9751.9 15015.5 8565 10956 14683.6 14208.4 15031.4 12279.4 13330.7 13734 13367.3 25571.2 8655.3 12426.2 10339.6 17579.7 17406.7 11800.6 12701.9 14921.1 10295.3 15585.6 27259.3 14342.2 22314.3 8189.6 13918.1 10055.1 11214.1 10762.3 14974.2 15363.1 15531.5 14825.2 36794.7 14956.4 15299.9 15343.1 9433.4 23508.7 14834.5 11616.7 18985 16946.7 14239.3 18905.8 11083.7 15784.9 16084.1 12399 16793.8 14983.2 14782.1 10521.4 10015.3 35464 13831 17684.1 13534.2 14845.3 15175.7 16405.1 11572.3
9787.4 8760.5 16321.7 13701.7 20446.2 13519.1 16927.6 8845 7941.1 9895.2 14278.9 7191.3 9934.9 18682.4 13771 12427 12138 16536.2 12777.1 9373.7 8888 11743.1 7745.2 22627.8 11567.7 15062.5 11033.3 3008.3 11354.9 11357.1 11780 10643.6 9969.2 8080.4 4914.9 9489 8875.5 11108.2 10351.5 6753.1 11765 11219.2 9823.3 6628.7 15674.1 9085 5926.8 14056.8 13847.1 12322.7 13305 10058.3 12684.5 14499.1 11206.4 10026.2 13060 6992.6 15683.9 8787 13248.4 5784.9 10326.6 12691.3 11011.9 1720.9 11308.9 7201.3 6593.7 6395 9236.1 16088 13354 10519.2 13976.6 10273.2 36688.7 19002.4 23047.7 6480.1 5559.7 7347.2 7478.1 9226.2 10219 7574.7
10046 11010.2 9547.3 5604.9 7443.3 10251.5 12947.9 15967.6 12012.3 12329.6 14115.7 13104.7 13311 16155 5971.5 7085.6 7119.2 14723.8 9781.2 8887.5 6964.1 9556.3 13282.5 10844.7 8185.7 11159 21409.3 9823 5150.1 14453.3 7898.9 12938.1 10133.2 20396.9 10168.8 13222.3 13383.3 10973 13546.1 12833.6 16207.9 19302.9 22157.2 13655 20885.9 21967.3 16781.4 12553 18324.9 11464.1 10196.7 14514.7 10888.3 8417.6 9397 10525.1 15013.4 9539.2 8684.8 16750.7 18796 20691.3 17347.4 9496.1 8431 14229.1 15952.3 19623.1 20198.3 8023.7 5358.5 21892.2 11309.2 16126.3 8545.4 9288.2 9524.5 17078.7 7550.6 22076.4 22915.3 20812.9 13396.7 18499.6 6432.6 8572.4
16474.5 10923.9 14372.9 11377.9 22629.5 19110.7 17042.3 10823.5 13380.6 11806.4 19272.4 8157.9 12120.3 18644.5 11298.5 10867.9 9863.5 13856.4 12853 8362.1 9327.3 9506.7 8733.3 23986.4 11891.1 20702 15723.6 9619.2 14608 11018.9 13884.6 15208 10921.4 9040.9 5456.3 13065.9 5448.4 11914.5 8102.3 5619.2 12840.8 17156.8 10794.1 4711.6 20764.1 4588.3 6000 11369.2 13573.1 13163 15031.2 10718.6 17546.3 14594.1 15587 11902.4 13159.4 5121.6 12967 9321.7 7225 10398.3 11810.5 17572.4 20526.9 2087.3 13304.1 8539.8 3843.4 9849.7 13712.2 12934.3 15900.3 6804.7 18958.3 10609.6 15867.6 19902.2 20281.6 7018 10380.4 10539.3 6141.6 10279.1 9326.2 6637.5
