"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106" "V107" "V108" "V109" "V110" "V111"
57990.9 49438.2 153036.7 56017.4 35851.9 62044.2 60622.1 85006.7 51814.2 79251.2 40634.3 62596.4 3596.9 30781.6 38356.4 40756.1 130279.6 41362.9 7971.9 87798.6 90948.2 152945.8 61089.4 79680 11455.2 54120.9 53119.6 70494.5 31014.4 74193.5 75111.4 76143.8 18932.6 5484.4 94828.1 48707.3 57264.6 41403.9 81219.9 111893.7 78520.1 20048.3 12647.2 11637.6 56701.7 106188 8657.1 34600.8 16245.6 63318.6 31474.9 52918.5 31082.7 57442.1 57790.8 35616.3 43004 46024 10875.9 69759.9 27562.2 53782.2 34362.5 34563.3 31626.1 47168.5 58966.8 36313.7 51746.4 68958.9 2278.6 938.1 32787 56458.7 2406 51953.3 42005.6 7662.6 7855.7 55663.6 36337.5 18199.9 15302.7 58602.1 65925.3 33334.3 11410 59075.6 60943.6 35949.3 4041.8 40710.5 96659.7 99601.7 14620.2 87081.6 85958.9 53357.2 70222.8 70033.6 60716.2 51505.4 90123.4 88562.2 68295.6 90339.1 25144.8 33845.5 100574.6 56178.6 56002.4
66854.4 45119 173291.8 51075 26220.3 63798.3 50588 70558.4 42092.9 63086.4 43777 65386.4 3035.4 32067 38591 34942.2 102204.4 42824.4 15670.4 82001.4 69516.1 110533.8 50915.5 73222.1 7696.6 43312.8 48670.5 40961.5 29890.7 81154 75911.8 53999.3 10500.7 1936.7 40591.6 40558.5 47339.8 41493.7 76438.3 105123.4 66838.4 14348.2 12080.8 8590 45649.8 98485.2 4009.3 38816.3 12032.6 41056.3 28990.7 49769.2 35626.8 57483.4 55521.5 29324 39740.2 51818.7 12038.9 66495.6 31214.3 46244.4 37152.5 31822.9 27285 52738.6 63137.3 31229.4 35679.6 56640.1 735.1 614.2 22422 51495 960.8 38258.6 37070.5 4056.8 9768.4 63957.6 40105.2 15787.5 9769 54919 65879.3 24120 10511.2 51047.7 48985.6 35682.6 10211.8 21269.6 100701.6 110776.6 9920.5 87294 84039.8 50234.6 45798.1 54499.3 51227.9 43894.4 97351.1 54587.9 43953 96992.3 4771.2 25725.7 102327 53861.4 62155.7
43925.4 24255.5 47648.9 10276.6 41810 62821.2 76237.4 42021.5 50218.7 66677.6 36199.7 64342.7 49638.6 53912.6 36487.9 46715.7 102874 43607.6 21058.6 95949 79284.5 69852.5 38730.1 87541.9 47628.6 62179.5 57914.3 45687.2 136825.1 78132.2 225063 64376.9 61747.7 43721.5 47279 42082 77725.7 45982 94182 110914.4 47149.5 69213 65788 56647.6 72136.1 66563.7 30756.3 32984 36073.6 34141.5 42022.8 42388.5 27743.1 56943.6 46223 36535.5 49514.5 28986.9 107144.8 35895.9 15562 33285.7 12648.1 9547.6 24873.2 49036.8 37088.5 20010.3 63825.5 51345.4 12063.1 96628 46207 21740.7 42467.1 51579.5 44831.1 14485.6 66901.5 68844.1 35659.4 26787.9 24416 65370.8 45162.6 23640.2 41685.1 46808.1 35521.4 40213.4 75319.1 14889.1 15476.5 37987.3 68355.8 50982.1 45154.6 11398.9 48266.7 66479.5 22510 33858.9 32333.8 69806.1 39983.7 26413.8 16334.4 9145 45078.1 37085.9 35822.6
64112.9 55022.8 126176.8 59439.6 74233.4 56669 102102.2 70912 52487.5 61429 39138.8 55530.6 67564.5 53608.7 37453.7 35487.6 96229.5 56619.3 38140.5 71501.1 62331.2 218418.8 64903.3 69187 64230.7 53682.6 55405.4 85882.7 114340.6 66524.3 170409.9 64954.3 60556.2 67491.7 104935.7 48993.8 79988.5 47573.7 69503.4 103890.3 82605.4 88813.6 71818.5 97374.1 69199.8 84667.1 65131.5 52311.8 56836.8 60868.7 35063 46075.8 32284.1 45737.2 50000.7 54623.4 38423.7 37715.1 86568.6 47095.2 24534 44753.5 26787.8 26494.4 30417.4 35150.2 54744.5 25390.8 53746.2 36458.9 31249.2 60290 37782.9 30751.1 33651.4 37340.8 26004.6 36294.9 32771.8 42615.2 26714.5 21091.6 21515.6 41555.5 40343 26315.2 27490.5 44725.7 34688.2 29863.4 83985.4 52996.8 42932.3 66814.5 59712.3 55385.7 56896.4 48276.3 54932.8 56175.6 47414.5 40192.7 51571.9 81751.8 56680.3 58911.9 55179.4 35158.1 62760.8 38273.6 35856
1202.7 1892.3 1193.4 63631 113259.4 1447.6 2717.7 104820.7 68615.8 63558.1 13647.2 852.6 6001.8 8796.4 20758.8 966.8 2747.8 18846.2 19078.4 1860 469 96424.6 59819.1 903.7 2240.5 1510 1065.3 60329.3 679.2 694.6 1488.3 5289.4 14897.4 244.2 670 5916.4 92243.2 46787.8 1059.9 1266.4 567.2 36348.1 2841.6 3316.2 10494.6 2829.8 110156.1 1710.2 537.7 1271.2 2147.6 53005.1 50785.6 3357 1363.8 48511.6 2931.2 37330 1301.8 1649.7 27760.9 2193.5 33098.9 31188.9 22863.7 1113.3 941.4 1329 1128.7 911.8 7920.5 289.9 2157.7 29113.4 3668.7 2252.2 525.3 4202.7 434.7 2640.9 3958.8 36069.9 255.1 37728.1 8342.6 48499.2 8643.1 75881.5 75723.6 25352.3 87456.4 167.5 12419.4 6286.6 1011.2 1161.4 40414.8 8577.9 40175.9 947 1595.6 776 25038.7 9045 720.9 24536.9 726 4199.4 6230.2 60328.8 2779.7
80014.1 60206.7 127994.4 71235.5 71768.8 97092.3 105394.8 100877.1 77467.4 82382.2 52866.4 85600.5 56684.2 74357.1 61692.7 70025.9 131037 83604 52562.3 101583.7 88465.4 102264.5 77705.8 85043.7 89632.4 77988.1 79626.4 88380.1 172695.9 94628 221574.8 103553.3 79284.6 86095.6 98154.1 61730 133376.8 69110.6 89510.9 130751.4 91201.4 106246.1 91568 116121.2 77860.4 97991.7 104923.9 62885 107097.3 124089.7 65610.3 63837.3 40701.2 79892.1 73034.5 83585.5 57560.7 52321.6 111615.8 79919.3 39860 58969.7 44438.9 31174.1 36225.8 61012.1 67141.6 42499.1 89445.2 84285.8 53308.6 118384.6 64627.5 65680.1 58943.8 61416.3 53922.7 90559.2 64350.8 71941 48459.3 29134.6 35848.9 58989.6 78983.7 43519.5 51966.5 94505.8 67603.7 51505.3 100470.7 79922.1 71723 90349.3 87091.1 94465.7 87980.8 77599.9 68638.4 73372.2 67882.5 71404.6 69561.2 110488.5 68324.3 77619.8 83209.7 49272.8 89225.6 61043.2 46916.8
62195.2 53627.9 118542.8 49178 69798.8 43705.8 95804.7 63369.7 49694.1 54751.6 34583.6 49393.3 59728.7 47535.5 30051.1 28794.1 89936.4 50796.6 33928.1 68761.8 53458.5 210923 62410.1 64823.5 57477.7 44752.7 45243.8 83305.8 107573.9 63833.3 169355.9 59295.5 55109.6 60959.8 88177.4 44805.6 63884 43880.2 65795.4 101697 76039.3 81510.4 64368.5 85682.4 49686.9 74795.8 59418.6 42718.6 48071.1 52080.3 29131.9 45652.4 28562.4 42031.3 46584 52341.2 37891.9 32932.5 77333.9 36252.6 22489.3 44173.3 24160.3 23255 26767.7 29781.6 47006.9 22430.2 49234.4 33721.2 34640.2 59211.6 36279.9 31003.8 34862.2 39761.2 25511.8 40438.3 33344.1 46692.6 22440.5 19084.5 20446.3 43231.6 38309.7 24847.3 26742.7 48187.2 37069.4 30539.6 80818.6 43273.5 34876.4 53582.1 48649.4 45088.1 44680.2 39504.4 47328.5 54855.5 43309.7 32830.7 38632.2 80760.4 54872.6 48958.9 43634 34211.3 48376.5 29038 30987
29914.3 22869.5 45525.1 55.6 516.1 41231.9 40170.1 11088.5 3159.3 1047.9 15719.6 44379 16639.9 40677.3 678.8 18597.1 99941.9 7084.7 4612.2 83214.5 11295.3 30491.9 6307 53895.6 351.8 78430.5 41206.9 295 30450.2 71796.4 6749.3 55638 26831.6 4521.5 2371.1 28992.1 8505.7 2305.9 12086.1 65859.5 7292.2 9600.1 52746.5 87302 27179.6 86935.3 24969.7 57933 955.8 18733.3 38749 1210.1 15178.9 52732.2 61008.9 6279.1 42951.1 2338.8 87404.6 52840.5 31199 19962.2 3596.6 16787.2 254.1 42338.7 1777.1 34644.2 46220 64174.1 183.6 26584.5 18550.9 9486.7 199 54821.6 50716.5 6502.9 57211 25614.6 44675.8 13364.2 7197.6 58547 21955.3 284.3 46664.5 51764.2 33205.8 610.2 54.5 2654.9 7727.1 5631.9 91839.8 93809.7 405.4 54062.2 9110.1 68954.4 69908.2 74574.4 39603.7 31059.5 53079.9 17804 508.4 15935.9 47183.4 6025.2 60414.4
19015.5 35370.2 17464.2 79764.3 94744.2 6915.7 38570.6 80645.7 72808.4 57200.1 47304.8 13290 70437.8 31100.7 39063.1 37792.2 23513.8 50017.3 47224.4 30422.9 12795.1 146929.7 91073.5 24627.1 45042.9 10017.3 12611.1 84450.5 16306.1 5304.6 21938.8 31708.6 80044.2 5400.1 24141.8 51676.4 90057.3 62372.6 31959.8 9090.3 31888.6 93966.7 46760.7 74235.4 58494.5 23643.1 105668.1 26505.9 32753.9 37587.8 29528.1 55386.9 43232.6 9856.2 20560.3 73686.1 13894.9 57267.2 21855 35577.9 35167.7 27467.3 34769.2 41627.2 41606.2 17119.5 4587.4 38298.1 23518.6 13683.1 9308.8 41865.6 34194.9 24708.3 5503.3 54418.6 44202.5 36108.9 27038.8 29235.3 31695 36336.7 24883 42713.5 15314.6 46271.4 10964.1 72953.2 76304 30428 111627.8 20206.3 62076.6 8543.4 30469.6 13159.1 47079.1 5889.3 21232 14294.4 17951.8 22059.4 66642.8 22142.2 49621.4 16645.3 34177.3 57119.3 31748.2 73431.2 11204.8
48038.9 51338.4 71015.6 34.7 279.2 11730.4 44814.8 13223.3 2613.7 2687.4 14456.8 54609.5 10895.1 14713.5 322.9 28979.2 105324.7 6686.9 1047.9 12252.7 10016 6866.1 3898.1 68976.8 33.8 58842.7 48833.1 190.4 2943.7 28632 114.7 63767.8 14400 5346.1 102.3 45565.5 26055 1631.2 2229.1 28352 21394.3 1714.2 92033.5 67056.9 1638.8 11497.3 29510 62850.3 645 26068.3 49419.3 354.9 8552.1 60167.3 63160.9 18053.8 35103.9 759.8 70921.2 54410.7 35828.2 22836 6391.2 21833.4 23.4 14974.1 1156.5 34947.3 430.3 55395.5 37.1 6993 24666.6 12784.7 28.8 62075 34092.9 5170.2 58367.4 60499.6 48631 15867.8 4232.8 1577.3 45776.6 150.5 52301.5 69227.5 47995.2 356.8 78.4 258.6 12518 1410.8 90255.5 64280.1 51.6 309.7 13363.2 70279.7 62088.7 67987.8 25557.9 10667.1 43328.1 28570.5 2271.5 17133.3 24524.4 4142.7 60857.5
57658.8 47601.3 132345.1 55443.8 38512.1 56616.1 56526.3 72745.6 50116 69973 37621.2 55729.7 3887 29910.9 36590.7 37084.5 112570.6 41390.5 7818.6 74860.8 73009.3 145353.3 60849.1 58229.9 8254 52030.9 49879.1 66814 28319.3 64993.6 72378.3 66008 21069.1 6723.7 92251.8 41787.3 51786.9 41370.6 62675 86850.6 63428.3 18669.9 13472.9 12422.2 52486.7 89593.2 9831.6 37735.6 15252.8 60312.4 32916.5 47079.3 31867.4 50733.5 45591.4 33015.7 35273.5 40863.5 10476.1 62308 25956.4 41135.5 30119.3 29511.1 28386.5 42907 53899.3 33412.2 51562 59088.9 2978.1 2127.9 33174.1 47633.6 3322.4 47668.6 38600.3 10080.9 9544.9 54805 35054.1 17995.6 15559 41035.6 53106.4 31445.8 12873.4 54030.1 51192.1 31902.8 4390.6 39340.4 82736.1 86105.4 15520.9 63096.7 76456.2 51148.8 64735 64446.3 58296.9 56844.4 73677.9 89647.4 66529.3 78184.6 23977.2 34400.3 84347.5 50632.7 46543.8
82554.7 74531.6 123602.6 69144.5 98085 68809.7 89881.8 96178.8 69130.9 87322.5 52718.9 72757.8 40692.6 70401.7 51836.6 57531.5 126530.4 71813.2 50068.4 92760.2 89334.2 40713.5 78437.1 76357.3 89399.7 69185.6 70491.4 101754 155705.1 82069.3 209696.1 89318.1 78598.5 87130.4 59217 58475 112400.5 54573.6 84084.1 133005.5 92055.1 93472.8 83648.2 113282.2 84078.8 99255.8 92957.5 62303.9 75084.3 93736 51094.6 55883.9 40721.5 68110.2 61206.3 79943.1 48639.9 50616.6 101599.1 75869.9 35006.7 60406.8 35892.6 35567.7 38812.4 55705.6 59018.1 41144.7 74768 72162 52539.6 100249.1 60154 59797 56351.2 63910.7 51737.7 69380 57059.7 72034.3 42678.1 27771.9 36105.1 53444.1 66836 41129.5 46524.4 74726.6 66176.5 43457.1 97636.2 85491.2 82633 101502.9 103666.3 88569.6 89199.9 81969.3 77769.2 80039.3 73287.4 72404.6 72757.7 121061.8 80474.7 77187 91567.7 53146.3 79596.3 61515.4 53277
68884.9 62292.7 114544.4 63883.8 85287.6 66846.9 87678.9 95856 70355 85590.4 51021.9 70032.9 38781.5 66945.8 46762 56948.3 131089.4 66626 46996.4 97823.5 90975.3 38092.3 80697.2 82980.7 91164.6 73467.8 70994.7 107464.6 158078.1 83624.7 209083.7 92228.4 77046.6 91215.1 63626.6 58998.1 110519 56568.6 91103.9 120281.4 91505 93814.7 78815.5 117432.1 81771.8 104926.7 97405 61286.4 71346.1 89961.1 49402.9 58661.2 40447.2 62920.5 59461.8 74494.2 52057.4 50120 90997.4 66767.7 32848.3 60759.4 36819.7 34954.8 38733.8 53362.4 52465 37010.1 70263.9 62169.7 56429.6 97001.6 61771.2 55946.6 56350.7 62782.7 50669.2 67920.7 54292.8 71024.1 39016.6 29914.3 37846.7 53057.9 67948.5 41944 46535.5 73125 65683.4 47178 107834.4 79794 77266.2 97902.8 86482.9 86502.8 85739.9 82625.7 77841.5 72132 75409 71968.4 73167.8 117328.1 79576.3 79921.3 85218.4 59647.2 79721 56767.1 55006.6
1307.3 1846.5 529.9 58549.8 72175.8 396.1 3597.7 82095.1 85417.9 19186 19177.2 438.8 56928.1 473.6 3025.4 188.1 1085.8 34347.9 39093.4 3101.1 2887.2 97002.4 85367.7 2051.2 20656.2 764.2 372 49311.7 1305.5 187.5 259.3 14342.1 73510.3 1549.6 639.8 26586.1 56574.5 59042.5 1106.8 1485.1 7300.4 95415.5 13576.6 64042 47809.5 179.7 78840.5 4424.3 886.3 1696.3 819.6 37977.5 42898.5 1750.4 1015 68773.8 776.6 51653.8 634.5 888.8 17716.1 3030.5 10097.9 41002.4 32006.3 865.8 1139.1 22993.7 629.9 2919.2 3478.5 922.6 424.7 31329.7 1855.8 27915 3424.1 54482.5 1630.1 47417.8 390.6 36635.8 736.2 2217 4062.8 34591.5 169.4 50852 36068.5 3164.9 45873 101.3 4031.3 2046.9 1993.2 340 20596.2 2119.8 7776.4 392.2 3939.3 500.6 29006.9 14458.2 8852.7 385 13114.6 21625.1 612.2 43207.7 850.2
32691.9 22483.7 40024.4 188 74.7 40448.8 48945 14099.9 2563.8 683 25608.8 40606 22115.1 39656.2 283 18624 97200.8 7182.7 5137.7 81938.4 14614.7 31493.2 8323.6 48983.8 243.1 74130.8 39708.9 218.8 33496.5 68187.4 4581.7 55080.7 30930.1 4627.2 1579.9 27971.7 11502.2 2132.5 15019.2 60893.7 7185.1 9962.5 49289.9 80271.6 30558.3 81105.4 28514.3 50832.5 657.3 18184.7 37978.4 1073.2 16877.9 49185.6 58857.6 9663.3 41938.7 2615.1 80492.8 49506.8 29841.3 23751.5 3759.7 19523.1 101 41318.6 1568.1 30764.5 45554 64847.5 94.6 31376 21191.5 11454.8 115 53923.1 49816 7148.6 55262.1 46987.6 41310.6 15395.8 8929.2 59541.2 25304.4 135.9 43453.1 47150.1 36883 264.8 185.9 2386.3 6761 7161.1 85230.5 86041.6 260.6 48137.2 8343.6 67772.6 66636.4 67799.7 39661.6 32309.4 51627.9 16425.4 489.9 18993.3 36786.6 5348.5 54177
