"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49"
24360 11104 27869 16541 16063 32985 40082 19499 33448 33285 75905 170795 15294 39531 51533 32557 21971 22870 6083 32563 17675 22926 17827 32667 15873 19821 38317 30325 28072 12618 19920 15156 19918 11017 15776 12304 13986 9844 16215 17768 11248 15106 13993 27149 31435 17626 33359 12457 27691
19658 -334 -142 44690 17536 42997 32516 630 58739 41200 -732 21723 40833 102132 1805 44302 31475 15571 12151 419 218 45816 7399 596 7573 28542 19376 25461 28165 15586 6919 354 4478 9961 4960 5512 4354 0 6421 851 -523 21427 13268 3912 63766 47691 7161 72924 2402
53324 28613 60748 46659 44982 43929 51975 21358 49340 40299 59051 56665 39732 52297 44598 49618 57470 69114 40208 42033 47068 40575 53452 135951 44248 31990 65668 34487 32962 21953 29700 31202 24303 11322 17154 14587 31794 14580 13023 33644 10629 23161 12976 42540 59156 35117 58626 82859 46665
13494 266 678 39856 43850 26306 40694 806 14698 25522 428 8135 21835 100242 1460 56611 16786 12688 18825 835 751 20998 27969 1825 2811 12261 15387 44766 24081 20622 13954 1042 1620 2620 6946 1850 2977 1903 6502 1941 1021 25420 12278 3170 59861 27132 7719 47251 4773
2217 120 633 24037 5028 27651 67486 871 7841 9803 2017 2873 8708 31867 512 58894 4922 2368 3554 619 350 18683 3395 338 1501 7521 6974 21489 12322 20014 2812 246 534 1562 1080 574 691 364 888 799 347 20654 2711 1038 19825 16161 2738 109187 1776
463 816 409 768 316 618 831 474 479 457 61631 120052 637 437 562 890 1609 544 2077 816 17674 748 241 548 1691 1288 1175 1160 1537 2521 1354 1159 842 888 867 210 321 1919 183 661 1280 480 62 815 880 1081 264 111 297
22381 1803 2413 9695 3908 43166 9426 20921 51615 43338 11571 23965 62578 44961 86401 1117 69562 26489 6388 38674 8491 4734 31998 9576 10754 30063 11401 30584 22286 4712 4633 17762 9764 5722 17905 13516 15580 11638 18018 33134 12055 6393 27576 20586 14562 5520 20976 22479 1381
3680 785 10013 6884 15376 2073 77 630 2127 578 -106 176 2760 3894 1216 3465 6255 12403 127928 1513 12135 1425 1240 15204 2458 4465 2699 6057 621 2460 9583 4545 2450 4197 9076 5012 2449 5913 4936 1876 5304 5265 1893 3594 5488 2001 438 1340 246
7653 6518 11450 1260 1373 787 15309 460 9074 1003 1927 3455 768 1308 2707 980 1359 111332 2322 6538 1790 32732 2075 1762 937 1871 830 877 16195 1204 20341 4494 1213 3404 16894 20609 564 674 670 10548 586 398 541 1141 945 11079 805 1244 51309
33190 23701 22438 40558 26149 35893 36268 17068 46650 29609 90998 74160 48839 38977 18572 35711 31644 50048 32274 30074 40293 19179 31597 34242 27491 25289 33064 30556 22698 16106 26192 25747 19231 9061 14650 25593 21369 11892 14370 29292 11063 19044 20034 16828 22878 13997 28054 67409 32050
21295 18150 5161 44356 78061 22826 25477 17255 11549 28646 8232 12326 5937 19546 27587 4736 4829 28508 16548 17654 11545 27003 11214 14785 25445 4095 10025 16727 10070 36052 7341 8440 7730 4245 6646 8062 77861 8282 23242 10844 12270 28527 12292 11392 16061 24305 33817 19630 38875
15662 17590 26662 1109 28311 35916 5276 2410 12521 31380 3002 13700 27061 5197 97820 2141 1867 6889 4526 5149 6848 18782 9809 13982 10982 5917 1749 19113 7392 7743 9073 9255 22785 5606 3604 5706 3493 15243 12055 16596 489 443 5709 11270 3497 15398 4576 977 730
6530 13998 5124 4075 4899 9713 15459 10313 13259 22774 30530 99362 28447 15264 7261 21932 11095 9784 7721 5810 22693 5509 6809 1286 8738 7761 32318 13474 11631 8491 8806 1896 13668 6128 4430 2583 6361 6849 5314 2222 783 8378 4187 4321 21440 17584 10120 6769 6035
1661 1520 -219 818 185 125 2730 3151 868 3725 -56000 -80571 5519 2219 6403 -41 3612 3857 -7813 3399 -6612 1445 653 -902 4828 -1134 4888 2926 5592 7472 1484 -483 4707 2706 3033 -1262 9405 3705 2716 69 -282 4002 108 1349 4342 5212 2966 566 4480
33582 25867 26370 17950 19193 36321 26395 19428 32784 17116 54108 72470 37946 24664 22359 42049 33618 28214 6956 34293 17360 10107 52718 35429 37208 30302 53784 29079 29231 14422 29531 20594 23862 12523 16301 16117 10560 14403 19437 22338 9617 22368 11107 32169 32100 17904 34556 67108 44798
43933 16647 23311 5275 2742 10035 6127 21889 32271 39746 1018 3797 8001 1678 3666 12367 42026 11061 68509 35067 11423 16259 6293 1895 39015 9724 5210 4704 28290 9910 5443 29181 22210 10134 9699 19448 11683 11986 12074 15257 4981 9159 5585 37577 18584 18886 17625 782 3306
9794 4783 10798 9290 26106 5152 8423 2052 7531 6484 51285 59254 5699 14461 10796 10669 3752 13369 69888 5008 3671 6108 8803 19821 4696 3436 2160 5598 1660 628 3483 2755 1640 906 2350 5300 3356 2958 3806 7284 1683 3318 2645 3154 6439 1843 3768 11460 6661
20931 19116 35672 37100 44904 30586 48570 20134 41140 36577 33627 35754 51502 78706 46970 45338 38244 44549 19549 29624 36418 42868 37170 30839 21884 21756 33829 32144 23385 8750 29190 28478 19131 11413 16616 30238 52046 13115 17388 30378 10856 22851 23716 63951 30161 34746 47717 46273 41112
9385 4830 11589 10298 25607 4651 8610 2418 7405 7071 57398 57253 5574 12853 10942 11794 4223 10983 64137 5065 3349 4864 8914 19772 3906 3311 1902 5621 1469 -723 3418 1651 1279 681 2628 5397 3005 2358 4831 8016 1309 3602 2696 3257 7453 1782 4025 12373 7188
-4288 -4705 -5799 -5741 -10699 -1755 7535 -3949 -8524 -3996 -63878 -77242 -2065 3743 -3535 4662 -5025 -3828 -5885 -4811 -7355 -6225 -4218 -10189 -7532 -7779 -1539 -4222 -3733 -697 -4890 -6031 -5972 -2847 -2724 -4104 -4186 -2593 -3816 -478 -4043 -3063 -2866 -4246 -163 -2672 -2589 -1285 -3268
26086 21918 22208 23175 15130 20844 58466 10178 19053 22934 20013 20676 19549 19390 9203 14160 20884 19619 29313 22568 21956 24402 40073 18035 43379 25053 13258 17223 23683 15729 30787 23178 18739 10292 9611 16173 8671 11058 16601 15015 12263 15210 8302 83455 25238 45033 16123 26617 43612
27265 12973 39496 19535 26409 34537 36903 19653 45301 45229 58976 46600 19006 37164 68714 47769 35571 36487 71405 36205 50168 54678 37840 44669 19301 22233 20150 44091 31043 27489 39866 45366 33705 14165 23493 28278 26808 18895 21400 28759 17297 27892 23555 18037 31908 21250 33073 32623 32318
923 1739 24030 675 -100 -45 -85 1056 12734 5003 11222 706 -122 109 -10 -26 81882 21474 1742 236 16262 258 -34 -76 2994 -91 100 -13 33563 -364 187 4971 2015 11174 1116 15686 -63 3546 130 2554 126 14 59 -9 15 2387 -27 240 400
8118 7615 4536 17075 11456 11133 5471 6354 12402 6144 60453 78001 12409 8363 4000 5297 29960 6869 7596 11611 17507 13903 11672 8848 17363 18473 17966 11690 19641 13310 10518 6429 6312 9383 6432 5917 2363 6282 5166 15356 8154 5305 1986 3187 2933 7265 10368 13476 9057
13220 20544 21422 31545 35585 16481 20469 18070 15177 10091 17989 21020 24249 21588 27717 35887 13052 17553 7372 25589 10224 17343 29969 79246 13501 28996 24820 22925 17661 11216 30434 23806 12282 15151 21909 26919 31400 16751 24874 38141 19382 27557 19870 20792 22545 13087 40885 57905 54666
7181 7794 12315 13252 15604 12307 12999 13362 22017 16940 61144 80542 22537 18948 25708 15407 29323 29316 27988 17249 17767 28927 16859 27196 11933 19364 25244 20721 27029 0 19329 14020 11467 11163 19004 15180 19657 10426 5898 10062 5553 12215 21555 15336 10431 15151 18810 20722 22478
49738 19030 1325 172 602 207 230 7136 17465 311 347 366 438 145 301 97 3042 362 440 198 717 346 331 765 56478 403 234 234 160 28029 173 123 13017 497 607 121 191 13995 21790 247 250 125 41 263 126 73 -39 298 285
24203 23179 23782 31947 63422 23102 28517 19875 17661 22015 21474 19991 51913 27847 44810 28282 49494 15435 14265 28735 26343 22072 40183 36859 40176 22669 38024 31218 30387 13537 27989 27001 14194 12209 15061 19630 18184 12994 15838 18108 11297 20024 20668 17200 16806 32591 48219 23587 48771
14637 14146 19068 28570 20624 24906 46951 20891 36010 33433 14202 15234 42121 34450 71082 39991 17690 25317 15344 18085 21642 29637 12809 20301 25888 15360 53281 29251 32812 23649 31395 25450 16818 12838 17387 19450 19688 10343 15117 13514 11652 13863 16579 14813 30146 22983 24990 28944 17945
14648 141 271 44295 1273 15281 14037 541 2119 49685 602 2847 4893 4471 1619 41923 23333 12799 16020 967 19 3867 3785 722 2239 2215 4156 2398 25540 28154 2398 762 3106 3352 5801 2264 4337 617 1386 2704 449 3093 11214 6506 -119 10908 3565 10290 2828
13221 4620 13919 10805 32790 4617 5810 2623 7535 5354 47283 53765 4445 14170 9380 10679 2713 11818 42694 3886 2344 4053 7002 15306 3697 2278 1374 4412 1026 254 3749 2100 1797 539 1824 5323 2026 2212 4647 8142 1112 3088 2787 2881 5309 1251 3490 9325 6700
30248 24379 32600 45875 50346 25823 22892 17823 34182 18177 28724 27105 26778 29594 18365 31899 39006 37349 21906 39561 25501 23690 49180 35549 32980 34192 38543 18479 30586 22525 24980 29629 10423 12854 16969 21740 11337 11142 18967 33322 14835 24236 11923 22900 42582 20460 22575 70683 21963
20704 19493 45495 39485 40097 35827 40617 19176 36871 37608 21615 30393 42662 59714 29985 27694 25901 30565 21335 24787 29243 40716 27321 27606 28001 24413 17837 32860 26013 11104 26284 32983 20300 10033 13620 28423 49578 12597 14756 26770 10132 21216 21055 34927 29200 21381 50211 54004 39077
8368 36973 6053 12025 15985 44987 24531 28676 25497 40317 21308 25783 44135 34072 10063 39127 11667 14235 6771 6882 26834 11906 30339 1941 10862 21556 27804 27911 20715 13253 32811 5955 26043 10825 13668 10790 17703 17219 14823 4527 2445 24052 22744 8190 34372 17356 28417 17430 15084
24143 24900 17802 38746 8777 13986 33480 22491 22344 17476 55072 34288 59866 23983 15619 29835 43230 21438 19101 33012 21848 32923 46144 16636 36179 35470 25872 26572 33199 16870 24507 22890 18828 11216 17044 22638 12448 12249 20732 30210 13119 21845 17226 16681 46343 32876 22472 24775 16698
11998 16686 10562 10093 12398 11563 17896 18944 12128 13489 14550 7809 57264 19868 34937 17377 19951 13222 9992 22123 10939 5532 34217 8999 33718 16425 24509 10364 22839 5829 19953 9696 9079 8943 7107 10786 11875 6398 9559 14054 7937 14248 15795 8759 11145 24587 43282 14251 40490
16222 16136 14115 9750 4411 12926 37745 23000 33283 39498 20074 43862 41294 33642 40673 33699 27214 30026 20897 37860 22312 19207 37364 16663 27197 24455 39416 21575 32567 15235 16917 6936 16784 13441 14466 14552 14021 11566 13375 20044 8368 24156 26253 36439 34287 31442 32199 23541 33919
24905 19703 22926 32528 28344 19588 28246 15183 27750 21806 64957 46858 17350 49893 32590 37691 19160 20632 16213 26587 16329 24312 26202 41991 18704 26690 19943 18197 13308 16397 22467 33611 19275 10788 16158 20682 25068 14215 16355 27485 12879 18401 21362 28550 26690 12791 14461 37253 18765
13612 19696 21639 30816 26045 20715 23699 12809 20103 11822 34415 21880 28393 19708 27686 22936 31149 29139 17911 23565 22010 21251 32381 70202 13669 19697 35705 19563 17668 7871 14006 19831 8885 8093 9752 12822 17183 6878 13916 21549 10011 15013 6317 15415 19866 15001 20307 21036 7469
33080 18729 22707 16292 9559 19755 29081 20147 18339 26442 28649 20054 45975 32066 21227 32455 29783 26086 25781 30767 14044 16770 51156 43254 33527 33951 31021 23177 22361 7182 21064 17423 15027 14791 12955 12643 22727 12831 23001 30690 13855 23029 13092 25927 37870 25805 31679 53821 11380
3736 8125 22067 1422 3382 8065 3843 13344 5815 11861 10223 2946 4156 3187 8904 1644 8295 1951 7015 10460 9063 3604 21650 10535 21946 14463 4646 20463 7369 4628 3857 23710 15473 8063 1258 4920 4595 10068 6894 7986 1384 2646 2454 65191 4165 6106 5349 900 1570
3811 2436 4222 3722 6649 2157 2235 2435 3805 3200 41880 61260 6428 5932 7132 3353 7267 7171 13554 3416 9190 3569 3190 8788 4135 3926 3974 2154 4476 -47 3207 2884 2837 2928 2471 2666 1507 4158 1778 1907 3515 1532 1486 1980 2306 3637 2061 2470 2552
9591 13823 5412 4450 5478 7017 12030 26971 10119 7537 9039 10302 50617 11238 26986 10604 16677 9585 10814 19100 11245 4417 27311 6587 35517 15129 19405 5613 30208 9178 17074 4339 8331 11926 5746 5204 7456 6029 8333 10220 7683 12803 10245 5886 7777 17187 24776 11800 39854
15072 8881 11720 27180 18929 10164 14352 15494 18592 22846 7789 9710 15526 14967 9800 13236 56799 27446 38279 24467 17030 33528 17034 25766 16845 30649 25211 40861 14712 21093 10869 34542 15444 10639 15829 17562 17728 12950 8828 10107 13050 11687 10296 21655 25042 29535 10530 18247 8225
26835 25213 30148 39300 20285 18951 28446 19587 21008 22508 24254 26488 48321 18817 15016 23438 37318 33274 17306 27160 27698 29892 14965 42997 29041 24771 50996 25148 25970 13843 27067 20499 15645 12744 16586 17603 13611 12593 20816 24565 14412 14311 7831 10114 21667 22544 24611 49430 18914
1042 20934 1873 30751 93 -165 1899 4338 478 478 38543 24618 314 123 138 194 971 9290 708 5284 748 28924 -43 1263 44 308 62 64 15396 1372 4727 3032 1050 93 13713 7703 -200 625 15835 16700 -67 71 138 300 188 26389 188 228 133
14576 15919 13989 22531 43972 16995 20631 16259 16461 20973 29576 20849 55932 20390 17607 24131 35160 11228 13871 20697 16754 18914 26145 11464 30689 20079 29100 21547 23207 9679 21612 15347 15685 9414 10448 17281 20161 9084 11441 18895 9656 15497 16276 13822 10418 24944 42849 18606 38851
18691 25952 21103 33950 37206 14671 24740 22801 23136 12213 27667 24997 13755 19409 33825 38483 22670 19615 6292 32734 10173 22210 42978 46988 18850 24972 38527 20583 21350 9698 23774 10301 12271 8683 16780 11115 14670 8670 20345 18659 15321 10725 7634 22490 20258 12516 19274 25658 17828
26624 21515 23959 24167 51622 27587 23606 20545 20611 26158 20788 14009 31067 17981 15092 23844 42387 26084 6932 31110 23371 16984 35479 28651 36272 24418 28467 17378 27609 16111 22836 25495 17785 12511 13701 17105 15220 11507 18154 24963 12078 22627 6763 19591 35616 15875 29011 42313 43576
5971 7008 8263 5200 3014 11998 17984 10606 26557 17002 15672 16196 25021 13710 3408 19269 38018 34498 15779 3799 32661 33989 3049 5125 6920 2572 1710 25511 11205 8841 26642 10005 8667 9631 13434 23090 5467 5964 4817 6516 8560 9668 13092 7876 19897 19674 9497 2421 9411
27163 27686 32574 13780 14977 20831 33700 15712 24235 32647 52755 37281 28403 20686 11475 34552 22671 35710 13173 31911 19691 24339 21413 33193 33102 15249 33410 15209 20622 14111 19387 17605 21377 10755 13895 21373 11458 12429 15432 22087 10528 9563 7371 9086 23442 17390 22274 24535 15825
17467 23268 18729 31950 13453 25106 24011 11707 29397 24826 49880 34677 18436 16869 12996 32387 25892 39536 12565 21591 21147 27500 13756 15980 24542 21545 13423 21712 19787 18077 20898 19026 16549 10074 16045 25116 11800 11659 14262 21811 13598 15019 6371 12688 23453 13564 17237 52371 24305
26156 22373 26997 30056 13200 28101 22105 21240 23225 14718 20766 18522 26728 16936 19406 17899 23476 25372 13399 24550 20289 17576 24196 40564 29517 27654 31476 21489 24454 11989 20320 11104 8337 12493 15344 18407 5955 9447 21287 30926 16200 11159 8638 7438 16228 10794 15931 58202 11752
15470 20967 17003 13681 13940 9274 17746 17378 15428 15369 21285 18057 26887 16704 24043 30445 19869 20312 16286 23546 15831 15183 61543 42796 19972 27260 18573 22313 23790 12575 11690 15122 14937 11527 11861 12662 10516 9462 18808 17329 10098 21566 5843 10827 25689 17785 20537 35296 13554
31159 29994 29492 31770 19892 25492 42742 24052 22883 22563 48025 23387 35233 16104 12518 35520 16360 29398 16408 33999 23724 24622 29197 36316 40589 35279 35167 17368 34956 20242 20414 16267 17542 14574 20917 25524 12187 12787 22498 37412 13861 14239 13800 13816 22948 35102 30136 35871 15687
24565 17619 27628 22935 27330 10577 19868 17636 10055 17245 22943 7809 46007 15767 8850 45979 18940 14878 11438 20383 12516 16025 37692 12539 34132 28732 19884 13179 21973 1535 17828 14842 9911 12588 9460 12499 22776 8843 17118 18049 7775 21387 15157 22046 28974 18635 23391 18440 9679
4301 1232 26164 12701 673 1098 1595 4971 8969 5695 4795 -655 2946 5539 4095 8042 46663 18395 295 20797 21601 5506 18730 1137 2134 2144 540 2707 16182 1714 13164 8124 4369 10587 16999 24013 1375 2326 3827 4587 227 3741 8465 5773 5832 17715 191 276 6125
12480 14287 8494 19996 8281 10425 28258 14460 16448 14102 27351 15047 45450 19138 10404 32597 38296 12543 7791 14457 20483 18170 20438 7283 17414 20687 35836 16495 19982 8974 14541 6146 10192 8357 11311 11136 11766 6999 14396 13384 7245 14899 7969 8079 32110 16658 7472 29485 12126
7440 9659 12662 13972 14409 14251 14312 10792 10868 13412 25618 28973 13276 18117 22629 23310 18780 10742 13614 14803 6597 10241 19800 26325 13205 27956 20828 24391 22554 12538 12391 11753 11371 10588 8972 8470 20796 11429 10782 10647 7675 20019 24674 61758 8965 14226 17342 12396 15389
29986 21560 14277 13602 12700 15174 12860 16394 20185 22101 36877 23787 28458 22618 15592 18859 42190 33456 34051 29280 37097 14250 35784 16350 27777 26420 24002 18656 25717 18641 21108 17535 21740 10179 10244 12569 9192 12727 13192 19048 9967 17686 8704 18160 19855 26045 18674 31347 40615
31863 18958 25481 5545 925 1303 2010 12664 10438 8628 22080 1571 2397 2883 1581 2501 10151 4863 38360 15536 15973 1783 4209 2184 7026 3059 1599 1666 4521 6296 5070 25965 20155 9561 2762 5001 4635 14897 5631 5060 2198 5331 2456 3575 3035 2034 5294 3732 2743
-427 -382 63 -767 -817 -176 -922 -148 -440 -214 -28116 -54518 -4 -486 -261 -7 -700 -405 -1341 -378 -3428 -423 -368 -523 -812 -616 -122 -34 -258 -473 437 -222 -145 -60 5 -22 -291 305 -187 -118 188 -101 -47 128 -315 -25 -248 -474 142
11053 9939 8252 4917 2845 6702 15763 18450 13439 22594 18482 44485 23516 14855 30341 18090 11195 13880 12219 30293 9623 5609 24805 8925 19738 18932 28319 7184 25926 12713 8626 3221 10708 10795 9499 6463 7707 8152 8878 4675 4285 18041 18244 15861 16475 12020 22773 17541 27114
33582 22054 31236 40133 36118 23908 24131 16283 23654 17626 31733 21785 25548 23612 14386 20458 32129 31634 13824 27575 23325 30942 28221 48678 27475 25907 23071 30760 25027 18076 25585 22022 14593 9354 16283 20239 20965 11580 19719 17857 11733 18684 10194 16778 34438 18197 16242 41861 14930
-217 -379 -1210 -764 -118 -994 1111 -442 -157 -315 21026 54946 734 187 114 284 202 436 800 188 3501 66 -180 98 345 124 971 -403 334 6757 26 167 -31 -18 -331 20 -318 59 26 818 -766 249 -64 641 591 55 143 463 373
5264 3018 8439 1633 353 -108 311 2026 11435 4061 4942 2931 120 12 11 -139 42710 15720 1378 741 16806 675 166 1 10977 77 36 78 24654 253 1050 11435 4549 11170 3103 8452 -307 7471 767 5533 52 98 61 65 -33 3997 115 -377 26931
1052 58 1097 2007 2233 475 420 65 -58 -96 -26719 -50804 1212 821 675 884 46 1119 3511 -23 -5831 218 606 992 476 872 238 370 -206 -2470 211 110 77 -222 477 298 880 520 -499 229 111 1433 388 177 622 1370 82 464 165
10292 2134 35948 4728 8580 15178 9550 17541 16276 32921 3184 1071 7383 11178 22238 14330 4484 8336 16126 15655 18632 15160 7471 8476 3188 2014 8416 24862 2463 8648 23599 26073 24957 9311 11145 4066 9584 12904 11754 5907 3593 15965 5763 1529 10395 18399 12581 5013 2523
18127 18053 22191 26488 24904 26997 23907 19434 19302 15531 23844 13390 25165 10386 23012 16089 20593 16320 13667 29682 11182 19621 31940 42995 27201 32029 43015 13268 23930 10011 23128 16238 10450 9346 14876 10991 6368 10280 22203 20390 15546 20601 13678 27408 24898 18825 20184 34115 9194
12382 10434 14441 15395 6052 9961 8828 13076 11235 21124 12146 13271 14561 19336 62003 11953 16917 16510 17647 14065 17468 23222 19639 27626 10425 17763 18711 14435 18007 10023 17330 25438 17970 9341 11814 12100 12361 12207 11326 16210 9941 14082 12244 14003 17714 18150 11384 14456 5928
249 -198 46 -508 128 -354 45 164 -329 -201 -23121 -52489 76 273 16 242 294 209 56 207 -2012 -1072 299 -2086 -70 -540 272 -474 123 -1471 -693 -556 47 -169 -467 -730 -253 -506 -374 -95 -557 -287 -440 -235 -49 157 -295 -467 -298
20848 18143 16954 12855 14337 18940 22077 16107 16764 17940 47716 27571 18140 26608 6337 21918 11960 22862 10651 26241 17447 11762 15705 14615 19120 26073 12449 16442 19898 12707 21771 10555 12648 11202 15307 21261 18810 11093 16056 28349 8833 18038 8642 10248 24971 15277 20721 44554 25860
12373 19448 3059 3412 939 8191 9597 10090 20180 12308 27918 22856 25790 10899 10541 17340 16944 22683 7760 28403 24235 2255 13635 1968 11526 17510 21457 2809 17427 7142 5899 1918 6920 10945 4968 3684 2143 3237 4745 21093 1325 15653 4232 2182 10823 7392 4604 15909 15097
1346 303 747 18106 22744 26358 19805 440 1201 3133 284 4103 1230 5913 858 34605 1077 613 1635 670 414 12396 2075 707 1910 1055 2605 18479 5552 8252 1084 529 239 2172 589 327 648 127 1746 81 507 2625 1147 969 2652 2339 833 13864 376
34435 29450 34248 23127 22010 26175 13335 18926 27660 21093 39348 28157 11167 13024 16656 10756 9547 8163 8390 22337 17856 7906 15097 13330 31457 18675 11001 11637 16400 5935 14696 19376 22286 12151 10436 9845 10761 14886 12975 14533 8521 15576 12672 16066 10747 9503 18010 14820 16428
16282 15095 17135 23860 13255 16419 13017 18751 13164 9048 11014 13033 30999 16188 20149 25284 20146 16455 6717 14263 12318 11715 11016 42736 17865 27151 22977 27305 23990 9012 14711 13163 10378 10476 10608 9158 10609 7301 16593 22189 16949 15623 6812 11295 18201 10717 17612 41033 10103
14839 20982 13870 19732 7258 19415 15562 18869 19885 15289 24064 32676 26774 13744 19409 21140 22480 29251 13603 26725 14849 13573 25856 36693 21408 25546 23627 14859 20779 12630 14156 15582 12569 9353 10887 13935 11562 6432 19490 25526 10790 15219 7957 7701 25326 21886 12637 40607 30445
19317 20460 23693 29983 18606 22221 27180 10370 11059 9817 17755 26030 25587 8890 13259 15210 13465 14358 6341 19817 12641 12041 16519 31335 23763 20591 24194 10341 23027 4973 17747 13516 5771 8243 11564 12395 6170 8165 18546 15263 14031 13632 2184 5369 17941 7966 20418 35412 10009
2447 2639 3050 3249 3225 4267 3991 2020 1236 1031 17554 51979 1218 2190 1115 2098 1722 1924 1811 2039 5959 1747 2249 2202 3056 1460 1251 1883 1781 5351 2607 1696 1173 1554 1202 2084 1267 2312 1191 1579 2458 1477 1124 2018 929 1017 2008 3516 1686
21871 18595 14927 24450 19924 12858 25599 12621 18608 15386 29387 30154 30014 15746 8075 22197 22537 22879 16488 23585 23291 21478 25343 15582 13140 27745 26578 20949 23630 14668 11917 24760 11112 8848 10842 10814 9062 6259 15765 25461 11533 15737 3870 10129 30211 16300 10731 36878 15814
18470 22537 18341 24154 10589 13999 24009 10399 18786 10226 23474 25635 16601 10889 12138 17764 6667 14908 6206 13285 6960 12472 20198 24819 12134 13339 8309 8173 5847 4450 11091 7344 4919 5415 9289 13180 14215 2798 16175 10889 12736 14149 9215 5542 15847 8897 13596 43242 5377
1410 510 1229 3494 4353 1952 -466 1027 -827 -868 32948 36041 428 236 909 8 691 1359 5014 -453 16276 -239 -6 -1340 1799 819 238 251 237 810 2148 200 656 3506 1819 461 -1550 3272 841 1183 4436 138 172 777 -615 -1047 -3821 -87 693
15586 21319 18010 37065 26595 17366 18976 10462 18246 10503 24808 18644 21765 12665 13990 45018 14554 19456 11867 18418 12555 20700 23098 31840 16587 26892 15442 12932 11753 13144 13278 13377 8190 9925 13978 15023 9782 9606 20679 13707 12504 20132 7513 10753 15293 13074 19188 20648 13891
