"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54"
18168.2 37448.4 45895.9 80184 49511.1 39787.5 52460.2 27615.1 25073.6 11661 32482.3 41149.4 18786.4 11029.5 20920.1 38654.1 27403.4 42389.4 31836 37074.2 40192 28048.7 26592.1 28617.6 58413.4 36965.9 52794.2 43657.8 26784.4 29248.4 57469.3 43837.8 53372.8 123536 49107.3 22607.6 24951.1 35937.5 43019.8 40639.9 38495.7 28858.6 36892.9 51992.2 35731.4 18539.5 52879.1 124132.6 72198.9 71988 29814.9 32807.4 43726.3 35094.6
21075 41677.5 34442.9 69043.9 53937.4 41222 42860.4 25742.9 25631.1 34221.6 23496.1 66661.8 22344.8 31444.5 45663 33031.4 26077 37739 28470.9 33312.4 35603.5 26319.4 27810.6 29265.5 61180.6 45737.3 44667.2 50782.4 23363.3 23263.9 59195.5 40817.2 47120.2 125199.2 56348.1 19227.5 28619.7 42553.9 40251.3 39468.3 39507.6 24314.6 23704.1 44975.9 30062.5 17009.9 52848.2 128849.2 66843.6 72482.7 27633.3 32507.3 41565.8 32998.9
191.6 57161.1 18625.6 972.8 4781.8 409.9 18498.9 13792 7978.4 31176.2 2155 11209.2 21343.3 304.4 46470.9 223.8 36809.8 3561.8 247.9 179.2 1143.9 338.5 1014.3 2412.3 3762.1 23399.2 48.5 210 6482 39798.7 84586.7 1563 295.5 2720.2 138 14277.5 206 39.1 81 157.2 30.3 34907.4 3881.7 502.5 10389.5 2613.3 138.8 103358.7 1851.1 39350.4 2639.6 9163.7 188 269.3
61.2 379.4 80.5 156708.7 87.8 91.9 131.1 9.2 6.2 73.7 57.8 24.8 44.6 122.4 23.6 210.2 131.7 94.1 100.9 53.1 21.5 72.5 55.1 80 17.1 98.8 102 102.6 230.7 44.1 196.2 88.2 29.4 171.8 56.6 61.3 132 144.8 17.8 99.6 15 117.3 186.8 32 160.6 68.5 154.1 279.5 125.1 114.3 29.8 66.1 139.3 27
28876.7 61693.6 45389.1 106013.2 64878.6 34882.4 76618.9 27881.8 22371.5 27332.6 32066.8 45214.9 25005.5 23494.4 38782.4 31894.8 25371.7 31352 25000.3 25996.3 30437.1 25340.7 24199.6 23620.9 45342.6 36924.4 57801.6 43045.4 26998.8 24840.8 51188.3 43063.5 54915 96260 48405.3 20754.1 34773.9 36010.1 36383.6 40367.4 41217.7 29804 46883.1 39316.7 39076.2 18583.8 40840.5 127062.8 55807.2 59136.2 26082.6 28177.2 30845.6 29320.2
475.7 9821.7 6661.8 1088.5 3286.5 30275.8 6673.2 1904.2 22248.5 1927.7 1085 1815.4 2267.7 626.7 993 11376.8 16306.6 603.5 15278.3 18737.4 28926.6 22550.9 20149.1 12611.3 12201.4 16336.4 14800.9 25911.2 26231.9 9425.3 37103 12400.4 40399.9 130947.3 28514.5 16142.7 33465.4 27569.2 23056 34133 38681.9 22200.4 8319.6 44656.9 30439.1 17008.8 37276.6 58623.5 38974.8 46724.2 14198.4 1703 2631.7 6651.3
18051.5 37315.4 30445.8 71969.6 44151.8 51166.9 48089.4 26359.6 25135.1 39572.3 19325.9 47796.7 23206.6 32984.5 46183.8 31818.4 28526 45978.4 29884 41232.9 39248.6 26994 34632.8 35186.8 58393.1 39738.7 56126.9 58433.3 24276.4 31675.4 68576.4 44204.2 59036.2 82556 58497.7 21147.2 24130.8 41308.5 46936.2 49565.5 40337.9 30724.2 25089.7 26540 31708.4 20163 59238.8 133523.6 75655.9 97153.4 33263.9 39818.6 49536.5 30173.6
584.7 3855.6 2138.6 647.6 3366.8 33635.9 2307.2 832.2 25546.1 822.6 381.4 625.7 1595.5 252.5 1430.7 28691.5 11130.4 6137.3 18339.7 26814.1 43488 18174 7036.4 2686.4 2064 6543.5 2728 26206.1 24205.1 2559 24837.5 8792.1 52816.6 121002.8 5687 15676.1 32932.6 35789.7 6376.9 26972.2 24869.7 29106 22464.6 55752.5 51183.9 23658.5 1386.2 2802.5 492.8 2817.6 23899.4 19832.6 24627.7 11453.2
240.4 62132.1 28889.5 955.2 5953.7 3807.1 101157.3 8166.7 3998.3 23886 2041 8333.5 17338 343.6 39092.9 108.3 29863.7 1313.7 122 30.7 1368.3 274.1 506.4 1267.5 1354.7 22429 13.8 124.2 4432.9 31765.3 67012.9 503.8 207.9 2746.5 123.9 15945 476.4 27.9 46.5 158 6.2 27969.5 1239.1 341.7 5644.4 1309.6 122.6 56636.7 1125.2 18832.4 2410.9 1047.4 69.2 220.3
23531 58244.7 41419.5 83338.5 38853.3 32739.1 45292.8 27119.3 26575.6 45959.3 35408 65212.7 28949.1 40038.3 28862 27946.3 29135.2 35290.2 29573.5 35135.8 38661.6 24859.9 25096.6 29054.1 49152.6 39073.6 38959.6 37433.3 20846.7 25301.7 46967.1 40082.8 40068.9 100803.3 47770.7 21780.7 30462.9 35843.7 40714.6 44069.8 30922.6 33677.3 42884.8 30977.3 35815.3 21388.6 49229.3 133959.5 68759.7 71367.9 26700.8 29088.9 39661.8 27607.1
17194.1 40448.6 32727.6 67320.6 32405 48462.2 44415.8 18328.4 27204.9 19114.7 24389 45869.5 16275.8 29972.3 11904.3 37252.1 29040.1 45694.9 35380.4 45494.7 37156.2 20581.3 26356.2 33443.5 61129.5 47056.3 42701.6 59128.1 25245.1 31936.8 64062 41178.8 42139.6 90284.3 44658.2 23453.6 22890.6 54637.9 53156.4 44344.3 41035 31527.4 24752.5 36582.4 39943.5 20285.4 48105.1 120387.6 73934 90977.4 34544.7 37861.9 40299 32690.8
25618.1 55283.8 52777.1 108886.3 48435 40860 53621.4 28158.2 30435.7 37321.3 36298.6 63370.2 28711.8 39529.4 28796.9 33209.6 34352 41974.1 35604.6 40035.4 44098.9 26662 27616.5 30958.9 57470.5 38212.1 48379 48711.7 30424 29167.5 54984.5 43710.4 53754.9 110597 47162.4 24874.7 33855.6 43977.2 43926.4 50345.4 32511.4 34597.6 46291.9 43564.4 38387.5 24785 56321.1 111050.1 79346.6 78268.5 31519.4 37039.3 44785.1 33853.8
251.3 66130.5 27673.1 1054.3 3346.3 2497 93400.6 7183.1 2684.6 22200.7 1694.1 6134.4 22127.6 343.9 41688.1 237.2 32483.2 1175.9 180.4 111.3 1307.8 304.2 372.6 991.9 1180 21111.2 42.9 124.7 3441.3 38365.9 67034.2 518.9 266.6 1764.9 123.4 14700 337.2 34.4 129.4 129.3 13.1 29484.2 509.2 276 2669 984 46.2 36354.7 1022.8 9685.2 1833.4 611.2 77.8 202.8
213.9 310.3 127.4 145088.9 109.7 164.3 216.8 116.1 91.8 478.6 75.1 123.4 171.5 165.8 226.9 202 105.7 131.8 118.3 159.8 230.4 156.3 159 147.6 100.8 126.3 258.7 154.7 183.9 70.3 135 120 82.8 318.4 433.7 193.2 168.9 97.1 98.4 62.9 163 208.2 489.7 194.5 117.5 146.5 366.4 323.2 137.7 75.6 116.8 190.9 195 241.7
16482 35246.4 39446.7 72100.1 46675.7 37615.9 47908.5 24995.2 24006.9 10929 30417.3 41980.3 16555.7 11200.9 22162.4 35900.2 26611.3 35233.2 31470.1 32664.8 36495.3 25670 23934 27653.4 57145.3 34265.2 45690.9 39954.6 25248.8 27816.7 60448.9 47398.8 54550.4 99254.9 49544.5 21766.8 22890.6 33293.6 39006.3 36654.3 34591.4 27745.4 32893.4 48250.7 34196.5 16805.4 43487.1 117298.7 70577.4 68894.8 27499.9 32595.4 37449.4 32031.6
19926 32902.1 31690.6 77485.2 39818.7 38891.5 45687.8 25566.5 23113.5 46743 20020.1 63494 24693.3 31609.6 45096 37591.4 24051.7 40074.9 28886.7 36544 36552.5 22403.4 22511.1 21148.5 44119 29148.2 39916.5 36012.7 14011.8 23663.3 46709.4 32729.1 55556.4 67695 51661.3 22300.1 24896.5 40329.8 40812.1 40571.8 33246.1 29750.1 40847.7 41707.4 37952 14988 53154.8 132470.9 74899.3 74831.6 29506.3 34753.4 43351.1 33111.1
14230.6 21566 18434.7 40681.2 21720.4 34940.8 24346.9 15502.9 18854.2 11562 14694.6 14028.5 15756.3 19802.8 12648.8 32873.5 24540.8 42459.8 26490.6 40276.9 30609.9 10784.7 19737 20873.1 46684.5 38341.1 41660.3 43958.5 17155.8 21177.6 46391.1 33543 40387.2 86099 43084.7 18175.7 13178.7 33575.5 44966.3 36682.5 29938.8 22249.9 28252.4 24636.4 17178.4 19071.2 54275.8 106981.7 72875.5 75855 28167.8 32652.9 40081.8 27833.5
23711.7 47170.5 41620.7 82596.2 51395.1 46434.4 57919.8 29682.8 27460.2 51843.3 32158.5 85115.3 28238.1 33311.6 51017.1 36120.3 29622.2 44815.6 34126.8 44310.6 41823.5 32138 31548.2 31444.8 68724.4 48626.4 69025.6 58325.3 32648.8 34886.7 58207.3 48063.2 70741.6 81284.6 50122.3 21897.1 30285.4 41036.1 53788.1 46590.4 40944.3 29510.2 27710 48167.3 33460 24018.2 45577.7 119389.6 71851.2 79722.9 33383.7 38114.1 46627.7 33898.1
17522 50346.9 39281.3 80290.3 37573.9 36161.1 54270.3 24742.4 22926.8 13409.1 28796 52853.1 17278.1 12861.6 23299.1 32425.5 24558 35042.2 29790.4 34378.1 35078.8 27325.8 27077.4 28556.8 53076 35628.2 43265.8 40734 23482.3 25846 51173.1 39268.3 41468.5 94535.5 47831.2 19770.2 23709.5 32887.3 39539 37533.9 32152.8 26253.5 33801.1 39053.1 32635.7 18454.6 42981.9 115295.3 64552.6 71687.5 25829.3 29804.1 36863.4 29946.2
8763.5 33171.8 24626.9 47530.2 16943 17767.2 25153.4 6570.8 7142.8 11677.3 7429.1 33447.2 8392 15351.6 13352.9 18601.4 12316.8 14340.8 12322.9 14539.1 21809.3 20598.9 17028.5 12698.2 34576.3 35069.8 34625 28349.3 15957.7 21050.2 32270.6 16009.9 27178.8 132869.5 30118.8 19256.7 18388.7 23363 24617.3 24754.8 28264.4 17168.1 22556 25491.4 19272.8 17212.6 24687.3 79125.4 32945.1 32953.8 18709.3 14129.2 24684.1 18082.7
29548.1 37979.7 34580.9 74769 41331.7 40218 42442.1 27450.9 25874.2 55782.3 26693.8 71923.8 27350 35898.7 44771.1 35673.9 25963 37757.6 29538.6 38416.8 38285 17718.9 31060.9 29565.2 58069 39923.8 56771.4 38945.8 27541.9 29974.6 49032.3 42132.9 51685.3 86509.3 54631.2 20195.1 27886.6 37312.6 41688.5 38336.4 32824 25406.8 37628.9 43761.1 30062.5 18013.8 55719 123582.9 76849.5 70916.8 28091.8 32562.4 41464.8 32358.1
17267.5 36734.7 34512.7 76616.2 36329.4 38840.8 40633.1 25289 21818.4 28083.5 20255.3 33399.4 21432.4 30134.1 33622.4 31106.8 24339.8 36290.9 26802.4 32793.8 36640.9 19060.5 21628.8 18508.3 45771.1 32920.7 25236.8 25093.3 20256.6 25307 45197.1 36676.7 37131.9 74997.9 43836.7 16970.6 23685.2 38958.3 43162.6 37787.3 34145.9 26438.6 31187.7 36515.9 30476.7 18691 49797.8 125942.2 62495.4 70250 28064.1 29536.1 36622.2 27830.2
21456.1 46384.9 35020.7 77419.1 45031.9 42870.5 53426.9 26866.4 25393.6 46518.9 28283.9 73163.8 23992.2 30311.6 48279.3 34236.3 28365.6 41903.5 32311.3 41100.2 39767.9 29189 29654 29944.3 65158.5 46569.8 67235.7 53951.5 30052.1 31954.4 55953.4 43569.6 65848.3 78680.5 46908.7 20679.1 27479.4 38058.9 49080.3 43688.8 38046.1 28155.3 25843 44843.1 32411.4 21419.9 45260.6 112490 72171.7 75644.4 31048.6 35760.3 43080 31473.7
7.6 661.5 34.7 129758.3 12.8 4.3 13.9 20.1 9.1 24.5 29.2 139.2 11.3 16.7 9.4 55.3 25.6 12.4 50.5 23.1 52.2 4.8 7.5 11 20 138.8 17.5 15.5 89.1 68 20.7 21.8 21.2 24.7 68.5 83.8 56.4 13.9 9.6 73.3 59.2 65.2 77.9 14.5 55.7 58.5 78.3 292.4 119.2 237.3 29 39 67.7 18.3
20175.6 29820.7 34758.3 65119.2 35049 42365.3 37128.1 28690.5 23499 43140.4 19863.8 40738.7 25577.3 33843.6 40725.1 32310.2 25981.4 42978.7 28603.6 40713.5 36449.9 29148.8 30606 32117.4 57550.1 38259 56726.8 54171.8 19422.2 32202.3 67589.3 48458.8 55233.8 69827.3 53974.3 19586.9 20427.8 39457.8 43778 46081.3 37607.8 28297.9 21253.9 24163.4 29166.4 20306.9 56064.5 103657.1 76043.7 83648.1 30858.1 34293.9 46915.8 28314
18869.4 27096.2 32551.7 80101.3 34016.7 35624.9 32411.1 24973.9 24045.3 44975.4 19508.7 59664.1 27492.5 29880.8 41439 34902 25340.4 39106.7 28267.9 33240.4 36090.6 19538.2 18152.6 19831.4 38512.4 24454.1 34792.3 31895.3 12782.9 22428.3 40543.4 28922.7 45535.8 60188.1 47336.9 23517.3 25431.4 36897.3 38776 38755.9 27302.5 28660.8 36489.9 36285.8 33712.6 14843 48836.6 117643.2 66060.6 68765.1 28414.4 29598.3 37548 30320.8
24726.6 45388.8 41084.4 81200.3 49681.7 41490.7 52376.6 30739 27565.5 53706.6 31963.1 80456.3 29620.7 34190.1 48046.2 35735.4 30066.7 41754.1 34519 42915.8 39902.9 31799.1 31391.3 30131.6 67154.8 49474.9 71798.7 54698 32781.6 36094 58007.5 49465.4 62148.6 79340.4 48591.3 21233.7 28837.6 40353.9 52516.7 46750.3 39864.9 28953 26983.8 48107.5 33341.6 24267.9 42523.9 106164.2 65852.1 75042.7 31823.1 35394.6 43844.1 32010.5
100.7 777.6 68.6 127114.3 364.2 80.1 146.2 90.7 69.1 222.1 148.9 194.4 139.3 183.2 183 146.4 93.4 98.7 124.8 92.4 107.2 115.8 78.6 137.2 109 27.9 178.3 190.6 165.7 131.9 194.5 73.7 51.5 391.2 201.1 134.1 86.9 67.2 90.6 96.9 33.4 153.6 68.5 107.6 154.6 82.3 175.7 271 83.5 213.3 94.7 96 163.5 117.7
25288.4 42503.5 40049.5 67859.5 42204.7 47892.1 39201.7 30154.6 26496.2 53052.2 22520.6 72069.8 29194.4 35556.5 53927.9 47146 28849.5 48912.8 36893.4 48212.3 37997.9 25648.7 25174.2 25180.2 65599.5 44957.5 31031.7 41107.6 25543.8 27920.6 49744.6 41212.1 43793 63822.6 51256.2 22558.2 31904.1 41497.7 47247.3 45826.2 30866.1 30293.1 24281.7 36017.7 32184.9 24168 63257.7 107804.3 79964.9 83631.8 33473.3 38338.1 45204.9 35766.4
69.3 515.6 65.8 126554.9 271.8 43.8 99.8 107.9 4.2 280.3 137.8 13.5 83.8 119.6 116.6 85.1 77 58.5 98.2 92.1 63.9 40.9 81.9 65.1 80.5 67.2 21.1 87.2 107.4 182.5 103.3 68.7 70.2 30.2 187.6 56.7 43.4 115.3 12.1 47.1 46.2 52.4 76.6 147.1 54.8 60.7 147 21.4 112.2 131.7 77.7 44.2 56.9 26.5
75.6 264.9 34.3 126515 102.6 121.9 139.1 127.6 71.9 114 19.8 66.3 509.5 12.5 115.9 25.3 52.1 25.8 14.7 81.4 95.1 17.4 46 17.2 84.7 20.2 20.3 127.2 75.8 15.3 103.6 13.2 12.4 97.8 107 57.6 56.5 28 72.7 17.8 9.2 96.1 39.1 69.9 82.3 72.8 147.9 57.3 112 27.4 84.5 26.2 105.4 64.5
11116.5 18438.3 20363.7 47543.8 20680.8 28040.6 25035.8 15668.4 16823.3 15337.5 15978.3 26460.3 17641.6 21952.2 32698.2 25896.7 16222.1 31705.4 18712.1 28937.3 25082.6 14416.1 15607.8 16864.9 28751.4 20824.3 22501.3 23959.2 11157 15595.8 35717.1 26040.1 44092.2 122936.1 26537.8 14716.1 21663.6 22911.4 34788.6 26777.6 26657.7 21046.5 5409.8 39869.9 23720.1 16385.9 37319.2 62921.5 38363.6 56661.6 23454.9 23044.2 32886.7 25712.8
187.3 709.8 195 125466.4 282.7 133.9 296.6 3385.5 164.6 90 170.1 276.4 177.2 356.2 547 266.6 142.2 124.1 117.9 154.6 287 78.2 96 130.1 182.1 181.2 160.7 235.8 182.7 144 395.7 161.1 356.7 39.7 179.2 455.8 476.5 193.7 132.6 83.4 96.1 48.1 113.4 47.4 181.4 174.3 255.9 345.3 277.3 156.2 142.6 111.7 248.7 116.9
13872 30347.3 25716.4 46407.9 22357.7 34882.5 29411.5 20529.1 24557.2 17868 23820.4 31573.6 20559.7 26793.3 37718.1 25302.6 25960.2 41635.8 30671.6 39623.1 32045.2 20435 27677.1 26705.5 63901.8 48653.5 57218.6 30329.9 23252.9 23931.5 62517 42317.5 48862.4 77840.8 40763 16592.5 27822.6 38982.1 39968.8 40044 29368.3 26681.2 19686.3 21442.2 35387.3 19198.9 49153.5 102127.6 68655.8 64466.6 27823.4 33227.9 40232.1 34185.7
260 622.2 12523.4 123440.7 27.5 129 12126.1 28.3 74.8 45.5 31.1 95.9 73.6 34 108.5 18.4 23.3 7.2 17.9 172 17.4 24.2 68.9 16.6 99.6 123.4 33.5 79.6 137 78.1 48.5 86.8 351.1 37.8 32.1 9.3 48.3 17.1 23.8 85.2 60.4 23.1 35.4 24.9 13 6.9 43.7 68.2 68.6 32.8 15.4 30.2 73.9 21.6
20.6 68503.7 23583.3 872.2 4694.5 4091.6 88036.2 1306.4 1065.8 19442.6 470.8 1273.6 14674 22.5 39233.9 66.8 2030.9 531.6 10.5 17.4 477 12.6 13.2 488.1 10.9 25689.4 7.8 16.3 2066.3 6833.9 20388.9 68.9 29.5 596.8 10.4 9383 252.5 6.4 4.9 8.5 4.1 18614.1 606.2 14.3 815.1 209 14.5 16012.5 464 3523.3 1915.8 12.1 16.7 8.8
18393.4 24366 44234.5 33043.3 14848.5 10088.6 7210.6 28944.2 17883.6 16352.5 16572 105435.6 16479.5 13160.5 35728.3 12023 3426.9 1508.6 2031.7 2207.5 1761.5 4734.1 4322.5 1337.1 8093.8 10565.4 4995.4 10792 6844 4568.1 4219.9 8675.1 5479.1 23170.4 14483.5 13693.9 28796.5 13960.3 39408.5 10602.8 22983.6 11370.3 11475.8 22755.2 13208.6 7555.6 1743.7 2792.4 1442 3847.5 4302.9 11692.2 2517.8 1756.3
16.3 15424.7 19387.7 113749 33.1 10.7 33656.2 12.5 9.5 107.1 22.6 290.4 8.6 17.9 20.8 25.2 108.4 11.9 21.6 14.4 24.3 10.7 4.5 8.3 14.2 18.1 41.9 19.4 27.4 14 22.9 13.7 11.6 57.4 64.2 22.2 33.7 16.4 13.7 42 13.6 15.4 40.9 31.4 12.4 10.2 64.8 39.4 142.4 15.2 17 7.2 126.3 16.3
1149.9 680.6 3787.6 119895.5 274.1 711.9 2726.6 201.7 109.8 167.4 238.6 452.9 111 132.5 233.6 158.7 144.7 44.1 163.2 516.7 182.4 96.1 107.8 113.2 149.7 80.4 143 261.7 167.9 183.2 175 134.3 62 242.4 114.9 59 156.7 105.4 118 134.3 116.3 171 80.8 194.2 115.6 102.4 225.1 160.9 209.9 130 103 108.1 110.2 158
30 82.2 22.3 119627.6 68.9 17.8 181.6 23.5 6.5 387.7 228.2 19.8 17.5 11.1 10.3 18.8 3.6 9 13.7 10.9 22.8 10.3 10.7 19 22.4 21.7 18.4 35.9 39.2 23 22.6 20.4 18.4 20 17.4 7.9 23.2 12.4 7.6 14.1 8.3 25.7 10.2 26 14.2 12.6 34.2 61.1 16.1 19.3 22.7 13.5 24.6 20.9
19173.4 37341.5 31477 60830.4 30043.9 39788.4 38294.9 21015.7 25938.7 20847.7 25192.5 43995.6 18882.3 28602.8 12649.2 34397.1 28229.6 44176 33489.7 41574.3 34925.2 20022.3 25204.6 31552.6 62461.3 39280.8 38182.2 52801 22928.7 31718.1 57664.6 40214.4 34644.2 69887.5 33797 22072.1 23182.2 53584 45772.2 39625.5 38025.5 27671.9 18054.5 32282.1 37395.2 20748.9 44030.6 97377.9 66336.7 78154 32124.4 35588.1 41751.9 32829.9
102 311.5 59.9 118783.3 659.7 55.7 218.8 75.2 92.8 225.7 335.9 280.6 100.3 176.1 114.2 157.1 112.4 117.6 159.9 81.3 131.2 11.4 130.5 27.3 21.2 26.5 47.7 121.6 46.1 105.9 116.7 98.9 74.2 21.5 236.1 61.4 346.4 117 143.8 126 17.1 87.4 216.1 146.3 32.3 71.6 112.2 98.8 64.7 116.7 100.9 90.8 144.5 123.2
190.7 2760.8 252.2 117509.9 344.9 236 751 210.9 248.9 334.7 186.6 309.8 234.5 265.1 490.6 307.1 177.1 308.6 302.8 344 357.8 354.5 223.3 177.9 203 255.5 397.4 418.9 312 162.9 379.4 302.3 292.5 478.7 488.8 399.7 296 306.3 241 160.4 277.4 195.8 245.1 367.2 321 170.9 365.7 517.7 393 369.8 174.3 186.3 240.4 227.9
2411 3786.3 2327.2 780.1 2216.7 16183.8 3235.8 6964.1 17109.9 1737.7 1929.1 1557.2 4382.4 1921.5 1237.5 10054.1 8072.7 882.2 7737.8 14251.7 24663.1 16104.3 4949.3 3806.4 8395.8 8253.1 9618.6 14693.7 15001.9 5184.1 24618.5 10574.1 36531.2 107406 22256 11863.9 18711.9 19529.8 12510.5 23318.4 25063.8 12086.9 11565.1 30457.3 25960.7 11233.8 22635.8 18518.5 16420.9 21947.2 10672.9 5266.9 8661.3 8061.8
77.8 46141 9812.3 451.6 1704.3 749.4 71168.5 1753.5 843.8 5404.9 499.2 2812 5536.1 48.5 34056.1 86 28516 571.6 20.5 42.3 720.3 85.8 155 378.5 488.2 5067 14.8 39.6 1187.3 31736.9 63845.9 211.4 27 968.6 276.9 7576.5 226.7 10 18.5 63.3 7.2 22830.1 266.3 123.6 1052.9 702 54.4 7895.5 542.4 3061 880.7 407.9 38.7 98.5
